,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-11-13,Can somebody send me Adrian Bowie s twitter account?,3,9,10,4.0,23,MEM,,BOS,L (-6),0,12,3,3,1.0,1,1,1.0,0,0,,0,2,2,2,0,0,0,3,7,6.9,3,0
1,1,2010-11-13,"#shout to Adrian Bowie. Bro everything is going to be fine, I know you can lead your team so just be yourself. (cont) http://tl.gd/6uivl2",3,9,10,4.0,23,MEM,,BOS,L (-6),0,12,3,3,1.0,1,1,1.0,0,0,,0,2,2,2,0,0,0,3,7,6.9,3,0
2,2,2010-11-13,#Blessed,3,9,10,4.0,23,MEM,,BOS,L (-6),0,12,3,3,1.0,1,1,1.0,0,0,,0,2,2,2,0,0,0,3,7,6.9,3,0
3,3,2010-11-15,Donde puedo Cenar en Orlando? Un domingo ?,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
4,4,2010-11-15,(Venezuela sigan al preparador fisico del equipo.. El quiere aprender espanol)RT @CoachKelly1: Someone tweeted (cont) http://tl.gd/6vkvsv,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,1
5,5,2010-11-15,RT @gabyee: #yoconfieso q amo y admiro @greivisvasquez woww solo escucharlo ya a cualquiera le da animos de luchar por nuestros sueños...!!!,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
6,6,2010-11-15,RT @renerincon: Extraordinaria nota (incluye entrevista) sobre actuacion de @greivisvasquez anoche en el (cont) http://tl.gd/6vggic,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
7,7,2010-11-15,Good morning! God is great... #blessed,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,1
8,8,2010-11-15,(Donde estan? Vamos a ir a comer esta noche)RT @PedrulaMeza: @greivisvasquez @CoachKelly1. Hay un grupo de 15 (cont) http://tl.gd/6vlb75,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
9,9,2010-11-15,RT @followfriday200: @greivisvasquez was #336 Most Recommended Celebrity this week on Twitter http://www.followfriday.com/f/greivisvasquez,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
10,10,2010-11-15,"RT @MarialexSD: Q'FINO apoyando a ntro GREIVISRT""@xavigoncalves: Mañana me voy a Orlando a ver el Partido (cont) http://tl.gd/6vkkia",4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
11,11,2010-11-15,"Buenos Dias! Gracias a Dios por todo lo que me has dado.. Hoy otro dia mas de trabajo, asi que hay que aprovecharlo al maximo.",4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,1
12,12,2010-11-15,Shout to my church Life in Memphis!,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
13,13,2010-11-15,"(Ahora pensando en frio, la partida de anoche fue tremenda partida.. Parecia un sueno..)RT @Yolemata: (cont) http://tl.gd/6vf0on",4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
14,14,2010-11-15,Off to Orlando.. Game against the Magic tomorrow!,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
15,15,2010-11-15,"Tough loss.. Tomorrow is another day to get better. By the way, our fans did a great job tonight at the game.. (cont) http://tl.gd/6v820l",4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
16,16,2010-11-15,(Appreciate it)RT @memphisshowboat: @greivisvasquez Man you got heart homie.....dats what we need on da Grizz.....do ya thang!!!!!,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
17,17,2010-11-15,RT @chrabe: The @memgrizz fell to Boston in OT...Exclusive postgame audio at sports56whbq.com/grizzlies...great (cont) http://tl.gd/6vj7p2,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
18,18,2010-11-15,"(Muchas Gracias por el apoyo!)RT @Yurbys: @greivisvasquez Hola cariño un saludo desde Panamá, otra venezolana (cont) http://tl.gd/6vjdk5",4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
19,19,2010-11-15,"Gracias Venezuela por el apoyo! Poco a poco me estoy adaptando, pero ustedes saben que yo soy un ganador y odio (cont) http://tl.gd/6v7vec",4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
20,20,2010-11-15,RT @agustin_guevara: @greivisvasquez que dice la maquina greivis .. Dame un follow o un retweet saludos tu gente desde la isla de margarita,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
21,21,2010-11-15,"RT @hurtadoluis: RT @OscarFelixR: Photo | Memphis Grizzlies guard Greivis Vasquez (21) of Venezuela, (cont) http://tl.gd/6v8c3a",4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
22,22,2010-11-15,"Donde estan los venezolanos en Orlando, Florida?",4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,-1
23,23,2010-11-15,(Gracias mi pana)RT @jfelix17: @greivisvasquez felicidades mi pana q juegazo tuviste ayer!,4,10,11,5.0,23,MEM,@,ORL,L (-17),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,0,4,1,2,-4.1,-14,0
24,24,2010-11-16,RT @MDCoachWilliams: The team appreciates all the support the first 3 games. Especially the student support. The (cont) http://tl.gd/700c74,5,11,12,6.0,23,MEM,,POR,L (-1),0,17,1,8,0.125,0,4,0.0,3,5,0.6,0,1,1,2,1,0,2,0,5,-0.3,-1,0
25,25,2010-11-16,Bueno dias! El mejor dia de la semana: Lunessssssssss,5,11,12,6.0,23,MEM,,POR,L (-1),0,17,1,8,0.125,0,4,0.0,3,5,0.6,0,1,1,2,1,0,2,0,5,-0.3,-1,1
26,26,2010-11-16,RT @liderendeportes: #NBA | Ve la jornada de hoy en el mejor baloncesto del mundo. @greivisvasquez va ante el (cont) http://tl.gd/700h2p,5,11,12,6.0,23,MEM,,POR,L (-1),0,17,1,8,0.125,0,4,0.0,3,5,0.6,0,1,1,2,1,0,2,0,5,-0.3,-1,0
27,27,2010-11-16,(Thanks bro! How are you doing?)RT @Taishito: @greivisvasquez I saw ur last game man!! Great job n keep it up. Good luck wit ur next game,5,11,12,6.0,23,MEM,,POR,L (-1),0,17,1,8,0.125,0,4,0.0,3,5,0.6,0,1,1,2,1,0,2,0,5,-0.3,-1,1
28,28,2010-11-16,Listening to my man @Wale----- More about nothing..,5,11,12,6.0,23,MEM,,POR,L (-1),0,17,1,8,0.125,0,4,0.0,3,5,0.6,0,1,1,2,1,0,2,0,5,-0.3,-1,-1
29,29,2010-11-16,I had a great workout in the weigh room with @CoachKelly1.. Shootaround!!!,5,11,12,6.0,23,MEM,,POR,L (-1),0,17,1,8,0.125,0,4,0.0,3,5,0.6,0,1,1,2,1,0,2,0,5,-0.3,-1,1
30,30,2010-11-19,( Loving the city! How are you? )RT @washpostlive: @greivisvasquez what's up man? Lookin forward to seein' you tom night!,6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,0
31,31,2010-11-19,RT @Flip_P11: I voted to send @greivisvasquez from memphis grizzlies to the 2011 NBA All-Star Game.,6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,0
32,32,2010-11-19,( BBq is off the chain man! You coming to the game tomorrow?)RT @washpostlive: @greivisvasquez I'm all good man. (cont) http://tl.gd/71s45g,6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,0
33,33,2010-11-19,I hate traffic,6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,-1
34,34,2010-11-19,(Te mando un abrazo)RT @milelyta: @greivisvasquez ME REGALAS UN ABRAZO? :' (  estoy triste,6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,0
35,35,2010-11-19,Felix Hernandez,6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,-1
36,36,2010-11-19,"Estoy tan Feliz que en vez de escribir Felix, escribi Feliz.. Felix es el mejor lo dije hace meses. Super contento y en camino a DC..",6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,-1
37,37,2010-11-19,"By the way, I know my terps are going to kill pitt.. Let's get this W. @MDCoachWilliams is going to get the guys (cont) http://tl.gd/71rq2r",6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,0
38,38,2010-11-19,I just finish working out!!  Que hacen?,6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,0
39,39,2010-11-19,"RT @TerrapinNation: Good idea: #TerpNation, vote to send @greivisvasquez to this years NBA All Star game!",6,12,13,7.0,23,MEM,@,WAS,L (-3),0,12,2,6,0.333,0,3,0.0,1,2,0.5,0,1,1,1,1,0,0,3,5,2.0,2,0
