,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-10-28,Tough loss... Off 2 Utah gotta bounce back... Wheels up,80,86,2,2.0,28,PHO,@,UTA,W (+16),0,26,6,11,0.545,0,0,,6,7,0.857,4,7,11,1,1,0,1,1,18,17.5,12,0
1,1,2010-10-28,Really Utah r u seriously gonna have snow n October ...,80,86,2,2.0,28,PHO,@,UTA,W (+16),0,26,6,11,0.545,0,0,,6,7,0.857,4,7,11,1,1,0,1,1,18,17.5,12,-1
2,2,2010-10-28,Cold Weather and I just dont get along anymore... i mean we always had our problems... but i cant deal anymore,80,86,2,2.0,28,PHO,@,UTA,W (+16),0,26,6,11,0.545,0,0,,6,7,0.857,4,7,11,1,1,0,1,1,18,17.5,12,-1
3,3,2010-10-29,Lol #nice RT @allthings_tash: @ThaRealSlym @hdubb21 you gotta have a goatee and a headband!,81,87,3,3.0,28,PHO,,LAL,L (-8),0,17,0,2,0.0,0,0,,2,2,1.0,1,3,4,2,0,1,1,0,2,3.3,2,1
4,4,2010-11-03,#word RT @rsource: Hey @hdubb21 Missing u in #CuseNation Hak!  Hope they bring your team in next year for a game!,82,88,4,4.0,28,PHO,,SAS,L (-2),0,31,7,9,0.778,0,0,,5,6,0.833,1,4,5,0,0,0,2,4,19,13.4,3,0
5,5,2010-11-03,Nothing like a home cook meal 2 start ur day...,82,88,4,4.0,28,PHO,,SAS,L (-2),0,31,7,9,0.778,0,0,,5,6,0.833,1,4,5,0,0,0,2,4,19,13.4,3,1
6,6,2010-11-05,Where u at?(boost mobile voice) RT @rudygay22: Treatment then gonna see what PHX is about. @hdubb21 what's good,83,89,5,5.0,28,PHO,,MEM,W (+5),0,38,6,9,0.667,0,0,,3,4,0.75,2,5,7,1,0,0,1,3,15,12.1,4,0
7,7,2010-11-05,Ouch so soar... Gm everyone hope u have a productive day bc iknw I am... Off 2 practice holla at y'all later,83,89,5,5.0,28,PHO,,MEM,W (+5),0,38,6,9,0.667,0,0,,3,4,0.75,2,5,7,1,0,0,1,3,15,12.1,4,1
8,8,2010-11-05,Another tough one... We are getting there tho #patience,83,89,5,5.0,28,PHO,,MEM,W (+5),0,38,6,9,0.667,0,0,,3,4,0.75,2,5,7,1,0,0,1,3,15,12.1,4,-1
9,9,2010-11-07,Nah U can watch it on YouTube tho RT @brag: @hdubb21 Do you have a link to that Cleveland video?,84,90,6,6.0,28,PHO,@,ATL,W (+4),0,21,3,5,0.6,0,0,,0,2,0.0,0,2,2,1,0,0,1,3,6,2.0,-5,0
10,10,2010-11-07,anybody c cleveland response 2 the lebron commercial?!?! #wow,84,90,6,6.0,28,PHO,@,ATL,W (+4),0,21,3,5,0.6,0,0,,0,2,0.0,0,2,2,1,0,0,1,3,6,2.0,-5,0
11,11,2010-11-07,Wheels down ATL shawty.....,84,90,6,6.0,28,PHO,@,ATL,W (+4),0,21,3,5,0.6,0,0,,0,2,0.0,0,2,2,1,0,0,1,3,6,2.0,-5,-1
12,12,2010-11-07,Big win 2night... S/o 2 all the fans tht stayed all the way thru u pulled us thru that 1,84,90,6,6.0,28,PHO,@,ATL,W (+4),0,21,3,5,0.6,0,0,,0,2,0.0,0,2,2,1,0,0,1,3,6,2.0,-5,-1
13,13,2010-11-07,Think i slept like 15hrs of this 24hr day....smh,84,90,6,6.0,28,PHO,@,ATL,W (+4),0,21,3,5,0.6,0,0,,0,2,0.0,0,2,2,1,0,0,1,3,6,2.0,-5,-1
14,14,2010-11-12,"Good morning everyone...""Dream as if you'll live forever, live as if you'll die tomorrow.""",86,92,8,8.0,28,PHO,,SAC,W (+14),0,23,6,8,0.75,0,0,,6,7,0.857,2,2,4,0,2,0,1,1,18,17.0,9,1
15,15,2010-11-14,Lol I b on my Philly $hitRT @Joleyred: I see @hdubb21 this his thang last night! Keep putting up buckets like that son! Philly stand up haha,87,93,9,9.0,28,PHO,@,LAL,W (+5),0,21,2,6,0.333,0,0,,2,5,0.4,1,3,4,1,1,0,1,2,6,2.9,-1,0
16,16,2010-11-14,Yezzir def a much need win b4 we head off 2 lala land,87,93,9,9.0,28,PHO,@,LAL,W (+5),0,21,2,6,0.333,0,0,,2,5,0.4,1,3,4,1,1,0,1,2,6,2.9,-1,0
17,17,2010-11-14,Lol not 2night think I might go celebrate a Lil RT @GirlShortie: @hdubb21 yes it was! Now r u ready for some #blackops ???,87,93,9,9.0,28,PHO,@,LAL,W (+5),0,21,2,6,0.333,0,0,,2,5,0.4,1,3,4,1,1,0,1,2,6,2.9,-1,0
18,18,2010-11-14,ThTs wats up.. Hope he enjoyed it RT @azsportsartist: @hdubb21 good game tonight was fun taking my boy to first game for his birthday,87,93,9,9.0,28,PHO,@,LAL,W (+5),0,21,2,6,0.333,0,0,,2,5,0.4,1,3,4,1,1,0,1,2,6,2.9,-1,1
19,19,2010-11-14,O and s/o my orange getting they 1st  of many wins this season... #cuselove,87,93,9,9.0,28,PHO,@,LAL,W (+5),0,21,2,6,0.333,0,0,,2,5,0.4,1,3,4,1,1,0,1,2,6,2.9,-1,-1
20,20,2010-11-15,vikes game on tv.... #yess,88,94,10,10.0,28,PHO,,DEN,W (+6),0,26,7,9,0.778,0,0,,7,8,0.875,1,2,3,1,0,0,3,3,21,14.9,3,0
21,21,2010-11-17,Damn I miss my dog... Head up @mjanning23 ur def belong n the league...,89,95,11,11.0,28,PHO,@,MIA,L (-27),0,20,1,3,0.333,0,0,,3,4,0.75,0,2,2,1,0,0,4,1,5,-0.2,-21,-1
