,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2019-02-13,🙏🏾,498,512,57,1.0,30,DEN,,SAC,W (+2),0,13,3,6,0.5,2,5,0.4,0,0,,0,0,0,2,0,0,2,3,8,3.2,2,0
1,1,2019-02-22,"No excuses, No explanations! We just get straight to it",499,513,58,2.0,30,DEN,@,DAL,W (+10),0,16,5,11,0.455,4,7,0.571,2,4,0.5,2,1,3,2,0,0,1,3,16,10.4,-4,0
2,2,2019-02-22,Young KILLA #TBT @ Tacoma Dome https://t.co/spZZZbknSf,499,513,58,2.0,30,DEN,@,DAL,W (+10),0,16,5,11,0.455,4,7,0.571,2,4,0.5,2,1,3,2,0,0,1,3,16,10.4,-4,0
3,3,2019-02-22,If they not tryna pay these college athletes then the nba should let them come straight outta HS. If college was paying these athletes then it would be a different story but since they not let these kids go get this money if they have the chance too.,499,513,58,2.0,30,DEN,@,DAL,W (+10),0,16,5,11,0.455,4,7,0.571,2,4,0.5,2,1,3,2,0,0,1,3,16,10.4,-4,-1
4,4,2019-02-22,Nipsey Hussle and Lauren London: California Love | GQ https://t.co/4GBXPDty7I,499,513,58,2.0,30,DEN,@,DAL,W (+10),0,16,5,11,0.455,4,7,0.571,2,4,0.5,2,1,3,2,0,0,1,3,16,10.4,-4,0
5,5,2019-02-22,I think the Kobe 4 is the best basketball show EVER @nikebasketball,499,513,58,2.0,30,DEN,@,DAL,W (+10),0,16,5,11,0.455,4,7,0.571,2,4,0.5,2,1,3,2,0,0,1,3,16,10.4,-4,1
6,6,2019-02-24,God is good!!,500,514,59,3.0,30,DEN,,LAC,W (+27),0,24,3,11,0.273,0,5,0.0,4,4,1.0,0,1,1,4,0,1,4,2,10,2.5,11,1
7,7,2019-02-24,"A giant thank you to @isaiahthomas for tossing his towel to my son Will on his birthday! A small gesture, but my son said it was the greatest thing in his life! https://t.co/RIHeWTE8Mm",500,514,59,3.0,30,DEN,,LAC,W (+27),0,24,3,11,0.273,0,5,0.0,4,4,1.0,0,1,1,4,0,1,4,2,10,2.5,11,-1
8,8,2019-02-24,"Good team win tonight, on 2 the next one! #ThatSLOWgrind",500,514,59,3.0,30,DEN,,LAC,W (+27),0,24,3,11,0.273,0,5,0.0,4,4,1.0,0,1,1,4,0,1,4,2,10,2.5,11,1
9,9,2019-02-26,Like NOTHING around me is negative anymore. Nothing puts me in a bad mood. NOTHING can anymore!! When you have something taking away from you for so long u go about it different. I love HOOP &amp; I’ll do whatever I can to play. I’m so happy to be back doing this shit. God is GREAT!,501,515,60,4.0,30,DEN,,OKC,W (+9),0,15,3,5,0.6,2,3,0.667,3,6,0.5,0,1,1,1,0,0,3,1,11,5.1,-8,-1
