,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2017-10-17,MY JOURNEY WAS NEVER EASY 💯 Thanking God for putting me in my position ‼️ https://t.co/rrPWXwA6T8 https://t.co/U9TEWboPMw,0,0,1,1.0,19,BOS,@,CLE,L (-3),1,37,5,12,0.417,1,2,0.5,3,3,1.0,4,6,10,3,0,0,1,4,14,11.7,8,0
1,1,2017-10-26,😂😂😂😂 if this ain't true https://t.co/RO22e840h7,4,4,5,5.0,19,BOS,@,MIL,W (+7),1,28,3,6,0.5,1,3,0.333,5,5,1.0,0,2,2,3,1,0,2,1,12,10.3,8,0
2,2,2017-11-03,Excited to have arrived in Boston with @cmcavoy44. Bruins got themselves a star! #ad #DeltaArrival @Delta https://t.co/lsPLV2WXPZ,8,8,9,9.0,19,BOS,@,OKC,W (+7),1,30,4,10,0.4,2,3,0.667,3,4,0.75,2,4,6,3,0,0,4,1,13,7.5,4,1
3,3,2017-11-03,Dreamed of this 💯 https://t.co/p2zjwPIEzK,8,8,9,9.0,19,BOS,@,OKC,W (+7),1,30,4,10,0.4,2,3,0.667,3,4,0.75,2,4,6,3,0,0,4,1,13,7.5,4,0
4,4,2017-12-18,Blessed to see 36 years!!!! #BirthdayWoman,32,32,33,33.0,19,BOS,@,IND,W (+1),1,31,6,8,0.75,1,1,1.0,3,3,1.0,0,5,5,4,1,1,2,3,16,15.6,6,0
5,5,2017-12-21,Lol no chance! https://t.co/kduZuHgDa4,34,34,35,35.0,19,BOS,@,NYK,L (-9),1,34,6,10,0.6,2,6,0.333,3,4,0.75,1,2,3,0,2,0,3,1,17,11.9,-6,0
6,6,2017-12-20,WHAT. A. COMEBACK! Mike Lewis II in the clutch #Icewater https://t.co/Q3oFwzQwac,33,33,34,34.0,19,BOS,,MIA,L (-1),1,28,4,9,0.444,0,2,0.0,3,4,0.75,0,7,7,2,0,1,1,2,11,8.3,3,0
7,7,2017-12-20,WOW!!😳 What a Night!! So Blessed to be playing with this Team!! Wouldn't Trade them for anything💯 #22 https://t.co/nGyp8PTuP9,33,33,34,34.0,19,BOS,,MIA,L (-1),1,28,4,9,0.444,0,2,0.0,3,4,0.75,0,7,7,2,0,1,1,2,11,8.3,3,1
8,8,2017-12-25,"Let’s go!!! Celebrate Christmas with @NBA on @ESPN and then see The #GreatestShowman🎩, now playing in theaters. https://t.co/BfjNpEm3VP https://t.co/VbwFN42z67",36,36,37,37.0,19,BOS,,WAS,L (-8),1,36,7,9,0.778,2,2,1.0,4,6,0.667,0,3,3,0,0,0,4,3,20,11.4,-8,0
9,9,2017-12-27,"This is crazy!!! For the first time of many to come, I played against my brother @jaytatum0 !! I… https://t.co/bacwtb3HXM",37,37,38,38.0,19,BOS,@,CHO,W (+11),1,35,6,12,0.5,0,3,0.0,6,6,1.0,0,5,5,0,2,2,2,3,18,13.7,10,0
10,10,2018-01-03,#RollTide,40,40,41,41.0,19,BOS,,CLE,W (+14),1,30,6,14,0.429,1,3,0.333,2,2,1.0,0,5,5,2,0,0,0,1,15,10.1,21,0
11,11,2018-01-16,"I took a huge step of faith and literally preached at church!! I give God all the glory for leading me sooo  far outside my comfort zone and for giving me a word that ministered to the congregation!! Be blessed everyone 🙌🏾🙏🏽 @jumpministries

https://t.co/hLwiIvglm9",44,44,45,45.0,19,BOS,,NOP,L (-3),1,27,3,6,0.5,2,4,0.5,2,2,1.0,0,5,5,2,0,1,3,1,10,7.2,-2,0
12,12,2018-01-31,Nephew 💯 https://t.co/1oIwMinZb1,51,51,52,52.0,19,BOS,,NYK,W (+30),1,31,7,15,0.467,1,4,0.25,0,0,,0,3,3,1,0,0,0,0,15,8.9,29,0
13,13,2018-02-26,"Noticed a lady living in her car the past week and did what I could, don’t just walk past people if you can help do so 🙏🏾 #GodsPlan https://t.co/xXmzSM0eso",61,61,62,62.0,19,BOS,,MEM,W (+11),1,26,2,8,0.25,1,2,0.5,0,0,,0,3,3,1,0,1,0,2,5,1.7,-3,-1
14,14,2018-03-11,Good win today @CCPBasketball ! Yo @bgilmore314 I don’t want no excuses I need mines ASAP lol y’all might beat us one day😂😂!,66,66,67,67.0,20,BOS,,IND,L (-2),1,34,5,11,0.455,2,4,0.5,7,8,0.875,0,5,5,3,1,2,2,3,19,15.7,-4,0
15,15,2018-03-18,Good luck to my boys @CCPBasketball ! Get it done today!!,69,69,70,70.0,20,BOS,@,NOP,L (-19),1,27,9,14,0.643,2,3,0.667,3,5,0.6,0,5,5,1,2,0,2,3,23,17.0,-10,1
16,16,2018-03-31,Can’t wait to meet the Celtics fans today! I’ll be with @JBLaudio at the T-Mobile store on Washington St. from 4-5 PM #AD #JBLxNBA https://t.co/iRwAvSmQdU,75,75,76,76.0,20,BOS,,TOR,W (+11),1,33,9,16,0.563,2,2,1.0,4,4,1.0,0,6,6,4,0,0,0,2,24,20.2,7,1
17,17,2018-04-15,Real OG @BaronDavis https://t.co/HoYZAAZfkM,80,81,1,1.0,20,BOS,,MIL,W (+6),1,44,8,18,0.444,1,3,0.333,2,2,1.0,2,8,10,4,3,1,5,0,19,14.9,9,0
18,18,2018-05-19,"NBA exec: ""Just a matter of time” before Kansas City gets an NBA team (via @JarrettTSutton) https://t.co/UWVvGm4FDe https://t.co/UGEIn9BdJc",94,95,15,15.0,20,BOS,@,CLE,L (-30),1,31,6,10,0.6,0,1,0.0,6,8,0.75,0,1,1,1,0,1,1,2,18,12.5,-11,-1
19,19,2018-10-16,".@jaytatum0 will wear the NikeiD PG2 ""Coloring Book"" during NBA Opening Week and is inspired by his 10-month-old son nicknamed Deuce https://t.co/zewWFryh9H",99,100,1,1.0,20,BOS,,PHI,W (+18),1,29,9,17,0.529,1,5,0.2,4,5,0.8,2,7,9,3,1,0,1,2,23,19.1,6,-1
