,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2010-02-17,tired but ready to go in okc game tomorow buenas noches?,52,53,54,53.0,25,DAL,,PHO,W (+10),0,6,1,1,1.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,3,2.6,-4,0
1,1,2010-02-17,playing okc tomorrow redy to get back in the winning track buenas noches.....,52,53,54,53.0,25,DAL,,PHO,W (+10),0,6,1,1,1.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,3,2.6,-4,0
2,2,2010-02-17,juego esta noche vs okc lets get back on track....,52,53,54,53.0,25,DAL,,PHO,W (+10),0,6,1,1,1.0,0,0,,1,2,0.5,0,1,1,0,0,0,0,0,3,2.6,-4,0
3,3,2010-02-19,En orlando tired chillin in the hotel play tomorrow night ....,53,54,55,54.0,25,DAL,@,ORL,W (+10),0,8,2,3,0.667,0,1,0.0,2,3,0.667,0,0,0,0,0,0,2,1,6,1.9,2,-1
4,4,2010-03-05,we still winning estoy en dallas descansando manana juego contra sacramento...,61,62,63,62.0,25,DAL,,SAC,W (+8),0,30,3,9,0.333,0,2,0.0,2,2,1.0,2,0,2,7,1,0,0,0,8,10.2,2,1
5,5,2010-04-12,In LA having a great time ....,76,80,81,77.0,25,DAL,@,LAC,W (+23),0,19,0,2,0.0,0,0,,2,2,1.0,0,0,0,7,1,0,0,0,2,6.5,-3,1
6,6,2010-04-12,LA not bad good night....,76,80,81,77.0,25,DAL,@,LAC,W (+23),0,19,0,2,0.0,0,0,,2,2,1.0,0,0,0,7,1,0,0,0,2,6.5,-3,-1
7,7,2010-04-23,In San antonio got to win tomorrow ....,80,84,3,3.0,25,DAL,@,SAS,L (-4),0,32,6,13,0.462,2,4,0.5,0,0,,1,3,4,4,0,0,2,3,14,8.5,2,0
8,8,2010-10-27,Back at home chillinnnn ...,84,88,1,1.0,26,DAL,,CHA,W (+15),0,20,4,9,0.444,0,1,0.0,0,1,0.0,0,4,4,1,2,0,3,2,8,3.0,-19,0
9,9,2010-10-27,Good night... Coqui,84,88,1,1.0,26,DAL,,CHA,W (+15),0,20,4,9,0.444,0,1,0.0,0,1,0.0,0,4,4,1,2,0,3,2,8,3.0,-19,1
10,10,2010-10-27,Good morning getting a egg sandwich before practice trying to decide what to drink coffee or oj,84,88,1,1.0,26,DAL,,CHA,W (+15),0,20,4,9,0.444,0,1,0.0,0,1,0.0,0,4,4,1,2,0,3,2,8,3.0,-19,1
11,11,2010-10-27,Haircut time I need it one bad,84,88,1,1.0,26,DAL,,CHA,W (+15),0,20,4,9,0.444,0,1,0.0,0,1,0.0,0,4,4,1,2,0,3,2,8,3.0,-19,-1
12,12,2010-10-27,Practice time great day to be a mavs...,84,88,1,1.0,26,DAL,,CHA,W (+15),0,20,4,9,0.444,0,1,0.0,0,1,0.0,0,4,4,1,2,0,3,2,8,3.0,-19,1
13,13,2010-10-27,Back home watching some 24/7 pacquiao vs margarito,84,88,1,1.0,26,DAL,,CHA,W (+15),0,20,4,9,0.444,0,1,0.0,0,1,0.0,0,4,4,1,2,0,3,2,8,3.0,-19,0
14,14,2010-10-27,I love my bed ...,84,88,1,1.0,26,DAL,,CHA,W (+15),0,20,4,9,0.444,0,1,0.0,0,1,0.0,0,4,4,1,2,0,3,2,8,3.0,-19,1
15,15,2010-10-29,Rangers get a 1,85,89,2,2.0,26,DAL,,MEM,L (-1),0,16,2,5,0.4,1,4,0.25,2,2,1.0,0,2,2,4,1,0,2,1,7,6.3,2,0
16,16,2010-10-29,Rangers get a W for sure tonight let's go,85,89,2,2.0,26,DAL,,MEM,L (-1),0,16,2,5,0.4,1,4,0.25,2,2,1.0,0,2,2,4,1,0,2,1,7,6.3,2,0
17,17,2010-10-31,Just landed in LA ...,86,90,3,3.0,26,DAL,@,LAC,W (+16),0,19,2,6,0.333,1,2,0.5,0,0,,0,2,2,3,0,0,2,2,5,1.5,-10,0
18,18,2010-11-03,On my way to practice here in Denver ...,87,91,4,4.0,26,DAL,@,DEN,W (+1),0,16,3,5,0.6,0,2,0.0,3,3,1.0,0,0,0,0,0,0,3,2,9,2.9,-4,0
19,19,2010-11-03,Buenos dias a todos... Coqui,87,91,4,4.0,26,DAL,@,DEN,W (+1),0,16,3,5,0.6,0,2,0.0,3,3,1.0,0,0,0,0,0,0,3,2,9,2.9,-4,0
20,20,2010-11-10,Some weights then practice then get on the plane to memphis ... Coqui,90,94,7,7.0,26,DAL,@,MEM,W (+15),0,23,5,10,0.5,0,2,0.0,0,0,,0,5,5,7,0,0,1,3,10,9.2,1,0
21,21,2010-11-10,Buenos dias is always important to stay positive don't matter what happens ...coqui,90,94,7,7.0,26,DAL,@,MEM,W (+15),0,23,5,10,0.5,0,2,0.0,0,0,,0,5,5,7,0,0,1,3,10,9.2,1,0
22,22,2010-11-10,Un buen coffee nada como el cafe de PR pero hace el trabrajo ... Coqui,90,94,7,7.0,26,DAL,@,MEM,W (+15),0,23,5,10,0.5,0,2,0.0,0,0,,0,5,5,7,0,0,1,3,10,9.2,1,0
23,23,2010-11-10,Great win for us / buen juego esta noche ... Coqui,90,94,7,7.0,26,DAL,@,MEM,W (+15),0,23,5,10,0.5,0,2,0.0,0,0,,0,5,5,7,0,0,1,3,10,9.2,1,1
24,24,2010-11-12,Great win it was payback now on the plane back to Dtown ... Coqui,91,95,8,8.0,26,DAL,,PHI,W (+9),0,22,7,14,0.5,1,4,0.25,4,4,1.0,0,0,0,2,0,0,0,1,19,13.0,10,1
25,25,2010-11-15,Buenas noches ...coqui,92,96,9,9.0,26,DAL,,NOH,W (+3),0,22,3,7,0.429,0,3,0.0,1,2,0.5,0,1,1,4,0,0,0,3,7,4.8,6,0
26,26,2010-11-15,At the fight http://yfrog.com/8d6dfuj,92,96,9,9.0,26,DAL,,NOH,W (+3),0,22,3,7,0.429,0,3,0.0,1,2,0.5,0,1,1,4,0,0,0,3,7,4.8,6,0
27,27,2010-11-15,Great fight pac man to good ...,92,96,9,9.0,26,DAL,,NOH,W (+3),0,22,3,7,0.429,0,3,0.0,1,2,0.5,0,1,1,4,0,0,0,3,7,4.8,6,1
28,28,2010-11-19,Coqui...,94,98,11,11.0,26,DAL,,CHI,L (-5),0,19,0,7,0.0,0,1,0.0,0,0,,0,0,0,5,0,0,1,0,0,-2.4,-11,0
29,29,2010-11-19,Got a new iPad today getting it set up now,94,98,11,11.0,26,DAL,,CHI,L (-5),0,19,0,7,0.0,0,1,0.0,0,0,,0,0,0,5,0,0,1,0,0,-2.4,-11,0
30,30,2010-11-19,Game at home tomorrow in front of the best fans in the NBA love it ... Coqui,94,98,11,11.0,26,DAL,,CHI,L (-5),0,19,0,7,0.0,0,1,0.0,0,0,,0,0,0,5,0,0,1,0,0,-2.4,-11,1
31,31,2010-11-19,Buenas noches ...coqui,94,98,11,11.0,26,DAL,,CHI,L (-5),0,19,0,7,0.0,0,1,0.0,0,0,,0,0,0,5,0,0,1,0,0,-2.4,-11,0
