,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2008-11-26,On the lake wit my homeboy n rookiemate donte greene on his reality show as a special guest. Helping him out n supportin,16,16,17,17.0,22,SAC,,NJN,L (-2),1,13,1,1,1.0,0,0,,1,2,0.5,0,3,3,1,0,0,1,4,3,1.3,11,-1
1,1,2008-11-26,Goin to grab a burrito for sumthin to eat on my off day,16,16,17,17.0,22,SAC,,NJN,L (-2),1,13,1,1,1.0,0,0,,1,2,0.5,0,3,3,1,0,0,1,4,3,1.3,11,0
2,2,2008-11-28,Wishin everyone a Happy Turkey Day!  I didn't get to go to Jersey with the family but I spent the day with my coaches teammates n there  ...,17,17,18,18.0,22,SAC,@,UTA,L (-26),0,23,8,11,0.727,0,1,0.0,0,0,,2,3,5,0,0,0,3,5,16,8.8,-2,1
3,3,2009-02-20,Played tough game vs Hawks. Came up short. Former Kings player Bibby came bac. And we traded 2 vets in B Mil & J Sal 2day. Change is coming!,55,55,56,56.0,22,SAC,@,MEM,W (+9),1,39,6,10,0.6,0,0,,5,10,0.5,3,6,9,3,0,2,2,5,17,13.8,9,0
4,4,2009-02-20,Ate some panda express. goin to practice facility for treatment. more trades happened. crazy business. travelin to Memphis.,55,55,56,56.0,22,SAC,@,MEM,W (+9),1,39,6,10,0.6,0,0,,5,10,0.5,3,6,9,3,0,2,2,5,17,13.8,9,0
5,5,2009-02-20,Jus landed in Mem. bout to experience bbq of Memphis w/ their famous ribs n then rest up. big day tomorrow with all trades only have 7 men.,55,55,56,56.0,22,SAC,@,MEM,W (+9),1,39,6,10,0.6,0,0,,5,10,0.5,3,6,9,3,0,2,2,5,17,13.8,9,0
6,6,2009-02-21,"shout out to @Nxb19, @jstocking21, @jerschim, @dannyrabang, @jeffdomingues thanks for supportin.",56,56,57,57.0,22,SAC,@,DAL,L (-21),1,19,3,9,0.333,0,0,,0,0,,1,4,5,0,0,0,1,4,6,0.2,-9,0
7,7,2009-02-21,"Woke up. Ate some breakfast consisting of a waffle, eggs n bacon and my fav apple juice. then off to walk thru preparing for the Grizz.",56,56,57,57.0,22,SAC,@,DAL,L (-21),1,19,3,9,0.333,0,0,,0,0,,1,4,5,0,0,0,1,4,6,0.2,-9,0
8,8,2009-02-21,Jus got done eatin @ blue city cafe in Mem. Got full rack. they were bangin. Now headed to hotel. Gonna check web. watch some TV n rest.,56,56,57,57.0,22,SAC,@,DAL,L (-21),1,19,3,9,0.333,0,0,,0,0,,1,4,5,0,0,0,1,4,6,0.2,-9,0
9,9,2009-02-21,"Got done w/ walk thru. Going to eat lunch, prolli pasta for some good carbs. Then take pregame nap. N then get ready for game vs Grizz.",56,56,57,57.0,22,SAC,@,DAL,L (-21),1,19,3,9,0.333,0,0,,0,0,,1,4,5,0,0,0,1,4,6,0.2,-9,0
10,10,2009-02-23,Met some of the new guys. Still need to gel. Lost to the Mavs. Headed to Sac. havin a light practice tomm to meet the whole new team.,57,57,58,58.0,22,SAC,,NOH,L (-7),1,12,3,3,1.0,0,0,,3,4,0.75,1,3,4,0,1,0,0,4,9,8.7,-3,0
11,11,2009-02-25,Lost a close one to the Hornets. Had the game at the end. Came up short.,58,58,59,59.0,22,SAC,,CHA,L (-7),1,25,2,10,0.2,0,0,,3,5,0.6,5,0,5,0,0,1,1,5,7,1.2,-13,0
12,12,2009-02-25,Jus got done w/ practice. First full practice wit new players. Got an appearance lata.,58,58,59,59.0,22,SAC,,CHA,L (-7),1,25,2,10,0.2,0,0,,3,5,0.6,5,0,5,0,0,1,1,5,7,1.2,-13,1
13,13,2009-02-25,Haha @djsolitaire,58,58,59,59.0,22,SAC,,CHA,L (-7),1,25,2,10,0.2,0,0,,3,5,0.6,5,0,5,0,0,1,1,5,7,1.2,-13,0
14,14,2009-02-25,Bout to go get sum grub n then chill n rest n get some treatment for my body.,58,58,59,59.0,22,SAC,,CHA,L (-7),1,25,2,10,0.2,0,0,,3,5,0.6,5,0,5,0,0,1,1,5,7,1.2,-13,1
15,15,2009-02-27,"Had slow start, came bac but fell short to Cats. New teammate Gooden played his first game wit us. As team got to move on n get bac to work.",59,59,60,60.0,22,SAC,,LAC,W (+12),1,31,3,6,0.5,0,0,,4,6,0.667,2,5,7,2,1,0,2,3,10,8.3,17,0
16,16,2009-02-27,Micheal Jordan. His Airness was in the building. Def a good feelin seein one of the greats watchin u play.,59,59,60,60.0,22,SAC,,LAC,W (+12),1,31,3,6,0.5,0,0,,4,6,0.667,2,5,7,2,1,0,2,3,10,8.3,17,1
17,17,2009-02-27,Eatin Panda Express. Restin my body. Ran sum errands.,59,59,60,60.0,22,SAC,,LAC,W (+12),1,31,3,6,0.5,0,0,,4,6,0.667,2,5,7,2,1,0,2,3,10,8.3,17,0
18,18,2009-02-27,Had practice then 2 meetings wit the board n NBA bout rules n life situation of the league. Layin down for a lil then watch NBA on TNT.,59,59,60,60.0,22,SAC,,LAC,W (+12),1,31,3,6,0.5,0,0,,4,6,0.667,2,5,7,2,1,0,2,3,10,8.3,17,-1
19,19,2009-02-28,If you're @ Arco u can say ur a witness.,60,60,61,61.0,22,SAC,@,UTA,L (-13),1,42,3,9,0.333,0,0,,1,2,0.5,4,8,12,3,2,3,1,3,7,10.7,-10,0
20,20,2009-02-28,I'm with Nike. @sacking28 I wear size 19 n sometimes 20. Depends on shoe. I had some customs made. But def sum exclusive JT's in the future.,60,60,61,61.0,22,SAC,@,UTA,L (-13),1,42,3,9,0.333,0,0,,1,2,0.5,4,8,12,3,2,3,1,3,7,10.7,-10,-1
21,21,2009-02-28,Jus got done wit walkthru for Clippers. Now bout to eat Chipotle then take a pregame nap. Also Jabbawokeez preformin at halftime tonite.,60,60,61,61.0,22,SAC,@,UTA,L (-13),1,42,3,9,0.333,0,0,,1,2,0.5,4,8,12,3,2,3,1,3,7,10.7,-10,0
22,22,2009-02-28,Tweeps,60,60,61,61.0,22,SAC,@,UTA,L (-13),1,42,3,9,0.333,0,0,,1,2,0.5,4,8,12,3,2,3,1,3,7,10.7,-10,0
23,23,2009-02-28,"I like both tweet n blog. @jlynds U get to speak ur mind n tell it like it is. ppl n fans get to experience it also.
ill be bac lata tw ...",60,60,61,61.0,22,SAC,@,UTA,L (-13),1,42,3,9,0.333,0,0,,1,2,0.5,4,8,12,3,2,3,1,3,7,10.7,-10,-1
24,24,2009-03-10,Jus got done wit practice preparin for Thunder.  Fellow rookie donte green got popcorn in his car today.,63,63,64,64.0,22,SAC,,OKC,L (-1),1,28,3,8,0.375,0,0,,1,1,1.0,3,3,6,1,1,1,5,3,7,1.8,-7,-1
25,25,2009-03-10,Had a collision to the head with Nene's elbow. Was shaken up for most of the game. Nuttin better to cure my headache than to get a win.,63,63,64,64.0,22,SAC,,OKC,L (-1),1,28,3,8,0.375,0,0,,1,1,1.0,3,3,6,1,1,1,5,3,7,1.8,-7,0
26,26,2009-03-10,and that's what we got!,63,63,64,64.0,22,SAC,,OKC,L (-1),1,28,3,8,0.375,0,0,,1,1,1.0,3,3,6,1,1,1,5,3,7,1.8,-7,0
27,27,2009-03-10,Thanks for da support tonight tweeps!,63,63,64,64.0,22,SAC,,OKC,L (-1),1,28,3,8,0.375,0,0,,1,1,1.0,3,3,6,1,1,1,5,3,7,1.8,-7,1
28,28,2009-03-10,"Rookie popcorn lesson part two! 
I just ate lunch at cafe in Arco.",63,63,64,64.0,22,SAC,,OKC,L (-1),1,28,3,8,0.375,0,0,,1,1,1.0,3,3,6,1,1,1,5,3,7,1.8,-7,1
29,29,2009-03-13,Eatin some panda express.  Orange chicken. Mad good.,64,64,65,65.0,22,SAC,,CLE,L (-3),1,33,6,12,0.5,0,1,0.0,7,8,0.875,2,4,6,3,0,1,0,4,19,16.4,27,1
30,30,2009-03-17,Lost to the Wiz on a tough call last night. Bout to head on the plane from DC to ATL.,66,66,67,67.0,22,SAC,@,ATL,L (-22),1,28,4,9,0.444,0,0,,5,6,0.833,6,2,8,0,1,1,1,5,13,11.4,-5,-1
31,31,2009-03-17,March madness is here tweeps. My Final 4 picks- Uconn. Louisville. Pitt n Syracuse.,66,66,67,67.0,22,SAC,@,ATL,L (-22),1,28,4,9,0.444,0,0,,5,6,0.833,6,2,8,0,1,1,1,5,13,11.4,-5,0
32,32,2009-03-17,Chillin wit my aunt n uncle in ATL. Eatin a nice home cooked meal. Got the Hawks tomm nite.,66,66,67,67.0,22,SAC,@,ATL,L (-22),1,28,4,9,0.444,0,0,,5,6,0.833,6,2,8,0,1,1,1,5,13,11.4,-5,1
33,33,2009-03-18,Had walkthru. Stayin on Peachtree street at Ritz.  Nice city. Gettin ready for Hawks tonite.,67,67,68,68.0,22,SAC,@,CHA,L (-16),1,38,6,9,0.667,0,0,,0,0,,3,8,11,2,3,1,0,4,12,16.1,-17,1
34,34,2009-03-20,Got to sleep in. Hav an off day today. Leavin Charlotte headed to NYC. May visit the fam in Jerz.,68,68,69,69.0,22,SAC,@,NYK,W (+27),1,35,8,13,0.615,0,0,,2,2,1.0,3,9,12,2,0,1,5,2,18,13.2,14,0
35,35,2009-03-20,Chillin at ESPN Zone in NYC watchin the NCAA tourney. Then probably headed back to hotel to chill with friends. Stayin in Times Sqaure.,68,68,69,69.0,22,SAC,@,NYK,W (+27),1,35,8,13,0.615,0,0,,2,2,1.0,3,9,12,2,0,1,5,2,18,13.2,14,0
36,36,2009-03-22,Beat Knicks last nite. 1st time in Garden. Played well in sold out crowd in world's greatest arena with a lot of my friends n fam there.,69,69,70,70.0,22,SAC,,PHI,L (-12),1,28,4,7,0.571,0,0,,4,8,0.5,7,6,13,0,1,0,4,5,12,8.8,-19,0
37,37,2009-03-27,Grubbin with @dontegreene. Just got done with practice. Got a game tomm vs Grizz.,70,70,71,71.0,22,SAC,,MEM,L (-18),1,34,6,7,0.857,0,0,,5,7,0.714,1,7,8,1,0,1,2,6,17,13.5,-15,1
