,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2020-12-29,"I need views. 

I enjoy views. 

Like viewing several bank accounts make residual income while I sit in my backyard viewing the ocean.",16,16,4,4.0,27,GSW,@,DET,W (+10),1,24,2,2,1.0,1,1,1.0,0,2,0.0,0,3,3,4,1,0,3,4,5,3.7,15,1
1,1,2021-01-01,Arri got me a weighted blanket for Christmas. After the sleep I got last night......my life will never be the same.,17,17,5,5.0,27,GSW,,POR,L (-25),0,17,1,2,0.5,0,1,0.0,3,3,1.0,0,3,3,3,0,1,1,1,5,6.3,-10,-1
2,2,2021-02-04,Get it out the mud @juanonjuan10,21,34,22,9.0,27,GSW,@,DAL,W (+31),1,40,6,8,0.75,2,4,0.5,0,0,,0,8,8,5,0,2,2,3,14,14.9,26,0
3,3,2021-02-06,https://t.co/jT0WKm9Ri3,22,35,23,10.0,27,GSW,@,DAL,L (-2),1,34,1,1,1.0,0,0,,0,0,,0,10,10,2,2,0,1,2,2,6.3,-1,0
4,4,2021-02-08,🎶 Who let the Doge out 🎶,23,36,24,11.0,27,GSW,@,SAS,L (-5),1,29,4,6,0.667,0,1,0.0,0,0,,1,10,11,2,0,0,2,3,8,7.3,-9,0
5,5,2021-02-09,I really wish somebody remake James and The Giant Peach,24,37,25,12.0,27,GSW,@,SAS,W (+23),1,26,5,14,0.357,1,2,0.5,0,2,0.0,5,3,8,3,1,1,1,2,11,8.8,14,1
6,6,2021-02-11,"Did Steve Kerr consider benching Steph and Draymond all 4th quarter? ""Yeah. But I had heard so much from our fan base the last couple of days I just decided I really should put them back in to keep everybody happy (laughter)."" 😂",25,38,26,13.0,27,GSW,,ORL,W (+6),1,21,4,10,0.4,1,4,0.25,0,0,,2,3,5,2,1,1,2,4,9,5.4,11,-1
7,7,2021-02-11,"¡Buenos días! ¡Se logró! ¡Se rompió el récord! A menos de diez días no tenemos Selección para la próxima ventana @FIBA 👏🏾🇲🇽.

Para ustedes (estrictamente en cuanto a tema federativo), ¿qué sería mejor, no presentarse o salir con otro bomberazo? https://t.co/vJjoI2iCu7",25,38,26,13.0,27,GSW,,ORL,W (+6),1,21,4,10,0.4,1,4,0.25,0,0,,2,3,5,2,1,1,2,4,9,5.4,11,1
8,8,2021-02-13,"@juanonjuan10 I remembered you use to ran Guard with Nick and Kiwi with DBC, then when you was kicking ohigh out the playoffs with Rod and now you playing with steph yo life amazing bro",26,39,27,14.0,27,GSW,,BRK,L (-17),1,25,3,8,0.375,0,2,0.0,2,2,1.0,1,3,4,1,0,0,2,1,8,3.5,-14,0
9,9,2021-02-13,Steph’s teammate knew it was cash before he even passed it 😂 https://t.co/TLYTcz46Gc,26,39,27,14.0,27,GSW,,BRK,L (-17),1,25,3,8,0.375,0,2,0.0,2,2,1.0,1,3,4,1,0,0,2,1,8,3.5,-14,0
