,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2018-10-20,"#nevercheated and never will
👌🏽
🎥:@nwmckain https://t.co/CYaJKj56ER",2,2,3,3.0,21,PHI,,ORL,W (+1),0,21,0,4,0.0,0,3,0.0,0,0,,2,2,4,2,0,0,1,0,0,-0.4,12,0
1,1,2019-01-11,tbh I think I manage to hit every pothole on the road even when I try to skrt out the way,42,42,43,43.0,21,PHI,,ATL,L (-2),0,16,3,4,0.75,0,1,0.0,0,1,0.0,0,1,1,0,1,0,0,3,6,4.1,7,-1
2,2,2019-01-17,Pay close attention to the people who don't clap when you win.#Real,45,45,46,46.0,21,PHI,@,IND,W (+24),0,15,2,5,0.4,2,3,0.667,0,0,,0,2,2,1,0,0,1,0,6,3.6,6,-1
3,3,2019-01-17,"On the court, Markis McDuffie is averaging 19.3 points per game so far this season for @GoShockersMBB, but we dug a little deeper to find out about 'McDuff' off the court and his feelings for Wichita State and Koch Arena's gameday atmosphere. https://t.co/GDKbzagwMG",45,45,46,46.0,21,PHI,@,IND,W (+24),0,15,2,5,0.4,2,3,0.667,0,0,,0,2,2,1,0,0,1,0,6,3.6,6,0
4,4,2019-02-11,🗣 #nevercheated https://t.co/ehrGlRDsyZ,55,56,57,56.0,21,LAC,@,MIN,L (-10),0,33,4,7,0.571,3,5,0.6,4,4,1.0,1,2,3,2,2,0,1,1,15,15.0,17,0
5,5,2019-04-13,@landryshamet Message to all in high school AAU and college 🏀 players-WISDOM from Park Hill,79,81,1,1.0,22,LAC,@,GSW,L (-17),1,21,1,6,0.167,1,4,0.25,0,0,,0,0,0,2,1,0,1,1,3,0.2,8,0
6,6,2021-01-12,The pain made me everything I am,162,181,12,12.0,23,BRK,,DEN,W (+6),0,16,2,3,0.667,1,1,1.0,0,0,,0,4,4,1,0,0,0,1,5,5.2,-17,-1
7,7,2021-02-27,19 points and a career-high 9 boards for @landryshamet last night 🏹🏹🏹 https://t.co/VWAx6k2M8L,181,204,35,31.0,23,BRK,,DAL,L (-17),0,27,3,8,0.375,2,7,0.286,1,1,1.0,0,2,2,0,0,0,1,0,9,4.2,-7,0
8,8,2021-04-14,Anyone know if @Wawa delivers ?? Asking for a friend...,194,224,55,44.0,24,BRK,@,PHI,L (-6),1,36,4,10,0.4,1,5,0.2,8,9,0.889,0,1,1,3,0,0,2,1,17,11.2,0,0
9,9,2021-06-07,"The only thing that is truly significant about today, or any other day, is who you become in the process - @JoshuaMedcalf https://t.co/WzQE6IM0xo",218,248,7,7.0,24,BRK,,MIL,W (+39),0,16,3,5,0.6,3,5,0.6,0,0,,0,3,3,2,1,0,0,0,9,10.0,24,0
10,10,2021-06-17,NETS WRLD 🪓🪵 #ChopWood https://t.co/m2R1NEo2jz,222,252,11,11.0,24,BRK,@,MIL,L (-15),0,22,0,2,0.0,0,0,,2,3,0.667,0,0,0,0,0,0,1,0,2,-0.8,-10,-1
