,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-12-01,"Hi guys, new website online soon, stay tuned!",17,18,19,18.0,23,TOR,,WAS,L (-4),0,19,2,7,0.286,1,3,0.333,0,0,,0,2,2,0,2,0,3,1,5,0.1,3,0
1,1,2009-12-01,"Ciao a tutti, presto sarà online il nuovo sito, rimanete in contatto!",17,18,19,18.0,23,TOR,,WAS,L (-4),0,19,2,7,0.286,1,3,0.333,0,0,,0,2,2,0,2,0,3,1,5,0.1,3,0
2,2,2009-12-02,Raptors - Wizards tonight 7 pm,18,19,20,19.0,23,TOR,@,ATL,L (-31),0,23,8,14,0.571,3,5,0.6,0,0,,1,1,2,3,0,0,1,0,19,14.5,-19,-1
3,3,2009-12-04,16 punti in una serata no per i Raptors,19,20,21,20.0,23,TOR,@,WAS,W (+2),0,11,0,4,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,2,0,-4.3,-15,-1
4,4,2009-12-08,Raptors 110 - Bulls 78!,21,22,23,22.0,23,TOR,,MIN,W (+6),0,17,0,3,0.0,0,2,0.0,0,0,,0,1,1,0,1,0,0,1,0,-1.2,-9,1
5,5,2009-12-11,24 min - 7 pts,23,24,25,24.0,23,TOR,,ATL,L (-22),0,18,4,6,0.667,1,2,0.5,0,0,,1,1,2,1,2,0,4,0,9,6.1,-22,-1
6,6,2009-12-15,101 - 88 :-),25,26,27,26.0,23,TOR,@,MIA,L (-20),0,14,0,7,0.0,0,4,0.0,6,6,1.0,0,1,1,1,1,0,0,0,6,3.1,-5,0
7,7,2009-12-20,118 - 95 yesterday! Waiting for the Hornets tomorrow,28,29,30,29.0,23,TOR,,NOH,W (+6),0,8,1,3,0.333,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,2,0.9,-3,1
8,8,2010-01-22,Bad night in Milwaukee,40,43,44,41.0,23,TOR,,MIL,W (+5),0,25,4,9,0.444,1,4,0.25,7,9,0.778,1,4,5,2,1,0,0,2,16,14.0,4,0
9,9,2010-01-24,"16 points, Raps 101 - Bucks 96",41,44,45,42.0,23,TOR,,LAL,W (+1),0,24,4,5,0.8,3,3,1.0,4,5,0.8,0,2,2,1,1,0,3,3,15,10.8,9,0
10,10,2010-02-19,ci vuole tempo,48,53,54,49.0,23,TOR,@,NJN,W (+17),0,9,0,1,0.0,0,0,,1,2,0.5,0,0,0,2,0,0,1,1,1,-0.1,6,0
11,11,2010-03-28,"""Una brutta sconfitta perché abbiamo giocato bene tutti”",58,71,72,59.0,24,TOR,@,MIA,L (-3),0,11,0,2,0.0,0,0,,0,0,,0,2,2,0,1,0,1,0,0,-0.8,8,0
12,12,2010-04-11,Chicago tomorrow: go Raps!!!,63,79,80,64.0,24,TOR,,CHI,L (-16),0,23,0,6,0.0,0,4,0.0,0,0,,1,2,3,0,0,0,0,1,0,-3.3,-4,0
13,13,2010-10-29,Good First! :-) http://bit.ly/cYQCoi,67,83,2,2.0,24,NOH,,DEN,W (+6),1,24,2,8,0.25,1,3,0.333,0,0,,0,0,0,2,1,0,0,2,5,1.8,4,1
14,14,2010-10-29,Media Italia http://bit.ly/9qzcHP,67,83,2,2.0,24,NOH,,DEN,W (+6),1,24,2,8,0.25,1,3,0.333,0,0,,0,0,0,2,1,0,0,2,5,1.8,4,0
15,15,2010-10-29,Web Buzz on first match http://bit.ly/brtRy5,67,83,2,2.0,24,NOH,,DEN,W (+6),1,24,2,8,0.25,1,3,0.333,0,0,,0,0,0,2,1,0,0,2,5,1.8,4,0
16,16,2010-10-29,Hornets - Bucks http://bit.ly/dnHYf6,67,83,2,2.0,24,NOH,,DEN,W (+6),1,24,2,8,0.25,1,3,0.333,0,0,,0,0,0,2,1,0,0,2,5,1.8,4,0
17,17,2010-10-30,Hornets VS Nuggets tonight http://bit.ly/bUvuTZ,68,84,3,3.0,24,NOH,@,SAS,W (+9),1,23,1,4,0.25,1,2,0.5,0,0,,0,2,2,2,1,1,1,0,3,3.3,10,0
18,18,2010-10-30,Coach Monty on Beli and Trevor http://bit.ly/az3lZi,68,84,3,3.0,24,NOH,@,SAS,W (+9),1,23,1,4,0.25,1,2,0.5,0,0,,0,2,2,2,1,1,1,0,3,3.3,10,0
19,19,2010-10-30,Stampa cartacea http://bit.ly/bJIxec,68,84,3,3.0,24,NOH,@,SAS,W (+9),1,23,1,4,0.25,1,2,0.5,0,0,,0,2,2,2,1,1,1,0,3,3.3,10,0
20,20,2010-11-05,Buzz on the web http://bit.ly/b1uZNR,70,86,5,5.0,24,NOH,,MIA,W (+3),1,31,3,7,0.429,0,2,0.0,2,2,1.0,0,1,1,3,0,0,1,3,8,4.5,4,0
21,21,2010-11-05,Houston 99 - New Orleans 107 http://bit.ly/d1Thip,70,86,5,5.0,24,NOH,,MIA,W (+3),1,31,3,7,0.429,0,2,0.0,2,2,1.0,0,1,1,3,0,0,1,3,8,4.5,4,0
22,22,2010-11-05,Quando il soprannome impazza http://bit.ly/dCVWrU,70,86,5,5.0,24,NOH,,MIA,W (+3),1,31,3,7,0.429,0,2,0.0,2,2,1.0,0,1,1,3,0,0,1,3,8,4.5,4,0
23,23,2010-11-05,BeliTrio Medusa http://bit.ly/almAd6,70,86,5,5.0,24,NOH,,MIA,W (+3),1,31,3,7,0.429,0,2,0.0,2,2,1.0,0,1,1,3,0,0,1,3,8,4.5,4,0
24,24,2010-11-06,Ultimi articoli http://bit.ly/9nJ6dQ,71,87,6,6.0,24,NOH,@,MIL,W (+6),1,30,5,9,0.556,4,7,0.571,0,0,,1,4,5,0,1,0,5,2,14,6.8,14,0
25,25,2010-11-06,Hornets VS Heat tonight http://bit.ly/bwot1E,71,87,6,6.0,24,NOH,@,MIL,W (+6),1,30,5,9,0.556,4,7,0.571,0,0,,1,4,5,0,1,0,5,2,14,6.8,14,0
26,26,2010-11-09,Marco Belinelli VS Miami http://bit.ly/bqBa7k,72,88,7,7.0,24,NOH,,LAC,W (+19),1,24,4,9,0.444,1,4,0.25,2,3,0.667,0,2,2,1,1,0,2,4,11,4.6,9,0
27,27,2010-11-09,New Videos http://bit.ly/d3eUTK,72,88,7,7.0,24,NOH,,LAC,W (+19),1,24,4,9,0.444,1,4,0.25,2,3,0.667,0,2,2,1,1,0,2,4,11,4.6,9,0
28,28,2010-11-09,e web... http://bit.ly/9sCdwa,72,88,7,7.0,24,NOH,,LAC,W (+19),1,24,4,9,0.444,1,4,0.25,2,3,0.667,0,2,2,1,1,0,2,4,11,4.6,9,0
29,29,2010-11-09,From Canada! http://bit.ly/94fW6y,72,88,7,7.0,24,NOH,,LAC,W (+19),1,24,4,9,0.444,1,4,0.25,2,3,0.667,0,2,2,1,1,0,2,4,11,4.6,9,0
30,30,2010-11-09,Stampa cartacea italiana 7-8 novembre http://bit.ly/cRFjKt,72,88,7,7.0,24,NOH,,LAC,W (+19),1,24,4,9,0.444,1,4,0.25,2,3,0.667,0,2,2,1,1,0,2,4,11,4.6,9,0
