,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2013-11-09,Big good luck to the @smcgaels boys for the start of the season!! @BeauFlex15 @SHolt503 @bradwaldow @_garrettjackson @AdamCaporn @EranGanot,1,6,7,2.0,23,CLE,,PHI,W (+2),0,6,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,0,0,0,1,0,0.6,-5,1
1,1,2013-11-13,Lets go Gaels! #carnthegaels http://t.co/ydU1obJ8JC,3,8,9,4.0,23,CLE,@,MIN,L (-29),0,13,1,4,0.25,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,0,4,2.3,-8,-1
2,2,2013-11-16,"SMC v NDSU #carntheGaels
#Gaelvision with @AJensen8886 commentary http://t.co/eLv7YLB3sr",4,10,11,5.0,23,CLE,@,WAS,W (+7),0,31,1,5,0.2,0,2,0.0,0,0,,0,6,6,2,2,0,0,1,2,3.7,16,0
3,3,2013-11-29,Thanksgiving Australian style! Have a great day everyone! http://t.co/18qRUIrIYN,9,15,16,10.0,23,CLE,@,BOS,L (-17),0,12,2,2,1.0,2,2,1.0,1,2,0.5,0,1,1,0,1,0,0,1,7,6.9,7,1
4,4,2013-12-06,Nelson Mandela = #leadership,11,18,19,12.0,23,CLE,@,ATL,L (-19),0,26,3,7,0.429,1,2,0.5,0,0,,1,0,1,4,1,0,1,2,7,6.0,13,0
5,5,2013-12-26,Merry Christmas!!,20,27,28,21.0,23,CLE,,ATL,L (-2),0,24,2,6,0.333,1,4,0.25,4,4,1.0,0,1,1,3,2,0,2,2,9,7.2,-6,0
6,6,2014-01-02,Happy New Year Cleveland! Have a great year everyone! http://t.co/1h46F541GZ,23,31,32,24.0,23,CLE,,ORL,W (+6),0,21,1,5,0.2,0,3,0.0,0,0,,1,0,1,2,2,0,2,3,2,-0.2,5,1
7,7,2014-01-15,Hewitt takes it to a 5th! But ESPN 2 goes to another match #Cmon #AusOpen,30,38,39,31.0,23,CLE,@,POR,L (-12),0,12,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-0.5,-9,1
8,8,2014-01-30,"Pies, ploughs and smoothies in my latest @bgoaddysport column  http://t.co/uQYsNUySDA",35,45,46,36.0,23,CLE,@,NYK,L (-31),0,9,0,2,0.0,0,2,0.0,0,0,,1,1,2,0,1,0,0,1,0,0.2,-2,0
9,9,2014-01-30,Big congrats to @SP_10 on being named the @CollingwoodFC Captain! Big year coming up for the Pies!,35,45,46,36.0,23,CLE,@,NYK,L (-31),0,9,0,2,0.0,0,2,0.0,0,0,,1,1,2,0,1,0,0,1,0,0.2,-2,0
10,10,2014-02-18,Congrats to @KyrieIrving on the win and MVP! #KiaAllStarMVP,43,53,54,44.0,23,CLE,@,PHI,W (+29),0,22,1,6,0.167,0,3,0.0,2,2,1.0,1,1,2,4,0,0,3,4,4,-0.6,2,1
11,11,2014-02-23,. @SHolt503 on fire!!,46,56,57,47.0,23,CLE,,WAS,L (-13),0,20,1,5,0.2,0,4,0.0,0,0,,0,1,1,0,0,0,0,2,2,-1.6,-2,0
12,12,2014-02-28,Great road win! #GoCavs,49,59,60,50.0,23,CLE,,UTA,W (+20),0,26,4,11,0.364,1,5,0.2,0,0,,1,0,1,5,0,0,0,1,9,6.7,16,1
13,13,2014-02-28,Here is my latest column for @BgoAddySport. Have a read! http://t.co/SXRx1Uoyyj,49,59,60,50.0,23,CLE,,UTA,W (+20),0,26,4,11,0.364,1,5,0.2,0,0,,1,0,1,5,0,0,0,1,9,6.7,16,0
14,14,2014-03-01,"There's 3 tickets so I need 3 Aussie slang terms converted to the American term:
1. Barbie
2. Bloke
3. The dunny",50,60,61,51.0,23,CLE,@,MEM,L (-14),0,20,2,7,0.286,1,2,0.5,0,0,,0,1,1,4,0,0,1,4,5,1.4,-1,0
15,15,2014-03-01,of luck for continued success!,50,60,61,51.0,23,CLE,@,MEM,L (-14),0,20,2,7,0.286,1,2,0.5,0,0,,0,1,1,4,0,0,1,4,5,1.4,-1,1
16,16,2014-03-01,Huge honour to be named Bendigo Advertiser-WIN Television Sports Star of the Year. Congrats to everyone nominated on a great year and best,50,60,61,51.0,23,CLE,@,MEM,L (-14),0,20,2,7,0.286,1,2,0.5,0,0,,0,1,1,4,0,0,1,4,5,1.4,-1,0
17,17,2014-03-07,Spurs v Heat,52,62,63,53.0,23,CLE,@,CHA,L (-9),0,15,1,2,0.5,1,1,1.0,0,0,,0,2,2,1,0,0,0,2,3,2.5,-5,0
18,18,2014-03-16,"Great road win! Appreciate all the support, it was really cool to play back here #GoCavs #GoGaels",56,66,67,57.0,23,CLE,@,LAC,L (-22),0,22,2,7,0.286,0,3,0.0,0,0,,2,3,5,1,0,0,2,1,4,0.5,10,1
19,19,2014-03-16,"Great article on Oregon State and @CoachMarkOSU, he helped me out a lot freshman year at SMC http://t.co/Aa2FcZWshN",56,66,67,57.0,23,CLE,@,LAC,L (-22),0,22,2,7,0.286,0,3,0.0,0,0,,2,3,5,1,0,0,2,1,4,0.5,10,1
20,20,2014-03-20,Let's goooooo!!!!,58,68,69,59.0,23,CLE,,OKC,L (-7),0,33,4,8,0.5,2,6,0.333,1,2,0.5,2,2,4,10,1,0,3,1,11,13.2,8,0
21,21,2014-03-20,My Brazilian brother @VAREJAOANDERSON! http://t.co/92jOOZdOiN,58,68,69,59.0,23,CLE,,OKC,L (-7),0,33,4,8,0.5,2,6,0.333,1,2,0.5,2,2,4,10,1,0,3,1,11,13.2,8,0
22,22,2014-03-22,I love watching the underdogs compete against the big boys #EasternKentucky,59,69,70,60.0,23,CLE,,HOU,L (-7),0,37,5,11,0.455,3,5,0.6,1,1,1.0,1,4,5,10,0,0,6,4,14,9.6,9,1
23,23,2014-03-22,I think Manhattan will end up beating Louisville here,59,69,70,60.0,23,CLE,,HOU,L (-7),0,37,5,11,0.455,3,5,0.6,1,1,1.0,1,4,5,10,0,0,6,4,14,9.6,9,0
24,24,2014-03-23,Rookie duties #donuts http://t.co/Xy8uquArk1,60,70,71,61.0,23,CLE,@,NYK,W (+6),0,26,3,5,0.6,1,3,0.333,2,2,1.0,0,3,3,1,0,0,0,1,9,7.9,-4,0
25,25,2014-03-28,"Got the day to look around New York, what should I see??",63,73,74,64.0,23,CLE,@,BRK,L (-11),0,29,3,6,0.5,2,3,0.667,0,0,,0,3,3,4,0,0,2,4,8,5.1,-2,0
26,26,2014-03-28,Thanks for the suggestions!!,63,73,74,64.0,23,CLE,@,BRK,L (-11),0,29,3,6,0.5,2,3,0.667,0,0,,0,3,3,4,0,0,2,4,8,5.1,-2,1
27,27,2014-03-28,New York- view from The Empire State Building http://t.co/6WAEQ1biqG,63,73,74,64.0,23,CLE,@,BRK,L (-11),0,29,3,6,0.5,2,3,0.667,0,0,,0,3,3,4,0,0,2,4,8,5.1,-2,0
28,28,2014-10-30,Swapped lockers at the Q. Was a little hard to get to my locker (next to Lebron) after a game with the media scrum! http://t.co/fZo4FxlHhF,72,82,1,1.0,24,CLE,,NYK,L (-5),0,18,2,3,0.667,2,2,1.0,0,0,,0,0,0,3,0,0,0,3,6,5.6,6,-1
29,29,2014-10-30,Nothing like a game 7!! #SFGiants #SFvsKC,72,82,1,1.0,24,CLE,,NYK,L (-5),0,18,2,3,0.667,2,2,1.0,0,0,,0,0,0,3,0,0,0,3,6,5.6,6,-1
30,30,2014-10-31,"Game day! Can't wait to get started! #AllForOne

Repost @cavs: ""theqarena awaits,… http://t.co/jcp31SY2cz",73,83,2,2.0,24,CLE,@,CHI,W (+6),0,30,0,3,0.0,0,2,0.0,0,0,,0,1,1,4,0,1,0,3,0,0.5,15,0
31,31,2014-11-04,Hope everyone has a great #MelbourneCup day in Australia! My pick for the win is #Fawkner,74,84,3,3.0,24,CLE,@,POR,L (-19),0,11,1,4,0.25,0,1,0.0,0,0,,1,1,2,0,0,0,0,2,2,-0.2,-7,1
32,32,2014-12-08,Had a great time looking around @VitaCoco HQ in New York yesterday! http://t.co/VQ3alVvXgV,75,100,19,4.0,24,CLE,@,BRK,W (+22),0,16,1,4,0.25,0,1,0.0,0,0,,2,1,3,3,0,1,3,3,2,-0.1,3,1
33,33,2014-12-08,Huge congratulations to the U/19 Australian Men (Emu's) and Women (Gem's) basketball teams for qualifying for the World Champs!,75,100,19,4.0,24,CLE,@,BRK,W (+22),0,16,1,4,0.25,0,1,0.0,0,0,,2,1,3,3,0,1,3,3,2,-0.1,3,1
34,34,2014-12-08,.@JDayGolf making moves! 4 birdies in a row! http://t.co/hHuNlw2SEI,75,100,19,4.0,24,CLE,@,BRK,W (+22),0,16,1,4,0.25,0,1,0.0,0,0,,2,1,3,3,0,1,3,3,2,-0.1,3,0
35,35,2014-12-08,Have a read of my blog post on how I dealt with being injured http://t.co/OfBmIdQSVi http://t.co/KXcu3wZ3nt,75,100,19,4.0,24,CLE,@,BRK,W (+22),0,16,1,4,0.25,0,1,0.0,0,0,,2,1,3,3,0,1,3,3,2,-0.1,3,0
36,36,2014-12-09,Excited to get back out on the court tonight with the boys! #ALLforCLE http://t.co/LvltK6cO6e,76,101,20,5.0,24,CLE,,TOR,W (+4),0,21,2,4,0.5,2,4,0.5,0,0,,1,2,3,5,0,0,0,2,6,8.0,12,0
37,37,2014-12-11,"Great to be back out there at ""The Q"" last night! Awesome atmosphere! #ALLforCLE @DavidLiamKyle http://t.co/eUeLeAwBEF",77,102,21,6.0,24,CLE,@,OKC,L (-9),1,34,5,8,0.625,4,6,0.667,0,0,,1,4,5,4,1,0,3,4,14,11.5,7,1
38,38,2014-12-12,Game day @ OKC! #AllForCLE,78,103,22,7.0,24,CLE,@,NOP,L (-5),0,24,0,5,0.0,0,5,0.0,0,0,,2,3,5,3,1,0,1,2,0,0.1,-17,0
39,39,2014-12-21,Good win! Let's get another one on Sunday! @MikeMiller_13  on 🔥🔥🔥#AllForCLE,82,107,26,11.0,24,CLE,,MEM,W (+14),0,14,1,2,0.5,0,1,0.0,0,0,,1,1,2,2,0,0,0,1,2,3.0,-10,1
40,40,2014-12-23,Smoothie #greenisgood #westsidemarket #healthyliving http://t.co/4g1cXvbah6,83,108,27,12.0,24,CLE,,MIN,W (+21),0,13,1,5,0.2,1,3,0.333,0,0,,1,0,1,3,1,0,1,3,3,1.5,7,-1
