,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2012-12-21,Proud to see my boy Darion Atkins improve over a year.. So proud of him.. 😢😭😭😭😢😁 just get more than 4 boards next time lol,7,23,24,8.0,24,ATL,@,PHI,L (-19),0,7,1,4,0.25,0,0,,1,2,0.5,1,1,2,1,0,0,0,0,3,1.9,0,1
1,1,2012-12-21,Me and my lil brother... I was so skinny lol 😳 #tbt http://t.co/pmIpFacr,7,23,24,8.0,24,ATL,@,PHI,L (-19),0,7,1,4,0.25,0,0,,1,2,0.5,1,1,2,1,0,0,0,0,3,1.9,0,1
2,2,2012-12-28,Peep the du rag lol most likely the cape was out.. Don't judge me.. #tbt http://t.co/bZws1QBx,9,26,27,10.0,24,ATL,@,CLE,W (+8),0,9,0,2,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-0.1,6,1
3,3,2012-12-28,That's not smart young bull..,9,26,27,10.0,24,ATL,@,CLE,W (+8),0,9,0,2,0.0,0,0,,0,0,,0,1,1,0,1,0,0,0,0,-0.1,6,-1
4,4,2013-01-14,He mad lol,13,36,37,14.0,24,ATL,@,CHI,L (-39),0,16,4,5,0.8,0,0,,2,2,1.0,1,2,3,1,0,0,0,2,10,9.3,-8,0
5,5,2013-01-14,😂😂😂,13,36,37,14.0,24,ATL,@,CHI,L (-39),0,16,4,5,0.8,0,0,,2,2,1.0,1,2,3,1,0,0,0,2,10,9.3,-8,0
6,6,2013-01-18,Will be on this for the next month or so lol 😁 time to break another record... http://t.co/UlIGs9aG,14,38,39,15.0,24,ATL,@,BRK,L (-5),0,10,3,5,0.6,0,0,,2,2,1.0,1,1,2,0,0,0,0,1,8,6.3,3,0
7,7,2013-01-18,Light.... http://t.co/0ahBLQkx,14,38,39,15.0,24,ATL,@,BRK,L (-5),0,10,3,5,0.6,0,0,,2,2,1.0,1,1,2,0,0,0,0,1,8,6.3,3,0
8,8,2013-01-18,This is war! RT @dbj_zero: You see it.. Getting my groove back.. Undisputed team champ now that @mikescott is gone lol http://t.co/k26lQwXz,14,38,39,15.0,24,ATL,@,BRK,L (-5),0,10,3,5,0.6,0,0,,2,2,1.0,1,1,2,0,0,0,0,1,8,6.3,3,1
9,9,2013-02-06,😩😍😁 http://t.co/cvdGrtuR,21,47,48,22.0,24,ATL,,MEM,W (+11),0,5,0,2,0.0,0,0,,0,0,,1,0,1,0,0,0,1,1,0,-2.1,-9,0
10,10,2013-02-13,Lol chiiiillllll RT @Money_Green22: @mikescott needa put me wit da plug fa da socks lol,22,50,51,23.0,24,ATL,@,ORL,W (+32),0,13,1,5,0.2,0,0,,0,0,,3,2,5,0,0,0,2,0,2,-0.4,-5,0
11,11,2013-02-13,UVA vs chokies tonight lol should be a light night... Just like in Blacksburg!!,22,50,51,23.0,24,ATL,@,ORL,W (+32),0,13,1,5,0.2,0,0,,0,0,,3,2,5,0,0,0,2,0,2,-0.4,-5,1
12,12,2013-03-12,😍😍😍😍 Miami weather😁,27,62,63,28.0,24,ATL,@,MIA,L (-17),0,9,3,5,0.6,0,0,,1,2,0.5,0,3,3,1,0,0,0,0,7,5.9,3,0
13,13,2013-03-18,"""If You Knew What It Took.."" -future #classic",30,66,67,31.0,24,ATL,,DAL,L (-14),0,5,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,0,1,2,1.9,4,1
14,14,2013-03-25,Indianapolis weather... Omg.. 😳👀😩🙅😒😔❄❄❄❄❄⛄,31,70,71,32.0,24,ATL,@,IND,L (-6),0,12,2,2,1.0,0,0,,1,2,0.5,2,3,5,0,0,1,0,0,5,7.0,16,-1
15,15,2013-03-29,😂😳🙀🙈 #tbt http://t.co/uR7Pg7wrep,33,72,73,34.0,24,ATL,@,BOS,L (-11),0,23,6,10,0.6,0,0,,7,8,0.875,1,2,3,0,0,0,0,0,19,15.3,-3,0
16,16,2013-03-29,"""Boughtta Phantom cuh I always wanted oonneee.."" Lol",33,72,73,34.0,24,ATL,@,BOS,L (-11),0,23,6,10,0.6,0,0,,7,8,0.875,1,2,3,0,0,0,0,0,19,15.3,-3,0
