,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2018-12-10,Social Media has made it to were people are really not doing shit for themselves anymore. Everything is a performance and a showcase for others.,7,8,26,9.0,29,BOS,,NOP,W (+13),0,18,2,4,0.5,0,1,0.0,0,0,,0,3,3,4,1,0,2,1,4,4.3,8,0
1,1,2019-01-14,We came to play!!! #BirdGang,17,24,43,19.0,29,BOS,@,BRK,L (-7),0,26,4,11,0.364,3,7,0.429,2,2,1.0,1,2,3,4,2,0,1,3,13,10.8,11,0
2,2,2019-01-30,"You signed your Pitt jersey for me 10 years ago, help me complete the 10 year challenge by signing it again (and your Celtics jersey) April 9th at your game versus the Wizards!! @phillybul_22 #H2P  #GreenTeam https://t.co/CaLOhtQzpr",21,32,51,23.0,29,BOS,,CHO,W (+32),0,15,2,3,0.667,1,1,1.0,0,0,,1,0,1,0,1,0,0,1,5,5.0,-6,1
3,3,2019-11-07,I ain’t been feeling a lot of people lately ... I wonder I’m if I’m trippin or people really just be on some corny shit?,41,65,7,7.0,30,BOS,@,CHO,W (+21),0,16,3,4,0.75,1,1,1.0,2,2,1.0,0,3,3,3,2,0,0,2,9,11.6,6,-1
4,4,2019-11-09,@phillybul_22 when you hit that 3 tonight I just said...”Roman” outloud...my buddy had no idea you even went there #teachingmoment #catholicleague,42,66,8,8.0,30,BOS,@,SAS,W (+20),0,17,3,5,0.6,1,1,1.0,0,0,,0,1,1,2,2,0,1,1,7,7.0,1,-1
5,5,2019-11-13,"Game 9

Of Monsters And Slovenians https://t.co/jhWsxOuKMP",44,68,10,10.0,30,BOS,,WAS,W (+7),0,17,2,3,0.667,0,1,0.0,6,6,1.0,0,2,2,5,0,0,4,1,10,8.4,15,0
6,6,2019-11-17,"”Bad times turn to good memories, SMILE” https://t.co/2j5mnFVEpm",46,70,12,12.0,30,BOS,@,SAC,L (-1),0,20,2,4,0.5,0,0,,4,4,1.0,0,2,2,3,1,1,1,0,8,9.4,-2,0
7,7,2019-11-17,"• Down 55 points
• 15 seconds left
• steal the ball, dunk, get T'd up

Monmouth's George Papas is an instant Garbage Time Legend 😂

(📹: @SportsCenter)

https://t.co/Sf3S8am0V0",46,70,12,12.0,30,BOS,@,SAC,L (-1),0,20,2,4,0.5,0,0,,4,4,1.0,0,2,2,3,1,1,1,0,8,9.4,-2,0
8,8,2019-11-25,⏳ https://t.co/JDoMc3Ovl8,50,74,16,16.0,30,BOS,,SAC,W (+1),0,21,0,8,0.0,0,2,0.0,3,4,0.75,1,0,1,4,0,0,2,4,3,-3.1,-22,0
9,9,2020-08-07,Happy bday bro @onpointdoo 🤞🏾🖤,102,127,69,68.0,31,BOS,@,TOR,W (+22),0,24,6,8,0.75,1,2,0.5,2,2,1.0,0,4,4,1,2,0,0,1,15,15.3,8,1
10,10,2020-08-11,⛹🏾‍♂️ https://t.co/ON7iw4MGmg,104,129,71,70.0,31,BOS,@,MEM,W (+15),0,19,2,3,0.667,1,1,1.0,3,4,0.75,0,2,2,4,1,0,0,4,8,9.1,23,0
11,11,2020-08-17,"Open up the playoffs tomorrow against the Sixers, all my family and friends pick a side lol.",106,131,1,1.0,31,BOS,,PHI,W (+8),0,10,2,3,0.667,0,0,,0,0,,1,2,3,1,1,0,0,2,4,4.9,-1,-1
12,12,2021-01-20,🥴 https://t.co/6fhTEgBfQ8,136,161,14,14.0,31,GSW,,SAS,W (+22),0,21,1,6,0.167,1,5,0.2,0,0,,0,5,5,4,2,0,3,2,3,1.7,11,0
13,13,2021-01-30,Rest In Peace Coach Chaney! A legend and mentor to so many kids coming up in Philly 🙏🏾,142,167,20,20.0,31,GSW,,DET,W (+27),0,21,3,3,1.0,1,1,1.0,0,0,,0,2,2,7,1,0,1,2,7,10.8,0,1
14,14,2021-02-06,"Please keep Tom Konchalski in your prayers. This is no nicer human being &amp; few, if any, who’re had a greater impact on high school recruiting. He’s helped thousands of young men reach their dreams. https://t.co/Xl9MUJi45r",145,170,23,23.0,31,GSW,@,DAL,L (-2),0,17,1,3,0.333,0,1,0.0,3,4,0.75,0,3,3,1,0,0,2,1,5,2.1,-6,1
15,15,2021-05-06,"Tacko vs. Mo Bamba 🍿

Celtics bench was loving it https://t.co/95BXBKPw59",181,215,68,59.0,31,CHO,,CHI,L (-21),0,20,2,4,0.5,0,1,0.0,2,2,1.0,1,2,3,2,2,0,1,1,6,7.3,-11,1
