,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2018-11-23,.@swipathefox on the one-on-five 😤 #SCtop10 https://t.co/zBvELJWmPH,5,5,19,6.0,21,BOS,@,ATL,W (+18),0,9,2,2,1.0,0,0,,0,0,,0,3,3,0,0,1,0,1,4,4.6,-7,0
1,1,2018-12-14,How I’m gone know who real,11,14,28,12.0,21,BOS,,ATL,W (+21),0,16,1,1,1.0,0,0,,0,0,,1,4,5,0,0,5,2,1,2,4.7,-14,0
2,2,2019-01-14,🐺 https://t.co/Pj7TA7kZQZ,20,23,43,21.0,21,BOS,@,BRK,L (-7),0,10,0,2,0.0,0,0,,0,0,,1,1,2,0,1,1,0,2,0,0.5,-8,0
3,3,2019-11-09,First official start was tonight No pressure I’m Like That ‼️🎬,41,49,8,7.0,22,BOS,@,SAS,W (+20),0,22,5,5,1.0,0,0,,1,1,1.0,1,6,7,2,0,6,0,2,11,16.8,5,0
4,4,2020-08-09,Lil Wayne vs. Drake 👀 friendly one.,61,73,70,27.0,22,BOS,,ORL,W (+3),0,15,4,5,0.8,0,0,,0,0,,2,1,3,1,1,1,0,2,8,9.4,0,1
5,5,2020-08-11,https://t.co/FMGRSsTtQS,62,74,71,28.0,22,BOS,@,MEM,W (+15),0,14,4,6,0.667,0,0,,2,3,0.667,3,4,7,1,0,3,1,2,10,11.3,9,0
6,6,2020-08-11,You just lovin my wealth  https://t.co/68l3viNRrv,62,74,71,28.0,22,BOS,@,MEM,W (+15),0,14,4,6,0.667,0,0,,2,3,0.667,3,4,7,1,0,3,1,2,10,11.3,9,0
7,7,2020-08-13,Tryna see bout that,63,75,72,29.0,22,BOS,,WAS,L (-6),0,6,3,3,1.0,0,0,,0,0,,0,1,1,1,0,0,0,0,6,6.1,1,0
8,8,2020-08-30,https://t.co/n2QQiQD4lN,67,80,5,4.0,22,BOS,@,TOR,W (+18),0,19,5,5,1.0,0,0,,0,2,0.0,2,3,5,2,1,2,1,3,10,11.6,4,0
9,9,2020-08-30,https://t.co/bVbx9JZvhG,67,80,5,4.0,22,BOS,@,TOR,W (+18),0,19,5,5,1.0,0,0,,0,2,0.0,2,3,5,2,1,2,1,3,10,11.6,4,0
10,10,2020-09-05,https://t.co/XLPqcKgWuG,70,83,8,7.0,22,BOS,,TOR,L (-7),0,15,3,4,0.75,0,0,,0,0,,1,4,5,1,1,0,0,1,6,7.6,0,0
11,11,2020-09-15,"No love, no loss so",74,87,12,11.0,22,BOS,,MIA,L (-3),0,11,1,1,1.0,0,0,,0,0,,0,4,4,0,0,1,0,1,2,3.2,-3,1
12,12,2020-12-23,Ion wanna talk. It’s still #SteelerNation,77,93,1,1.0,23,BOS,,MIL,W (+1),0,12,2,2,1.0,0,0,,0,0,,3,1,4,0,0,1,1,1,4,5.1,-5,-1
13,13,2020-12-29,Prayers up @JaMorant 💯,79,96,4,3.0,23,BOS,@,IND,W (+5),0,11,4,4,1.0,0,0,,0,0,,1,4,5,0,0,0,1,1,8,7.3,10,0
14,14,2021-01-03,Cause and effect.,82,99,7,6.0,23,BOS,@,DET,W (+2),0,17,2,4,0.5,0,0,,1,2,0.5,3,2,5,2,2,1,2,1,5,7.0,3,0
15,15,2021-01-03,How you gone win when you ain’t right within.,82,99,7,6.0,23,BOS,@,DET,W (+2),0,17,2,4,0.5,0,0,,1,2,0.5,3,2,5,2,2,1,2,1,5,7.0,3,-1
16,16,2021-01-03,Ghost season finale 👀,82,99,7,6.0,23,BOS,@,DET,W (+2),0,17,2,4,0.5,0,0,,1,2,0.5,3,2,5,2,2,1,2,1,5,7.0,3,0
17,17,2021-02-02,https://t.co/oMyv94bNbz,90,111,19,14.0,23,BOS,@,GSW,W (+4),0,8,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-1.9,-9,0
18,18,2021-02-05,https://t.co/VA5h24dlnh,92,113,21,16.0,23,BOS,@,LAC,W (+4),0,15,5,8,0.625,0,0,,0,1,0.0,2,0,2,0,2,0,0,1,10,9.0,-1,0
19,19,2021-02-05,https://t.co/Gvo7Za90Gm,92,113,21,16.0,23,BOS,@,LAC,W (+4),0,15,5,8,0.625,0,0,,0,1,0.0,2,0,2,0,2,0,0,1,10,9.0,-1,0
20,20,2021-02-09,https://t.co/0ROe6l0EcH,94,115,23,18.0,23,BOS,@,UTA,L (-14),0,13,2,3,0.667,0,0,,2,2,1.0,2,2,4,0,0,0,0,2,6,5.9,-3,0
21,21,2021-02-14,https://t.co/DMchQW42Xc,95,118,26,19.0,23,BOS,@,WAS,L (-13),0,11,1,3,0.333,0,0,,3,5,0.6,2,0,2,1,1,1,1,3,5,4.1,-17,0
22,22,2021-03-24,https://t.co/kFgubGaqpb,113,136,44,37.0,23,BOS,@,MIL,L (-2),0,20,3,4,0.75,0,0,,0,0,,4,1,5,1,0,0,1,2,6,6.4,4,0
23,23,2021-04-04,https://t.co/mHEkDFNtBv,118,142,50,42.0,23,BOS,,CHO,W (+30),1,25,7,9,0.778,0,0,,2,2,1.0,4,4,8,2,2,1,0,5,16,18.6,7,0
24,24,2021-04-30,"Welcome to the #TigerFamily, AJ Lawson!

At a Glance:
🔴 Career Totals: 1,425 pts, 551 reb, 370 ast, 113 stl
⚪️ Led Southland Conf. in APG at 5.5
🔴 Career high 37 points vs. Abilene Christian

#GoTigers #BeLegendary // @TXSOTigers @TexasSouthern @hoop__nation22 https://t.co/4uk0vkDxZm",125,149,64,49.0,23,BOS,,SAS,W (+3),1,23,4,6,0.667,0,0,,2,4,0.5,3,6,9,3,0,1,0,0,10,13.3,1,1
25,25,2021-04-30,https://t.co/xzNqkjRDIy,125,149,64,49.0,23,BOS,,SAS,W (+3),1,23,4,6,0.667,0,0,,2,4,0.5,3,6,9,3,0,1,0,0,10,13.3,1,0
