,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-10-28,Wats up y'all??,0,0,1,1,20,OKC,,SAC,W (+13),1,35,7,12,0.583,0,1,0.0,0,0,,2,5,7,13,0,0,2,2,14,17.6,23,1
1,1,2009-10-28,Omw to tha mall wit pops ...wAt should I get??? Clothes?? Shoes??Watch??,0,0,1,1,20,OKC,,SAC,W (+13),1,35,7,12,0.583,0,1,0.0,0,0,,2,5,7,13,0,0,2,2,14,17.6,23,-1
2,2,2009-10-28,Wats up y'all??,0,0,1,1,20,OKC,,SAC,W (+13),1,35,7,12,0.583,0,1,0.0,0,0,,2,5,7,13,0,0,2,2,14,17.6,23,1
3,3,2009-10-28,Omw to tha mall wit pops ...wAt should I get??? Clothes?? Shoes??Watch??,0,0,1,1,20,OKC,,SAC,W (+13),1,35,7,12,0.583,0,1,0.0,0,0,,2,5,7,13,0,0,2,2,14,17.6,23,-1
4,4,2009-10-30,Just landed in Detroit ..wats up y'all??,1,1,2,2,20,OKC,@,DET,W (+8),1,34,2,11,0.182,0,2,0.0,6,8,0.75,1,4,5,10,1,2,5,3,10,7.4,2,-1
5,5,2009-10-30,At the mall wit serge ...,1,1,2,2,20,OKC,@,DET,W (+8),1,34,2,11,0.182,0,2,0.0,6,8,0.75,1,4,5,10,1,2,5,3,10,7.4,2,0
6,6,2009-10-30,Just droped my dad off at the aiport..Now omw to pratc...wAt y'all doin this early morning..???,1,1,2,2,20,OKC,@,DET,W (+8),1,34,2,11,0.182,0,2,0.0,6,8,0.75,1,4,5,10,1,2,5,3,10,7.4,2,0
7,7,2009-10-30,Thanks to @Nina_earl lol,1,1,2,2,20,OKC,@,DET,W (+8),1,34,2,11,0.182,0,2,0.0,6,8,0.75,1,4,5,10,1,2,5,3,10,7.4,2,1
8,8,2009-11-01,Goodmorning peeps....,2,2,3,3,20,OKC,,POR,L (-9),1,32,8,12,0.667,0,1,0.0,7,10,0.7,2,2,4,2,2,1,9,6,23,11.3,-13,0
9,9,2009-11-01,Omw to the OSU vs Texas wit @jhard13 ...@jcam5 and @kevindurant35 ..who all there???,2,2,3,3,20,OKC,,POR,L (-9),1,32,8,12,0.667,0,1,0.0,7,10,0.7,2,2,4,2,2,1,9,6,23,11.3,-13,-1
10,10,2009-11-03,Just woke up frm this meannn..NaP...  I miss anything ???,3,3,4,4,20,OKC,,LAL,L (-3),1,34,5,12,0.417,0,3,0.0,2,3,0.667,1,5,6,7,2,0,6,3,12,7.1,-9,-1
11,11,2009-11-03,Wats up y'all??,3,3,4,4,20,OKC,,LAL,L (-3),1,34,5,12,0.417,0,3,0.0,2,3,0.667,1,5,6,7,2,0,6,3,12,7.1,-9,1
12,12,2009-11-06,Wats up tweet world..,4,4,5,5,20,OKC,@,HOU,L (-11),1,41,14,25,0.56,1,3,0.333,4,4,1.0,3,2,5,7,1,0,4,2,33,24.9,-9,0
13,13,2009-11-08,wats up yall???,5,5,6,6,20,OKC,,ORL,W (+28),1,35,5,12,0.417,3,4,0.75,4,4,1.0,2,3,5,10,0,0,5,4,17,13.3,41,0
14,14,2009-11-10,Wats up y'all ??,6,6,7,7,20,OKC,@,SAC,L (-3),1,37,3,13,0.231,1,2,0.5,2,4,0.5,1,4,5,6,2,0,1,3,9,6.2,5,1
15,15,2009-11-11,Goodmorning tweet fam,7,7,8,8,20,OKC,@,LAC,W (+4),1,22,1,11,0.091,0,0,,0,0,,1,1,2,3,0,0,2,3,2,-5.4,-8,0
16,16,2009-11-14,Abt to take off..on my way to San Antonio ..hit y'all wen I land,8,8,9,9,21,OKC,@,SAS,W (+3),1,35,7,13,0.538,1,1,1.0,4,6,0.667,1,4,5,11,0,0,0,4,19,19.9,0,0
17,17,2009-11-14,RT @jeff_green22: RT @jHARD13: On our way to the Northstar mall in San Antonio..yall should come up there..,8,8,9,9,21,OKC,@,SAS,W (+3),1,35,7,13,0.538,1,1,1.0,4,6,0.667,1,4,5,11,0,0,0,4,19,19.9,0,0
18,18,2009-11-14,"Just finish prac..,wat y'all doin??",8,8,9,9,21,OKC,@,SAS,W (+3),1,35,7,13,0.538,1,1,1.0,4,6,0.667,1,4,5,11,0,0,0,4,19,19.9,0,1
19,19,2009-11-14,At cheesecake factory wit the team...this bread is BOMB.com lol,8,8,9,9,21,OKC,@,SAS,W (+3),1,35,7,13,0.538,1,1,1.0,4,6,0.667,1,4,5,11,0,0,0,4,19,19.9,0,0
20,20,2009-11-15,Just woke up frm a Nap....gettin dressed....who cumin to the game tonight against the spurs??,9,9,10,10,21,OKC,,LAC,L (-8),1,37,5,17,0.294,1,4,0.25,6,6,1.0,2,7,9,7,2,0,3,1,17,14.1,-3,0
21,21,2009-11-15,Goodmorning tweet fam,9,9,10,10,21,OKC,,LAC,L (-8),1,37,5,17,0.294,1,4,0.25,6,6,1.0,2,7,9,7,2,0,3,1,17,14.1,-3,0
22,22,2009-11-17,Goodmorning Tweet World,10,10,11,11,21,OKC,@,MIA,W (+13),1,33,9,13,0.692,2,3,0.667,4,4,1.0,0,1,1,7,1,1,2,3,24,22.2,4,1
23,23,2009-11-17,Wats good ??,10,10,11,11,21,OKC,@,MIA,W (+13),1,33,9,13,0.692,2,3,0.667,4,4,1.0,0,1,1,7,1,1,2,3,24,22.2,4,1
24,24,2009-11-18,just woke up from a nap... now its time too get fresh....lol,11,11,12,12,21,OKC,@,ORL,L (-14),1,27,3,11,0.273,0,2,0.0,4,4,1.0,1,1,2,3,3,0,2,2,10,6.8,-17,0
25,25,2009-11-18,Just finish shoot around ...abt to chill in the telly and watch a movie... Wats y'all doin ??,11,11,12,12,21,OKC,@,ORL,L (-14),1,27,3,11,0.273,0,2,0.0,4,4,1.0,1,1,2,3,3,0,2,2,10,6.8,-17,1
26,26,2009-11-20,Tweet fam...sreamm at me!!! I'm getting my feet done..I don't have nobody to talk too ...,12,12,13,13,21,OKC,,WAS,W (+19),1,34,6,12,0.5,3,6,0.5,11,12,0.917,2,2,4,7,2,0,6,2,26,21.7,19,-1
27,27,2009-11-20,Just finish gettin some work in...now abt to head to the denstist...wAt y'all doin ??,12,12,13,13,21,OKC,,WAS,W (+19),1,34,6,12,0.5,3,6,0.5,11,12,0.917,2,2,4,7,2,0,6,2,26,21.7,19,-1
28,28,2009-11-22,RT @JCam5: Sitting @ Mickey Mantles with the bros @jeff_green22 @jhard13 @russwest44,13,13,14,14,21,OKC,@,LAL,L (-16),1,42,5,16,0.313,0,3,0.0,4,6,0.667,1,6,7,7,0,3,6,3,14,6.3,-11,0
29,29,2009-11-22,Goodmorning tweet fam...,13,13,14,14,21,OKC,@,LAL,L (-16),1,42,5,16,0.313,0,3,0.0,4,6,0.667,1,6,7,7,0,3,6,3,14,6.3,-11,0
30,30,2009-11-22,Wats up y'all??,13,13,14,14,21,OKC,@,LAL,L (-16),1,42,5,16,0.313,0,3,0.0,4,6,0.667,1,6,7,7,0,3,6,3,14,6.3,-11,1
31,31,2009-11-24,Goodmorning tweet fam... Sreamm at mee!!!,14,14,15,15,21,OKC,@,UTA,W (+10),1,33,4,10,0.4,1,2,0.5,8,10,0.8,2,1,3,3,0,0,5,2,17,8.8,5,0
32,32,2009-11-24,wats up yall???,14,14,15,15,21,OKC,@,UTA,W (+10),1,33,4,10,0.4,1,2,0.5,8,10,0.8,2,1,3,3,0,0,5,2,17,8.8,5,0
33,33,2009-11-27,Bomb!!!  http://twitpic.com/r23ob,15,15,16,16,21,OKC,,MIL,W (+18),1,36,6,15,0.4,1,3,0.333,7,8,0.875,0,6,6,7,0,2,2,1,20,17.2,30,0
34,34,2009-11-27,Happy Thanksgiving tweet fam...,15,15,16,16,21,OKC,,MIL,W (+18),1,36,6,15,0.4,1,3,0.333,7,8,0.875,0,6,6,7,0,2,2,1,20,17.2,30,1
35,35,2009-11-27,RT @DBev2: RT @isarasmile: WHY NOT? is what i ask myself every sec of the day!,15,15,16,16,21,OKC,,MIL,W (+18),1,36,6,15,0.4,1,3,0.333,7,8,0.875,0,6,6,7,0,2,2,1,20,17.2,30,0
36,36,2009-11-29,Great win for us tonight... Fans was crazy tonight .... Wat y'all doin ??,16,16,17,17,21,OKC,,HOU,L (-9),1,40,8,16,0.5,0,2,0.0,4,5,0.8,1,1,2,5,1,2,4,1,20,14.1,-4,1
