,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2016-11-02,"So, it was Halloween with #Wizards https://t.co/WqmofPFh4L",2,2,3,3.0,25,WAS,,TOR,L (-10),0,10,1,2,0.5,0,0,,0,0,,0,2,2,2,1,0,1,2,2,2.2,3.0,0
1,1,2017-02-04,16 in the row! #home #VerizonCenter #ChineseNewYear https://t.co/QIQOkGu8Cb,33,49,50,34.0,25,WAS,,NOP,W (+14),0,11,1,1,1.0,0,0,,2,2,1.0,0,0,0,3,0,1,0,2,4,5.7,8.0,0
2,2,2017-02-06,"Home, sweet home. 17! #WizPelicans https://t.co/4B5nqTTIMD",34,50,51,35.0,25,WAS,,CLE,L (-5),0,12,0,1,0.0,0,0,,0,0,,0,1,1,1,1,0,0,1,0,0.9,-7.0,0
3,3,2017-02-10,Another OT... But this time with winning end. ;-) #WizNets https://t.co/QKQyzOwtQE,36,52,53,37.0,25,WAS,,IND,W (+5),0,13,1,2,0.5,0,0,,2,2,1.0,1,0,1,1,1,1,0,0,4,6.1,-6.0,0
4,4,2017-03-07,"Thank you for your support, Czech fans. Big thanks to @WashWizards , @NBA, @CzechEmbassyDC and @novasport_cz #CzechHeritageNight https://t.co/9sPE8W4Sbf",44,61,62,45.0,25,WAS,@,PHO,W (+4),0,8,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,2,0,-1.2,-4.0,1
5,5,2017-04-12,Victory in Detroit #WizPistons. https://t.co/exVaYGla7V,56,81,82,57.0,25,WAS,@,MIA,L (-8),1,30,1,7,0.143,0,3,0.0,0,0,,1,3,4,5,2,0,2,2,2,1.8,4.0,0
6,6,2017-12-15,"Can't take my 👀 off of you.

V.E.S.E.L.Y. #7DAYSMagicMoment [@JanVesely24] https://t.co/8LaTEscMPs",86,123,29,20.0,26,WAS,,LAC,W (+9),0,20,4,6,0.667,1,3,0.333,2,2,1.0,0,3,3,3,1,0,3,0,11,9.4,1.0,0
7,7,2018-11-16,"Velký pán!👌
Jsem hrdý, že jsem toho součástí

#BossBlažek #klukzFlóry

 https://t.co/t7yyIFRRQX",160,197,15,15.0,27,WAS,,BRK,L (-11),0,12,2,3,0.667,0,0,,0,0,,0,1,1,1,0,1,0,2,4,3.6,-2.0,0
8,8,2018-11-16,"This is for you ""BABA"" @JanVesely24 👶🏻👏🏻😊",160,197,15,15.0,27,WAS,,BRK,L (-11),0,12,2,3,0.667,0,0,,0,0,,0,1,1,1,0,1,0,2,4,3.6,-2.0,0
9,9,2018-12-03,"Last night's #WizNets W in a tweet... 📊

- 30 points for Wall, 22 for Beal, 20 for Morris 
- Season-low 88 opponent points 
- 51.9% FG shooting 🔥
- Thomas over Tomas 😂💪

#DCFamily https://t.co/HHjW6HNzSv",169,206,24,24.0,27,WAS,@,NYK,W (+3),1,24,1,4,0.25,1,3,0.333,0,0,,0,2,2,3,0,0,0,3,3,2.1,15.0,0
10,10,2019-01-13,"🤣🤣🤣🤣🤣

@satoransky &amp; @ianmahinmi 

😂😂😂😂@WashWizards #NBALondon https://t.co/OE4yhdtst6",189,226,44,44.0,27,WAS,,TOR,L (-2),1,36,2,13,0.154,0,3,0.0,0,0,,3,4,7,2,2,0,0,5,4,0.4,-16.0,0
11,11,2020-01-27,😢😩,274,313,49,49.0,28,CHI,,SAS,W (+1),1,28,5,9,0.556,1,3,0.333,2,2,1.0,2,1,3,6,2,0,1,3,13,14.4,2.0,0
