,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2020-01-04,4 dubs let’s get it,1,4,5,2.0,22,UTA,@,ORL,W (+13),0,5,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,2,1.0,-8.0,0
1,1,2020-01-06,VIKINGS WIN 😛😛😛,2,5,6,3.0,22,UTA,@,NOP,W (+2),0,5,1,1,1.0,0,0,,1,1,1.0,1,0,1,0,0,0,0,0,3,3.4,3.0,0
2,2,2020-01-08,I was just told I’m the rightful king 🤴🏾 it’s all making since now,3,6,7,4.0,22,UTA,,NYK,W (+24),0,9,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,1,0,0.2,-3.0,-1
3,3,2020-01-10,7 in a row ? Yeah I like this ‼️ Good win my boys 😎,4,7,8,5.0,22,UTA,,CHO,W (+17),0,17,1,2,0.5,0,0,,0,0,,0,0,0,1,1,0,1,2,2,0.9,-8.0,1
4,4,2020-01-12,Can I hear 8 in a row ?? #TakeNote,5,8,9,6.0,22,UTA,@,WAS,W (+11),0,12,0,1,0.0,0,1,0.0,0,0,,0,4,4,0,0,0,0,1,0,0.1,1.0,-1
5,5,2020-01-12,Woke up this morning 8-0 😎 feels good,5,8,9,6.0,22,UTA,@,WAS,W (+11),0,12,0,1,0.0,0,1,0.0,0,0,,0,4,4,0,0,0,0,1,0,0.1,1.0,1
6,6,2020-08-05,Back in that mode again.,15,37,38,16.0,22,UTA,,MEM,W (+9),0,7,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,0,1,2,1,-1.2,-4.0,0
7,7,2020-08-05,Phone calls from my momma just to put me back on track,15,37,38,16.0,22,UTA,,MEM,W (+9),0,7,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,0,1,2,1,-1.2,-4.0,0
8,8,2020-08-10,✍🏾,18,40,41,19.0,22,UTA,,DAL,L (-8),0,28,4,7,0.571,1,3,0.333,8,9,0.889,0,3,3,1,0,1,1,0,17,14.6,-7.0,0
9,9,2020-08-10,"Once they see where you come from all the 🤬 that you had to go through, they don’t understand",18,40,41,19.0,22,UTA,,DAL,L (-8),0,28,4,7,0.571,1,3,0.333,8,9,0.889,0,3,3,1,0,1,1,0,17,14.6,-7.0,0
10,10,2020-08-10,I been wearing my arm sleeve on the wrong arm 🤦🏽‍♂️🤣,18,40,41,19.0,22,UTA,,DAL,L (-8),0,28,4,7,0.571,1,3,0.333,8,9,0.889,0,3,3,1,0,1,1,0,17,14.6,-7.0,-1
11,11,2020-08-13,Can a Carolina boy get some of them dreamers 👀 @JColeNC @PUMAHoops,19,41,42,20.0,22,UTA,,SAS,W (+6),0,24,6,12,0.5,1,4,0.25,5,5,1.0,0,2,2,1,0,0,0,0,18,13.3,-7.0,0
12,12,2020-08-13,Ask anyone from my city if they thought I’d be here bet you they say nah #BTO,19,41,42,20.0,22,UTA,,SAS,W (+6),0,24,6,12,0.5,1,4,0.25,5,5,1.0,0,2,2,1,0,0,0,0,18,13.3,-7.0,0
13,13,2020-08-21,Wake up every morning hit my knees and I pray. Because we finally made a way,21,44,3,2.0,22,UTA,,DEN,W (+37),0,9,2,5,0.4,1,3,0.333,0,0,,0,0,0,0,0,0,1,0,5,1.3,-2.0,1
14,14,2021-04-24,“Trust and believe Dat”,32,63,44,11.0,23,PHI,@,MIL,L (-38),0,6,1,1,1.0,1,1,1.0,3,4,0.75,0,0,0,0,0,0,0,1,6,4.9,-14.0,1
15,15,2021-04-24,You make me wanna do better 💚🔒,32,63,44,11.0,23,PHI,@,MIL,L (-38),0,6,1,1,1.0,1,1,1.0,3,4,0.75,0,0,0,0,0,0,0,1,6,4.9,-14.0,1
16,16,2021-04-24,"Love you lil bro , miss you 💔🥺 #LLTC5 https://t.co/w0fqiwNJLV",32,63,44,11.0,23,PHI,@,MIL,L (-38),0,6,1,1,1.0,1,1,1.0,3,4,0.75,0,0,0,0,0,0,0,1,6,4.9,-14.0,-1
17,17,2021-05-16,Gotta stay patient and trust God he the coach 💚🤞🏽,35,75,56,14.0,23,PHI,,ORL,W (+11),0,18,4,5,0.8,0,0,,2,5,0.4,0,2,2,1,0,0,1,2,10,6.4,-13.0,1
