,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2012-11-05,😡,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
1,1,2012-11-05,what type of person pray that another person does bad ?,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
2,2,2012-11-05,"""forgive those who trespass against us""",0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
3,3,2012-11-05,Oh yeah !!! #BROOKLYN,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
4,4,2012-11-05,Fresh air and food !!!!,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
5,5,2012-11-05,!!!! “@Sheldon_35: understand me- cheif keef”,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
6,6,2012-11-05,""" Something about her ..probably can't live without her """,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
7,7,2012-11-05,"!!!!! “@Joshski23: Forget the drama, forget the BS, just enjoy your life.”",0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,1
8,8,2012-11-05,"""Remind yourself..nobody built like you ..you designed yourself""",0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,-1
9,9,2012-11-05,don't follow you ..but knows everything you tweet &lt;&lt;&lt; #stalkers,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
10,10,2012-11-05,suckaishh .. Can't steal my joy !!,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,-1
11,11,2012-11-05,I'm hungry with a headache ..,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,-1
12,12,2012-11-05,"""More money more problems""",0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,-1
13,13,2012-11-05,#ibechillin http://t.co/ZDlQGLv9,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
14,14,2012-11-05,I sleep good I eat good ..,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,1
15,15,2012-11-05,Tee.Y is my name ..and I'm real that's what they say !! http://t.co/gJ52kt1Z,0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,0
16,16,2012-11-05,"thank you for every blessing you gave me, forgive me for my sins all of them &amp; and lead me in the right direction cus it's easy to get lost",0,1,2,1.0,22,BRK,,MIN,L (-11),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,1,0,1,0,2,2.4,4,1
17,17,2012-11-09,"!!!!! “@JayZClassicBars: ""Every day I'm livin wit stress / Got up out da streets you'd think a youngin could rest"" #LuckyMe”",2,3,4,3.0,22,BRK,@,ORL,W (+39),0,9,2,4,0.5,0,0,,1,2,0.5,0,0,0,0,2,0,2,1,5,2.2,7,-1
18,18,2012-11-09,(Made with tweegram App) http://t.co/oE4FCR82,2,3,4,3.0,22,BRK,@,ORL,W (+39),0,9,2,4,0.5,0,0,,1,2,0.5,0,0,0,0,2,0,2,1,5,2.2,7,0
19,19,2012-11-09,didn't kno if it was possible for anybody to be cooler than me but ... http://t.co/sc6JdF9D,2,3,4,3.0,22,BRK,@,ORL,W (+39),0,9,2,4,0.5,0,0,,1,2,0.5,0,0,0,0,2,0,2,1,5,2.2,7,0
20,20,2012-12-26,MERRY CHRISTMAS !!!,11,27,28,12.0,22,BRK,@,MIL,L (-15),0,20,3,6,0.5,1,2,0.5,0,0,,0,1,1,1,1,0,2,1,7,3.6,-6,0
21,21,2012-12-28,"watching ""casino"" ..chillin ✌",12,28,29,13.0,22,BRK,,CHA,W (+16),0,6,1,5,0.2,0,1,0.0,0,0,,0,0,0,0,1,0,0,1,2,-0.5,-7,0
22,22,2012-12-28,"""Your in no position to challenge my expertise""",12,28,29,13.0,22,BRK,,CHA,W (+16),0,6,1,5,0.2,0,1,0.0,0,0,,0,0,0,0,1,0,0,1,2,-0.5,-7,0
23,23,2013-01-02,“@Marshon2: Room service won't answer the phone” word I jus called twice !!! #wtfbro,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,0
24,24,2013-01-02,happy new year ;;,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,1
25,25,2013-01-02,http://t.co/jvMlaZEn,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,0
26,26,2013-01-02,and it's only uphill from here ..,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,0
27,27,2013-01-02,Safe touchdown ... okc !!,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,0
28,28,2013-01-02,in my hotel room .. ima listen to my music until it take me away !! #2013,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,-1
29,29,2013-01-02,"""and I jus spend money because spending time is hopeless .. """,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,-1
30,30,2013-01-02,“@KEMO_MMR: @tyshawntaylor happy New Years bro !!! #MMR” #salute you And your homies,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,1
31,31,2013-01-02,!! “@Trobinson0: My whole life changed this past year gained some lost allot but the grind must go on #teamfoe”,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,-1
32,32,2013-01-02,I'll never forget this year .. For so many reasons ..,14,31,32,15.0,22,BRK,@,OKC,W (+17),0,9,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.8,-1,-1
33,33,2013-01-05,Happy birthday homie ..happy birthday homeboy lol ... @MrFontan1 ... Happy bday my brother .. Love you to death kid !!,16,33,34,17.0,22,BRK,,SAC,W (+20),0,5,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-2,1
34,34,2013-01-05,on the phone with my mom she giving me the play by play of @MrFontan1 game ..she mad hype,16,33,34,17.0,22,BRK,,SAC,W (+20),0,5,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-2,-1
35,35,2013-01-05,!!!! “@ReggieEvans30: @tyshawntaylor O YA!!!!!!!!!!”,16,33,34,17.0,22,BRK,,SAC,W (+20),0,5,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-2,0
36,36,2013-01-05,"#shhhhiiiidddddsonnnnn 
( @ReggieEvans30 voice )",16,33,34,17.0,22,BRK,,SAC,W (+20),0,5,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,0,1,2,-0.1,-2,0
37,37,2013-01-30,""" you'll meet everybody I kno .. at first it might seem like a lot but they all playing they role ..put that on everything that I got """,22,45,46,23.0,22,BRK,,MIA,L (-20),0,5,0,1,0.0,0,0,,1,2,0.5,0,0,0,0,0,0,0,0,1,-0.1,1,1
38,38,2013-02-11,“@jaz_meann: @tyshawntaylor that really looks like you !” Lol you slow that is me it's like a espn thing on the game not that actually game,25,51,52,26.0,22,BRK,@,IND,W (+5),0,34,5,9,0.556,0,0,,2,4,0.5,0,2,2,2,0,0,2,2,12,6.1,3,-1
39,39,2013-02-13,“@ShedRolliNNN: @tyshawntaylor keep showing that grind off bro!” You already kno,26,52,53,27.0,22,BRK,,DEN,W (+11),0,16,2,5,0.4,2,3,0.667,0,0,,0,3,3,4,1,0,1,3,6,5.8,-5,-1
40,40,2013-02-13,“@Oliver_Twist3: @tyshawntaylor I see you got a chance tonight bro keep it up” thanks bro,26,52,53,27.0,22,BRK,,DEN,W (+11),0,16,2,5,0.4,2,3,0.667,0,0,,0,3,3,4,1,0,1,3,6,5.8,-5,1
41,41,2013-02-13,“@christin_hill: That's what the fuck I'm talking Black @tyshawntaylor love ya!” Lol thanks black ..love you too,26,52,53,27.0,22,BRK,,DEN,W (+11),0,16,2,5,0.4,2,3,0.667,0,0,,0,3,3,4,1,0,1,3,6,5.8,-5,-1
42,42,2013-02-13,“@s_rae24: @tyshawntaylor Killed it tonight!!!!!!!!!! Point. Blank. Period. #hellobrooklyn 👏👏” oh thanks :),26,52,53,27.0,22,BRK,,DEN,W (+11),0,16,2,5,0.4,2,3,0.667,0,0,,0,3,3,4,1,0,1,3,6,5.8,-5,0
43,43,2013-02-13,"!!!“@JayZClassicBars: ""Er'body look at you strange, say you changed /... like you work that hard to stay the same"" #Grammy_Family_Freestyle”",26,52,53,27.0,22,BRK,,DEN,W (+11),0,16,2,5,0.4,2,3,0.667,0,0,,0,3,3,4,1,0,1,3,6,5.8,-5,1
44,44,2013-03-29,Jus waiting .....,32,71,72,33.0,22,BRK,@,DEN,L (-22),0,6,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,2,0.3,-10,0
45,45,2013-03-29,😴😴..,32,71,72,33.0,22,BRK,@,DEN,L (-22),0,6,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,2,0.3,-10,0
46,46,2013-03-29,sup Denver .. http://t.co/d1EnK008wA,32,71,72,33.0,22,BRK,@,DEN,L (-22),0,6,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,2,0.3,-10,-1
47,47,2013-03-29,they ain't yours bruh .. they the games,32,71,72,33.0,22,BRK,@,DEN,L (-22),0,6,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,2,0.3,-10,-1
48,48,2013-03-29,time difference got my f' up .. it's 730 ..I'm going back to sleep ...,32,71,72,33.0,22,BRK,@,DEN,L (-22),0,6,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,2,0.3,-10,1
49,49,2013-03-29,Safe touchdown ...,32,71,72,33.0,22,BRK,@,DEN,L (-22),0,6,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,2,0.3,-10,0
50,50,2013-03-29,This more like it ...,32,71,72,33.0,22,BRK,@,DEN,L (-22),0,6,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,2,0.3,-10,0
51,51,2013-03-29,I jus realized something ...,32,71,72,33.0,22,BRK,@,DEN,L (-22),0,6,1,3,0.333,0,1,0.0,0,0,,0,0,0,0,1,0,1,0,2,0.3,-10,0
