,Unnamed: 0,Date,tweets,Unnamed: 0.1,Unnamed: 0.1.1,Rk,G,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,emotion
0,0,2009-10-28,Orlando ... First step to a new beginning and new journey .... Stratch out everything from the past ... Look at tommorrow n the future,0,0,1,1.0,21,PHI,@,ORL,L (-14),1,32,3,9,0.333,1,3,0.333,1,2,0.5,1,3,4,3,1,1,2,0,8,5.9,-15,1
1,1,2009-10-28,Goodmorning twitfam Practice shots afterwards then weights ....ya dig,0,0,1,1.0,21,PHI,@,ORL,L (-14),1,32,3,9,0.333,1,3,0.333,1,2,0.5,1,3,4,3,1,1,2,0,8,5.9,-15,0
2,2,2009-10-28,"Champions aren't made in gyms. Champions are made from something they have deep inside them - a desire, a dream, a vision.",0,0,1,1.0,21,PHI,@,ORL,L (-14),1,32,3,9,0.333,1,3,0.333,1,2,0.5,1,3,4,3,1,1,2,0,8,5.9,-15,0
3,3,2009-10-30,Up early headin to gym got lots of work to do ....,1,1,2,2.0,21,PHI,,MIL,W (+13),1,38,5,10,0.5,0,3,0.0,3,3,1.0,0,4,4,4,1,0,1,1,13,11.6,8,0
4,4,2009-10-30,Goodnite twitfam,1,1,2,2.0,21,PHI,,MIL,W (+13),1,38,5,10,0.5,0,3,0.0,3,3,1.0,0,4,4,4,1,0,1,1,13,11.6,8,0
5,5,2009-10-30,Headache,1,1,2,2.0,21,PHI,,MIL,W (+13),1,38,5,10,0.5,0,3,0.0,3,3,1.0,0,4,4,4,1,0,1,1,13,11.6,8,0
6,6,2009-10-31,Goodmorning homeopener,2,2,3,3.0,21,PHI,@,NYK,W (+14),1,45,9,14,0.643,0,0,,7,8,0.875,2,1,3,2,2,0,2,4,25,19.9,11,0
7,7,2009-10-31,Traffic,2,2,3,3.0,21,PHI,@,NYK,W (+14),1,45,9,14,0.643,0,0,,7,8,0.875,2,1,3,2,2,0,2,4,25,19.9,11,0
8,8,2009-11-03,On dat Weezy no ceilings mixtape right now ....RIP --- he killed dat ... Lmao,3,3,4,4.0,21,PHI,,BOS,L (-31),1,37,4,16,0.25,0,4,0.0,3,4,0.75,1,1,2,2,1,0,4,0,11,0.4,-29,-1
9,9,2009-11-03,www.thadyoung.com coming soon,3,3,4,4.0,21,PHI,,BOS,L (-31),1,37,4,16,0.25,0,4,0.0,3,4,0.75,1,1,2,2,1,0,4,0,11,0.4,-29,0
