,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2017-10-17,22,GSW,,HOU,L (-1),0,12,4,5,0.8,0,0,,0,0,,0,1,1,1,0,0,1,4,8,4.5,-2
1,1,2,2.0,2017-10-20,22,GSW,@,NOP,W (+8),0,5,2,2,1.0,0,0,,0,0,,1,1,2,0,1,0,0,0,4,5.4,6
3,3,4,4.0,2017-10-23,22,GSW,@,DAL,W (+30),0,10,3,3,1.0,0,0,,0,1,0.0,1,3,4,2,0,1,1,2,6,6.6,14
4,4,5,5.0,2017-10-25,22,GSW,,TOR,W (+5),0,10,3,4,0.75,0,0,,0,0,,1,1,2,0,1,1,1,2,6,5.3,3
5,7,8,6.0,2017-10-30,22,GSW,@,LAC,W (+28),0,12,4,4,1.0,0,0,,0,0,,1,1,2,2,1,0,0,2,8,9.4,10
6,8,9,7.0,2017-11-02,22,GSW,@,SAS,W (+20),0,12,1,4,0.25,0,0,,0,0,,2,3,5,3,2,1,1,2,2,4.9,12
7,9,10,8.0,2017-11-04,22,GSW,@,DEN,W (+19),0,9,0,2,0.0,0,0,,0,0,,0,1,1,0,0,1,0,3,0,-1.6,-10
8,10,11,9.0,2017-11-06,22,GSW,,MIA,W (+17),0,12,1,1,1.0,0,0,,0,0,,0,2,2,0,0,1,1,0,2,2.0,7
9,11,12,10.0,2017-11-08,22,GSW,,MIN,W (+24),0,6,0,0,,0,0,,0,0,,1,1,2,1,0,0,0,1,0,1.3,1
10,12,13,11.0,2017-11-11,22,GSW,,PHI,W (+21),0,8,1,2,0.5,0,0,,0,0,,1,1,2,2,0,0,2,2,2,0.6,1
12,18,19,13.0,2017-11-24,22,GSW,,CHI,W (+49),1,26,3,4,0.75,0,0,,1,1,1.0,2,4,6,4,2,6,1,4,7,14.4,20
13,19,20,14.0,2017-11-25,22,GSW,,NOP,W (+15),0,7,0,0,,0,0,,0,0,,1,4,5,1,0,0,0,2,0,1.8,5
14,20,21,15.0,2017-11-27,22,GSW,,SAC,L (-4),0,6,2,2,1.0,0,0,,0,0,,3,2,5,0,0,1,0,1,4,6.4,1
15,21,22,16.0,2017-11-29,22,GSW,@,LAL,W (+4),0,12,3,4,0.75,0,0,,0,0,,1,3,4,0,2,1,3,1,6,5.3,5
16,22,23,17.0,2017-12-01,22,GSW,@,ORL,W (+21),0,16,8,10,0.8,0,0,,0,0,,2,3,5,0,1,3,0,1,16,17.2,-3
17,23,24,18.0,2017-12-03,22,GSW,@,MIA,W (+28),0,13,2,3,0.667,0,0,,0,0,,1,2,3,1,0,1,0,0,4,5.4,0
18,24,25,19.0,2017-12-04,22,GSW,@,NOP,W (+10),0,12,2,2,1.0,0,0,,0,0,,1,0,1,0,1,0,2,1,4,2.7,-3
19,25,26,20.0,2017-12-06,22,GSW,@,CHO,W (+14),1,20,0,2,0.0,0,0,,0,0,,1,4,5,4,0,3,0,3,0,4.2,2
20,26,27,21.0,2017-12-08,22,GSW,@,DET,W (+4),0,9,2,2,1.0,0,0,,0,0,,1,1,2,1,0,1,1,1,4,4.4,12
21,27,28,22.0,2017-12-11,22,GSW,,POR,W (+7),1,26,5,6,0.833,0,0,,1,2,0.5,1,5,6,2,1,1,2,3,11,10.5,14
22,28,29,23.0,2017-12-14,22,GSW,,DAL,W (+15),1,24,4,5,0.8,0,0,,0,0,,1,5,6,8,2,0,2,2,8,13.1,8
23,29,30,24.0,2017-12-18,22,GSW,@,LAL,W (+2),1,24,2,5,0.4,0,0,,2,2,1.0,0,1,1,2,0,4,1,6,6,4.4,-10
24,30,31,25.0,2017-12-20,22,GSW,,MEM,W (+13),1,26,1,1,1.0,0,0,,2,2,1.0,1,1,2,5,2,1,4,3,4,5.7,-3
25,31,32,26.0,2017-12-22,22,GSW,,LAL,W (+7),1,25,9,13,0.692,0,0,,2,2,1.0,6,4,10,3,1,1,1,4,20,21.1,22
26,32,33,27.0,2017-12-23,22,GSW,,DEN,L (-15),1,22,3,5,0.6,0,0,,1,2,0.5,4,6,10,2,2,2,4,2,7,8.9,-7
27,33,34,28.0,2017-12-25,22,GSW,,CLE,W (+7),1,26,4,7,0.571,0,1,0.0,0,0,,3,4,7,3,1,0,1,2,8,9.3,3
28,34,35,29.0,2017-12-27,22,GSW,,UTA,W (+25),0,22,2,6,0.333,0,0,,1,3,0.333,2,11,13,7,1,0,1,4,5,8.8,17
29,35,36,30.0,2017-12-29,22,GSW,,CHO,L (-11),0,20,3,7,0.429,0,1,0.0,2,2,1.0,1,4,5,2,2,1,1,2,8,8.5,5
30,36,37,31.0,2017-12-30,22,GSW,,MEM,W (+13),0,19,4,4,1.0,0,0,,3,4,0.75,0,3,3,2,1,4,2,0,11,13.5,-1
31,37,38,32.0,2018-01-03,22,GSW,@,DAL,W (+3),0,20,0,3,0.0,0,0,,2,2,1.0,2,2,4,1,2,0,0,4,2,3.0,10
32,38,39,33.0,2018-01-04,22,GSW,@,HOU,W (+10),0,6,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,-5
33,39,40,34.0,2018-01-06,22,GSW,@,LAC,W (+16),0,16,1,3,0.333,0,1,0.0,1,2,0.5,0,6,6,5,0,1,2,2,3,4.1,-3
34,40,41,35.0,2018-01-08,23,GSW,,DEN,W (+10),0,19,3,4,0.75,0,0,,0,3,0.0,2,6,8,2,0,1,0,1,6,8.1,12
35,41,42,36.0,2018-01-10,23,GSW,,LAC,L (-19),0,14,3,3,1.0,0,0,,0,0,,0,3,3,2,0,1,2,3,6,4.9,6
36,44,45,37.0,2018-01-15,23,GSW,@,CLE,W (+10),1,14,2,3,0.667,0,0,,2,2,1.0,1,2,3,0,0,0,1,1,6,4.6,-5
38,60,61,39.0,2018-02-26,23,GSW,@,NYK,W (+14),0,13,1,1,1.0,0,0,,1,2,0.5,1,0,1,3,0,1,0,0,3,5.8,-4
39,61,62,40.0,2018-02-28,23,GSW,@,WAS,W (+8),0,7,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,0,1,2,2.3,-6
40,62,63,41.0,2018-03-02,23,GSW,@,ATL,W (+5),0,8,0,3,0.0,0,0,,0,0,,1,3,4,1,1,0,2,0,0,-0.8,5
41,63,64,42.0,2018-03-06,23,GSW,,BRK,W (+13),0,10,2,2,1.0,0,0,,1,1,1.0,0,2,2,0,0,2,0,2,5,5.6,24
42,67,68,43.0,2018-03-14,23,GSW,,LAL,W (+11),0,18,1,1,1.0,0,0,,4,4,1.0,1,2,3,2,1,1,0,1,6,9.7,-5
43,68,69,44.0,2018-03-16,23,GSW,,SAC,L (-5),0,12,0,1,0.0,0,0,,0,0,,0,2,2,2,0,0,2,2,0,-1.5,-5
44,69,70,45.0,2018-03-17,23,GSW,@,PHO,W (+15),0,18,2,3,0.667,0,0,,0,0,,0,2,2,4,2,2,0,3,4,8.3,-8
45,70,71,46.0,2018-03-19,23,GSW,@,SAS,L (-14),0,23,0,3,0.0,0,0,,1,2,0.5,0,3,3,1,0,2,1,4,1,-1.1,-5
46,71,72,47.0,2018-03-23,23,GSW,,ATL,W (+12),1,28,5,8,0.625,0,0,,2,3,0.667,2,5,7,4,1,1,1,2,12,13.6,14
47,72,73,48.0,2018-03-25,23,GSW,,UTA,L (-19),0,18,3,4,0.75,0,0,,0,0,,0,4,4,4,1,0,0,1,6,9.0,-3
48,73,74,49.0,2018-03-27,23,GSW,,IND,L (-11),1,23,2,7,0.286,0,0,,0,0,,4,3,7,3,0,4,0,0,4,8.5,-7
49,74,75,50.0,2018-03-29,23,GSW,,MIL,L (-9),0,8,0,0,,0,0,,0,0,,1,2,3,2,1,0,1,1,0,2.3,-1
50,75,76,51.0,2018-03-31,23,GSW,@,SAC,W (+16),0,8,1,1,1.0,0,0,,0,0,,0,2,2,1,0,1,0,0,2,3.7,11
51,76,77,52.0,2018-04-01,23,GSW,,PHO,W (+10),0,16,5,7,0.714,0,0,,0,0,,1,4,5,1,1,0,1,0,10,9.7,9
52,77,78,53.0,2018-04-03,23,GSW,@,OKC,W (+4),0,19,3,6,0.5,0,0,,0,0,,2,5,7,2,0,2,0,0,6,8.7,9
53,78,79,54.0,2018-04-05,23,GSW,@,IND,L (-20),0,11,2,3,0.667,0,0,,0,0,,1,1,2,2,0,0,0,1,4,4.7,-7
54,79,80,55.0,2018-04-07,23,GSW,,NOP,L (-6),0,5,0,0,,0,0,,1,2,0.5,0,1,1,0,0,0,2,0,1,-1.1,-7
