,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2014-10-29,19,MIN,@,MEM,L (-4),1,19,2,5,0.4,1,1,1.0,1,2,0.5,1,2,3,1,2,0,2,4,6,3.3,-4
1,1,2,2.0,2014-10-30,19,MIN,,DET,W (+6),1,24,4,9,0.444,0,0,,0,3,0.0,0,4,4,1,1,0,3,1,8,1.6,13
2,2,3,3.0,2014-11-01,19,MIN,,CHI,L (-1),1,31,3,10,0.3,0,2,0.0,2,2,1.0,3,3,6,0,2,2,3,5,8,3.6,3
3,3,4,4.0,2014-11-05,19,MIN,@,BRK,W (+7),1,37,7,12,0.583,1,1,1.0,2,4,0.5,0,4,4,1,1,0,1,2,17,11.7,23
4,4,5,5.0,2014-11-07,19,MIN,@,ORL,L (-9),1,25,3,6,0.5,0,0,,0,0,,1,2,3,1,1,1,0,2,6,5.9,-7
5,5,6,6.0,2014-11-08,19,MIN,@,MIA,L (-10),1,28,3,9,0.333,0,1,0.0,4,5,0.8,0,1,1,2,0,0,1,2,10,4.4,-18
6,6,7,7.0,2014-11-12,19,MIN,,HOU,L (-12),1,32,6,13,0.462,1,2,0.5,2,2,1.0,0,1,1,0,0,1,4,4,15,3.7,-5
7,7,8,8.0,2014-11-14,19,MIN,@,NOP,L (-48),1,23,7,10,0.7,2,2,1.0,4,6,0.667,2,3,5,1,0,0,3,2,20,14.2,-27
8,8,9,9.0,2014-11-15,19,MIN,@,DAL,L (-14),1,23,2,6,0.333,0,0,,1,2,0.5,2,1,3,0,1,0,1,1,5,2.5,-12
9,9,10,10.0,2014-11-19,19,MIN,,NYK,W (+16),1,29,4,13,0.308,1,1,1.0,3,4,0.75,2,2,4,0,1,0,5,0,12,2.1,10
10,10,11,11.0,2014-11-21,19,MIN,,SAS,L (-29),1,33,5,14,0.357,0,2,0.0,4,5,0.8,0,3,3,1,2,0,1,2,14,7.6,-14
11,11,12,12.0,2014-11-22,19,MIN,,SAC,L (-12),1,41,9,22,0.409,2,4,0.5,9,10,0.9,1,4,5,2,4,1,1,1,29,23.4,-5
12,12,13,13.0,2014-11-26,19,MIN,,MIL,L (-17),1,39,4,14,0.286,2,4,0.5,4,8,0.5,3,5,8,4,1,2,6,2,14,6.2,-9
13,13,14,14.0,2014-11-28,19,MIN,@,LAL,W (+1),1,30,1,6,0.167,0,2,0.0,1,1,1.0,0,5,5,1,1,0,3,2,3,-1.4,6
14,14,15,15.0,2014-11-30,19,MIN,@,POR,L (-14),1,18,3,8,0.375,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,7,2.9,-4
15,15,16,16.0,2014-12-01,19,MIN,@,LAC,L (-26),1,26,4,11,0.364,0,0,,6,9,0.667,0,1,1,2,1,0,2,3,14,6.2,-17
