,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,5,6,1.0,2012-11-09,23,GSW,@,LAL,L (-24),0,6,0,4,0.0,0,0,,0,0,,1,1,2,1,0,2,0,0,0,0.3,2
11,23,24,12.0,2012-12-15,23,GSW,@,ATL,W (+22),0,5,2,3,0.667,0,0,,0,0,,0,0,0,1,0,0,0,1,4,3.0,-2
17,32,33,18.0,2013-01-05,23,GSW,@,LAC,L (-26),0,12,3,6,0.5,0,2,0.0,0,2,0.0,0,1,1,0,0,0,1,0,6,1.5,11
21,36,37,22.0,2013-01-16,23,GSW,,MIA,L (-17),0,18,1,7,0.143,1,3,0.333,3,4,0.75,1,3,4,5,1,0,1,1,6,5.8,10
22,37,38,23.0,2013-01-18,23,GSW,@,SAS,L (-7),0,6,0,0,,0,0,,0,0,,0,4,4,0,0,0,0,0,0,1.2,1
26,41,42,27.0,2013-01-25,23,GSW,@,CHI,L (-16),0,5,0,2,0.0,0,0,,4,6,0.667,1,0,1,0,0,0,0,0,4,2.5,1
29,44,45,30.0,2013-01-29,23,GSW,@,CLE,W (+13),0,30,4,8,0.5,1,1,1.0,0,0,,0,2,2,3,2,0,2,4,9,6.1,10
32,47,48,33.0,2013-02-05,23,GSW,@,HOU,L (-31),0,24,2,8,0.25,0,1,0.0,2,6,0.333,1,0,1,0,1,1,1,4,6,-0.6,-8
33,48,49,34.0,2013-02-06,23,GSW,@,OKC,L (-21),0,16,4,8,0.5,1,3,0.333,2,2,1.0,0,2,2,2,0,0,3,2,11,5.2,-11
34,49,50,35.0,2013-02-08,23,GSW,@,MEM,L (-6),0,7,2,4,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,0,0,5,3.0,-7
35,50,51,36.0,2013-02-09,23,GSW,@,DAL,L (-25),0,20,3,11,0.273,0,3,0.0,1,4,0.25,0,0,0,2,1,0,0,3,7,0.5,-14
43,63,64,44.0,2013-03-09,23,GSW,,MIL,L (-10),0,5,1,1,1.0,0,0,,0,0,,0,0,0,0,1,0,1,1,2,1.3,-7
44,64,65,45.0,2013-03-11,23,GSW,,NYK,W (+29),0,5,2,4,0.5,1,2,0.5,0,0,,1,0,1,0,0,0,0,0,5,3.7,4
46,66,67,47.0,2013-03-15,23,GSW,,CHI,L (-18),0,12,5,6,0.833,2,2,1.0,2,2,1.0,0,1,1,0,1,0,0,1,14,12.7,13
48,68,69,49.0,2013-03-18,23,GSW,@,NOH,W (+21),0,5,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,1,0,0,0,2,2.0,4
49,69,70,50.0,2013-03-20,23,GSW,@,SAS,L (-11),0,6,1,2,0.5,0,1,0.0,3,4,0.75,0,0,0,0,2,0,2,0,5,3.6,1
53,73,74,54.0,2013-03-30,23,GSW,,POR,W (+27),0,6,3,5,0.6,1,2,0.5,0,0,,0,0,0,2,0,0,0,0,7,6.1,2
57,77,78,58.0,2013-04-09,23,GSW,,MIN,W (+16),0,6,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,2.3,-1
58,78,79,59.0,2013-04-11,23,GSW,,OKC,L (-19),0,8,2,5,0.4,0,1,0.0,0,2,0.0,0,0,0,1,1,0,1,0,4,1.2,-2
59,80,81,60.0,2013-04-15,23,GSW,,SAS,W (+10),0,7,0,1,0.0,0,0,,3,4,0.75,0,0,0,1,1,1,3,1,3,0.9,-6
70,94,1,1.0,2013-10-30,24,GSW,,LAL,W (+31),0,12,2,5,0.4,2,2,1.0,1,2,0.5,0,1,1,4,1,0,1,0,7,7.0,-3
72,96,3,3.0,2013-11-02,24,GSW,,SAC,W (+11),0,13,3,5,0.6,0,1,0.0,0,0,,1,1,2,0,0,0,1,2,6,2.9,-8
73,97,4,4.0,2013-11-04,24,GSW,@,PHI,W (+20),0,13,2,6,0.333,1,2,0.5,2,4,0.5,1,2,3,1,2,1,2,2,7,4.7,-15
75,100,7,6.0,2013-11-09,24,GSW,@,MEM,L (-18),0,7,1,3,0.333,0,1,0.0,1,2,0.5,0,0,0,1,1,0,1,0,3,1.6,2
76,101,8,7.0,2013-11-12,24,GSW,,DET,W (+18),0,9,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,3,3,3,-1.9,-6
79,105,12,10.0,2013-11-20,24,GSW,,MEM,L (-7),0,5,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-3
80,106,13,11.0,2013-11-22,24,GSW,@,LAL,L (-7),0,8,1,4,0.25,0,1,0.0,0,0,,0,2,2,0,0,0,1,2,2,-1.6,-12
81,107,14,12.0,2013-11-23,24,GSW,,POR,L (-12),0,11,1,2,0.5,0,0,,3,6,0.5,0,3,3,0,0,1,1,4,5,1.8,-15
84,113,20,15.0,2013-12-06,24,GSW,@,HOU,L (-22),0,17,4,6,0.667,1,3,0.333,3,4,0.75,0,3,3,1,1,0,2,2,12,8.8,-6
89,118,25,20.0,2013-12-15,24,GSW,@,PHO,L (-4),0,7,0,2,0.0,0,2,0.0,1,2,0.5,0,3,3,0,0,0,1,2,1,-1.7,6
90,119,26,21.0,2013-12-17,24,GSW,,NOP,W (+11),0,6,0,1,0.0,0,0,,1,2,0.5,0,2,2,0,0,1,1,2,1,-0.6,-9
91,120,27,22.0,2013-12-19,24,GSW,,SAS,L (-2),0,5,1,2,0.5,0,1,0.0,0,0,,0,0,0,0,0,0,2,2,2,-1.8,4
92,121,28,23.0,2013-12-21,24,GSW,,LAL,W (+19),0,11,2,5,0.4,1,1,1.0,0,0,,0,1,1,1,0,0,0,3,5,2.1,-1
93,122,29,24.0,2013-12-23,24,GSW,@,DEN,W (+8),0,5,2,4,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,0,1,5,2.9,1
94,123,30,25.0,2013-12-25,24,GSW,,LAC,W (+2),0,5,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,-4
95,124,31,26.0,2013-12-27,24,GSW,,PHO,W (+29),0,17,2,4,0.5,0,2,0.0,0,0,,1,4,5,2,2,0,1,1,4,5.9,8
97,126,33,28.0,2013-12-31,24,GSW,@,ORL,W (+13),0,17,4,9,0.444,2,4,0.5,2,4,0.5,1,2,3,3,0,0,2,3,12,6.7,-5
99,128,35,30.0,2014-01-03,24,GSW,@,ATL,W (+1),0,15,1,5,0.2,0,3,0.0,2,4,0.5,0,2,2,1,1,1,1,0,4,2.1,-9
100,129,36,31.0,2014-01-05,24,GSW,@,WAS,W (+16),0,9,1,4,0.25,0,2,0.0,0,0,,0,0,0,0,0,0,1,0,2,-1.4,-16
101,130,37,32.0,2014-01-07,24,GSW,@,MIL,W (+21),0,14,3,4,0.75,0,1,0.0,0,0,,1,0,1,1,1,1,1,1,6,6.1,13
113,145,52,44.0,2014-02-10,24,GSW,,PHI,W (+43),0,8,3,7,0.429,1,3,0.333,1,2,0.5,0,1,1,0,1,0,0,2,8,4.4,-4
114,148,55,45.0,2014-02-21,24,LAL,,BOS,W (+9),0,33,5,10,0.5,2,5,0.4,3,4,0.75,0,3,3,4,2,0,2,0,15,13.3,19
115,149,56,46.0,2014-02-23,24,LAL,,BRK,L (-6),1,29,6,13,0.462,1,3,0.333,4,6,0.667,0,0,0,1,2,0,4,3,17,7.0,-6
116,150,57,47.0,2014-02-25,24,LAL,@,IND,L (-20),1,39,8,19,0.421,1,5,0.2,6,8,0.75,0,4,4,3,3,0,3,5,23,13.4,-12
117,151,58,48.0,2014-02-26,24,LAL,@,MEM,L (-5),1,39,4,9,0.444,2,4,0.5,4,8,0.5,0,2,2,4,1,0,4,3,14,6.9,-5
118,152,59,49.0,2014-02-28,24,LAL,,SAC,W (+4),1,27,5,11,0.455,2,4,0.5,0,0,,1,5,6,0,2,2,2,2,12,9.1,-6
119,153,60,50.0,2014-03-03,24,LAL,@,POR,W (+1),1,28,5,9,0.556,4,5,0.8,0,2,0.0,0,7,7,2,0,0,2,3,14,9.2,4
120,154,61,51.0,2014-03-04,24,LAL,,NOP,L (-7),1,35,8,17,0.471,4,9,0.444,3,4,0.75,0,4,4,3,1,1,1,2,23,17.1,-7
121,155,62,52.0,2014-03-06,24,LAL,,LAC,L (-48),1,32,4,9,0.444,1,4,0.25,5,10,0.5,1,1,2,6,1,1,5,3,14,8.0,-29
122,156,63,53.0,2014-03-07,24,LAL,@,DEN,L (-8),1,16,1,3,0.333,1,3,0.333,0,0,,0,2,2,3,0,0,2,2,3,1.2,-14
123,157,64,54.0,2014-03-09,24,LAL,,OKC,W (+4),0,20,5,11,0.455,1,5,0.2,0,0,,0,7,7,2,0,1,1,1,11,8.1,-4
124,158,65,55.0,2014-03-13,24,LAL,@,OKC,L (-29),0,27,7,17,0.412,2,5,0.4,0,1,0.0,0,7,7,1,1,0,2,4,16,6.7,-19
125,159,66,56.0,2014-03-14,24,LAL,@,SAS,L (-34),0,26,3,9,0.333,0,2,0.0,4,6,0.667,0,3,3,1,1,0,1,1,10,5.3,-10
126,160,67,57.0,2014-03-19,24,LAL,,SAS,L (-16),0,29,5,11,0.455,3,7,0.429,0,0,,0,0,0,3,6,0,2,2,13,12.6,-2
127,161,68,58.0,2014-03-21,24,LAL,,WAS,L (-10),1,11,1,3,0.333,0,0,,1,3,0.333,0,0,0,1,0,0,2,1,3,-1.2,-17
128,162,69,59.0,2014-03-23,24,LAL,,ORL,W (+9),0,24,4,7,0.571,0,1,0.0,0,0,,0,2,2,8,1,0,0,4,8,10.3,0
129,163,70,60.0,2014-03-25,24,LAL,,NYK,W (+31),0,33,7,14,0.5,2,4,0.5,2,2,1.0,0,2,2,5,1,0,2,3,18,12.9,22
130,164,71,61.0,2014-03-27,24,LAL,@,MIL,L (-3),0,18,4,7,0.571,1,1,1.0,0,2,0.0,0,0,0,2,0,0,5,4,9,-0.3,-2
131,165,72,62.0,2014-03-28,24,LAL,@,MIN,L (-36),1,36,9,18,0.5,1,4,0.25,2,3,0.667,1,3,4,4,3,1,1,5,21,16.7,-23
132,166,73,63.0,2014-03-30,24,LAL,,PHO,W (+16),1,33,3,7,0.429,1,2,0.5,5,5,1.0,0,6,6,5,2,1,5,4,12,9.7,23
133,167,74,64.0,2014-04-01,24,LAL,,POR,L (-12),1,30,6,10,0.6,2,4,0.5,3,4,0.75,0,4,4,1,2,0,1,2,17,14.1,-20
134,168,75,65.0,2014-04-02,24,LAL,@,SAC,L (-5),1,31,6,18,0.333,2,6,0.333,0,0,,1,6,7,6,2,0,3,2,14,8.7,-4
135,169,76,66.0,2014-04-04,24,LAL,,DAL,L (-12),1,37,4,11,0.364,0,5,0.0,5,5,1.0,1,2,3,2,0,0,1,3,13,7.4,-8
136,170,77,67.0,2014-04-06,24,LAL,@,LAC,L (-23),1,11,1,3,0.333,0,1,0.0,0,0,,0,2,2,4,0,0,0,1,2,3.3,-1
137,171,1,1.0,2014-10-29,25,ATL,@,TOR,L (-7),0,11,1,2,0.5,0,0,,0,0,,0,1,1,0,1,1,0,1,2,2.6,-6
138,172,2,2.0,2014-11-01,25,ATL,,IND,W (+10),0,16,1,3,0.333,1,1,1.0,0,0,,1,3,4,2,0,0,2,1,3,1.9,9
139,173,3,3.0,2014-11-05,25,ATL,@,SAS,L (-2),0,11,1,5,0.2,0,1,0.0,0,2,0.0,0,1,1,1,0,0,0,2,2,-1.7,-5
141,177,7,5.0,2014-11-12,25,ATL,,UTA,W (+3),0,9,0,0,,0,0,,0,0,,0,0,0,0,2,0,1,3,0,-0.2,-4
142,179,9,6.0,2014-11-15,25,ATL,@,CLE,L (-33),0,26,2,8,0.25,0,2,0.0,0,0,,0,3,3,2,0,0,2,2,4,-1.3,-10
143,180,10,7.0,2014-11-18,25,ATL,,LAL,L (-5),0,5,0,1,0.0,0,1,0.0,2,2,1.0,0,1,1,0,0,0,0,1,2,1.2,-11
145,184,14,9.0,2014-11-28,25,ATL,,NOP,W (+9),0,15,1,3,0.333,0,1,0.0,1,3,0.333,1,4,5,0,0,2,0,1,3,3.4,-2
146,185,15,10.0,2014-11-29,25,ATL,,CHO,W (+30),0,22,0,3,0.0,0,1,0.0,0,0,,0,8,8,2,2,0,1,2,0,1.9,5
147,186,16,11.0,2014-12-02,25,ATL,,BOS,W (+4),0,10,3,3,1.0,1,1,1.0,0,0,,1,1,2,1,0,0,0,1,7,7.4,7
149,188,18,13.0,2014-12-05,25,ATL,@,BRK,W (+23),0,9,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,0,0,2,2,2,-1.2,-3
152,191,21,16.0,2014-12-10,25,ATL,,PHI,W (+16),0,5,2,3,0.667,0,0,,0,0,,0,1,1,0,0,0,0,1,4,2.6,-6
154,193,23,18.0,2014-12-13,25,ATL,@,ORL,L (-1),0,17,4,5,0.8,2,3,0.667,0,0,,0,2,2,1,0,0,0,3,10,8.2,-3
155,194,24,19.0,2014-12-15,25,ATL,,CHI,W (+7),0,18,1,5,0.2,0,2,0.0,3,3,1.0,0,4,4,1,0,2,0,3,5,4.0,4
156,195,25,20.0,2014-12-17,25,ATL,@,CLE,W (+29),0,20,3,7,0.429,2,3,0.667,1,2,0.5,0,4,4,4,0,2,1,2,9,8.5,23
157,196,26,21.0,2014-12-20,25,ATL,@,HOU,W (+7),0,12,1,3,0.333,0,0,,2,4,0.5,0,2,2,1,1,0,1,0,4,2.8,-3
