,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2,1.0,2014-12-01,28,MIN,@,LAC,L (-26),0,13,2,3,0.667,0,0,,3,4,0.75,1,5,6,2,1,2,1,2,7,9.5,7
1,3,4,2.0,2014-12-05,28,MIN,,HOU,L (-2),0,16,1,3,0.333,0,0,,0,0,,1,2,3,2,1,2,0,1,2,5.0,14
2,4,5,3.0,2014-12-06,28,MIN,@,SAS,L (-22),0,6,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,1,0,0.6,-1
3,5,6,4.0,2014-12-08,28,MIN,,GSW,L (-16),0,6,0,1,0.0,0,0,,1,2,0.5,1,1,2,0,0,0,0,0,1,0.9,1
4,6,7,5.0,2014-12-10,28,MIN,,POR,W (+8),0,26,3,7,0.429,0,0,,2,4,0.5,4,7,11,2,0,2,2,3,8,8.0,2
5,7,8,6.0,2014-12-12,28,MIN,,OKC,L (-19),0,5,1,1,1.0,0,0,,2,3,0.667,0,2,2,0,0,0,0,1,4,3.5,-4
6,8,9,7.0,2014-12-14,28,MIN,,LAL,L (-6),0,6,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,1,0,0.9,-1
7,9,10,8.0,2014-12-16,28,MIN,@,WAS,L (-14),0,11,2,2,1.0,0,0,,0,3,0.0,0,6,6,1,0,1,0,2,4,4.6,-3
8,10,11,9.0,2014-12-19,28,MIN,@,BOS,L (-16),0,15,1,2,0.5,0,0,,1,4,0.25,2,5,7,1,0,0,2,1,3,2.0,-3
9,11,12,10.0,2014-12-21,28,MIN,,IND,L (-4),0,13,0,0,,0,0,,1,2,0.5,0,6,6,1,1,1,0,2,1,4.0,-6
10,12,13,11.0,2014-12-23,28,MIN,@,CLE,L (-21),0,12,1,2,0.5,0,0,,0,0,,2,1,3,1,0,0,0,2,2,2.6,-14
11,13,14,12.0,2014-12-26,28,MIN,@,DEN,L (-4),0,12,2,5,0.4,0,0,,2,3,0.667,2,2,4,2,1,0,1,3,6,5.1,-3
12,14,15,13.0,2014-12-27,28,MIN,@,GSW,L (-13),0,16,1,3,0.333,0,0,,3,4,0.75,3,3,6,1,0,0,3,3,5,2.4,-1
13,15,16,14.0,2014-12-30,28,MIN,@,UTA,L (-6),0,14,1,3,0.333,0,0,,3,5,0.6,0,5,5,0,0,0,0,2,5,3.2,1
14,16,17,15.0,2015-01-01,28,MIN,,SAC,L (-3),0,18,3,5,0.6,0,0,,4,4,1.0,1,1,2,0,0,0,0,3,10,7.5,11
15,17,18,16.0,2015-01-03,28,MIN,,UTA,L (-12),0,15,1,5,0.2,0,0,,0,0,,4,4,8,1,0,0,0,2,2,2.8,1
16,18,19,17.0,2015-01-05,28,MIN,,DEN,L (-9),0,11,0,2,0.0,0,0,,0,0,,1,1,2,0,0,1,0,1,0,-0.1,-15
