,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,2,3,2.0,2014-11-03,26,NOP,@,MEM,L (-12),0,10,2,3,0.667,0,0,,1,2,0.5,0,1,1,0,0,0,0,3,5,2.4,2
2,3,4,3.0,2014-11-04,26,NOP,,CHO,W (+9),0,5,1,3,0.333,0,0,,0,0,,1,1,2,0,0,0,2,5,2,-2.7,-7
3,4,5,4.0,2014-11-08,26,NOP,@,SAS,W (+1),0,9,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,0,3,2,1.1,0
4,6,7,5.0,2014-11-12,26,NOP,,LAL,W (+7),0,12,1,2,0.5,0,0,,4,5,0.8,0,1,1,0,0,1,0,3,6,4.4,-9
5,7,8,6.0,2014-11-14,26,NOP,,MIN,W (+48),0,13,1,2,0.5,0,0,,0,0,,0,5,5,1,1,0,2,2,2,1.4,5
6,8,9,7.0,2014-11-17,26,NOP,@,POR,L (-9),1,16,3,5,0.6,0,0,,0,0,,2,5,7,0,0,1,3,4,6,2.7,-1
7,9,10,8.0,2014-11-18,26,NOP,@,SAC,W (+6),1,20,2,2,1.0,0,0,,1,2,0.5,1,4,5,0,0,0,0,4,5,4.3,0
8,10,11,9.0,2014-11-21,26,NOP,@,DEN,L (-20),1,21,3,4,0.75,0,0,,6,6,1.0,3,5,8,1,0,0,1,1,12,13.3,-3
9,11,12,10.0,2014-11-22,26,NOP,@,UTA,W (+12),1,19,3,4,0.75,0,0,,0,0,,4,1,5,1,0,2,2,3,6,6.4,0
11,15,16,12.0,2014-12-02,26,NOP,,OKC,W (+8),0,6,0,1,0.0,0,0,,2,2,1.0,0,0,0,0,0,0,0,3,2,0.1,-10
12,17,18,13.0,2014-12-06,26,NOP,@,LAC,L (-20),0,9,2,2,1.0,0,0,,0,2,0.0,2,5,7,0,0,0,0,0,4,5.5,10
13,18,19,14.0,2014-12-07,26,NOP,@,LAL,W (+17),0,10,4,4,1.0,0,0,,2,4,0.5,0,2,2,1,0,0,1,1,10,7.9,-4
14,19,20,15.0,2014-12-09,26,NOP,,NYK,W (+11),0,5,1,1,1.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,1,4,3.6,-3
16,25,26,17.0,2014-12-20,26,NOP,,POR,L (-26),0,15,4,7,0.571,0,0,,2,2,1.0,4,9,13,0,1,0,2,1,10,10.8,3
17,26,27,18.0,2014-12-21,26,NOP,@,OKC,W (+2),0,11,5,7,0.714,0,0,,0,0,,1,2,3,0,1,1,0,2,10,9.3,6
18,27,28,19.0,2014-12-23,26,NOP,@,IND,L (-12),0,11,1,1,1.0,0,0,,0,0,,0,2,2,1,0,1,2,1,2,1.3,-10
19,28,29,20.0,2014-12-26,26,NOP,,SAS,W (+7),0,10,2,4,0.5,0,0,,0,0,,2,2,4,1,0,0,1,3,4,2.5,5
20,29,30,21.0,2014-12-27,26,NOP,@,CHI,L (-7),0,11,1,2,0.5,0,0,,0,0,,0,2,2,0,1,0,1,3,2,0.4,-7
21,32,33,22.0,2015-01-02,26,NOP,,HOU,W (+28),0,16,3,7,0.429,0,0,,0,0,,3,6,9,1,1,0,1,3,6,5.7,5
24,35,36,25.0,2015-01-09,26,NOP,,MEM,W (+11),0,6,1,2,0.5,0,0,,0,0,,2,1,3,0,0,1,0,2,2,2.6,-3
26,38,39,27.0,2015-01-16,26,NOP,@,PHI,L (-15),0,25,6,9,0.667,0,0,,4,4,1.0,4,10,14,0,0,1,2,4,16,15.0,11
27,39,40,28.0,2015-01-18,26,NOP,@,TOR,W (+2),0,34,10,13,0.769,0,0,,2,2,1.0,2,4,6,3,1,1,1,5,22,20.3,16
28,40,41,29.0,2015-01-19,26,NOP,@,NYK,L (-7),0,26,3,8,0.375,0,0,,2,5,0.4,6,5,11,1,0,0,1,2,8,7.0,-9
29,41,42,30.0,2015-01-21,26,NOP,,LAL,W (+16),0,6,0,1,0.0,0,0,,0,0,,2,2,4,0,0,0,0,0,0,1.3,-5
30,42,43,31.0,2015-01-23,26,NOP,@,MIN,W (+8),0,14,2,4,0.5,0,0,,2,2,1.0,1,5,6,0,0,5,1,3,6,7.5,7
32,44,45,33.0,2015-01-26,26,NOP,,PHI,W (+25),0,17,2,8,0.25,0,0,,1,1,1.0,3,5,8,1,1,4,0,1,5,7.9,-6
33,46,47,34.0,2015-01-30,26,NOP,,LAC,W (+5),0,24,6,11,0.545,0,0,,5,5,1.0,4,5,9,0,0,3,2,3,17,14.9,-7
34,48,49,35.0,2015-02-04,26,NOP,,OKC,L (-11),0,9,3,4,0.75,0,0,,0,0,,1,2,3,0,0,1,1,1,6,5.0,4
36,50,51,37.0,2015-02-07,26,NOP,,CHI,L (-35),0,22,5,9,0.556,0,0,,0,0,,2,2,4,0,0,1,1,3,10,6.2,-14
37,51,52,38.0,2015-02-09,26,NOP,,UTA,L (-4),1,27,4,7,0.571,0,0,,0,0,,3,1,4,1,0,2,2,3,8,6.0,-4
38,52,53,39.0,2015-02-11,26,NOP,,IND,L (-13),1,25,3,8,0.375,0,0,,8,8,1.0,3,4,7,2,0,0,0,4,14,12.7,-1
39,53,54,40.0,2015-02-20,26,NOP,@,ORL,L (-11),0,10,1,3,0.333,0,0,,0,0,,0,1,1,1,0,1,0,0,2,2.0,-2
40,54,55,41.0,2015-02-21,26,NOP,@,MIA,W (+14),0,11,3,4,0.75,0,0,,2,2,1.0,2,1,3,0,0,0,1,5,8,5.1,5
41,55,56,42.0,2015-02-23,26,NOP,,TOR,W (+3),0,27,8,12,0.667,0,0,,0,0,,4,5,9,2,0,1,5,5,16,10.2,9
42,56,57,43.0,2015-02-25,26,NOP,,BRK,W (+6),0,19,4,6,0.667,0,0,,2,2,1.0,0,4,4,2,2,2,4,5,10,7.4,4
43,57,58,44.0,2015-02-27,26,NOP,,MIA,W (+2),0,22,9,10,0.9,0,0,,6,8,0.75,2,6,8,0,0,3,1,2,24,23.3,4
