,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,14,15,3.0,2018-11-16,19,POR,@,MIN,L (-16),0,13,3,7,0.429,0,2,0.0,1,2,0.5,0,3,3,1,0,0,0,0,7,4.5,9
3,15,16,4.0,2018-11-18,19,POR,@,WAS,W (+10),0,5,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,1,0,0,-1.8,-6
4,17,18,5.0,2018-11-21,19,POR,@,MIL,L (-43),0,12,1,4,0.25,0,1,0.0,0,2,0.0,0,0,0,0,0,0,2,0,2,-3.2,-13
5,36,37,6.0,2018-12-30,19,POR,,PHI,W (+34),0,10,0,3,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,2,0,-1.6,-7
7,42,43,8.0,2019-01-11,19,POR,,CHO,W (+31),0,7,0,0,,0,0,,0,0,,0,0,0,2,0,0,1,0,0,0.4,0
12,65,66,13.0,2019-03-09,19,POR,,PHO,W (+7),0,9,2,5,0.4,1,3,0.333,0,0,,0,0,0,0,0,0,1,3,5,0.1,-11
15,73,74,16.0,2019-03-27,19,POR,@,CHI,W (+20),0,6,4,5,0.8,1,1,1.0,0,0,,0,0,0,0,0,0,0,0,9,7.1,-4
17,77,78,18.0,2019-04-03,19,POR,,MEM,W (+27),0,5,1,3,0.333,1,3,0.333,0,0,,0,0,0,0,0,0,0,1,3,0.9,1
18,78,79,19.0,2019-04-05,19,POR,@,DEN,L (-9),0,5,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-7
19,81,82,20.0,2019-04-10,19,POR,,SAC,W (+5),1,48,13,21,0.619,7,11,0.636,4,6,0.667,3,3,6,9,1,0,2,2,37,34.2,5
23,91,10,4.0,2019-05-07,19,POR,@,DEN,L (-26),0,5,0,2,0.0,0,2,0.0,2,2,1.0,0,0,0,0,1,0,0,0,2,1.6,-4
25,95,1,1.0,2019-10-23,20,POR,,DEN,L (-8),0,12,2,7,0.286,0,2,0.0,1,2,0.5,0,0,0,0,2,0,1,2,5,0.7,-5
26,96,2,2.0,2019-10-25,20,POR,@,SAC,W (+10),0,21,6,9,0.667,3,6,0.5,0,0,,0,2,2,0,1,0,3,1,15,9.3,-3
27,97,3,3.0,2019-10-27,20,POR,@,DAL,W (+2),0,15,1,2,0.5,1,2,0.5,0,0,,0,0,0,0,0,0,1,1,3,0.6,2
28,98,4,4.0,2019-10-28,20,POR,@,SAS,L (-3),0,21,5,9,0.556,0,1,0.0,0,0,,1,1,2,1,1,0,2,2,10,5.6,4
29,99,5,5.0,2019-10-30,20,POR,@,OKC,W (+3),0,16,3,6,0.5,1,3,0.333,0,0,,0,3,3,1,0,0,0,2,7,4.8,1
30,100,6,6.0,2019-11-02,20,POR,,PHI,L (-1),0,14,4,6,0.667,3,5,0.6,2,2,1.0,0,1,1,2,0,1,2,1,13,10.4,-10
31,101,7,7.0,2019-11-04,20,POR,@,GSW,L (-9),0,19,5,10,0.5,1,3,0.333,3,3,1.0,0,2,2,1,2,0,0,4,14,10.7,8
32,102,8,8.0,2019-11-07,20,POR,@,LAC,L (-6),0,26,5,13,0.385,3,8,0.375,4,6,0.667,1,1,2,2,0,0,0,3,17,10.3,-7
33,103,9,9.0,2019-11-08,20,POR,,BRK,L (-4),0,36,5,14,0.357,2,7,0.286,3,4,0.75,0,4,4,2,0,1,0,1,15,9.7,-4
34,104,10,10.0,2019-11-10,20,POR,,ATL,W (+11),0,24,8,12,0.667,3,5,0.6,1,1,1.0,1,2,3,2,2,0,2,3,20,16.3,-6
35,105,11,11.0,2019-11-12,20,POR,@,SAC,L (-8),0,28,2,11,0.182,1,5,0.2,0,0,,0,2,2,2,0,0,2,2,5,-2.7,-5
36,106,12,12.0,2019-11-13,20,POR,,TOR,L (-8),0,27,6,11,0.545,3,8,0.375,2,2,1.0,0,1,1,1,0,0,1,1,17,11.3,-8
37,107,13,13.0,2019-11-16,20,POR,@,SAS,W (+5),0,17,3,8,0.375,1,4,0.25,0,0,,0,1,1,2,0,0,1,0,7,3.3,-18
38,108,14,14.0,2019-11-18,20,POR,@,HOU,L (-24),0,22,3,10,0.3,1,5,0.2,3,4,0.75,0,1,1,2,0,0,0,3,10,4.3,-8
39,109,15,15.0,2019-11-19,20,POR,@,NOP,L (-11),1,36,4,13,0.308,3,5,0.6,2,4,0.5,0,3,3,4,0,0,0,2,13,7.6,-8
40,110,16,16.0,2019-11-21,20,POR,@,MIL,L (-8),0,17,2,9,0.222,0,4,0.0,2,2,1.0,1,1,2,1,1,0,0,2,6,2.4,-3
41,111,17,17.0,2019-11-23,20,POR,@,CLE,L (-6),0,14,4,6,0.667,2,3,0.667,1,2,0.5,0,2,2,2,1,0,0,2,11,10.2,-15
42,112,18,18.0,2019-11-25,20,POR,@,CHI,W (+23),0,21,1,5,0.2,0,2,0.0,0,0,,0,2,2,0,0,0,4,2,2,-5.3,4
43,113,19,19.0,2019-11-27,20,POR,,OKC,W (+17),0,27,6,14,0.429,1,4,0.25,1,1,1.0,0,0,0,1,0,0,0,3,14,6.1,5
44,114,20,20.0,2019-11-29,20,POR,,CHI,W (+4),0,18,0,4,0.0,0,2,0.0,1,2,0.5,0,3,3,1,0,0,1,0,1,-1.6,4
45,115,21,21.0,2019-12-03,20,POR,@,LAC,L (-20),0,31,5,12,0.417,1,5,0.2,0,0,,1,1,2,6,0,0,3,0,11,6.8,-9
46,116,22,22.0,2019-12-04,20,POR,,SAC,W (+11),0,13,1,5,0.2,0,2,0.0,1,2,0.5,0,2,2,2,0,0,1,6,3,-1.9,-11
47,117,23,23.0,2019-12-06,20,POR,,LAL,L (-23),0,17,5,10,0.5,3,7,0.429,2,2,1.0,0,2,2,1,0,0,0,0,15,11.3,-8
48,118,24,24.0,2019-12-08,20,POR,,OKC,L (-12),0,23,3,6,0.5,1,2,0.5,0,0,,2,1,3,0,1,1,0,5,7,5.4,-13
49,119,25,25.0,2019-12-10,20,POR,,NYK,W (+28),0,29,5,9,0.556,4,7,0.571,2,2,1.0,0,5,5,3,0,0,0,3,16,14.1,8
50,120,26,26.0,2019-12-12,20,POR,@,DEN,L (-15),0,22,4,9,0.444,0,3,0.0,1,2,0.5,0,0,0,1,1,1,0,1,9,5.9,-29
51,121,27,27.0,2019-12-16,20,POR,@,PHO,W (+1),0,18,1,6,0.167,0,2,0.0,0,0,,0,1,1,2,0,0,2,5,2,-4.1,-9
52,122,28,28.0,2019-12-18,20,POR,,GSW,W (+10),0,19,0,5,0.0,0,0,,0,0,,1,1,2,0,0,1,1,4,0,-4.4,0
53,123,29,29.0,2019-12-20,20,POR,,ORL,W (+15),0,20,4,8,0.5,0,2,0.0,0,0,,2,4,6,1,0,0,1,1,8,5.9,-3
54,124,30,30.0,2019-12-21,20,POR,,MIN,W (+7),0,21,2,9,0.222,1,2,0.5,0,0,,2,0,2,1,0,0,0,3,5,0.4,1
55,125,31,31.0,2019-12-23,20,POR,,NOP,L (-8),0,21,2,6,0.333,0,1,0.0,4,4,1.0,0,6,6,0,0,0,0,2,8,5.6,3
56,126,32,32.0,2019-12-26,20,POR,@,UTA,L (-6),0,28,7,9,0.778,1,3,0.333,0,0,,1,9,10,0,0,0,1,3,15,12.7,22
57,127,33,33.0,2019-12-28,20,POR,,LAL,L (-8),0,27,6,13,0.462,1,1,1.0,1,1,1.0,1,5,6,0,1,0,0,1,14,10.1,-15
58,128,34,34.0,2019-12-30,20,POR,,PHO,L (-6),0,25,5,9,0.556,2,5,0.4,0,0,,1,1,2,0,0,0,1,3,12,6.5,-4
59,129,35,35.0,2020-01-01,20,POR,@,NYK,L (-24),0,26,1,8,0.125,0,2,0.0,1,2,0.5,0,3,3,3,1,0,1,0,3,0.4,-23
60,130,36,36.0,2020-01-03,20,POR,@,WAS,W (+19),0,17,1,4,0.25,0,1,0.0,0,0,,1,1,2,1,0,0,1,0,2,0.3,-9
61,131,37,37.0,2020-01-05,20,POR,@,MIA,L (-11),0,34,8,15,0.533,2,6,0.333,1,1,1.0,0,4,4,4,0,0,3,0,19,12.7,1
62,132,38,38.0,2020-01-07,20,POR,@,TOR,W (+2),0,30,4,10,0.4,2,4,0.5,2,2,1.0,0,4,4,1,0,0,2,1,12,6.1,6
63,133,39,39.0,2020-01-09,20,POR,@,MIN,L (-14),0,20,3,6,0.5,0,1,0.0,1,2,0.5,0,1,1,0,1,0,1,3,7,2.7,-6
64,134,40,40.0,2020-01-11,20,POR,,MIL,L (-21),0,23,3,7,0.429,0,1,0.0,3,4,0.75,0,3,3,1,0,1,3,4,9,2.6,-15
65,135,41,41.0,2020-01-13,20,POR,,CHO,W (+3),0,20,2,7,0.286,1,4,0.25,0,0,,0,2,2,0,0,0,1,5,5,-1.5,0
66,136,42,42.0,2020-01-15,20,POR,@,HOU,W (+10),0,21,1,5,0.2,0,1,0.0,0,0,,0,4,4,4,1,0,0,1,2,3.5,4
67,137,43,43.0,2020-01-17,20,POR,@,DAL,L (-8),0,28,3,9,0.333,1,4,0.25,0,0,,0,5,5,5,1,0,1,2,7,6.1,-12
68,138,44,44.0,2020-01-18,20,POR,@,OKC,L (-13),1,35,4,11,0.364,1,3,0.333,3,3,1.0,1,2,3,1,0,0,0,4,12,6.3,-11
69,139,45,45.0,2020-01-20,20,POR,,GSW,W (+5),1,46,5,16,0.313,1,9,0.111,4,4,1.0,1,1,2,3,0,2,1,2,15,8.5,-8
70,140,46,46.0,2020-01-23,20,POR,,DAL,L (-8),1,23,2,7,0.286,1,3,0.333,0,0,,1,0,1,2,0,1,1,0,5,2.7,-14
71,141,47,47.0,2020-01-26,20,POR,,IND,W (+10),0,15,1,5,0.2,0,2,0.0,2,2,1.0,0,0,0,1,0,0,4,2,4,-3.2,-9
72,142,48,48.0,2020-01-29,20,POR,,HOU,W (+13),0,10,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,0,1,3,2.3,0
73,143,49,49.0,2020-01-31,20,POR,@,LAL,W (+8),0,16,1,3,0.333,0,1,0.0,2,2,1.0,0,0,0,2,0,0,0,0,4,3.7,4
74,144,50,50.0,2020-02-01,20,POR,,UTA,W (+17),0,24,3,6,0.5,1,1,1.0,0,0,,0,5,5,3,0,0,1,2,7,5.8,9
75,145,51,51.0,2020-02-04,20,POR,@,DEN,L (-28),0,21,4,8,0.5,1,3,0.333,1,1,1.0,0,1,1,1,0,0,1,1,10,5.6,-7
76,146,52,52.0,2020-02-06,20,POR,,SAS,W (+8),0,15,4,7,0.571,2,4,0.5,0,0,,1,0,1,1,0,0,0,1,10,7.7,13
78,149,55,54.0,2020-02-11,20,POR,@,NOP,L (-21),0,19,2,6,0.333,1,4,0.25,4,4,1.0,0,2,2,4,0,0,1,3,9,6.8,-5
79,150,56,55.0,2020-02-12,20,POR,@,MEM,L (-7),0,28,7,12,0.583,6,7,0.857,2,2,1.0,2,5,7,1,0,0,1,2,22,18.2,1
80,151,57,56.0,2020-02-21,20,POR,,NOP,L (-13),0,27,2,12,0.167,0,4,0.0,3,5,0.6,0,3,3,2,3,0,0,2,7,3.1,-7
81,152,58,57.0,2020-02-23,20,POR,,DET,W (+3),0,18,2,8,0.25,2,5,0.4,0,0,,0,0,0,1,0,0,1,4,6,-0.7,-21
82,153,59,58.0,2020-02-25,20,POR,,BOS,L (-12),0,21,3,11,0.273,1,3,0.333,2,2,1.0,1,0,1,3,1,0,2,1,9,3.9,2
83,154,60,59.0,2020-02-27,20,POR,@,IND,L (-6),0,22,3,9,0.333,0,3,0.0,0,0,,0,3,3,0,1,0,3,3,6,-1.4,-7
84,155,61,60.0,2020-02-29,20,POR,@,ATL,L (-12),0,16,3,8,0.375,2,3,0.667,2,2,1.0,0,1,1,0,0,0,0,2,10,5.1,-5
85,156,62,61.0,2020-03-02,20,POR,@,ORL,W (+23),0,22,3,7,0.429,3,5,0.6,0,0,,0,0,0,5,1,0,1,5,9,6.8,12
86,157,63,62.0,2020-03-04,20,POR,,WAS,W (+21),0,14,2,6,0.333,1,3,0.333,3,3,1.0,0,1,1,0,1,1,0,1,8,6.2,-15
87,158,64,63.0,2020-03-06,20,POR,@,PHO,L (-10),0,10,2,3,0.667,0,1,0.0,0,0,,0,0,0,0,1,0,0,1,4,3.3,-10
88,159,65,64.0,2020-03-07,20,POR,,SAC,L (-12),0,19,3,8,0.375,0,2,0.0,0,0,,2,0,2,1,1,0,1,4,6,2.1,3
89,160,66,65.0,2020-03-10,20,POR,,PHO,W (+16),0,11,1,2,0.5,1,2,0.5,2,2,1.0,0,0,0,0,0,0,0,0,5,4.0,4
90,163,69,66.0,2020-08-04,21,POR,,HOU,W (+8),0,16,1,4,0.25,1,3,0.333,0,0,,0,2,2,0,0,0,0,2,3,0.4,13
91,164,70,67.0,2020-08-06,21,POR,@,DEN,W (+10),0,16,1,2,0.5,0,0,,0,0,,0,2,2,1,0,0,0,0,2,2.3,1
92,165,71,68.0,2020-08-08,21,POR,,LAC,L (-5),0,13,1,3,0.333,0,2,0.0,0,0,,0,0,0,1,0,0,0,2,2,0.2,2
95,170,2,1.0,2020-08-20,21,POR,@,LAL,L (-23),0,15,3,7,0.429,2,3,0.667,3,3,1.0,0,1,1,2,1,0,1,0,11,9.0,6
96,171,3,2.0,2020-08-22,21,POR,,LAL,L (-8),0,14,0,4,0.0,0,3,0.0,0,0,,0,0,0,0,1,0,0,4,0,-3.4,-7
97,172,4,3.0,2020-08-24,21,POR,,LAL,L (-20),0,25,1,8,0.125,1,4,0.25,0,0,,0,5,5,6,0,0,1,1,3,2.1,5
98,173,5,4.0,2020-08-29,21,POR,@,LAL,L (-9),0,28,4,7,0.571,3,4,0.75,2,3,0.667,1,4,5,2,4,0,2,2,13,13.8,1
99,175,2,1.0,2020-12-26,21,POR,,HOU,W (+2),0,10,2,5,0.4,2,5,0.4,1,2,0.5,0,1,1,0,1,2,0,0,7,6.6,-5
100,176,3,2.0,2020-12-28,21,POR,@,LAL,W (+8),0,5,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0,0.3,8
101,177,4,3.0,2020-12-30,21,POR,@,LAC,L (-23),0,10,1,4,0.25,1,4,0.25,0,0,,0,0,0,0,0,0,0,2,3,-0.2,-14
102,178,5,4.0,2021-01-01,21,POR,@,GSW,W (+25),0,22,3,12,0.25,3,8,0.375,2,2,1.0,0,6,6,0,0,0,0,5,11,3.6,-10
103,179,6,5.0,2021-01-03,21,POR,@,GSW,L (-15),0,12,2,4,0.5,1,3,0.333,0,0,,0,1,1,1,0,0,0,0,5,4.0,2
104,180,7,6.0,2021-01-05,21,POR,,CHI,L (-3),0,5,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-6
105,181,8,7.0,2021-01-07,21,POR,,MIN,W (+18),0,12,3,5,0.6,1,2,0.5,1,2,0.5,0,5,5,1,0,0,2,1,8,5.1,-13
106,182,9,8.0,2021-01-09,21,POR,@,SAC,W (+26),0,7,2,4,0.5,2,3,0.667,0,0,,0,0,0,1,0,0,0,0,6,4.7,-2
107,185,12,9.0,2021-01-14,21,POR,,IND,L (-24),0,9,0,5,0.0,0,5,0.0,0,0,,0,2,2,1,0,0,1,1,0,-3.6,-13
108,186,13,10.0,2021-01-16,21,POR,,ATL,W (+6),0,8,0,2,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,0,-0.8,1
109,187,14,11.0,2021-01-18,21,POR,,SAS,L (-21),0,15,2,7,0.286,2,5,0.4,0,0,,0,0,0,1,0,1,0,1,6,2.9,-22
110,188,15,12.0,2021-01-24,21,POR,,NYK,W (+3),0,23,6,9,0.667,4,6,0.667,0,0,,2,1,3,2,0,0,2,3,16,12.0,4
111,189,16,13.0,2021-01-25,21,POR,,OKC,L (-3),0,29,10,17,0.588,6,10,0.6,0,0,,1,1,2,1,1,0,1,4,26,18.2,-9
112,190,17,14.0,2021-01-28,21,POR,@,HOU,L (-3),0,28,5,13,0.385,4,9,0.444,0,0,,0,8,8,0,0,0,2,2,14,6.5,-8
113,191,18,15.0,2021-01-30,21,POR,@,CHI,W (+1),0,27,3,10,0.3,2,6,0.333,0,0,,1,3,4,1,0,0,2,1,8,2.1,-1
114,192,19,16.0,2021-02-01,21,POR,@,MIL,L (-28),0,30,5,15,0.333,3,8,0.375,2,2,1.0,0,3,3,5,0,2,0,2,15,11.5,-15
115,193,20,17.0,2021-02-02,21,POR,@,WAS,W (+11),0,14,1,4,0.25,1,3,0.333,0,0,,1,1,2,1,0,0,0,2,3,1.5,-7
116,194,21,18.0,2021-02-04,21,POR,@,PHI,W (+16),0,19,4,9,0.444,2,7,0.286,4,5,0.8,0,1,1,2,1,0,1,0,14,10.6,14
117,195,22,19.0,2021-02-06,21,POR,@,NYK,L (-11),0,18,4,8,0.5,3,6,0.5,1,1,1.0,0,1,1,3,1,0,1,2,12,9.6,-8
118,196,23,20.0,2021-02-09,21,POR,,ORL,W (+9),0,22,4,11,0.364,3,8,0.375,0,0,,0,5,5,2,0,0,1,3,11,5.6,3
119,197,24,21.0,2021-02-11,21,POR,,PHI,W (+4),0,23,4,8,0.5,1,4,0.25,2,2,1.0,0,2,2,2,0,0,0,1,11,8.6,6
120,198,25,22.0,2021-02-12,21,POR,,CLE,W (+19),0,30,4,10,0.4,4,9,0.444,4,4,1.0,0,3,3,1,1,0,2,2,16,10.4,5
121,199,26,23.0,2021-02-14,21,POR,@,DAL,W (+3),0,24,4,6,0.667,4,6,0.667,0,0,,0,3,3,1,0,0,3,3,12,6.8,-5
122,200,27,24.0,2021-02-16,21,POR,@,OKC,W (+11),0,18,5,9,0.556,5,8,0.625,0,0,,0,2,2,1,1,0,1,6,15,9.6,-5
