,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2011-12-26,26,PHO,,NOH,L (-1),0,7,0,1,0.0,0,1,0.0,2,2,1.0,0,0,0,1,0,0,0,2,2,1.2,-2
1,1,2,2.0,2011-12-28,26,PHO,,PHI,L (-20),0,6,2,3,0.667,0,0,,3,4,0.75,1,0,1,1,1,0,0,0,7,7.7,10
2,3,4,3.0,2011-12-31,26,PHO,@,OKC,L (-10),0,12,2,7,0.286,1,1,1.0,2,2,1.0,1,0,1,2,1,0,0,1,7,5.6,12
3,5,6,4.0,2012-01-04,26,PHO,@,DAL,L (-9),0,7,1,4,0.25,0,0,,2,2,1.0,0,1,1,1,0,0,0,1,4,2.2,-13
4,6,7,5.0,2012-01-06,26,PHO,,POR,W (+25),0,7,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,0
5,7,8,6.0,2012-01-08,26,PHO,,MIL,W (+16),0,7,1,4,0.25,1,1,1.0,0,0,,0,0,0,0,0,0,1,0,3,-0.4,-12
6,10,11,7.0,2012-01-13,26,PHO,,NJN,L (-7),0,16,2,8,0.25,2,4,0.5,0,0,,0,1,1,3,1,0,1,3,6,2.4,-11
7,13,14,8.0,2012-01-18,26,PHO,@,NYK,W (+3),0,10,1,3,0.333,0,0,,0,0,,0,2,2,0,0,0,0,1,2,0.5,-1
8,14,15,9.0,2012-01-20,26,PHO,@,BOS,W (+8),0,10,2,4,0.5,0,1,0.0,0,0,,0,1,1,0,2,0,0,2,4,3.5,7
9,15,16,10.0,2012-01-23,26,PHO,@,DAL,L (-6),0,12,2,7,0.286,1,4,0.25,3,4,0.75,0,1,1,0,2,0,2,2,8,3.0,-6
10,16,17,11.0,2012-01-24,26,PHO,,TOR,L (-3),0,14,1,6,0.167,0,0,,2,2,1.0,1,2,3,2,0,0,1,1,4,1.5,1
11,17,18,12.0,2012-01-27,26,PHO,@,POR,L (-38),0,23,4,11,0.364,1,2,0.5,1,2,0.5,0,3,3,1,1,0,4,2,10,1.3,-24
12,18,19,13.0,2012-01-28,26,PHO,,MEM,W (+2),0,16,0,4,0.0,0,2,0.0,0,0,,0,0,0,1,1,0,2,2,0,-3.9,-7
13,19,20,14.0,2012-01-30,26,PHO,,DAL,L (-23),0,23,5,12,0.417,3,4,0.75,0,0,,1,0,1,6,1,0,1,3,13,10.3,-2
14,20,21,15.0,2012-02-01,26,PHO,@,NOH,W (+17),0,19,3,8,0.375,1,2,0.5,2,3,0.667,0,1,1,3,2,0,2,3,9,5.4,-14
15,21,22,16.0,2012-02-03,26,PHO,@,HOU,L (-18),0,20,2,5,0.4,0,3,0.0,0,0,,0,1,1,1,1,0,4,2,4,-1.5,-10
16,22,23,17.0,2012-02-04,26,PHO,,CHA,W (+6),0,15,0,3,0.0,0,2,0.0,0,0,,0,1,1,4,1,0,0,3,0,0.8,11
17,23,24,18.0,2012-02-06,26,PHO,@,ATL,W (+9),0,17,4,7,0.571,1,2,0.5,0,0,,1,2,3,3,1,1,3,4,9,6.2,0
18,24,25,19.0,2012-02-07,26,PHO,@,MIL,W (+2),0,10,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,0,0,0,2,0,-1.5,-8
19,25,26,20.0,2012-02-09,26,PHO,,HOU,L (-7),0,13,0,4,0.0,0,3,0.0,0,0,,0,0,0,1,1,0,1,2,0,-2.9,-19
20,26,27,21.0,2012-02-11,26,PHO,@,SAC,W (+14),0,7,0,2,0.0,0,0,,0,0,,0,0,0,4,1,0,0,0,0,2.4,1
21,27,28,22.0,2012-02-13,26,PHO,@,GSW,L (-6),0,7,1,3,0.333,0,0,,0,0,,0,1,1,1,0,0,2,1,2,-1.1,1
22,28,29,23.0,2012-02-14,26,PHO,@,DEN,L (-17),0,16,3,8,0.375,0,3,0.0,0,0,,1,0,1,3,0,0,1,3,6,2.2,-12
23,29,30,24.0,2012-02-15,26,PHO,,ATL,L (-2),0,6,0,0,,0,0,,0,0,,0,0,0,1,0,0,1,2,0,-1.1,1
24,30,31,25.0,2012-02-17,26,PHO,@,LAL,L (-12),0,12,1,2,0.5,0,0,,0,0,,0,1,1,3,0,0,0,2,2,2.6,-6
25,31,32,26.0,2012-02-19,26,PHO,,LAL,W (+12),0,12,0,0,,0,0,,0,0,,1,1,2,1,0,0,1,4,0,-0.9,-6
26,32,33,27.0,2012-02-20,26,PHO,,WAS,W (+16),0,20,4,6,0.667,0,1,0.0,0,0,,0,0,0,1,0,0,1,1,8,4.7,-8
