,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2017-10-18,21,PHI,@,WAS,L (-5),1,35,7,14,0.5,0,0,,4,6,0.667,3,7,10,5,2,1,1,3,18,18.4,3
1,1,2,2.0,2017-10-20,21,PHI,,BOS,L (-10),1,37,4,11,0.364,0,0,,3,6,0.5,3,8,11,5,1,0,4,2,11,7.9,-7
2,2,3,3.0,2017-10-21,21,PHI,@,TOR,L (-34),1,33,7,16,0.438,0,2,0.0,4,8,0.5,1,9,10,8,0,0,3,0,18,14.0,-20
3,3,4,4.0,2017-10-23,21,PHI,@,DET,W (+11),1,34,8,11,0.727,0,0,,5,6,0.833,2,10,12,10,1,0,4,2,21,23.7,12
4,4,5,5.0,2017-10-25,21,PHI,,HOU,L (-1),1,34,7,17,0.412,0,1,0.0,0,2,0.0,2,5,7,9,3,1,4,2,14,12.2,-13
5,5,6,6.0,2017-10-28,21,PHI,@,DAL,W (+2),1,34,10,15,0.667,0,0,,3,4,0.75,2,5,7,8,3,1,1,3,23,26.1,-1
6,6,7,7.0,2017-10-30,21,PHI,@,HOU,W (+8),1,39,10,15,0.667,0,1,0.0,4,9,0.444,1,6,7,9,0,0,5,3,24,18.1,10
7,7,8,8.0,2017-11-01,21,PHI,,ATL,W (+10),1,34,8,16,0.5,0,1,0.0,3,6,0.5,4,9,13,9,2,0,4,2,19,18.8,14
8,8,9,9.0,2017-11-03,21,PHI,,IND,W (+11),1,39,5,13,0.385,0,0,,4,4,1.0,2,9,11,11,2,3,5,3,14,16.6,12
9,9,10,10.0,2017-11-07,21,PHI,@,UTA,W (+7),1,36,7,22,0.318,0,1,0.0,2,2,1.0,1,12,13,6,3,3,6,5,16,9.0,2
10,10,11,11.0,2017-11-09,21,PHI,@,SAC,L (-1),1,27,6,8,0.75,0,0,,6,8,0.75,0,2,2,6,2,0,4,5,18,14.8,4
11,11,12,12.0,2017-11-11,21,PHI,@,GSW,L (-21),1,29,6,17,0.353,0,0,,1,4,0.25,3,2,5,8,2,0,4,1,13,8.2,-10
12,12,13,13.0,2017-11-13,21,PHI,@,LAC,W (+4),1,38,9,14,0.643,0,1,0.0,4,6,0.667,4,8,12,4,1,1,5,5,22,17.7,7
13,13,14,14.0,2017-11-15,21,PHI,@,LAL,W (+6),1,39,8,13,0.615,0,0,,2,4,0.5,3,6,9,10,5,1,1,1,18,26.5,19
14,14,15,15.0,2017-11-18,21,PHI,,GSW,L (-8),1,38,11,15,0.733,0,0,,1,2,0.5,2,6,8,12,1,0,1,3,23,26.9,7
15,15,16,16.0,2017-11-20,21,PHI,,UTA,W (+21),1,34,13,24,0.542,0,0,,1,4,0.25,2,8,10,2,4,0,4,2,27,18.6,6
16,16,17,17.0,2017-11-22,21,PHI,,POR,W (+20),1,39,8,20,0.4,0,0,,0,2,0.0,0,8,8,9,3,2,3,1,16,14.1,18
17,18,19,18.0,2017-11-27,21,PHI,,CLE,L (-22),1,35,5,11,0.455,0,0,,0,0,,3,5,8,2,3,1,4,3,10,7.8,-16
18,19,20,19.0,2017-11-29,21,PHI,,WAS,W (+5),1,41,8,16,0.5,0,1,0.0,15,29,0.517,5,13,18,4,2,2,6,3,31,23.8,11
19,20,21,20.0,2017-11-30,21,PHI,@,BOS,L (-11),1,40,6,14,0.429,0,0,,3,4,0.75,4,2,6,7,5,0,5,1,15,15.1,-10
20,21,22,21.0,2017-12-02,21,PHI,,DET,W (+5),1,39,2,6,0.333,0,0,,1,2,0.5,3,7,10,6,0,2,4,3,5,5.8,6
21,22,23,22.0,2017-12-04,21,PHI,,PHO,L (-14),1,36,9,18,0.5,0,0,,2,2,1.0,1,7,8,7,6,0,3,3,20,20.5,-10
22,23,24,23.0,2017-12-07,21,PHI,,LAL,L (-3),1,43,6,14,0.429,0,0,,0,2,0.0,0,12,12,15,0,1,4,4,12,13.0,9
23,24,25,24.0,2017-12-09,21,PHI,@,CLE,L (-7),1,36,7,13,0.538,0,0,,0,0,,0,6,6,10,1,1,7,3,14,10.0,-6
24,25,26,25.0,2017-12-10,21,PHI,@,NOP,L (-7),1,36,10,16,0.625,0,0,,7,9,0.778,2,3,5,10,0,1,5,4,27,22.4,-4
25,26,27,26.0,2017-12-12,21,PHI,@,MIN,W (+6),1,40,3,8,0.375,0,0,,1,3,0.333,0,3,3,8,1,0,7,0,7,2.3,3
26,27,28,27.0,2017-12-15,21,PHI,,OKC,L (-2),1,52,6,10,0.6,0,0,,0,2,0.0,1,8,9,11,4,0,3,5,12,16.4,-3
27,28,29,28.0,2017-12-18,21,PHI,@,CHI,L (-2),1,35,9,18,0.5,0,1,0.0,1,5,0.2,4,7,11,10,0,4,3,2,19,19.3,1
28,29,30,29.0,2017-12-19,21,PHI,,SAC,L (-6),1,33,5,6,0.833,0,0,,3,5,0.6,1,11,12,9,3,0,4,3,13,18.1,0
29,30,31,30.0,2017-12-21,21,PHI,,TOR,L (-5),1,33,9,14,0.643,0,0,,2,5,0.4,2,4,6,4,0,1,7,3,20,10.5,-8
30,31,32,31.0,2017-12-23,21,PHI,@,TOR,L (-16),1,33,5,13,0.385,0,0,,0,2,0.0,2,3,5,6,1,0,3,2,10,5.8,-8
31,32,33,32.0,2017-12-25,21,PHI,@,NYK,W (+7),1,33,4,8,0.5,0,0,,0,2,0.0,1,7,8,3,1,1,2,3,8,6.6,-4
32,33,34,33.0,2017-12-28,21,PHI,@,POR,L (-4),1,34,7,17,0.412,0,0,,3,3,1.0,1,3,4,8,1,0,3,4,17,11.5,5
33,34,35,34.0,2017-12-30,21,PHI,@,DEN,W (+5),1,32,3,9,0.333,0,0,,0,0,,1,5,6,6,0,1,5,5,6,1.0,-11
34,35,36,35.0,2017-12-31,21,PHI,@,PHO,W (+13),1,32,7,11,0.636,0,0,,7,11,0.636,0,9,9,6,3,3,5,5,21,19.5,9
35,36,37,36.0,2018-01-03,21,PHI,,SAS,W (+6),1,34,8,18,0.444,0,1,0.0,10,15,0.667,1,4,5,4,3,1,4,3,26,17.8,2
36,37,38,37.0,2018-01-05,21,PHI,,DET,W (+36),1,23,9,13,0.692,0,0,,1,1,1.0,2,2,4,9,2,2,4,4,19,19.6,14
37,38,39,38.0,2018-01-11,21,PHI,,BOS,L (-11),1,29,8,12,0.667,0,0,,0,0,,0,2,2,3,2,2,3,2,16,13.1,-17
38,39,40,39.0,2018-01-15,21,PHI,,TOR,W (+6),1,27,5,10,0.5,0,0,,2,4,0.5,0,1,1,4,2,2,6,5,12,4.7,1
39,40,41,40.0,2018-01-18,21,PHI,@,BOS,W (+9),1,34,4,9,0.444,0,0,,0,0,,2,5,7,4,1,0,3,3,8,5.8,-3
40,41,42,41.0,2018-01-20,21,PHI,,MIL,W (+22),1,31,8,13,0.615,0,0,,0,0,,1,7,8,9,1,0,4,4,16,14.6,12
41,42,43,42.0,2018-01-22,21,PHI,@,MEM,L (-4),1,35,3,8,0.375,0,0,,0,0,,1,2,3,7,1,0,4,5,6,2.8,6
