,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2020-12-22,19,GSW,@,BRK,L (-26),1,24,7,13,0.538,1,1,1.0,4,8,0.5,1,5,6,0,2,0,1,2,19,13.5,-10
1,1,2,2.0,2020-12-25,19,GSW,@,MIL,L (-39),1,25,5,11,0.455,3,4,0.75,5,6,0.833,3,5,8,0,0,3,2,4,18,14.0,-16
2,2,3,3.0,2020-12-27,19,GSW,@,CHI,W (+1),1,23,3,8,0.375,1,1,1.0,0,0,,0,3,3,0,1,1,1,4,7,2.6,-4
3,3,4,4.0,2020-12-29,19,GSW,@,DET,W (+10),1,22,3,9,0.333,0,2,0.0,0,0,,1,5,6,1,0,2,2,6,6,0.8,23
4,4,5,5.0,2021-01-01,19,GSW,,POR,L (-25),1,19,2,8,0.25,0,2,0.0,4,4,1.0,0,5,5,0,0,2,1,4,8,3.5,-22
5,5,6,6.0,2021-01-03,19,GSW,,POR,W (+15),1,22,6,9,0.667,0,1,0.0,0,2,0.0,2,9,11,1,0,2,3,4,12,8.9,12
6,6,7,7.0,2021-01-04,19,GSW,,SAC,W (+31),1,17,5,9,0.556,0,1,0.0,0,1,0.0,1,4,5,1,0,2,1,2,10,7.5,4
7,7,8,8.0,2021-01-06,19,GSW,,LAC,L (-7),1,18,5,10,0.5,0,0,,0,0,,1,3,4,0,1,1,3,3,10,4.1,-7
8,8,9,9.0,2021-01-08,19,GSW,,LAC,W (+10),1,15,3,7,0.429,1,2,0.5,2,4,0.5,2,4,6,0,0,2,1,0,9,7.5,-21
9,9,10,10.0,2021-01-10,19,GSW,,TOR,W (+1),1,17,5,7,0.714,0,1,0.0,0,0,,0,7,7,0,0,0,0,2,10,8.4,-2
10,10,11,11.0,2021-01-12,19,GSW,,IND,L (-9),1,26,4,12,0.333,0,0,,0,2,0.0,4,5,9,0,0,2,2,5,8,2.1,-11
11,11,12,12.0,2021-01-14,19,GSW,@,DEN,L (-10),1,27,8,13,0.615,0,0,,2,2,1.0,1,4,5,2,1,2,1,4,18,15.2,0
12,12,13,13.0,2021-01-18,19,GSW,@,LAL,W (+2),1,13,2,4,0.5,0,0,,0,0,,0,3,3,0,1,1,5,5,4,-2.4,-19
13,13,14,14.0,2021-01-20,19,GSW,,SAS,W (+22),1,25,8,11,0.727,0,0,,4,5,0.8,1,5,6,4,0,0,0,4,20,18.5,17
14,14,15,15.0,2021-01-21,19,GSW,,NYK,L (-15),1,25,5,9,0.556,0,1,0.0,5,7,0.714,3,5,8,2,1,0,1,1,15,14.5,-6
15,15,16,16.0,2021-01-23,19,GSW,@,UTA,L (-19),1,25,7,15,0.467,0,2,0.0,1,3,0.333,0,5,5,0,0,2,1,2,15,7.6,-10
16,16,17,17.0,2021-01-25,19,GSW,,MIN,W (+22),0,16,4,5,0.8,0,0,,5,8,0.625,1,3,4,0,0,2,2,4,13,9.3,-2
17,17,18,18.0,2021-01-27,19,GSW,,MIN,W (+12),0,24,9,14,0.643,3,3,1.0,4,6,0.667,3,3,6,0,0,2,4,3,25,17.2,12
18,18,19,19.0,2021-01-28,19,GSW,@,PHO,L (-21),0,19,2,9,0.222,0,0,,1,2,0.5,4,2,6,1,1,0,1,2,5,2.4,-10
19,19,20,20.0,2021-01-30,19,GSW,,DET,W (+27),0,17,5,12,0.417,0,1,0.0,1,1,1.0,2,7,9,2,0,0,0,2,11,8.7,9
20,20,32,21.0,2021-02-23,19,GSW,@,NYK,W (+8),0,16,6,9,0.667,0,0,,2,2,1.0,0,2,2,1,0,0,0,1,14,11.0,-6
21,21,33,22.0,2021-02-24,19,GSW,@,IND,W (+4),0,18,5,8,0.625,1,1,1.0,0,0,,2,3,5,0,1,0,2,6,11,6.3,7
22,22,34,23.0,2021-02-26,19,GSW,,CHO,W (+9),0,17,7,10,0.7,0,0,,2,2,1.0,0,4,4,0,0,0,2,1,16,10.6,-2
23,23,35,24.0,2021-02-28,19,GSW,@,LAL,L (-26),0,25,2,7,0.286,0,2,0.0,1,3,0.333,1,7,8,0,0,1,1,6,5,0.2,-7
24,24,36,25.0,2021-03-03,19,GSW,@,POR,L (-2),0,11,3,4,0.75,0,0,,0,0,,0,2,2,0,0,0,1,4,6,2.4,-6
25,25,37,26.0,2021-03-04,19,GSW,@,PHO,L (-22),1,35,5,14,0.357,0,2,0.0,1,2,0.5,3,8,11,2,0,1,0,3,11,8.2,-8
26,26,38,27.0,2021-03-11,19,GSW,@,LAC,L (-26),0,12,6,7,0.857,1,1,1.0,1,3,0.333,1,6,7,0,0,0,2,1,14,10.8,10
27,27,39,28.0,2021-03-14,19,GSW,,UTA,W (+12),0,23,8,11,0.727,0,1,0.0,0,0,,1,3,4,0,0,1,1,3,16,11.6,-4
28,28,40,29.0,2021-03-15,19,GSW,,LAL,L (-31),0,28,3,7,0.429,0,1,0.0,1,2,0.5,5,3,8,1,0,0,3,6,7,2.6,-25
29,32,44,30.0,2021-03-23,19,GSW,,PHI,L (-10),1,26,5,13,0.385,0,1,0.0,1,2,0.5,0,4,4,2,0,1,0,3,11,5.6,-7
30,33,45,31.0,2021-03-25,19,GSW,@,SAC,L (-22),1,29,3,8,0.375,0,1,0.0,0,0,,1,7,8,0,0,0,5,4,6,-2.2,-9
31,34,46,32.0,2021-03-26,19,GSW,,ATL,L (-16),1,27,7,13,0.538,0,1,0.0,4,4,1.0,0,5,5,0,1,0,1,4,18,11.6,-17
32,35,47,33.0,2021-03-29,19,GSW,,CHI,W (+14),1,28,6,8,0.75,0,0,,0,0,,2,3,5,0,0,4,1,4,12,11.3,-8
33,36,48,34.0,2021-04-01,20,GSW,@,MIA,L (-7),1,19,1,5,0.2,0,0,,2,2,1.0,3,1,4,1,0,0,5,3,4,-2.2,-4
34,37,49,35.0,2021-04-02,20,GSW,@,TOR,L (-53),1,31,4,11,0.364,1,2,0.5,0,0,,1,4,5,2,0,1,3,4,9,2.3,-32
35,38,50,36.0,2021-04-04,20,GSW,@,ATL,L (-6),1,18,4,9,0.444,0,1,0.0,0,0,,1,4,5,0,0,0,0,1,8,4.8,3
36,39,51,37.0,2021-04-06,20,GSW,,MIL,W (+1),1,25,6,13,0.462,0,1,0.0,1,1,1.0,3,7,10,2,0,1,0,0,13,12.6,-7
37,40,52,38.0,2021-04-09,20,GSW,,WAS,L (-3),1,23,9,11,0.818,0,1,0.0,0,0,,1,5,6,1,0,0,1,4,18,14.2,4
38,41,53,39.0,2021-04-10,20,GSW,,HOU,W (+16),1,6,3,5,0.6,0,0,,0,2,0.0,0,1,1,0,1,0,0,0,6,4.2,-2
