,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2,1.0,2013-10-30,24,LAL,@,GSW,L (-31),0,8,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,1,0,2,1.7,-2
1,4,5,2.0,2013-11-05,24,LAL,@,DAL,L (-19),0,5,0,3,0.0,0,0,,1,2,0.5,1,0,1,1,0,0,0,0,1,-0.1,6
2,8,9,3.0,2013-11-12,24,LAL,,NOP,W (+21),0,6,0,2,0.0,0,0,,1,2,0.5,1,3,4,1,0,1,1,2,1,0.4,-2
3,15,16,4.0,2013-11-27,24,LAL,@,BRK,W (+5),0,8,1,2,0.5,0,0,,0,0,,0,1,1,0,0,1,0,0,2,2.0,11
4,16,17,5.0,2013-11-29,24,LAL,@,DET,W (+4),0,13,1,1,1.0,0,0,,2,4,0.5,0,1,1,0,0,1,1,1,4,2.5,7
5,17,18,6.0,2013-12-01,24,LAL,,POR,L (-6),0,24,5,8,0.625,0,0,,2,2,1.0,3,4,7,4,2,3,0,0,12,18.6,15
6,18,19,7.0,2013-12-06,24,LAL,@,SAC,W (+6),1,17,5,7,0.714,0,0,,1,2,0.5,3,2,5,1,0,2,0,4,11,10.9,-3
7,19,20,8.0,2013-12-08,24,LAL,,TOR,L (-12),1,10,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,0,2,2,-0.2,-14
8,21,22,9.0,2013-12-13,24,LAL,@,OKC,L (-25),0,17,1,3,0.333,0,0,,0,0,,4,4,8,2,0,1,1,1,2,5.0,-4
9,22,23,10.0,2013-12-14,24,LAL,@,CHA,W (+3),0,16,2,5,0.4,0,0,,0,0,,1,1,2,0,1,0,0,3,4,2.1,-2
10,23,24,11.0,2013-12-16,24,LAL,@,ATL,L (-14),0,16,3,4,0.75,0,0,,0,0,,0,0,0,1,0,1,0,2,6,5.0,-10
11,24,25,12.0,2013-12-17,24,LAL,@,MEM,W (+4),0,18,0,1,0.0,0,0,,5,6,0.833,0,3,3,0,1,3,0,3,5,6.7,-2
12,25,26,13.0,2013-12-20,24,LAL,,MIN,W (+13),0,11,1,3,0.333,0,0,,0,0,,0,3,3,1,0,2,0,2,2,2.5,-1
13,26,27,14.0,2013-12-21,24,LAL,@,GSW,L (-19),0,20,2,4,0.5,0,0,,1,2,0.5,1,3,4,1,0,2,1,0,5,5.3,-11
14,27,28,15.0,2013-12-23,24,LAL,@,PHO,L (-27),0,9,1,3,0.333,0,0,,1,2,0.5,1,1,2,0,0,0,1,1,3,0.5,-2
15,29,30,16.0,2013-12-27,24,LAL,@,UTA,L (-2),0,9,0,2,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-1.5,-3
16,30,31,17.0,2013-12-29,24,LAL,,PHI,L (-7),0,11,2,4,0.5,0,0,,1,1,1.0,1,2,3,2,0,1,0,1,5,6.0,1
17,31,32,18.0,2013-12-31,24,LAL,,MIL,L (-15),0,5,0,0,,0,0,,0,0,,0,1,1,0,0,1,2,2,0,-1.8,4
18,32,33,19.0,2014-01-03,24,LAL,,UTA,W (+11),1,31,2,6,0.333,0,0,,0,0,,3,7,10,0,0,1,0,5,4,3.5,7
19,33,34,20.0,2014-01-05,24,LAL,,DEN,L (-22),1,27,6,6,1.0,0,0,,3,5,0.6,1,4,5,0,2,0,1,2,15,14.5,-16
20,34,35,21.0,2014-01-07,24,LAL,@,DAL,L (-13),1,28,3,9,0.333,0,0,,1,2,0.5,2,8,10,0,1,0,2,1,7,3.9,-3
21,35,36,22.0,2014-01-08,24,LAL,@,HOU,L (-14),1,14,0,1,0.0,0,0,,0,0,,0,3,3,0,0,2,0,3,0,0.4,2
22,36,37,23.0,2014-01-10,24,LAL,@,LAC,L (-36),1,18,5,8,0.625,0,0,,4,6,0.667,3,4,7,0,1,0,2,2,14,11.1,-9
23,37,38,24.0,2014-01-14,24,LAL,,CLE,L (-2),1,11,2,2,1.0,0,0,,0,0,,0,0,0,0,0,0,0,2,4,2.6,-18
24,39,40,25.0,2014-01-17,24,LAL,@,BOS,W (+3),0,6,1,2,0.5,0,0,,1,2,0.5,2,0,2,0,0,0,0,0,3,3.0,5
25,40,41,26.0,2014-01-19,24,LAL,@,TOR,W (+6),0,6,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,0,1,2,-0.5,-19
26,41,42,27.0,2014-01-20,24,LAL,@,CHI,L (-2),0,16,2,5,0.4,0,0,,0,0,,1,0,1,1,1,3,1,1,4,4.4,5
27,42,43,28.0,2014-01-23,24,LAL,@,MIA,L (-7),0,10,2,4,0.5,0,0,,0,0,,1,0,1,0,0,0,0,2,4,1.9,-1
28,43,44,29.0,2014-01-24,24,LAL,@,ORL,L (-9),0,11,0,1,0.0,0,0,,0,0,,0,0,0,0,1,1,1,4,0,-1.6,-5
29,44,45,30.0,2014-01-26,24,LAL,@,NYK,L (-7),0,6,0,3,0.0,0,0,,0,0,,0,2,2,0,0,0,0,1,0,-1.9,2
30,45,46,31.0,2014-01-28,24,LAL,,IND,L (-12),0,12,0,2,0.0,0,0,,0,0,,0,2,2,1,0,0,0,4,0,-1.7,-2
31,46,47,32.0,2014-01-31,24,LAL,,CHA,L (-10),0,15,2,5,0.4,0,0,,2,2,1.0,3,2,5,1,0,0,0,3,6,5.5,1
32,47,48,33.0,2014-02-04,24,LAL,@,MIN,L (-10),1,31,5,8,0.625,0,0,,4,4,1.0,2,2,4,1,1,1,0,4,14,13.2,1
33,48,49,34.0,2014-02-05,24,LAL,@,CLE,W (+11),1,27,5,8,0.625,0,0,,0,2,0.0,1,2,3,0,0,1,0,6,10,5.2,-3
34,49,50,35.0,2014-02-07,24,LAL,@,PHI,W (+14),1,23,2,9,0.222,0,0,,1,2,0.5,1,3,4,3,1,1,4,2,5,-0.3,2
35,50,51,36.0,2014-02-09,24,LAL,,CHI,L (-6),1,20,1,6,0.167,0,0,,0,0,,1,3,4,0,0,0,0,3,2,-1.4,-18
36,51,52,37.0,2014-02-11,24,LAL,,UTA,L (-17),0,9,2,4,0.5,0,0,,0,0,,1,2,3,0,0,1,1,1,4,2.6,-10
37,52,53,38.0,2014-02-13,24,LAL,,OKC,L (-4),0,11,3,4,0.75,0,0,,0,0,,1,3,4,2,1,0,4,3,6,3.2,0
38,53,54,39.0,2014-02-19,24,LAL,,HOU,L (-26),0,24,2,6,0.333,0,0,,0,0,,1,5,6,1,1,1,0,1,4,4.8,-12
39,56,57,40.0,2014-02-25,24,LAL,@,IND,L (-20),0,6,1,2,0.5,0,0,,1,2,0.5,1,2,3,0,0,1,0,1,3,3.2,11
40,57,58,41.0,2014-02-26,24,LAL,@,MEM,L (-5),0,7,1,2,0.5,0,0,,0,0,,1,3,4,0,0,1,1,0,2,2.3,-3
41,58,59,42.0,2014-02-28,24,LAL,,SAC,W (+4),0,5,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,3,0,-0.5,8
42,59,60,43.0,2014-03-03,24,LAL,@,POR,W (+1),0,14,3,5,0.6,0,0,,2,2,1.0,2,2,4,0,1,0,1,5,8,5.7,-4
43,60,61,44.0,2014-03-04,24,LAL,,NOP,L (-7),0,16,4,7,0.571,0,0,,1,2,0.5,4,1,5,0,1,1,2,4,9,6.5,3
44,61,62,45.0,2014-03-06,24,LAL,,LAC,L (-48),0,23,4,7,0.571,0,0,,0,0,,1,2,3,1,0,0,2,2,8,3.9,-12
45,62,63,46.0,2014-03-07,24,LAL,@,DEN,L (-8),0,18,3,6,0.5,0,0,,2,4,0.5,4,4,8,1,0,1,0,1,8,9.2,15
46,63,64,47.0,2014-03-09,24,LAL,,OKC,W (+4),0,9,1,2,0.5,0,0,,0,0,,0,3,3,0,0,1,1,0,2,1.6,-10
47,64,65,48.0,2014-03-13,24,LAL,@,OKC,L (-29),0,22,1,2,0.5,0,0,,1,2,0.5,2,2,4,0,0,1,1,3,3,2.1,-11
48,65,66,49.0,2014-03-14,24,LAL,@,SAS,L (-34),0,22,3,6,0.5,0,0,,2,2,1.0,2,4,6,1,0,0,1,3,8,6.1,-15
49,66,67,50.0,2014-03-19,24,LAL,,SAS,L (-16),0,26,3,7,0.429,0,0,,1,2,0.5,2,9,11,0,1,1,0,2,7,7.9,-2
50,67,68,51.0,2014-03-21,24,LAL,,WAS,L (-10),1,18,5,8,0.625,0,0,,1,1,1.0,0,2,2,2,0,0,2,0,11,7.4,-2
51,68,69,52.0,2014-03-23,24,LAL,,ORL,W (+9),0,23,1,4,0.25,0,0,,0,1,0.0,1,5,6,0,0,1,2,2,2,-0.7,-7
52,69,70,53.0,2014-03-25,24,LAL,,NYK,W (+31),0,25,4,4,1.0,0,0,,0,0,,2,3,5,4,0,0,0,3,8,10.7,24
53,70,71,54.0,2014-03-27,24,LAL,@,MIL,L (-3),0,27,3,5,0.6,0,0,,2,2,1.0,1,6,7,3,2,0,0,3,8,11.1,2
54,71,72,55.0,2014-03-28,24,LAL,@,MIN,L (-36),0,31,6,11,0.545,0,0,,2,4,0.5,6,1,7,1,0,0,0,4,14,11.5,-13
55,72,73,56.0,2014-03-30,24,LAL,,PHO,W (+16),0,16,3,5,0.6,0,0,,0,0,,0,3,3,0,1,0,1,3,6,3.4,-15
56,73,74,57.0,2014-04-01,24,LAL,,POR,L (-12),0,18,1,3,0.333,0,0,,1,2,0.5,1,5,6,1,0,2,0,0,3,5.2,5
57,74,75,58.0,2014-04-02,24,LAL,@,SAC,L (-5),0,19,3,7,0.429,0,0,,2,2,1.0,1,0,1,3,0,0,0,1,8,6.7,-6
58,75,76,59.0,2014-04-04,24,LAL,,DAL,L (-12),0,17,1,6,0.167,0,0,,5,6,0.833,2,2,4,0,0,0,1,1,7,3.4,-3
59,76,77,60.0,2014-04-06,24,LAL,@,LAC,L (-23),0,29,3,8,0.375,0,0,,3,4,0.75,4,6,10,4,0,0,0,1,9,11.2,-9
60,77,78,61.0,2014-04-08,24,LAL,,HOU,L (-15),0,20,2,6,0.333,0,0,,2,2,1.0,1,5,6,0,0,1,1,6,6,2.1,3
61,78,79,62.0,2014-04-11,24,LAL,,GSW,L (-17),0,19,1,2,0.5,0,0,,2,2,1.0,1,6,7,3,0,1,2,1,4,5.9,-6
62,79,80,63.0,2014-04-13,24,LAL,,MEM,L (-12),0,31,4,8,0.5,0,0,,1,2,0.5,0,2,2,2,3,1,2,2,9,7.5,-5
63,80,81,64.0,2014-04-14,24,LAL,@,UTA,W (+15),0,29,6,8,0.75,0,0,,0,0,,2,7,9,0,1,1,0,2,12,13.2,3
64,81,82,65.0,2014-04-16,24,LAL,@,SAS,W (+13),0,24,4,10,0.4,0,0,,2,2,1.0,1,2,3,1,0,0,0,5,10,4.6,1
65,82,1,1.0,2014-10-28,25,LAL,,HOU,L (-18),0,7,1,5,0.2,0,0,,0,0,,0,0,0,0,1,0,0,1,2,-0.5,8
66,83,2,2.0,2014-10-29,25,LAL,@,PHO,L (-20),0,12,2,4,0.5,0,0,,2,2,1.0,0,1,1,1,0,0,1,0,6,4.0,5
67,84,3,3.0,2014-10-31,25,LAL,,LAC,L (-7),0,14,2,3,0.667,0,0,,4,4,1.0,1,1,2,0,0,0,3,2,8,3.9,6
68,85,4,4.0,2014-11-01,25,LAL,@,GSW,L (-23),0,7,2,4,0.5,0,0,,0,0,,1,0,1,0,0,0,2,1,4,0.3,-6
69,87,6,5.0,2014-11-09,25,LAL,,CHO,W (+15),0,11,2,4,0.5,0,0,,2,4,0.5,1,2,3,0,0,1,0,1,6,4.8,7
70,88,7,6.0,2014-11-11,25,LAL,@,MEM,L (-5),0,5,1,2,0.5,0,0,,0,0,,0,0,0,2,0,0,0,0,2,2.4,-4
72,90,9,8.0,2014-11-14,25,LAL,,SAS,L (-13),0,14,1,5,0.2,0,0,,0,0,,1,2,3,0,0,0,0,0,2,0.2,1
73,91,10,9.0,2014-11-16,25,LAL,,GSW,L (-21),0,15,5,8,0.625,0,0,,0,0,,1,2,3,1,1,0,0,1,10,9.0,17
74,92,11,10.0,2014-11-18,25,LAL,@,ATL,W (+5),0,12,2,4,0.5,0,0,,0,0,,0,1,1,1,0,0,0,3,4,1.8,-4
75,93,12,11.0,2014-11-19,25,LAL,@,HOU,W (+6),0,7,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,2,2,0.2,-4
76,94,13,12.0,2014-11-21,25,LAL,@,DAL,L (-34),0,16,5,5,1.0,0,0,,0,2,0.0,1,3,4,1,0,0,1,3,10,7.8,-13
77,95,14,13.0,2014-11-23,25,LAL,,DEN,L (-7),0,18,4,6,0.667,0,0,,5,6,0.833,2,1,3,1,3,1,0,2,13,15.3,3
78,96,15,14.0,2014-11-26,25,LAL,,MEM,L (-6),0,12,3,5,0.6,0,0,,0,0,,1,3,4,0,0,0,1,3,6,3.1,-4
79,97,16,15.0,2014-11-28,25,LAL,,MIN,L (-1),0,8,3,5,0.6,0,0,,0,0,,0,0,0,0,0,0,0,0,6,3.7,2
