,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,65,66,1.0,2020-08-01,20,DEN,,MIA,L (-20),0,12,2,4,0.5,0,1,0.0,1,1,1.0,2,2,4,1,0,0,2,0,5,3.7,-2.0
2,68,69,3.0,2020-08-06,20,DEN,,POR,L (-10),0,25,4,7,0.571,1,2,0.5,0,0,,1,4,5,1,1,1,2,4,9,6.4,-6.0
4,70,71,5.0,2020-08-10,20,DEN,@,LAL,L (-3),0,21,2,5,0.4,1,2,0.5,3,4,0.75,0,5,5,2,0,1,1,3,8,6.3,-3.0
5,71,72,6.0,2020-08-12,20,DEN,,LAC,L (-13),0,10,3,4,0.75,1,2,0.5,0,0,,1,0,1,0,1,1,2,1,7,5.4,-3.0
6,72,73,7.0,2020-08-14,20,DEN,@,TOR,L (-8),0,15,2,6,0.333,0,1,0.0,4,5,0.8,1,3,4,2,0,3,2,2,8,6.5,1.0
8,75,3,2.0,2020-08-21,20,DEN,@,UTA,L (-37),0,9,3,7,0.429,1,2,0.5,4,4,1.0,2,0,2,0,1,0,0,1,11,9.3,2.0
11,89,2,1.0,2020-12-25,21,DEN,,LAC,L (-13),0,5,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-2.0
12,90,3,2.0,2020-12-28,21,DEN,,HOU,W (+13),0,5,0,2,0.0,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-0.8,-10.0
16,98,11,6.0,2021-01-12,21,DEN,@,BRK,L (-6),1,16,2,3,0.667,1,2,0.5,0,0,,0,2,2,1,0,0,2,2,5,2.2,-1.0
17,99,12,7.0,2021-01-14,21,DEN,,GSW,W (+10),1,10,2,4,0.5,0,1,0.0,0,0,,0,1,1,0,0,1,1,2,4,1.2,1.0
18,101,14,8.0,2021-01-19,21,DEN,,OKC,W (+18),0,7,1,3,0.333,0,0,,0,0,,0,1,1,0,0,0,0,0,2,0.6,-11.0
22,111,24,12.0,2021-02-10,21,DEN,,CLE,W (+38),0,6,1,1,1.0,0,0,,0,0,,0,2,2,0,1,0,0,0,2,3.3,0.0
23,117,30,13.0,2021-02-21,21,DEN,@,ATL,L (-8),0,12,2,2,1.0,1,1,1.0,0,0,,0,0,0,1,1,0,1,1,5,4.7,-5.0
24,120,33,14.0,2021-02-27,21,DEN,@,OKC,W (+30),0,5,1,3,0.333,1,2,0.5,0,0,,0,2,2,0,0,1,2,1,3,0.2,-5.0
28,127,40,18.0,2021-03-17,21,DEN,,CHO,W (+25),0,5,2,4,0.5,1,3,0.333,0,0,,0,1,1,1,0,1,0,1,5,4.3,-2.0
29,131,44,19.0,2021-03-24,21,DEN,@,TOR,L (-24),0,9,2,4,0.5,0,2,0.0,3,5,0.6,0,2,2,1,0,0,1,0,7,4.5,2.0
30,133,46,20.0,2021-03-28,21,DEN,,ATL,W (+24),0,5,3,3,1.0,2,2,1.0,0,0,,0,1,1,0,0,0,0,1,8,7.0,0.0
39,153,66,29.0,2021-05-05,21,DEN,,NYK,W (+16),0,5,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-11.0
40,155,68,30.0,2021-05-08,21,DEN,,BRK,L (-6),0,12,0,3,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,1,0,-2.2,-5.0
42,159,72,32.0,2021-05-16,21,DEN,@,POR,L (-16),0,7,1,6,0.167,0,1,0.0,1,1,1.0,0,2,2,0,0,0,0,0,3,-0.2,7.0
