,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,4,15,3.0,2017-11-18,27,LAC,@,CHO,L (-15),0,8,1,2,0.5,0,1,0.0,0,0,,0,4,4,0,0,0,0,1,2,1.8,3
3,5,16,4.0,2017-11-20,27,LAC,@,NYK,L (-22),0,5,0,2,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,0,0.3,-2
4,6,17,5.0,2017-11-22,27,LAC,@,ATL,W (+13),0,8,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,1,1,2,0.3,4
5,7,18,6.0,2017-11-25,27,LAC,@,SAC,W (+2),0,5,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,0,0,-1.1,-5
6,8,19,7.0,2017-11-27,27,LAC,,LAL,W (+5),0,16,3,4,0.75,1,2,0.5,0,0,,0,1,1,2,0,0,0,1,7,6.7,-15
7,9,20,8.0,2017-11-30,27,LAC,,UTA,L (-19),0,18,2,3,0.667,0,1,0.0,1,2,0.5,0,2,2,2,0,0,1,0,5,4.3,-24
8,10,21,9.0,2017-12-02,27,LAC,@,DAL,L (-26),0,22,3,6,0.5,0,0,,0,0,,0,1,1,2,1,0,1,2,6,3.9,-15
9,11,22,10.0,2017-12-03,27,LAC,@,MIN,L (-6),1,13,2,4,0.5,1,1,1.0,0,0,,1,0,1,1,0,0,1,0,5,3.4,0
10,12,23,11.0,2017-12-06,27,LAC,,MIN,L (-6),1,11,1,4,0.25,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,3,1.3,-11
11,13,24,12.0,2017-12-09,27,LAC,,WAS,W (+1),0,10,1,2,0.5,1,1,1.0,0,0,,1,1,2,1,0,0,0,0,3,3.7,6
12,14,25,13.0,2017-12-11,27,LAC,,TOR,W (+5),0,9,0,1,0.0,0,0,,2,2,1.0,1,0,1,1,2,0,0,1,2,4.3,-1
13,15,26,14.0,2017-12-13,27,LAC,@,ORL,W (+11),0,22,1,3,0.333,1,2,0.5,0,0,,0,3,3,0,2,0,0,3,3,3.0,11
14,16,27,15.0,2017-12-15,27,LAC,@,WAS,L (-9),0,26,4,9,0.444,2,3,0.667,0,0,,2,1,3,1,1,1,1,5,10,6.4,-2
15,17,28,16.0,2017-12-16,27,LAC,@,MIA,L (-5),0,29,4,7,0.571,1,3,0.333,0,0,,0,2,2,0,1,0,1,2,9,5.5,5
16,18,29,17.0,2017-12-18,27,LAC,@,SAS,L (-18),1,27,2,10,0.2,1,5,0.2,0,0,,0,5,5,1,2,0,1,4,5,0.4,-7
17,19,30,18.0,2017-12-20,27,LAC,,PHO,W (+13),1,29,3,9,0.333,1,4,0.25,5,6,0.833,0,1,1,1,0,1,1,4,12,5.6,12
18,20,31,19.0,2017-12-22,27,LAC,@,HOU,W (+10),1,31,4,9,0.444,1,5,0.2,0,0,,1,1,2,2,1,0,0,4,9,6.1,6
19,21,32,20.0,2017-12-23,27,LAC,@,MEM,L (-3),1,32,3,5,0.6,1,3,0.333,0,0,,0,1,1,0,1,3,0,2,7,7.3,5
20,22,33,21.0,2017-12-26,27,LAC,,SAC,W (+27),1,22,2,4,0.5,0,1,0.0,0,0,,1,0,1,2,0,2,1,3,4,3.3,2
21,23,34,22.0,2017-12-29,27,LAC,@,LAL,W (+15),1,24,5,9,0.556,1,3,0.333,0,0,,1,1,2,0,0,2,1,2,11,7.3,10
