,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2019-10-23,21,BOS,@,PHI,L (-14),0,11,1,5,0.2,1,3,0.333,0,0,,1,0,1,0,0,0,0,0,3,0.6,-1
1,2,3,2.0,2019-10-26,21,BOS,@,NYK,W (+23),0,22,3,11,0.273,1,6,0.167,3,4,0.75,1,0,1,3,2,0,0,2,10,7.1,8
3,4,5,4.0,2019-11-01,21,BOS,,NYK,W (+2),0,14,1,6,0.167,0,4,0.0,0,0,,0,4,4,1,0,0,0,1,2,-0.3,-6
4,5,6,5.0,2019-11-05,21,BOS,@,CLE,W (+6),0,15,5,6,0.833,3,4,0.75,0,0,,0,1,1,1,0,1,0,2,13,11.7,2
5,6,7,6.0,2019-11-07,21,BOS,@,CHO,W (+21),0,12,0,3,0.0,0,2,0.0,0,0,,0,3,3,1,0,1,1,0,0,-0.8,-3
7,8,9,8.0,2019-11-11,21,BOS,,DAL,W (+10),0,5,0,1,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,2,0,-0.2,0
8,9,10,9.0,2019-11-13,21,BOS,,WAS,W (+7),0,20,7,12,0.583,4,5,0.8,0,0,,1,3,4,3,1,0,1,2,18,15.3,-4
9,10,11,10.0,2019-11-15,21,BOS,@,GSW,W (+5),0,13,0,4,0.0,0,1,0.0,0,0,,0,2,2,2,0,0,0,1,0,-1.2,4
10,11,12,11.0,2019-11-17,21,BOS,@,SAC,L (-1),0,15,1,3,0.333,1,3,0.333,0,0,,0,1,1,1,0,0,1,2,3,0.5,1
11,12,13,12.0,2019-11-18,21,BOS,@,PHO,W (+14),0,11,1,5,0.2,0,2,0.0,2,2,1.0,0,1,1,0,1,0,0,0,4,2.2,-12
12,14,15,13.0,2019-11-22,21,BOS,@,DEN,L (-4),0,7,1,4,0.25,1,4,0.25,0,0,,0,1,1,0,0,0,0,0,3,0.9,-3
13,15,16,14.0,2019-11-25,21,BOS,,SAC,W (+1),0,13,2,5,0.4,2,4,0.5,0,0,,2,2,4,0,0,0,2,2,6,2.5,-7
14,16,17,15.0,2019-11-27,21,BOS,,BRK,W (+11),0,7,0,3,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,1,0,0,-2.1,-10
15,17,18,16.0,2019-11-29,21,BOS,@,BRK,L (-5),0,14,1,5,0.2,1,3,0.333,0,0,,0,4,4,2,2,0,1,0,3,3.5,11
16,18,19,17.0,2019-12-01,21,BOS,@,NYK,W (+9),0,7,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,0,3,0,-2.3,1
17,19,20,18.0,2019-12-04,21,BOS,,MIA,W (+19),0,18,1,3,0.333,1,3,0.333,2,2,1.0,0,0,0,1,1,0,1,1,5,3.6,9
18,20,21,19.0,2019-12-06,21,BOS,,DEN,W (+13),0,10,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,0,0,2,2,2,-1.2,1
19,21,22,20.0,2019-12-09,21,BOS,,CLE,W (+22),0,8,1,2,0.5,1,1,1.0,0,0,,0,1,1,0,0,0,1,1,3,0.9,8
20,22,23,21.0,2019-12-11,21,BOS,@,IND,L (-5),0,8,1,2,0.5,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,3,2.3,-4
22,28,29,23.0,2019-12-27,21,BOS,,CLE,W (+12),0,5,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,0,-2.1,-10
