,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2015-10-28,20,PHI,@,BOS,L (-17),0,6,0,2,0.0,0,0,,0,0,,2,0,2,0,0,0,0,0,0,0.0,-12
1,1,2,2.0,2015-10-30,20,PHI,,UTA,L (-28),0,5,0,1,0.0,0,1,0.0,3,4,0.75,0,0,0,0,0,0,0,0,3,1.9,-5
2,2,3,3.0,2015-11-02,20,PHI,,CLE,L (-7),0,5,2,3,0.667,1,1,1.0,0,0,,0,0,0,1,0,0,0,0,5,4.4,11
5,6,7,6.0,2015-11-09,20,PHI,,CHI,L (-23),0,22,4,10,0.4,0,1,0.0,1,2,0.5,3,5,8,0,1,0,1,1,9,6.4,-9
6,7,8,7.0,2015-11-11,20,PHI,,TOR,L (-16),0,16,2,7,0.286,0,1,0.0,0,0,,0,3,3,1,0,0,0,1,4,1.1,0
7,8,9,8.0,2015-11-13,20,PHI,@,OKC,L (-17),0,19,5,7,0.714,1,1,1.0,4,5,0.8,4,4,8,0,1,2,0,1,15,17.7,1
8,9,10,9.0,2015-11-14,20,PHI,@,SAS,L (-9),0,13,2,5,0.4,1,2,0.5,0,0,,0,4,4,0,1,0,0,3,5,3.3,-5
9,11,12,10.0,2015-11-18,20,PHI,,IND,L (-27),0,11,1,2,0.5,0,0,,0,0,,0,3,3,1,1,2,1,2,2,3.2,3
12,14,26,13.0,2015-12-14,20,PHI,@,CHI,L (-19),0,8,3,5,0.6,1,2,0.5,0,0,,0,2,2,0,1,0,0,0,7,6.3,8
14,16,39,15.0,2016-03-27,20,PHI,@,GSW,L (-12),0,5,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,-9
15,17,40,16.0,2016-03-29,20,PHI,,CHO,L (-15),0,7,1,4,0.25,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-0.1,-2
16,18,46,17.0,2016-04-12,20,PHI,@,TOR,L (-24),0,19,2,5,0.4,0,1,0.0,4,8,0.5,3,2,5,0,0,2,0,1,8,7.4,-22
18,20,49,2.0,2017-01-31,21,CHO,@,POR,L (-17),0,6,0,1,0.0,0,1,0.0,0,0,,0,3,3,1,0,1,0,0,0,1.6,2
19,21,50,3.0,2017-02-01,21,CHO,@,GSW,L (-15),0,7,1,1,1.0,0,0,,2,2,1.0,0,1,1,0,0,1,0,0,4,4.7,8
20,22,58,4.0,2017-02-25,21,CHO,@,SAC,W (+14),0,10,1,3,0.333,0,1,0.0,3,4,0.75,3,1,4,0,0,0,1,3,5,3.1,-5
21,23,59,5.0,2017-02-26,21,CHO,@,LAC,L (-3),0,23,2,4,0.5,0,1,0.0,0,0,,3,3,6,1,0,0,1,3,4,3.5,-1
23,25,62,7.0,2017-03-04,21,CHO,@,DEN,W (+10),0,5,0,0,,0,0,,0,0,,0,0,0,0,1,2,0,0,0,2.4,8
25,28,65,9.0,2017-03-10,21,CHO,,ORL,W (+40),0,16,5,6,0.833,0,0,,4,5,0.8,3,2,5,0,2,1,1,3,14,14.6,12
