,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2019-10-23,19,CHI,@,CHO,L (-1),0,27,6,13,0.462,1,4,0.25,4,5,0.8,0,3,3,7,0,0,1,2,17,13.9,6
1,1,2,2.0,2019-10-25,19,CHI,@,MEM,W (+8),0,30,10,16,0.625,4,8,0.5,1,2,0.5,0,6,6,2,0,0,0,1,25,20.2,15
2,2,3,3.0,2019-10-26,19,CHI,,TOR,L (-24),0,22,3,14,0.214,0,4,0.0,2,2,1.0,0,6,6,1,2,0,3,2,8,0.1,-6
3,3,4,4.0,2019-10-28,19,CHI,@,NYK,L (-7),0,16,2,5,0.4,1,3,0.333,0,0,,0,2,2,3,0,0,0,0,5,5.0,0
4,4,5,5.0,2019-10-30,19,CHI,@,CLE,L (-6),0,21,3,12,0.25,2,7,0.286,0,0,,1,0,1,1,2,0,0,2,8,3.4,-11
5,5,6,6.0,2019-11-01,19,CHI,,DET,W (+6),0,19,4,12,0.333,1,6,0.167,0,0,,1,0,1,0,0,0,3,0,9,-0.1,-5
6,6,7,7.0,2019-11-03,19,CHI,@,IND,L (-13),0,24,0,6,0.0,0,2,0.0,1,2,0.5,0,4,4,2,0,0,2,0,1,-3.0,-3
7,7,8,8.0,2019-11-05,19,CHI,,LAL,L (-6),0,24,7,15,0.467,1,5,0.2,3,3,1.0,0,5,5,4,1,0,2,1,18,13.2,1
8,8,9,9.0,2019-11-06,19,CHI,@,ATL,W (+20),0,30,3,13,0.231,1,7,0.143,3,6,0.5,0,2,2,3,0,0,0,0,10,3.6,7
9,9,10,10.0,2019-11-09,19,CHI,,HOU,L (-23),0,27,4,16,0.25,0,6,0.0,2,3,0.667,0,3,3,1,1,0,2,2,10,-0.2,-13
10,10,11,11.0,2019-11-12,19,CHI,,NYK,W (+18),0,27,8,14,0.571,7,11,0.636,4,4,1.0,0,3,3,1,1,0,1,2,27,21.2,27
11,11,12,12.0,2019-11-14,19,CHI,@,MIL,L (-9),0,35,9,23,0.391,6,13,0.462,2,2,1.0,0,5,5,3,3,0,3,1,26,16.7,-9
12,12,13,13.0,2019-11-16,19,CHI,,BRK,L (-6),0,29,3,13,0.231,1,7,0.143,0,0,,3,6,9,3,1,0,3,6,7,0.7,-6
13,13,14,14.0,2019-11-18,19,CHI,,MIL,L (-14),0,25,5,15,0.333,3,6,0.5,0,0,,0,3,3,3,1,0,0,2,13,7.7,-11
14,14,15,15.0,2019-11-20,19,CHI,,DET,W (+20),0,23,3,7,0.429,3,3,1.0,3,3,1.0,0,5,5,1,0,0,0,4,12,8.9,-3
15,15,16,16.0,2019-11-22,19,CHI,,MIA,L (-8),0,21,4,10,0.4,2,3,0.667,2,2,1.0,0,2,2,1,0,0,3,1,12,4.5,-9
16,16,17,17.0,2019-11-23,19,CHI,@,CHO,W (+1),0,34,12,19,0.632,4,9,0.444,0,0,,0,2,2,3,1,0,3,1,28,19.8,-5
17,17,18,18.0,2019-11-25,19,CHI,,POR,L (-23),0,28,3,13,0.231,1,8,0.125,1,2,0.5,0,3,3,2,2,0,0,1,8,3.6,-15
18,18,19,19.0,2019-11-27,19,CHI,@,GSW,L (-14),0,26,0,7,0.0,0,4,0.0,2,2,1.0,0,1,1,0,2,0,3,0,2,-3.6,-19
19,19,20,20.0,2019-11-29,19,CHI,@,POR,L (-4),0,20,5,13,0.385,2,7,0.286,1,1,1.0,0,4,4,1,0,0,0,0,13,7.8,-5
20,20,21,21.0,2019-12-02,19,CHI,@,SAC,W (+7),0,21,4,9,0.444,3,6,0.5,0,0,,0,3,3,3,0,0,0,0,11,9.3,13
21,21,22,22.0,2019-12-04,19,CHI,,MEM,W (+7),0,22,1,8,0.125,1,3,0.333,0,1,0.0,1,4,5,1,0,0,2,3,3,-3.2,6
22,22,23,23.0,2019-12-06,19,CHI,,GSW,L (-2),0,19,5,10,0.5,4,5,0.8,0,0,,0,3,3,2,0,0,0,0,14,11.3,-10
23,23,24,24.0,2019-12-08,19,CHI,@,MIA,L (-5),0,32,3,9,0.333,3,7,0.429,2,2,1.0,1,3,4,8,0,0,3,2,11,9.3,-4
24,24,25,25.0,2019-12-09,19,CHI,,TOR,L (-1),0,30,0,7,0.0,0,5,0.0,0,0,,0,8,8,5,0,0,3,3,0,-3.2,9
25,25,26,26.0,2019-12-11,19,CHI,,ATL,W (+34),0,25,7,13,0.538,0,2,0.0,5,6,0.833,0,2,2,3,1,1,1,0,19,15.7,20
26,26,27,27.0,2019-12-13,19,CHI,,CHO,L (-10),0,20,1,8,0.125,1,5,0.2,0,0,,1,2,3,3,2,0,2,1,3,0.8,-2
27,27,28,28.0,2019-12-14,19,CHI,,LAC,W (+3),0,13,1,6,0.167,0,3,0.0,0,0,,0,2,2,1,1,0,2,1,2,-1.9,-16
28,28,29,29.0,2019-12-16,19,CHI,@,OKC,L (-3),0,20,1,6,0.167,0,2,0.0,0,0,,0,2,2,5,2,1,0,2,2,4.2,-1
29,29,30,30.0,2019-12-18,19,CHI,@,WAS,W (+1),0,18,1,6,0.167,1,4,0.25,0,0,,0,3,3,0,0,0,0,0,3,0.1,-9
30,30,31,31.0,2019-12-21,19,CHI,@,DET,W (+12),0,18,6,10,0.6,5,7,0.714,2,2,1.0,1,4,5,1,0,0,2,0,19,15.0,-10
31,31,32,32.0,2019-12-23,19,CHI,@,ORL,L (-8),0,19,4,9,0.444,1,2,0.5,0,0,,0,2,2,1,0,1,1,0,9,5.3,-14
32,32,33,33.0,2019-12-28,19,CHI,,ATL,W (+35),0,26,8,11,0.727,2,3,0.667,0,0,,1,4,5,0,0,0,5,1,18,10.0,14
33,33,34,34.0,2019-12-30,19,CHI,,MIL,L (-21),0,33,7,18,0.389,3,6,0.5,1,2,0.5,1,3,4,1,4,0,0,4,18,12.5,-3
34,34,35,35.0,2020-01-02,19,CHI,,UTA,L (-4),0,24,3,11,0.273,0,4,0.0,0,1,0.0,2,2,4,2,2,0,0,3,6,3.3,-15
35,35,36,36.0,2020-01-04,19,CHI,,BOS,L (-7),0,18,2,8,0.25,2,5,0.4,0,0,,0,2,2,1,1,0,3,1,6,0.1,-13
36,36,37,37.0,2020-01-06,19,CHI,@,DAL,L (-8),0,21,6,10,0.6,3,5,0.6,0,1,0.0,0,0,0,1,0,0,2,2,15,7.9,-15
37,37,38,38.0,2020-01-08,19,CHI,@,NOP,L (-15),0,33,5,10,0.5,0,2,0.0,0,2,0.0,1,5,6,2,0,0,1,2,10,6.0,-17
38,38,39,39.0,2020-01-10,19,CHI,,IND,L (-11),0,29,8,17,0.471,5,9,0.556,2,3,0.667,1,4,5,1,1,0,2,3,23,14.3,-11
39,39,40,40.0,2020-01-11,19,CHI,@,DET,W (+9),0,21,3,8,0.375,1,4,0.25,1,2,0.5,1,2,3,4,1,0,2,2,8,5.5,5
40,40,41,41.0,2020-01-13,19,CHI,@,BOS,L (-12),0,23,3,8,0.375,0,4,0.0,0,0,,1,2,3,4,0,0,1,1,6,4.3,-18
41,41,42,42.0,2020-01-15,19,CHI,,WAS,W (+9),0,23,4,9,0.444,1,5,0.2,1,2,0.5,0,4,4,2,0,0,3,1,10,4.1,-11
42,42,43,43.0,2020-01-17,19,CHI,@,PHI,L (-11),0,25,5,13,0.385,2,6,0.333,2,2,1.0,0,4,4,4,0,0,1,3,14,8.7,-8
43,43,44,44.0,2020-01-18,19,CHI,,CLE,W (+2),0,20,3,6,0.5,0,0,,5,6,0.833,0,3,3,3,2,0,2,1,11,10.2,3
44,44,45,45.0,2020-01-20,19,CHI,@,MIL,L (-13),0,25,2,8,0.25,1,3,0.333,2,2,1.0,1,2,3,1,1,0,1,2,7,3.4,2
45,45,46,46.0,2020-01-22,19,CHI,,MIN,W (+7),0,25,5,12,0.417,1,4,0.25,1,3,0.333,0,3,3,2,0,0,2,4,12,3.5,22
46,46,47,47.0,2020-01-24,19,CHI,,SAC,L (-17),0,28,2,9,0.222,2,7,0.286,2,2,1.0,0,1,1,2,0,0,1,4,8,1.6,-6
47,47,48,48.0,2020-01-25,19,CHI,@,CLE,W (+12),0,19,2,6,0.333,1,2,0.5,3,3,1.0,0,2,2,1,1,0,0,1,8,6.5,-4
48,48,49,49.0,2020-01-27,19,CHI,,SAS,W (+1),0,22,4,13,0.308,2,6,0.333,1,2,0.5,3,3,6,1,1,0,2,1,11,5.4,-3
49,49,50,50.0,2020-01-29,19,CHI,@,IND,L (-9),0,20,3,6,0.5,3,5,0.6,0,0,,1,0,1,0,0,0,1,2,9,4.9,-3
50,50,51,51.0,2020-01-31,19,CHI,@,BRK,L (-15),0,25,4,10,0.4,2,7,0.286,1,2,0.5,1,2,3,1,0,1,2,3,11,4.7,4
51,51,52,52.0,2020-02-02,19,CHI,@,TOR,L (-27),0,25,4,13,0.308,4,11,0.364,0,0,,0,1,1,5,0,0,0,1,12,7.9,-8
52,52,53,53.0,2020-02-06,19,CHI,,NOP,L (-6),0,31,5,15,0.333,2,7,0.286,2,2,1.0,0,6,6,9,0,0,2,4,14,10.0,-7
53,53,54,54.0,2020-02-09,19,CHI,@,PHI,L (-7),0,26,3,10,0.3,0,4,0.0,0,0,,1,5,6,3,0,0,1,2,6,2.7,-11
54,54,55,55.0,2020-02-11,19,CHI,@,WAS,L (-12),0,35,4,14,0.286,2,7,0.286,4,4,1.0,1,4,5,7,4,0,1,3,14,14.4,8
55,55,56,56.0,2020-02-20,20,CHI,,CHO,L (-10),0,30,3,11,0.273,0,5,0.0,6,7,0.857,0,0,0,3,0,1,2,3,12,4.7,-13
56,56,57,57.0,2020-02-22,20,CHI,,PHO,L (-8),0,34,11,22,0.5,7,13,0.538,4,4,1.0,0,3,3,2,1,0,5,5,33,18.3,7
57,57,58,58.0,2020-02-23,20,CHI,,WAS,W (+9),0,34,11,18,0.611,5,9,0.556,6,7,0.857,1,5,6,2,2,1,5,2,33,24.9,16
58,58,59,59.0,2020-02-25,20,CHI,,OKC,L (-2),0,33,13,21,0.619,6,9,0.667,3,3,1.0,1,6,7,3,0,0,1,3,35,27.9,15
59,59,60,60.0,2020-02-29,20,CHI,@,NYK,L (-10),0,29,7,17,0.412,4,8,0.5,4,4,1.0,0,2,2,3,2,0,1,1,22,16.2,-20
60,60,61,61.0,2020-03-02,20,CHI,,DAL,W (+2),0,32,8,20,0.4,3,9,0.333,0,0,,1,5,6,5,1,0,4,3,19,9.7,4
61,61,62,62.0,2020-03-04,20,CHI,@,MIN,L (-7),0,35,11,22,0.5,2,7,0.286,2,2,1.0,0,1,1,6,0,0,0,2,26,18.7,3
62,62,63,63.0,2020-03-06,20,CHI,,IND,L (-6),0,38,10,21,0.476,3,10,0.3,3,3,1.0,0,2,2,6,1,0,2,2,26,18.3,-4
63,63,64,64.0,2020-03-08,20,CHI,@,BRK,L (-3),0,35,8,21,0.381,3,9,0.333,2,3,0.667,0,6,6,8,1,0,0,4,21,15.9,-3
64,64,65,65.0,2020-03-10,20,CHI,,CLE,W (+5),1,38,7,17,0.412,2,7,0.286,4,5,0.8,0,5,5,5,0,0,9,1,20,6.1,9
65,65,1,1.0,2020-12-23,20,CHI,,ATL,L (-20),1,30,2,11,0.182,1,7,0.143,4,4,1.0,0,2,2,7,2,0,3,2,9,5.8,-13
66,66,2,2.0,2020-12-26,20,CHI,,IND,L (-19),1,25,4,10,0.4,4,7,0.571,0,0,,1,1,2,3,0,1,4,2,12,5.6,-16
67,67,3,3.0,2020-12-27,20,CHI,,GSW,L (-1),1,36,8,19,0.421,4,9,0.444,0,0,,0,7,7,5,0,0,3,1,20,12.1,-7
68,68,4,4.0,2020-12-29,20,CHI,@,WAS,W (+8),1,37,6,14,0.429,2,5,0.4,4,4,1.0,0,5,5,6,0,0,2,0,18,14.3,10
69,69,5,5.0,2020-12-31,20,CHI,@,WAS,W (+3),1,40,5,16,0.313,3,9,0.333,3,5,0.6,1,5,6,10,0,0,3,4,16,10.6,14
70,70,6,6.0,2021-01-01,20,CHI,@,MIL,L (-30),1,29,4,13,0.308,1,5,0.2,3,4,0.75,0,4,4,3,0,0,4,2,12,2.6,-21
71,71,7,7.0,2021-01-03,20,CHI,,DAL,W (+10),1,33,7,14,0.5,4,9,0.444,5,5,1.0,1,6,7,4,0,0,4,5,23,15.3,7
72,72,8,8.0,2021-01-05,20,CHI,@,POR,W (+3),1,39,8,19,0.421,2,7,0.286,3,4,0.75,2,8,10,5,0,0,2,2,21,15.0,-1
73,73,9,9.0,2021-01-06,20,CHI,@,SAC,L (-4),1,40,15,23,0.652,4,9,0.444,2,2,1.0,0,3,3,7,0,0,0,1,36,31.3,-5
74,74,10,10.0,2021-01-08,20,CHI,@,LAL,L (-2),1,32,6,14,0.429,2,5,0.4,0,0,,0,3,3,5,0,0,3,3,14,6.8,-18
75,75,11,11.0,2021-01-10,20,CHI,@,LAC,L (-3),1,43,4,11,0.364,0,4,0.0,1,2,0.5,1,7,8,13,1,0,5,4,9,8.8,-2
76,76,12,12.0,2021-01-15,20,CHI,@,OKC,L (-2),1,44,8,20,0.4,4,9,0.444,2,2,1.0,1,8,9,7,0,0,4,5,22,13.2,-6
77,77,13,13.0,2021-01-17,20,CHI,@,DAL,W (+16),1,25,0,5,0.0,0,2,0.0,0,0,,0,3,3,4,1,0,1,1,0,-0.2,-3
78,78,14,14.0,2021-01-18,20,CHI,,HOU,W (+5),1,32,4,12,0.333,2,7,0.286,0,0,,1,3,4,4,2,0,3,4,10,5.0,2
79,79,15,15.0,2021-01-22,20,CHI,@,CHO,W (+13),1,33,6,15,0.4,3,8,0.375,3,4,0.75,0,2,2,8,2,0,1,3,18,15.5,9
80,80,16,16.0,2021-01-23,20,CHI,,LAL,L (-11),1,32,5,13,0.385,2,4,0.5,2,2,1.0,0,7,7,4,0,0,2,4,14,8.2,-9
