,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2013-10-30,21,CHA,@,HOU,L (-13),0,16,1,6,0.167,0,0,,0,0,,3,1,4,0,0,1,1,2,2,-0.5,3
1,1,2,2.0,2013-11-01,21,CHA,,CLE,W (+6),0,19,4,9,0.444,0,0,,1,2,0.5,0,5,5,0,0,0,0,2,9,4.6,2
2,2,3,3.0,2013-11-02,21,CHA,@,NOP,L (-21),0,10,2,4,0.5,0,0,,0,0,,1,0,1,0,2,0,2,4,4,1.1,-9
3,3,4,4.0,2013-11-05,21,CHA,@,NYK,W (+5),0,18,2,3,0.667,0,0,,3,4,0.75,2,3,5,1,1,0,3,4,7,4.7,-7
4,4,5,5.0,2013-11-06,21,CHA,,TOR,W (+2),0,18,3,3,1.0,0,0,,0,2,0.0,2,1,3,2,0,0,0,1,6,7.0,-1
5,5,6,6.0,2013-11-08,21,CHA,,NYK,L (-10),0,23,1,3,0.333,0,0,,1,2,0.5,1,1,2,0,0,1,1,3,3,0.4,-12
6,6,7,7.0,2013-11-11,21,CHA,,ATL,L (-9),0,17,1,5,0.2,0,0,,2,2,1.0,1,1,2,1,2,0,0,2,4,3.8,-14
7,7,8,8.0,2013-11-13,21,CHA,@,BOS,W (+6),0,22,2,7,0.286,0,0,,4,4,1.0,4,5,9,2,2,1,3,1,8,8.9,4
8,8,9,9.0,2013-11-15,21,CHA,@,CLE,W (+6),0,22,3,6,0.5,0,0,,2,3,0.667,0,4,4,0,0,0,0,1,8,5.4,17
9,9,10,10.0,2013-11-16,21,CHA,,MIA,L (-16),0,7,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-3.2,-6
10,10,11,11.0,2013-11-18,21,CHA,@,CHI,L (-5),0,19,3,8,0.375,0,0,,0,0,,1,5,6,2,2,1,0,3,6,6.7,0
11,11,12,12.0,2013-11-20,21,CHA,,BRK,W (+4),0,19,2,6,0.333,0,0,,2,3,0.667,3,1,4,1,2,0,2,4,6,3.7,9
12,12,13,13.0,2013-11-22,21,CHA,,PHO,L (-7),0,25,2,11,0.182,0,0,,2,2,1.0,4,5,9,0,0,0,3,3,6,-0.8,-8
13,13,14,14.0,2013-11-23,21,CHA,@,MIL,W (+24),0,26,0,3,0.0,0,0,,2,2,1.0,3,2,5,1,0,2,4,3,2,-0.5,-1
14,14,15,15.0,2013-11-25,21,CHA,,BOS,L (-10),0,14,1,3,0.333,0,0,,0,0,,0,3,3,1,0,0,1,1,2,0.5,-21
15,15,16,16.0,2013-11-27,21,CHA,,IND,L (-25),0,19,2,7,0.286,0,0,,3,4,0.75,2,4,6,2,0,1,3,5,7,2.2,-9
16,16,17,17.0,2013-11-29,21,CHA,,MIL,W (+16),0,19,3,5,0.6,0,0,,1,1,1.0,2,2,4,1,0,1,0,1,7,7.7,12
17,17,18,18.0,2013-12-01,21,CHA,@,MIA,L (-1),0,19,1,6,0.167,0,0,,0,0,,0,2,2,3,0,0,0,1,2,0.5,1
18,18,19,19.0,2013-12-03,21,CHA,@,DAL,L (-7),0,18,1,5,0.2,0,0,,0,0,,1,3,4,1,0,0,1,2,2,-0.6,-6
19,19,20,20.0,2013-12-06,21,CHA,,PHI,W (+17),0,12,5,6,0.833,0,0,,0,1,0.0,0,5,5,0,0,0,1,2,10,7.1,6
20,20,21,21.0,2013-12-09,21,CHA,,GSW,W (+4),0,14,2,5,0.4,0,0,,1,2,0.5,0,3,3,1,0,0,1,2,5,1.7,-3
21,21,22,22.0,2013-12-11,21,CHA,,ORL,L (-9),0,15,5,7,0.714,0,0,,0,0,,1,5,6,2,1,1,0,2,10,11.6,-6
22,22,23,23.0,2013-12-13,21,CHA,@,IND,L (-5),0,19,2,5,0.4,0,0,,3,3,1.0,1,4,5,2,0,1,2,1,7,5.9,7
23,23,24,24.0,2013-12-14,21,CHA,,LAL,L (-3),0,18,1,5,0.2,0,0,,1,2,0.5,2,4,6,1,0,0,1,2,3,1.0,-7
24,24,25,25.0,2013-12-17,21,CHA,,SAC,W (+8),0,23,3,7,0.429,0,0,,1,1,1.0,0,5,5,2,0,1,3,4,7,2.3,3
25,25,26,26.0,2013-12-18,21,CHA,@,TOR,W (+2),0,9,0,3,0.0,0,0,,0,0,,0,1,1,0,0,0,2,1,0,-4.2,-10
26,26,27,27.0,2013-12-20,21,CHA,@,DET,W (+10),0,20,3,7,0.429,0,0,,0,0,,2,2,4,1,1,2,2,2,6,4.6,-1
27,27,28,28.0,2013-12-21,21,CHA,,UTA,L (-3),0,19,4,5,0.8,0,0,,0,0,,0,3,3,2,0,0,1,1,8,7.0,5
28,28,29,29.0,2013-12-23,21,CHA,,MIL,W (+1),0,22,6,12,0.5,0,0,,0,0,,3,4,7,4,0,2,1,2,12,11.7,3
29,29,30,30.0,2013-12-27,21,CHA,,OKC,L (-4),0,16,0,5,0.0,0,0,,3,4,0.75,2,2,4,1,1,0,4,1,3,-1.6,-13
30,30,31,31.0,2013-12-28,21,CHA,@,ATL,L (-2),0,12,1,8,0.125,0,0,,0,0,,2,1,3,2,1,0,0,5,2,-1.1,-14
31,31,32,32.0,2013-12-30,21,CHA,@,UTA,L (-3),0,5,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0,-2
32,32,33,33.0,2014-01-01,21,CHA,@,LAC,L (-27),0,20,0,6,0.0,0,0,,6,6,1.0,3,1,4,1,2,0,1,3,6,4.7,-15
33,33,34,34.0,2014-01-02,21,CHA,@,POR,L (-30),0,17,1,6,0.167,0,0,,3,4,0.75,1,4,5,1,1,0,1,1,5,3.0,0
34,34,35,35.0,2014-01-04,21,CHA,@,SAC,W (+10),0,11,2,2,1.0,0,0,,2,3,0.667,1,1,2,2,0,0,1,2,6,5.6,1
35,35,36,36.0,2014-01-07,21,CHA,,WAS,L (-14),0,11,2,5,0.4,0,0,,1,2,0.5,0,1,1,0,0,0,0,2,5,1.4,-12
36,36,37,37.0,2014-01-10,21,CHA,@,MIN,L (-27),0,16,1,3,0.333,0,0,,0,0,,2,4,6,2,1,1,0,3,2,4.8,-7
37,37,38,38.0,2014-01-11,21,CHA,@,CHI,L (-6),0,9,2,3,0.667,0,0,,1,1,1.0,0,2,2,0,1,1,0,0,5,6.0,-7
38,38,39,39.0,2014-01-14,21,CHA,,NYK,W (+10),0,15,1,2,0.5,0,1,0.0,0,0,,0,4,4,1,0,0,0,5,2,0.9,9
39,39,40,40.0,2014-01-15,21,CHA,@,PHI,L (-3),0,19,2,4,0.5,0,0,,1,2,0.5,2,4,6,0,1,1,2,3,5,3.7,4
40,40,41,41.0,2014-01-17,21,CHA,@,ORL,W (+10),0,12,2,6,0.333,0,0,,2,2,1.0,1,2,3,0,0,0,1,2,6,2.1,-7
41,41,42,42.0,2014-01-18,21,CHA,,MIA,L (-8),0,15,2,4,0.5,0,0,,1,1,1.0,0,1,1,2,0,0,1,2,5,2.9,-2
42,42,43,43.0,2014-01-20,21,CHA,,TOR,W (+5),0,15,0,0,,0,0,,2,2,1.0,0,1,1,2,0,0,1,0,2,2.7,-2
43,43,44,44.0,2014-01-22,21,CHA,,LAC,W (+4),0,17,1,4,0.25,0,0,,2,2,1.0,1,1,2,1,0,1,0,3,4,2.8,7
44,44,45,45.0,2014-01-24,21,CHA,@,NYK,L (-29),0,16,2,5,0.4,0,0,,1,1,1.0,1,4,5,0,0,0,1,1,5,2.8,6
45,45,46,46.0,2014-01-25,21,CHA,,CHI,L (-2),0,21,2,4,0.5,0,0,,3,4,0.75,2,6,8,0,0,1,0,2,7,7.7,3
46,46,47,47.0,2014-01-29,21,CHA,@,DEN,W (+3),0,16,0,4,0.0,0,0,,4,4,1.0,2,4,6,0,1,0,1,2,4,3.0,-3
47,47,48,48.0,2014-01-31,21,CHA,@,LAL,W (+10),0,12,2,3,0.667,0,0,,1,3,0.333,3,2,5,2,0,0,0,3,5,5.8,3
48,48,49,49.0,2014-02-01,21,CHA,@,PHO,L (-10),0,19,4,7,0.571,0,0,,3,5,0.6,0,6,6,0,0,0,0,4,11,7.1,-5
49,49,50,50.0,2014-02-04,21,CHA,@,GSW,W (+16),0,18,1,3,0.333,0,0,,0,0,,1,2,3,1,2,1,0,4,2,3.4,16
50,50,51,51.0,2014-02-08,21,CHA,,SAS,L (-4),0,18,1,3,0.333,0,0,,4,6,0.667,0,2,2,2,1,1,0,0,6,7.2,-6
51,51,52,52.0,2014-02-11,21,CHA,,DAL,W (+25),0,22,2,4,0.5,0,0,,1,2,0.5,1,6,7,2,0,0,0,2,5,5.7,-2
52,52,53,53.0,2014-02-12,21,CHA,@,BRK,L (-16),0,7,1,2,0.5,0,0,,1,2,0.5,2,2,4,2,0,0,0,0,3,5.0,5
53,53,54,54.0,2014-02-18,21,CHA,@,DET,W (+12),0,15,0,3,0.0,0,0,,1,2,0.5,2,2,4,1,1,0,1,2,1,0.4,-6
54,54,55,55.0,2014-02-19,21,CHA,,DET,W (+18),0,17,3,6,0.5,0,0,,1,2,0.5,1,3,4,0,1,3,2,3,7,5.1,-4
55,55,56,56.0,2014-02-21,21,CHA,,NOP,W (+3),0,16,3,7,0.429,0,0,,7,8,0.875,2,3,5,2,0,0,2,3,13,9.4,10
56,56,57,57.0,2014-02-22,21,CHA,,MEM,W (+3),0,17,2,6,0.333,0,0,,3,3,1.0,1,1,2,3,1,1,1,3,7,6.2,21
57,57,58,58.0,2014-02-28,21,CHA,@,SAS,L (-10),0,18,3,8,0.375,0,0,,4,4,1.0,2,6,8,2,2,0,0,1,10,11.8,-4
58,58,59,59.0,2014-03-02,21,CHA,@,OKC,L (-17),0,19,2,3,0.667,0,0,,6,7,0.857,0,4,4,1,0,0,1,2,10,8.4,0
59,59,60,60.0,2014-03-03,21,CHA,@,MIA,L (-17),0,19,4,7,0.571,0,0,,2,4,0.5,3,2,5,5,2,0,2,2,10,11.3,-5
60,60,61,61.0,2014-03-05,21,CHA,,IND,W (+22),0,20,4,6,0.667,0,0,,3,4,0.75,1,4,5,0,1,2,1,2,11,10.5,11
61,61,62,62.0,2014-03-07,21,CHA,,CLE,W (+9),0,16,2,4,0.5,0,0,,3,3,1.0,1,3,4,1,1,0,0,3,7,7.1,-1
62,62,63,63.0,2014-03-08,21,CHA,@,MEM,L (-22),0,23,1,5,0.2,0,0,,0,0,,4,5,9,2,0,1,2,5,2,1.3,-21
63,63,64,64.0,2014-03-10,21,CHA,,DEN,W (+7),0,10,2,2,1.0,0,0,,0,0,,1,1,2,1,0,1,0,1,4,5.4,1
64,64,65,65.0,2014-03-12,21,CHA,@,WAS,W (+13),0,17,2,2,1.0,0,0,,3,4,0.75,3,4,7,0,0,0,2,3,7,6.1,8
65,65,66,66.0,2014-03-14,21,CHA,,MIN,W (+12),0,21,5,8,0.625,0,0,,0,0,,2,6,8,3,0,0,0,2,10,10.9,-2
66,66,67,67.0,2014-03-16,21,CHA,@,MIL,W (+9),0,16,1,1,1.0,0,0,,2,4,0.5,0,6,6,0,0,0,1,2,4,2.9,-4
67,67,68,68.0,2014-03-17,21,CHA,,ATL,L (-14),0,12,1,6,0.167,0,0,,1,1,1.0,1,1,2,0,0,2,0,1,3,1.2,3
