,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2019-10-23,20,CLE,@,ORL,L (-9),1,30,5,15,0.333,3,8,0.375,3,4,0.75,1,1,2,2,0,0,3,1,16,6.1,-4
1,1,2,2.0,2019-10-26,20,CLE,,IND,W (+11),1,30,6,14,0.429,2,3,0.667,4,6,0.667,2,3,5,3,0,0,2,1,18,11.8,10
2,2,3,3.0,2019-10-28,20,CLE,@,MIL,L (-17),1,30,8,15,0.533,2,5,0.4,0,0,,0,3,3,1,0,0,2,3,18,9.1,-15
3,3,4,4.0,2019-10-30,20,CLE,,CHI,W (+6),1,28,7,12,0.583,1,4,0.25,3,4,0.75,1,1,2,2,0,0,4,4,18,8.8,1
4,4,5,5.0,2019-11-01,20,CLE,@,IND,L (-7),1,37,9,21,0.429,2,5,0.4,1,2,0.5,0,3,3,2,2,0,0,3,21,12.6,2
5,5,6,6.0,2019-11-03,20,CLE,,DAL,L (-20),1,25,4,14,0.286,0,4,0.0,2,2,1.0,0,6,6,2,1,0,1,1,10,4.6,-18
6,6,7,7.0,2019-11-05,20,CLE,,BOS,L (-6),1,35,6,14,0.429,2,3,0.667,7,7,1.0,0,1,1,3,0,1,1,5,21,13.7,3
7,7,8,8.0,2019-11-08,20,CLE,@,WAS,W (+13),1,31,7,19,0.368,2,5,0.4,0,0,,1,1,2,1,0,0,1,4,16,4.6,6
8,8,9,9.0,2019-11-10,20,CLE,@,NYK,W (+21),1,30,10,16,0.625,5,8,0.625,6,8,0.75,1,1,2,3,1,0,0,3,31,25.9,26
9,9,10,10.0,2019-11-12,20,CLE,@,PHI,L (-1),1,33,8,18,0.444,0,3,0.0,2,2,1.0,1,4,5,4,2,0,4,1,18,10.9,-2
10,10,11,11.0,2019-11-14,20,CLE,,MIA,L (-11),1,27,7,16,0.438,0,3,0.0,1,1,1.0,0,4,4,3,1,0,0,1,15,10.5,-21
11,11,12,12.0,2019-11-17,20,CLE,,PHI,L (-19),1,28,7,17,0.412,0,2,0.0,3,4,0.75,3,1,4,1,1,0,1,2,17,9.8,5
12,12,13,13.0,2019-11-18,20,CLE,@,NYK,L (-18),1,26,5,13,0.385,1,2,0.5,3,5,0.6,2,1,3,1,0,0,2,2,14,5.7,-29
13,13,14,14.0,2019-11-20,20,CLE,@,MIA,L (-24),1,27,8,16,0.5,1,4,0.25,2,3,0.667,0,2,2,0,2,0,1,1,19,11.8,-18
14,14,15,15.0,2019-11-22,20,CLE,@,DAL,L (-42),1,32,4,12,0.333,0,3,0.0,6,6,1.0,0,2,2,5,0,0,3,2,14,7.5,-18
15,15,16,16.0,2019-11-23,20,CLE,,POR,W (+6),1,32,7,14,0.5,0,1,0.0,5,6,0.833,0,4,4,0,3,0,4,2,19,11.0,-1
16,16,17,17.0,2019-11-25,20,CLE,,BRK,L (-2),1,33,7,22,0.318,1,6,0.167,3,4,0.75,2,1,3,2,0,0,0,0,18,8.1,-5
17,17,18,18.0,2019-11-27,20,CLE,,ORL,L (-12),1,32,8,14,0.571,1,1,1.0,3,3,1.0,3,4,7,6,0,0,5,2,20,15.1,-9
18,18,19,19.0,2019-11-29,20,CLE,,MIL,L (-9),1,32,7,15,0.467,1,2,0.5,1,2,0.5,1,0,1,5,3,0,1,5,16,12.1,-2
19,19,20,20.0,2019-12-03,20,CLE,,DET,L (-33),1,33,8,16,0.5,0,2,0.0,6,7,0.857,1,3,4,3,2,0,2,2,22,16.5,-9
20,20,21,21.0,2019-12-06,20,CLE,,ORL,L (-6),1,30,8,16,0.5,1,3,0.333,2,2,1.0,1,2,3,1,1,0,3,0,19,11.0,8
21,21,22,22.0,2019-12-07,20,CLE,@,PHI,L (-47),1,25,3,13,0.231,0,1,0.0,4,5,0.8,0,0,0,2,1,0,1,0,10,3.1,-30
22,22,23,23.0,2019-12-09,20,CLE,@,BOS,L (-22),1,30,4,14,0.286,0,2,0.0,0,0,,3,1,4,3,0,0,1,0,8,3.3,-30
23,23,24,24.0,2019-12-11,20,CLE,,HOU,L (-6),1,29,8,14,0.571,0,1,0.0,2,2,1.0,1,0,1,3,1,0,2,3,18,12.0,-18
24,24,25,25.0,2019-12-12,20,CLE,@,SAS,W (+8),1,35,10,19,0.526,1,5,0.2,7,8,0.875,0,2,2,2,1,0,1,2,28,19.5,14
25,25,26,26.0,2019-12-14,20,CLE,@,MIL,L (-17),1,28,3,8,0.375,0,2,0.0,2,2,1.0,1,1,2,1,3,0,3,2,8,4.5,-26
26,26,27,27.0,2019-12-16,20,CLE,@,TOR,L (-20),1,31,10,16,0.625,0,1,0.0,5,6,0.833,2,3,5,4,0,0,2,1,25,20.1,-24
27,27,28,28.0,2019-12-18,20,CLE,,CHO,W (+2),1,31,10,14,0.714,0,1,0.0,3,3,1.0,0,2,2,2,3,0,5,5,23,15.2,17
28,28,29,29.0,2019-12-20,20,CLE,,MEM,W (+7),1,25,2,12,0.167,0,1,0.0,5,6,0.833,1,2,3,3,0,1,2,2,9,2.3,-4
