,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2020-12-23,22,MEM,,SAS,L (-12),0,11,2,5,0.4,2,4,0.5,0,0,,1,3,4,0,0,0,1,1,6,3.5,-6
1,1,2,2.0,2020-12-26,22,MEM,,ATL,L (-10),0,22,2,2,1.0,2,2,1.0,0,0,,0,1,1,0,0,0,0,4,6,4.1,2
2,2,3,3.0,2020-12-28,22,MEM,@,BRK,W (+5),0,24,2,6,0.333,2,5,0.4,0,0,,1,2,3,0,0,0,1,3,6,1.7,-6
3,3,4,4.0,2020-12-30,22,MEM,@,BOS,L (-19),0,32,6,11,0.545,3,6,0.5,1,1,1.0,2,2,4,0,2,0,2,2,16,11.9,-10
4,4,5,5.0,2021-01-01,22,MEM,@,CHO,W (+15),0,28,4,12,0.333,2,7,0.286,0,0,,0,2,2,4,1,0,2,2,10,4.8,-5
5,5,6,6.0,2021-01-03,22,MEM,,LAL,L (-14),0,21,5,8,0.625,3,4,0.75,0,1,0.0,0,1,1,2,1,0,1,2,13,9.9,4
6,6,7,7.0,2021-01-05,22,MEM,,LAL,L (-2),0,25,3,8,0.375,1,4,0.25,0,0,,0,3,3,1,1,0,2,1,7,2.8,12
7,7,8,8.0,2021-01-07,22,MEM,,CLE,L (-4),0,24,2,6,0.333,2,4,0.5,0,0,,1,5,6,2,1,0,1,0,6,6.2,3
8,8,9,9.0,2021-01-08,22,MEM,,BRK,W (+5),0,21,2,6,0.333,2,3,0.667,4,4,1.0,0,2,2,0,1,0,0,3,10,7.0,4
9,9,10,10.0,2021-01-11,22,MEM,@,CLE,W (+10),0,20,4,5,0.8,0,1,0.0,1,1,1.0,0,4,4,2,1,0,2,2,9,7.9,16
10,10,11,11.0,2021-01-13,22,MEM,@,MIN,W (+11),0,17,1,4,0.25,0,1,0.0,1,2,0.5,0,3,3,0,0,0,0,2,3,0.3,3
11,11,12,12.0,2021-01-16,22,MEM,,PHI,W (+2),0,19,4,5,0.8,2,2,1.0,0,0,,0,2,2,1,0,0,0,1,10,9.0,10
12,12,13,13.0,2021-01-18,22,MEM,,PHO,W (+4),0,22,4,9,0.444,2,4,0.5,0,0,,0,1,1,2,1,0,2,1,10,5.6,8
13,13,14,14.0,2021-01-30,22,MEM,@,SAS,W (+17),0,21,6,8,0.75,3,3,1.0,0,0,,1,3,4,2,0,0,1,1,15,13.4,0
14,14,15,15.0,2021-02-01,22,MEM,@,SAS,W (+31),0,25,4,9,0.444,2,5,0.4,0,0,,0,3,3,1,0,1,0,2,10,6.8,9
15,15,16,16.0,2021-02-02,22,MEM,@,IND,L (-18),0,26,6,13,0.462,3,6,0.5,1,1,1.0,1,2,3,5,0,0,2,4,16,10.5,2
16,16,17,17.0,2021-02-04,22,MEM,,HOU,L (-12),0,27,5,8,0.625,2,4,0.5,4,5,0.8,0,1,1,3,1,1,1,2,16,14.3,-5
17,17,18,18.0,2021-02-06,22,MEM,@,NOP,L (-9),0,20,2,8,0.25,1,5,0.2,0,0,,0,2,2,2,1,1,0,2,5,3.1,1
18,18,19,19.0,2021-02-08,22,MEM,,TOR,L (-15),1,26,5,11,0.455,3,7,0.429,0,0,,1,2,3,3,0,0,3,2,13,6.9,1
19,19,20,20.0,2021-02-10,22,MEM,,CHO,W (+16),1,26,6,11,0.545,4,8,0.5,2,2,1.0,1,0,1,2,2,0,2,0,18,14.8,10
20,24,25,21.0,2021-02-19,22,MEM,,DET,W (+14),0,25,4,8,0.5,1,3,0.333,1,1,1.0,0,5,5,1,2,0,1,0,10,9.2,10
21,25,26,22.0,2021-02-20,22,MEM,,PHO,L (-31),1,24,2,8,0.25,0,4,0.0,0,0,,0,2,2,1,0,0,1,0,4,-0.5,-19
22,26,27,23.0,2021-02-22,22,MEM,@,DAL,L (-10),0,23,4,9,0.444,2,4,0.5,2,2,1.0,1,1,2,0,0,0,1,3,12,6.1,2
23,27,28,24.0,2021-02-25,22,MEM,,LAC,W (+28),0,20,2,5,0.4,0,1,0.0,0,0,,0,2,2,0,0,0,1,3,4,-0.3,8
24,28,29,25.0,2021-02-26,22,MEM,,LAC,L (-20),0,22,2,5,0.4,0,1,0.0,0,0,,0,1,1,2,0,0,0,4,4,1.4,-18
25,29,30,26.0,2021-02-28,22,MEM,@,HOU,W (+49),1,28,6,7,0.857,1,2,0.5,2,2,1.0,2,5,7,1,3,1,2,4,15,16.2,38
26,30,31,27.0,2021-03-02,22,MEM,@,WAS,W (+14),1,22,4,7,0.571,1,3,0.333,1,1,1.0,0,2,2,1,1,0,0,2,10,8.2,-9
27,31,32,28.0,2021-03-04,22,MEM,,MIL,L (-1),1,19,1,5,0.2,1,3,0.333,1,1,1.0,0,6,6,0,1,0,0,1,4,3.3,3
28,32,33,29.0,2021-03-10,22,MEM,,WAS,W (+15),1,31,7,13,0.538,5,8,0.625,1,1,1.0,0,4,4,1,1,0,2,2,20,13.8,4
29,33,34,30.0,2021-03-12,22,MEM,,DEN,L (-1),1,17,3,5,0.6,2,4,0.5,2,2,1.0,1,3,4,0,0,0,2,3,10,6.1,-10
30,34,35,31.0,2021-03-14,22,MEM,@,OKC,L (-6),1,23,3,6,0.5,1,4,0.25,0,0,,0,1,1,0,1,0,0,3,7,4.1,-15
31,35,36,32.0,2021-03-15,22,MEM,@,PHO,L (-23),1,22,0,3,0.0,0,3,0.0,0,0,,0,1,1,1,0,0,0,1,0,-1.5,-6
