,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2016-10-26,18,PHO,,SAC,L (-19),0,12,4,5,0.8,2,3,0.667,0,0,,1,1,2,0,0,0,0,0,10,9.1,10
1,1,2,2.0,2016-10-28,18,PHO,@,OKC,L (-3),0,7,0,1,0.0,0,0,,0,0,,0,1,1,0,1,1,0,1,0,0.9,-3
3,3,4,4.0,2016-10-31,18,PHO,@,LAC,L (-18),0,7,0,1,0.0,0,0,,0,0,,0,1,1,2,1,0,0,0,0,2.0,1
4,7,8,5.0,2016-11-08,18,PHO,@,POR,L (-3),0,23,4,9,0.444,2,4,0.5,0,0,,1,1,2,1,0,1,2,2,10,4.9,19
5,8,9,6.0,2016-11-09,18,PHO,,DET,W (+7),0,8,0,4,0.0,0,2,0.0,0,0,,0,0,0,0,0,0,1,4,0,-5.4,-3
6,9,10,7.0,2016-11-12,18,PHO,,BRK,L (-18),0,8,2,3,0.667,1,2,0.5,0,0,,0,1,1,0,0,0,0,1,5,3.6,-7
7,10,11,8.0,2016-11-13,18,PHO,@,GSW,L (-13),0,14,2,2,1.0,1,1,1.0,0,0,,1,1,2,0,0,1,0,2,5,5.3,7
9,13,14,10.0,2016-11-19,19,PHO,@,PHI,L (-15),0,12,1,3,0.333,0,2,0.0,0,1,0.0,0,1,1,0,0,1,2,1,2,-1.5,0
10,15,16,11.0,2016-11-23,19,PHO,@,ORL,W (+5),0,13,1,3,0.333,1,1,1.0,0,0,,0,4,4,0,0,2,1,2,3,2.1,7
11,16,17,12.0,2016-11-25,19,PHO,,MIN,L (-13),0,7,1,2,0.5,1,2,0.5,0,2,0.0,0,1,1,0,0,0,1,0,3,0.5,7
12,17,18,13.0,2016-11-27,19,PHO,,DEN,L (-6),0,14,0,2,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,2,0,0,-3.1,-10
13,18,19,14.0,2016-11-30,19,PHO,,ATL,W (+2),0,12,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,0,1,0,-1.5,6
14,19,20,15.0,2016-12-03,19,PHO,@,GSW,L (-29),0,25,4,6,0.667,2,4,0.5,0,0,,0,4,4,1,0,1,0,0,10,10.0,-19
15,20,21,16.0,2016-12-06,19,PHO,@,UTA,L (-7),0,28,1,5,0.2,1,5,0.2,0,0,,0,3,3,1,0,0,1,4,3,-1.1,8
16,21,22,17.0,2016-12-07,19,PHO,,IND,L (-15),0,11,0,0,,0,0,,0,0,,0,3,3,0,1,0,2,0,0,-0.1,-6
17,22,23,18.0,2016-12-09,19,PHO,@,LAL,W (+4),0,8,1,3,0.333,0,2,0.0,0,0,,0,0,0,0,0,1,0,2,2,0.2,-10
18,23,24,19.0,2016-12-11,19,PHO,,NOP,L (-1),0,6,0,2,0.0,0,2,0.0,0,0,,1,0,1,0,0,0,0,0,0,-0.7,-3
19,24,25,20.0,2016-12-13,19,PHO,,NYK,W (+2),0,8,1,3,0.333,1,3,0.333,0,0,,0,0,0,0,0,0,0,3,3,0.1,-1
20,25,26,21.0,2016-12-15,19,PHO,,SAS,L (-15),0,12,1,4,0.25,1,3,0.333,0,0,,0,3,3,1,0,0,1,2,3,0.4,3
21,26,27,22.0,2016-12-17,19,PHO,@,OKC,L (-13),0,10,0,1,0.0,0,1,0.0,0,0,,0,3,3,0,0,2,0,2,0,0.8,10
23,30,31,24.0,2016-12-26,19,PHO,@,HOU,L (-16),0,27,5,11,0.455,1,4,0.25,0,0,,2,11,13,2,3,2,2,2,11,13.0,10
24,31,32,25.0,2016-12-28,19,PHO,@,SAS,L (-21),0,27,4,4,1.0,2,2,1.0,0,0,,0,4,4,1,1,1,0,2,10,11.6,-9
25,32,33,26.0,2016-12-29,19,PHO,,TOR,W (+8),0,11,1,3,0.333,1,3,0.333,0,0,,1,2,3,0,0,0,1,3,3,0.4,-2
26,33,34,27.0,2016-12-31,19,PHO,@,UTA,L (-5),0,21,2,4,0.5,2,4,0.5,1,3,0.333,0,1,1,0,0,1,2,2,7,2.4,-2
27,34,35,28.0,2017-01-02,19,PHO,@,LAC,L (-11),0,5,0,1,0.0,0,0,,0,0,,0,2,2,0,0,0,1,2,0,-1.9,-10
28,35,36,29.0,2017-01-03,19,PHO,,MIA,W (+9),0,16,1,5,0.2,0,3,0.0,0,0,,0,2,2,1,0,0,1,0,2,-0.8,4
29,36,37,30.0,2017-01-05,19,PHO,@,DAL,W (+7),0,13,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,1,0,-1.8,4
30,37,38,31.0,2017-01-08,19,PHO,,CLE,L (-4),0,12,2,5,0.4,1,3,0.333,0,0,,3,0,3,1,1,1,1,1,5,5.4,-9
31,38,39,32.0,2017-01-12,19,PHO,,DAL,L (-5),0,8,1,3,0.333,1,2,0.5,2,2,1.0,1,0,1,0,0,1,2,1,5,2.3,3
32,39,40,33.0,2017-01-14,19,PHO,,SAS,W (+3),0,21,2,4,0.5,2,3,0.667,0,0,,0,6,6,1,0,0,0,5,6,4.5,6
33,40,41,34.0,2017-01-16,19,PHO,,UTA,L (-5),0,25,2,4,0.5,1,3,0.333,0,0,,1,3,4,0,0,2,1,2,5,4.2,4
34,41,42,35.0,2017-01-19,19,PHO,@,CLE,L (-15),0,18,1,5,0.2,1,5,0.2,0,0,,0,1,1,1,0,1,1,3,3,-0.6,-9
35,42,43,36.0,2017-01-21,19,PHO,@,NYK,W (+2),0,10,0,2,0.0,0,2,0.0,0,0,,0,1,1,0,0,0,1,4,0,-3.7,-1
