,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
3,7,8,4.0,2017-11-01,21,BOS,,SAC,W (+27),0,7,2,5,0.4,0,2,0.0,0,0,,3,0,3,0,0,0,0,0,4,3.4,3
5,12,13,6.0,2017-11-10,21,BOS,,CHO,W (+3),0,8,0,1,0.0,0,1,0.0,0,0,,1,2,3,1,0,0,0,3,0,0.1,9
6,19,20,7.0,2017-11-24,21,BOS,,ORL,W (+15),0,7,0,1,0.0,0,1,0.0,0,0,,1,1,2,0,0,1,1,0,0,0.0,-14
7,25,26,8.0,2017-12-06,21,BOS,,DAL,W (+7),0,7,1,3,0.333,1,2,0.5,0,0,,1,1,2,3,0,0,0,0,3,4.4,-1
8,28,29,9.0,2017-12-11,21,BOS,@,CHI,L (-23),0,8,0,1,0.0,0,1,0.0,0,0,,1,1,2,0,0,0,0,1,0,-0.1,-6
9,30,31,10.0,2017-12-15,21,BOS,,UTA,L (-12),0,5,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,3,3.0,-8
11,33,34,12.0,2017-12-20,22,BOS,,MIA,L (-1),0,8,2,3,0.667,2,2,1.0,0,0,,1,2,3,0,0,0,0,2,6,5.2,-1
14,37,38,15.0,2017-12-27,22,BOS,@,CHO,W (+11),0,10,1,2,0.5,1,2,0.5,0,0,,0,3,3,1,0,0,1,2,3,1.8,-3
18,51,52,19.0,2018-01-31,22,BOS,,NYK,W (+30),0,5,0,2,0.0,0,2,0.0,0,0,,0,3,3,0,0,0,0,2,0,-1.3,-1
20,53,54,21.0,2018-02-04,22,BOS,,POR,W (+1),0,8,1,2,0.5,1,2,0.5,1,3,0.333,0,0,0,1,1,0,0,0,4,3.9,6
21,54,55,22.0,2018-02-06,22,BOS,@,TOR,L (-20),0,11,1,1,1.0,0,0,,2,4,0.5,2,1,3,0,0,0,1,0,4,3.6,6
22,67,68,23.0,2018-03-14,22,BOS,,WAS,L (-1),1,18,1,2,0.5,0,1,0.0,2,2,1.0,1,2,3,5,1,0,1,2,4,7.0,2
25,71,72,26.0,2018-03-23,22,BOS,@,POR,W (+5),0,17,2,4,0.5,1,3,0.333,0,0,,1,2,3,0,0,0,1,3,5,2.1,11
26,72,73,27.0,2018-03-25,22,BOS,@,SAC,W (+11),0,9,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,2,0,0,0,0,1,1.3,-1
28,74,75,29.0,2018-03-28,22,BOS,@,UTA,W (+3),1,15,1,2,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,2,2,3,0.2,-8
29,76,77,30.0,2018-04-03,22,BOS,@,MIL,L (-4),0,5,0,1,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,0,0,0.0,-1
31,78,79,32.0,2018-04-06,22,BOS,,CHI,W (+7),1,25,2,6,0.333,1,4,0.25,1,2,0.5,0,6,6,1,0,2,1,0,6,5.1,12
32,81,82,33.0,2018-04-11,22,BOS,,BRK,W (+13),1,28,6,10,0.6,1,2,0.5,3,3,1.0,2,3,5,1,2,1,0,2,16,16.3,9
33,83,2,1.0,2018-04-17,22,BOS,,MIL,W (+14),0,11,0,2,0.0,0,2,0.0,0,0,,1,2,3,1,2,0,0,1,0,2.2,-3
34,84,3,2.0,2018-04-20,22,BOS,@,MIL,L (-24),0,7,1,2,0.5,0,0,,1,3,0.333,2,0,2,1,0,0,0,0,3,3.3,1
35,85,4,3.0,2018-04-22,22,BOS,@,MIL,L (-2),0,6,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,4,0,-2.3,-2
40,94,13,8.0,2018-05-13,22,BOS,,CLE,W (+25),0,5,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0.0,-1
42,96,15,10.0,2018-05-19,22,BOS,@,CLE,L (-30),0,11,0,1,0.0,0,1,0.0,1,2,0.5,0,4,4,0,0,0,0,2,1,0.3,-1
46,102,3,2.0,2018-10-20,22,BOS,@,NYK,W (+2),0,6,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,1
48,105,6,4.0,2018-10-27,22,BOS,@,DET,W (+20),0,5,1,2,0.5,0,0,,0,0,,1,2,3,0,0,0,0,0,2,2.3,-9
50,110,11,6.0,2018-11-08,22,BOS,@,PHO,W (+7),0,5,0,1,0.0,0,0,,0,0,,1,1,2,1,0,0,1,1,0,-0.4,-1
52,113,14,8.0,2018-11-14,22,BOS,,CHI,W (+29),0,6,0,1,0.0,0,0,,3,4,0.75,0,1,1,1,0,0,0,0,3,2.9,1
53,115,16,9.0,2018-11-17,22,BOS,,UTA,L (-12),0,9,2,5,0.4,1,2,0.5,4,4,1.0,1,1,2,0,2,0,0,1,9,8.9,5
56,121,22,12.0,2018-11-30,22,BOS,,CLE,W (+33),0,15,2,7,0.286,1,3,0.333,0,0,,1,3,4,0,0,0,0,2,5,1.7,1
58,124,25,14.0,2018-12-08,22,BOS,@,CHI,W (+56),0,16,1,2,0.5,0,1,0.0,0,0,,2,0,2,3,1,0,0,3,2,4.3,6
