,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2019-10-23,26,OKC,@,UTA,L (-5),0,31,1,8,0.125,1,3,0.333,0,0,,1,5,6,4,0,0,2,2,3,0.0,-3
1,1,2,2.0,2019-10-25,26,OKC,,WAS,L (-12),0,25,4,14,0.286,0,3,0.0,1,2,0.5,0,4,4,3,1,1,2,2,9,2.6,-13
2,2,3,3.0,2019-10-27,26,OKC,,GSW,W (+28),0,25,9,12,0.75,1,2,0.5,3,3,1.0,1,7,8,6,4,0,4,4,22,22.6,27
3,3,4,4.0,2019-10-28,26,OKC,@,HOU,L (-4),0,34,8,13,0.615,4,8,0.5,2,3,0.667,2,3,5,7,1,0,3,5,22,18.9,12
4,4,5,5.0,2019-10-30,26,OKC,,POR,L (-3),0,28,6,17,0.353,0,4,0.0,5,6,0.833,1,3,4,2,1,0,3,5,17,6.1,6
5,5,6,6.0,2019-11-02,26,OKC,,NOP,W (+11),0,29,7,17,0.412,0,4,0.0,3,5,0.6,1,8,9,2,1,1,1,2,17,11.5,20
6,6,7,7.0,2019-11-05,26,OKC,,ORL,W (+8),0,31,2,11,0.182,1,3,0.333,0,0,,0,1,1,3,0,0,3,3,5,-3.7,-1
7,7,8,8.0,2019-11-07,26,OKC,@,SAS,L (-9),0,27,4,11,0.364,1,3,0.333,2,2,1.0,0,3,3,9,0,0,4,2,11,7.3,1
8,8,9,9.0,2019-11-09,26,OKC,,GSW,W (+6),0,33,6,13,0.462,2,8,0.25,2,2,1.0,0,6,6,6,1,1,4,2,16,12.2,-5
9,9,10,10.0,2019-11-10,26,OKC,,MIL,L (-2),0,30,9,12,0.75,3,5,0.6,4,6,0.667,1,5,6,5,3,0,4,5,25,22.1,18
10,10,11,11.0,2019-11-12,26,OKC,@,IND,L (-26),0,25,3,10,0.3,1,4,0.25,2,2,1.0,0,2,2,2,1,0,2,2,9,3.4,-21
11,11,12,12.0,2019-11-15,26,OKC,,PHI,W (+8),0,25,3,9,0.333,0,5,0.0,2,4,0.5,0,1,1,4,0,0,2,2,8,2.4,-5
12,12,13,13.0,2019-11-18,26,OKC,@,LAC,L (-2),0,29,6,17,0.353,0,1,0.0,0,0,,0,4,4,2,0,1,4,0,12,1.8,4
13,13,14,14.0,2019-11-19,26,OKC,@,LAL,L (-5),0,30,12,20,0.6,3,7,0.429,4,4,1.0,0,4,4,1,0,0,5,1,31,18.3,4
14,14,15,15.0,2019-11-22,26,OKC,,LAL,L (-3),0,29,5,12,0.417,0,5,0.0,3,4,0.75,0,3,3,4,0,0,1,3,13,7.7,9
15,15,16,16.0,2019-11-25,26,OKC,@,GSW,W (+3),0,34,9,17,0.529,4,8,0.5,0,0,,0,1,1,5,0,0,2,1,22,15.1,8
16,16,17,17.0,2019-11-27,26,OKC,@,POR,L (-17),0,24,3,9,0.333,1,4,0.25,3,5,0.6,1,2,3,0,1,1,3,1,10,3.7,-23
17,17,18,18.0,2019-11-29,26,OKC,,NOP,W (+5),0,32,11,24,0.458,3,9,0.333,0,0,,0,2,2,7,0,0,3,0,25,15.1,12
18,18,19,19.0,2019-12-01,26,OKC,@,NOP,W (+3),0,25,6,12,0.5,2,5,0.4,3,3,1.0,0,3,3,2,1,0,3,0,17,11.3,-11
19,19,20,20.0,2019-12-04,26,OKC,,IND,L (-7),0,23,8,17,0.471,1,2,0.5,1,1,1.0,0,4,4,1,0,1,1,2,18,10.1,3
20,20,21,21.0,2019-12-06,26,OKC,,MIN,W (+12),0,39,10,17,0.588,1,3,0.333,4,4,1.0,0,2,2,2,1,1,2,4,25,17.2,13
21,21,22,22.0,2019-12-08,26,OKC,@,POR,W (+12),0,34,7,14,0.5,3,4,0.75,4,4,1.0,0,2,2,2,0,0,1,2,21,14.2,13
22,22,23,23.0,2019-12-09,26,OKC,@,UTA,W (+14),0,31,11,21,0.524,3,8,0.375,2,2,1.0,0,3,3,2,0,0,1,2,27,17.2,10
23,23,24,24.0,2019-12-11,26,OKC,@,SAC,L (-1),0,31,7,14,0.5,3,8,0.375,0,0,,0,2,2,0,2,1,3,3,17,9.1,-4
24,24,25,25.0,2019-12-14,26,OKC,@,DEN,L (-8),0,33,8,17,0.471,4,8,0.5,2,2,1.0,0,5,5,4,0,0,3,3,22,13.4,7
25,25,26,26.0,2019-12-16,26,OKC,,CHI,W (+3),0,30,7,12,0.583,2,3,0.667,2,2,1.0,0,4,4,5,1,2,6,1,18,13.1,4
26,26,27,27.0,2019-12-18,26,OKC,,MEM,W (+4),0,32,10,19,0.526,1,5,0.2,10,11,0.909,0,3,3,7,1,0,7,3,31,19.9,19
27,27,28,28.0,2019-12-20,26,OKC,,PHO,W (+18),0,34,9,19,0.474,1,4,0.25,5,5,1.0,0,9,9,6,0,0,4,2,24,16.4,18
