,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
4,4,30,5.0,2017-12-18,22,MIA,@,ATL,L (-6),0,7,1,2,0.5,1,2,0.5,0,0,,0,0,0,1,0,0,0,1,3,2.3,2
5,5,31,6.0,2017-12-20,22,MIA,@,BOS,W (+1),0,7,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-2
6,6,32,7.0,2017-12-22,22,MIA,,DAL,W (+12),0,24,2,3,0.667,1,2,0.5,2,2,1.0,0,2,2,5,0,0,0,0,7,9.8,-15
7,7,33,8.0,2017-12-23,22,MIA,,NOP,L (-15),0,11,1,2,0.5,1,1,1.0,0,0,,0,0,0,3,0,0,2,0,3,2.1,-2
8,8,34,9.0,2017-12-26,22,MIA,,ORL,W (+18),0,11,1,2,0.5,1,2,0.5,0,0,,0,0,0,2,0,0,0,2,3,2.6,-14
9,9,35,10.0,2017-12-29,22,MIA,,BRK,L (-24),0,26,1,6,0.167,1,3,0.333,0,0,,0,1,1,1,2,1,0,2,3,2.1,1
11,11,37,12.0,2018-01-03,22,MIA,,DET,W (+7),0,6,0,0,,0,0,,0,0,,0,1,1,0,1,1,0,0,0,2.0,-2
12,12,46,13.0,2018-01-20,22,MIA,@,CHO,W (+1),0,20,1,3,0.333,1,3,0.333,0,0,,1,1,2,1,0,0,0,1,3,2.6,-1
13,13,47,14.0,2018-01-22,22,MIA,@,HOU,L (-9),0,11,1,3,0.333,1,3,0.333,0,0,,0,2,2,1,1,0,0,0,3,3.6,-5
14,14,72,15.0,2018-03-21,22,MIA,,NYK,W (+21),0,5,0,0,,0,0,,2,2,1.0,1,3,4,0,1,0,0,0,2,4.6,-3
15,15,79,16.0,2018-04-04,23,MIA,@,ATL,W (+29),0,5,0,1,0.0,0,0,,0,0,,0,0,0,1,1,0,0,1,0,0.6,4
18,18,13,3.0,2019-11-16,24,LAC,,ATL,W (+49),0,7,1,1,1.0,1,1,1.0,0,0,,0,0,0,1,0,0,1,2,3,1.6,5
20,20,21,5.0,2019-12-01,24,LAC,,WAS,W (+25),0,6,1,1,1.0,0,0,,0,0,,0,0,0,1,0,0,0,1,2,2.0,-6
22,22,23,7.0,2019-12-06,24,LAC,@,MIL,L (-28),0,10,0,2,0.0,0,1,0.0,3,3,1.0,1,0,1,1,1,0,0,0,3,4.0,4
23,23,24,8.0,2019-12-08,24,LAC,@,WAS,W (+16),0,12,3,4,0.75,1,2,0.5,0,0,,1,0,1,1,0,0,0,1,7,6.4,6
24,24,25,9.0,2019-12-09,24,LAC,@,IND,W (+11),0,19,1,2,0.5,1,2,0.5,0,0,,0,2,2,0,1,0,0,1,3,3.2,-6
26,26,27,11.0,2019-12-13,24,LAC,@,MIN,W (+7),0,30,1,1,1.0,1,1,1.0,3,4,0.75,0,1,1,3,1,0,0,2,6,7.9,-4
27,27,28,12.0,2019-12-14,24,LAC,@,CHI,L (-3),0,30,2,5,0.4,1,3,0.333,0,0,,0,2,2,4,1,0,1,2,5,4.9,20
29,30,31,14.0,2019-12-21,24,LAC,@,SAS,W (+25),0,7,0,1,0.0,0,1,0.0,0,0,,0,0,0,3,0,0,0,0,0,1.4,-5
30,31,32,15.0,2019-12-22,24,LAC,@,OKC,L (-6),0,12,2,3,0.667,1,1,1.0,0,0,,0,2,2,1,0,0,1,1,5,3.6,1
32,34,35,17.0,2019-12-31,24,LAC,@,SAC,W (+18),0,19,4,5,0.8,2,3,0.667,0,0,,0,2,2,1,0,0,0,2,10,8.6,3
33,35,36,18.0,2020-01-02,24,LAC,,DET,W (+14),0,13,1,3,0.333,0,1,0.0,0,0,,0,1,1,0,0,0,1,1,2,-0.8,-11
34,36,37,19.0,2020-01-04,24,LAC,,MEM,L (-26),1,23,1,4,0.25,1,2,0.5,0,0,,0,1,1,2,0,0,0,3,3,1.1,-16
36,38,41,21.0,2020-01-14,24,LAC,,CLE,W (+25),0,5,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-7
37,39,42,22.0,2020-01-16,24,LAC,,ORL,W (+27),0,5,0,1,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,0,-0.1,6
38,40,45,23.0,2020-01-22,24,LAC,@,ATL,L (-7),0,7,0,0,,0,0,,1,2,0.5,0,0,0,1,0,0,0,0,1,1.3,1
39,41,53,24.0,2020-02-25,24,DET,@,DEN,L (-17),0,6,0,1,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,0,0,0,1.0,-2
40,42,54,25.0,2020-02-28,24,DET,@,PHO,W (+2),0,7,0,1,0.0,0,1,0.0,0,0,,0,1,1,2,0,0,0,0,0,1.0,-5
41,43,55,26.0,2020-03-01,24,DET,@,SAC,L (-6),0,13,1,1,1.0,1,1,1.0,0,0,,0,0,0,2,2,0,1,2,3,4.3,-5
