,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2015-10-28,18,PHO,,DAL,L (-16),0,21,6,7,0.857,1,2,0.5,1,3,0.333,0,3,3,0,1,0,0,2,14,11.8,4
2,4,5,3.0,2015-11-04,19,PHO,,SAC,W (+21),0,6,2,3,0.667,1,1,1.0,0,0,,0,0,0,0,1,1,1,0,5,4.4,-3
3,6,7,4.0,2015-11-08,19,PHO,@,OKC,L (-21),0,10,0,3,0.0,0,0,,0,0,,0,0,0,1,0,0,0,3,0,-2.6,-5
5,8,9,6.0,2015-11-14,19,PHO,,DEN,W (+24),0,15,2,8,0.25,2,3,0.667,0,0,,0,2,2,0,0,0,2,0,6,-0.2,1
7,10,11,8.0,2015-11-18,19,PHO,,CHI,L (-6),0,15,2,3,0.667,2,2,1.0,0,0,,0,1,1,0,0,2,0,2,6,5.6,9
8,11,12,9.0,2015-11-20,19,PHO,@,DEN,W (+7),0,10,0,0,,0,0,,0,0,,0,1,1,1,0,0,1,2,0,-0.8,18
9,12,13,10.0,2015-11-22,19,PHO,@,NOP,L (-6),0,16,5,8,0.625,1,1,1.0,4,4,1.0,0,2,2,0,1,0,0,1,15,12.6,-3
10,13,14,11.0,2015-11-23,19,PHO,@,SAS,L (-14),1,24,2,5,0.4,0,2,0.0,0,0,,1,3,4,1,1,0,1,1,4,3.2,-8
11,14,15,12.0,2015-11-25,19,PHO,,NOP,L (-6),0,9,2,3,0.667,1,2,0.5,0,0,,0,3,3,1,1,0,0,1,5,5.9,5
12,15,16,13.0,2015-11-27,19,PHO,,GSW,L (-19),0,25,2,5,0.4,0,1,0.0,2,4,0.5,0,0,0,0,1,0,1,3,6,1.3,-2
13,17,18,14.0,2015-12-01,19,PHO,@,BRK,L (-3),0,8,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,1,0,0,-2.4,-5
14,18,19,15.0,2015-12-02,19,PHO,@,DET,L (-5),0,23,5,6,0.833,3,3,1.0,5,5,1.0,0,1,1,1,0,0,0,5,18,14.8,4
15,19,20,16.0,2015-12-04,19,PHO,@,WAS,L (-3),0,16,4,6,0.667,0,0,,0,0,,0,1,1,0,1,0,1,1,8,5.3,-6
16,20,21,17.0,2015-12-06,19,PHO,@,MEM,L (-2),0,15,2,6,0.333,1,1,1.0,0,0,,0,2,2,1,0,0,0,2,5,2.1,-2
17,21,22,18.0,2015-12-07,19,PHO,@,CHI,W (+2),0,33,6,10,0.6,2,2,1.0,0,0,,0,3,3,5,1,0,1,1,14,13.4,6
18,22,23,19.0,2015-12-09,19,PHO,,ORL,W (+3),0,19,1,2,0.5,0,0,,0,0,,0,0,0,1,0,0,0,3,2,0.5,-10
19,23,24,20.0,2015-12-11,19,PHO,,POR,L (-10),0,22,3,4,0.75,2,2,1.0,0,0,,0,1,1,1,0,1,0,1,8,7.7,0
20,24,25,21.0,2015-12-13,19,PHO,,MIN,W (+7),0,14,1,5,0.2,0,1,0.0,2,2,1.0,1,0,1,1,0,0,1,3,4,0.1,1
21,25,26,22.0,2015-12-14,19,PHO,@,DAL,L (-10),0,5,0,1,0.0,0,0,,0,0,,0,1,1,1,0,0,1,0,0,-0.7,0
22,26,27,23.0,2015-12-16,19,PHO,@,GSW,L (-25),0,10,0,4,0.0,0,3,0.0,0,0,,0,0,0,2,0,0,2,2,0,-4.2,-19
23,28,29,24.0,2015-12-20,19,PHO,,MIL,L (-6),0,18,1,5,0.2,0,3,0.0,5,5,1.0,0,2,2,2,3,0,1,1,7,7.5,-1
24,29,30,25.0,2015-12-21,19,PHO,@,UTA,L (-21),1,13,2,4,0.5,0,0,,2,2,1.0,0,0,0,0,0,0,1,2,6,2.2,-20
25,31,32,26.0,2015-12-26,19,PHO,,PHI,L (-7),0,20,6,11,0.545,3,4,0.75,4,7,0.571,1,0,1,0,0,0,0,4,19,11.6,13
26,32,33,27.0,2015-12-28,19,PHO,,CLE,L (-4),1,29,5,6,0.833,0,1,0.0,0,0,,1,2,3,3,0,0,3,2,10,7.4,-7
27,33,34,28.0,2015-12-30,19,PHO,@,SAS,L (-33),1,24,4,10,0.4,0,1,0.0,1,2,0.5,0,3,3,0,0,0,2,2,9,1.3,-9
28,34,35,29.0,2015-12-31,19,PHO,@,OKC,L (-4),1,39,4,11,0.364,0,1,0.0,4,4,1.0,1,2,3,5,0,0,5,3,12,4.5,-1
29,35,36,30.0,2016-01-02,19,PHO,@,SAC,L (-23),1,42,6,10,0.6,2,5,0.4,7,8,0.875,0,1,1,3,4,0,1,2,21,20.6,-14
30,36,37,31.0,2016-01-03,19,PHO,@,LAL,L (-20),1,22,5,13,0.385,0,3,0.0,0,1,0.0,0,4,4,1,1,0,2,3,10,2.2,-30
31,37,38,32.0,2016-01-06,19,PHO,,CHO,W (+9),0,32,7,13,0.538,3,5,0.6,0,0,,1,9,10,2,1,0,1,2,17,14.7,10
32,38,39,33.0,2016-01-08,19,PHO,,MIA,L (-8),1,37,6,17,0.353,1,7,0.143,3,4,0.75,2,4,6,2,1,0,2,5,16,7.1,-2
33,39,40,34.0,2016-01-12,19,PHO,@,IND,L (-19),1,29,8,12,0.667,1,2,0.5,2,3,0.667,1,1,2,2,0,1,4,5,19,10.5,-10
34,40,41,35.0,2016-01-15,19,PHO,@,BOS,L (-14),1,24,2,9,0.222,0,4,0.0,5,6,0.833,1,4,5,0,0,0,3,3,9,0.8,4
35,41,42,36.0,2016-01-17,19,PHO,@,MIN,L (-30),1,27,4,8,0.5,0,0,,3,4,0.75,0,0,0,0,0,0,0,4,11,5.0,-15
36,42,43,37.0,2016-01-19,19,PHO,,IND,L (-3),1,40,9,16,0.563,6,11,0.545,8,8,1.0,0,0,0,2,0,0,4,3,32,20.6,-7
37,43,44,38.0,2016-01-21,19,PHO,,SAS,L (-28),1,44,8,16,0.5,2,6,0.333,6,7,0.857,0,1,1,5,0,0,1,4,24,16.8,-23
38,44,45,39.0,2016-01-23,19,PHO,,ATL,W (+3),1,36,6,19,0.316,3,9,0.333,0,0,,0,2,2,1,2,0,3,6,15,2.0,13
39,45,46,40.0,2016-01-26,19,PHO,@,PHI,L (-10),1,36,5,15,0.333,1,3,0.333,1,2,0.5,0,4,4,7,0,0,0,5,12,7.2,-6
40,46,47,41.0,2016-01-27,19,PHO,@,CLE,L (-22),1,34,4,9,0.444,1,4,0.25,7,8,0.875,2,1,3,5,0,0,2,4,16,12.5,-25
41,47,48,42.0,2016-01-29,19,PHO,@,NYK,L (-18),1,27,8,15,0.533,3,6,0.5,2,3,0.667,0,0,0,3,0,0,1,5,21,12.4,-16
42,48,49,43.0,2016-01-31,19,PHO,@,DAL,L (-13),1,41,6,15,0.4,2,6,0.333,5,5,1.0,0,7,7,4,0,1,4,6,19,10.1,-6
43,49,50,44.0,2016-02-02,19,PHO,,TOR,L (-7),1,37,9,19,0.474,6,14,0.429,3,4,0.75,0,5,5,0,2,0,4,4,27,14.8,3
44,50,51,45.0,2016-02-04,19,PHO,,HOU,L (-6),1,41,3,12,0.25,2,5,0.4,9,10,0.9,0,3,3,4,1,0,5,2,17,8.3,-5
45,51,52,46.0,2016-02-06,19,PHO,,UTA,L (-9),1,34,6,14,0.429,2,5,0.4,4,4,1.0,0,3,3,1,1,0,1,5,18,10.2,-12
46,52,53,47.0,2016-02-08,19,PHO,,OKC,L (-16),1,29,1,8,0.125,0,3,0.0,4,4,1.0,0,3,3,4,0,1,3,6,6,-0.2,-10
47,53,54,48.0,2016-02-10,19,PHO,,GSW,L (-8),1,42,5,11,0.455,1,4,0.25,4,6,0.667,0,7,7,10,2,0,7,2,15,11.8,-7
48,54,55,49.0,2016-02-19,19,PHO,,HOU,L (-16),1,31,3,11,0.273,2,7,0.286,2,2,1.0,1,0,1,1,1,0,1,1,10,4.5,-37
49,55,56,50.0,2016-02-21,19,PHO,,SAS,L (-7),1,24,3,9,0.333,1,2,0.5,3,3,1.0,1,3,4,6,0,0,1,4,10,8.1,-1
50,56,57,51.0,2016-02-22,19,PHO,@,LAC,L (-40),1,26,2,10,0.2,1,3,0.333,0,0,,0,1,1,2,0,0,1,6,5,-2.9,-34
51,57,58,52.0,2016-02-25,19,PHO,,BRK,L (-10),1,30,3,12,0.25,1,3,0.333,5,6,0.833,0,1,1,2,0,0,0,4,12,4.5,-18
52,58,59,53.0,2016-02-27,19,PHO,,MEM,W (+5),1,38,6,16,0.375,2,9,0.222,1,2,0.5,2,2,4,2,0,0,2,6,15,4.8,17
53,59,60,54.0,2016-03-01,19,PHO,@,CHO,L (-34),1,34,4,16,0.25,1,4,0.25,4,5,0.8,1,1,2,1,1,0,2,3,13,2.5,-39
54,60,61,55.0,2016-03-03,19,PHO,@,MIA,L (-16),1,39,11,21,0.524,3,7,0.429,9,9,1.0,0,3,3,4,0,0,4,4,34,21.8,-8
55,61,62,56.0,2016-03-04,19,PHO,@,ORL,W (+18),1,33,4,11,0.364,0,0,,6,8,0.75,1,3,4,6,0,1,2,2,14,10.8,17
56,62,63,57.0,2016-03-06,19,PHO,@,MEM,W (+9),1,43,8,17,0.471,4,11,0.364,7,7,1.0,0,2,2,9,1,1,3,2,27,23.1,9
