,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2016-10-26,19,MEM,,MIN,W (+4),0,6,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,2,0,0.5,7
3,3,4,4.0,2016-11-01,19,MEM,@,MIN,L (-36),0,26,7,8,0.875,0,0,,3,5,0.6,1,5,6,0,0,2,1,2,17,15.2,-9
5,9,10,6.0,2016-11-14,19,MEM,@,UTA,W (+6),0,13,1,3,0.333,0,0,,0,1,0.0,2,1,3,0,1,0,1,3,2,0.4,9
6,10,11,7.0,2016-11-16,19,MEM,@,LAC,W (+4),0,8,0,2,0.0,0,0,,0,0,,1,2,3,0,0,0,0,1,0,-0.5,10
8,12,13,9.0,2016-11-19,19,MEM,,MIN,W (+22),0,9,1,2,0.5,0,0,,1,2,0.5,1,2,3,0,0,0,0,1,3,2.5,9
11,15,16,12.0,2016-11-25,19,MEM,,MIA,L (-9),0,15,2,3,0.667,0,0,,0,0,,3,2,5,0,0,2,1,1,4,5.4,0
12,16,17,13.0,2016-11-26,19,MEM,@,MIA,W (+3),0,11,1,1,1.0,0,0,,0,0,,1,0,1,0,0,2,0,1,2,3.4,0
13,17,18,14.0,2016-11-28,19,MEM,,CHO,L (-19),0,14,2,4,0.5,0,0,,0,0,,1,2,3,1,0,1,1,3,4,2.5,-1
14,18,19,15.0,2016-11-30,19,MEM,@,TOR,L (-15),0,10,1,3,0.333,0,0,,0,0,,1,2,3,0,0,0,1,4,2,-1.0,-8
15,19,20,16.0,2016-12-01,19,MEM,,ORL,W (+1),0,14,1,2,0.5,0,0,,2,2,1.0,1,1,2,0,0,1,1,4,4,2.1,-4
16,20,21,17.0,2016-12-03,20,MEM,,LAL,W (+3),0,7,1,2,0.5,0,0,,0,0,,1,1,2,1,0,0,0,0,2,2.7,-6
17,21,22,18.0,2016-12-05,20,MEM,@,NOP,W (+2),0,6,0,0,,0,0,,0,0,,0,1,1,0,0,1,2,2,0,-1.8,-6
18,23,24,19.0,2016-12-08,20,MEM,,POR,W (+2),0,6,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,1,0,0.9,-3
20,25,26,21.0,2016-12-13,20,MEM,@,CLE,L (-17),0,11,3,3,1.0,0,0,,0,1,0.0,1,3,4,0,0,0,0,1,6,5.9,3
23,46,47,24.0,2017-01-25,20,MEM,,TOR,W (+2),0,7,0,2,0.0,0,0,,2,2,1.0,1,3,4,0,0,1,0,1,2,2.5,-3
24,50,51,25.0,2017-02-01,20,MEM,@,DEN,W (+20),0,5,0,2,0.0,0,0,,0,2,0.0,1,1,2,0,0,1,0,1,0,-0.9,-2
31,74,75,32.0,2017-03-29,20,MEM,,IND,W (+13),0,10,0,1,0.0,0,0,,0,0,,0,3,3,0,0,1,0,1,0,0.5,-11
32,75,76,33.0,2017-03-31,20,MEM,,DAL,W (+9),0,9,1,1,1.0,0,0,,0,0,,1,1,2,0,0,0,0,3,2,1.5,2
34,80,81,35.0,2017-04-09,20,MEM,,DET,L (-13),0,15,1,2,0.5,0,0,,0,0,,0,0,0,0,2,0,0,2,2,2.2,-15
35,81,82,36.0,2017-04-12,20,MEM,,DAL,L (-7),0,9,0,1,0.0,0,0,,0,0,,2,1,3,0,0,0,0,3,0,-0.2,-9
36,82,1,1.0,2017-04-15,20,MEM,@,SAS,L (-29),0,7,3,3,1.0,0,0,,1,2,0.5,1,3,4,0,0,0,0,1,7,6.9,-3
40,98,12,2.0,2017-11-11,20,MEM,@,HOU,L (-15),0,5,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,1.3,3
41,101,15,3.0,2017-11-18,20,MEM,,HOU,L (-22),0,9,1,5,0.2,0,0,,1,2,0.5,3,0,3,0,0,0,0,1,3,1.2,-1
42,102,16,4.0,2017-11-20,20,MEM,,POR,L (-8),0,14,1,1,1.0,0,0,,1,2,0.5,1,2,3,0,0,2,2,3,3,1.8,-1
43,103,17,5.0,2017-11-22,20,MEM,,DAL,L (-1),0,15,6,7,0.857,0,0,,2,2,1.0,0,7,7,0,0,2,0,1,14,14.6,13
44,104,18,6.0,2017-11-24,20,MEM,@,DEN,L (-12),0,13,1,1,1.0,0,0,,0,0,,0,2,2,0,1,0,0,4,2,1.7,-12
45,105,19,7.0,2017-11-26,20,MEM,,BRK,L (-10),0,20,2,2,1.0,0,0,,0,0,,0,4,4,1,1,1,1,3,4,4.8,7
46,106,20,8.0,2017-11-29,20,MEM,@,SAS,L (-9),0,13,0,1,0.0,0,0,,0,0,,1,1,2,0,0,1,0,1,0,0.6,6
47,107,21,9.0,2017-12-01,20,MEM,,SAS,L (-16),0,14,3,6,0.5,0,0,,1,1,1.0,0,4,4,1,1,1,0,2,7,6.8,-4
48,109,23,10.0,2017-12-04,21,MEM,,MIN,W (+3),0,11,3,4,0.75,0,0,,0,0,,1,0,1,0,1,2,0,2,6,6.7,5
49,110,24,11.0,2017-12-06,21,MEM,@,NYK,L (-11),0,12,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,1,0,-0.8,-18
50,111,25,12.0,2017-12-08,21,MEM,,TOR,L (-9),0,12,4,5,0.8,0,0,,1,2,0.5,2,2,4,0,0,0,1,2,9,6.9,9
51,112,26,13.0,2017-12-09,21,MEM,,OKC,L (-1),0,11,1,1,1.0,0,0,,0,0,,1,3,4,1,0,1,1,2,2,2.9,8
52,113,27,14.0,2017-12-11,21,MEM,,MIA,L (-25),0,13,3,5,0.6,0,0,,1,2,0.5,2,5,7,0,0,0,0,1,7,6.8,2
53,114,28,15.0,2017-12-13,21,MEM,@,WAS,L (-6),0,9,0,2,0.0,0,0,,0,0,,1,1,2,1,0,0,0,2,0,-0.5,-1
54,115,29,16.0,2017-12-15,21,MEM,,ATL,W (+2),0,15,2,4,0.5,0,0,,0,0,,3,2,5,2,1,1,1,2,4,6.0,1
55,116,30,17.0,2017-12-16,21,MEM,,BOS,L (-9),0,13,1,2,0.5,0,0,,0,0,,1,3,4,1,1,0,2,2,2,1.5,-1
56,117,31,18.0,2017-12-20,21,MEM,@,GSW,L (-13),0,8,1,1,1.0,0,0,,0,0,,1,1,2,0,0,0,2,3,2,-0.5,-6
57,118,32,19.0,2017-12-21,21,MEM,@,PHO,L (-2),0,6,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-0.8,-16
59,120,34,21.0,2017-12-26,21,MEM,@,PHO,L (-2),0,9,1,3,0.333,0,0,,0,0,,1,2,3,0,0,1,1,3,2,0.1,10
60,121,35,22.0,2017-12-27,21,MEM,@,LAL,W (+10),0,15,5,6,0.833,0,0,,4,4,1.0,1,3,4,0,0,2,0,0,14,14.8,9
61,122,36,23.0,2017-12-30,21,MEM,@,GSW,L (-13),0,17,3,4,0.75,0,0,,4,6,0.667,3,2,5,2,0,0,0,1,10,11.3,8
62,123,37,24.0,2017-12-31,21,MEM,@,SAC,W (+18),0,24,5,7,0.714,0,0,,0,0,,0,9,9,1,0,0,0,1,10,10.1,-2
63,124,38,25.0,2018-01-02,21,MEM,@,LAC,L (-8),0,9,2,3,0.667,0,0,,0,0,,0,0,0,0,0,1,1,5,4,0.4,-19
66,127,41,28.0,2018-01-12,21,MEM,@,DEN,L (-9),0,12,2,5,0.4,0,0,,0,0,,1,2,3,0,0,1,0,3,4,2.1,-14
67,128,42,29.0,2018-01-15,21,MEM,,LAL,W (+9),0,14,4,5,0.8,0,0,,2,2,1.0,2,3,5,0,0,5,1,1,10,12.5,3
68,129,43,30.0,2018-01-17,21,MEM,,NYK,W (+6),1,24,4,6,0.667,0,0,,0,0,,1,3,4,0,1,0,3,2,8,4.2,10
69,130,44,31.0,2018-01-19,21,MEM,,SAC,W (+18),0,19,2,3,0.667,0,0,,1,4,0.25,3,5,8,5,1,1,1,1,5,9.9,-3
70,131,45,32.0,2018-01-20,21,MEM,@,NOP,L (-7),0,18,3,5,0.6,0,0,,0,0,,3,4,7,0,0,0,0,2,6,6.2,-3
71,132,46,33.0,2018-01-22,21,MEM,,PHI,W (+4),0,12,1,1,1.0,0,0,,3,4,0.75,0,1,1,0,1,0,1,3,5,3.4,4
72,133,47,34.0,2018-01-24,21,MEM,,SAS,L (-23),0,21,6,10,0.6,0,0,,0,0,,3,2,5,0,0,0,1,3,12,7.9,-3
73,134,48,35.0,2018-01-26,21,MEM,,LAC,L (-9),0,11,2,7,0.286,0,0,,1,2,0.5,4,2,6,0,0,0,1,2,5,2.1,-10
74,135,49,36.0,2018-01-29,21,MEM,,PHO,W (+11),0,17,5,6,0.833,0,0,,2,2,1.0,2,2,4,0,1,1,1,3,12,11.3,7
75,137,51,37.0,2018-02-01,21,MEM,@,DET,L (-2),0,15,6,7,0.857,0,0,,0,0,,1,7,8,1,0,1,0,2,12,12.9,17
