,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
2,57,22,1.0,2018-11-30,22,BOS,,CLE,W (+33),0,6,3,5,0.6,1,1,1.0,0,0,,2,2,4,0,0,0,0,1,7,6.3,8
7,117,82,6.0,2019-04-09,22,BOS,@,WAS,W (+6),0,37,5,14,0.357,1,6,0.167,1,2,0.5,4,7,11,5,2,0,0,1,12,13.8,10
8,118,40,1.0,2020-01-15,23,DEN,,CHO,W (+14),0,13,5,7,0.714,2,4,0.5,0,0,,0,4,4,2,0,0,0,4,12,10.1,2
9,119,41,2.0,2020-01-16,23,DEN,@,GSW,W (+3),0,7,0,3,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-2.5,-11
10,120,42,3.0,2020-01-19,23,DEN,,IND,L (-8),0,17,4,9,0.444,0,2,0.0,0,0,,0,1,1,3,0,0,1,1,8,4.3,-4
11,121,43,4.0,2020-01-20,23,DEN,@,MIN,W (+7),0,19,3,8,0.375,0,0,,0,0,,0,3,3,3,0,0,2,2,6,1.8,6
12,122,44,5.0,2020-01-22,23,DEN,@,HOU,L (-16),0,21,7,12,0.583,1,4,0.25,0,0,,1,2,3,2,0,0,1,2,15,10.3,-16
13,123,45,6.0,2020-01-24,23,DEN,@,NOP,W (+7),0,8,1,2,0.5,1,1,1.0,0,0,,0,0,0,1,1,0,1,2,3,1.9,0
14,124,46,7.0,2020-01-26,23,DEN,,HOU,W (+7),0,9,0,2,0.0,0,2,0.0,0,0,,0,1,1,1,0,0,0,1,0,-0.8,-3
15,126,48,8.0,2020-01-30,23,DEN,,UTA,W (+6),0,14,1,5,0.2,1,3,0.333,3,4,0.75,0,3,3,3,1,1,0,1,6,6.8,13
16,127,49,9.0,2020-01-31,23,DEN,@,MIL,W (+12),0,18,4,7,0.571,1,3,0.333,1,1,1.0,0,3,3,4,1,1,2,3,10,8.9,6
17,128,50,10.0,2020-02-02,23,DEN,@,DET,L (-5),0,14,2,7,0.286,0,1,0.0,1,2,0.5,3,1,4,1,0,0,2,1,5,1.2,-7
18,129,51,11.0,2020-02-04,23,DEN,,POR,W (+28),0,8,1,4,0.25,0,1,0.0,0,0,,1,1,2,2,0,0,1,2,2,0.2,-3
19,130,52,12.0,2020-02-05,23,DEN,@,UTA,W (+3),0,25,2,6,0.333,0,2,0.0,1,2,0.5,0,3,3,1,3,1,0,2,5,5.7,2
20,131,53,13.0,2020-02-08,23,DEN,@,PHO,W (+9),0,14,1,5,0.2,0,2,0.0,0,0,,0,0,0,0,0,2,0,1,2,-0.1,8
21,132,54,14.0,2020-02-10,23,DEN,,SAS,W (+7),0,18,2,3,0.667,1,1,1.0,1,2,0.5,0,1,1,2,1,0,1,3,6,4.8,10
22,133,55,15.0,2020-02-12,23,DEN,,LAL,L (-4),0,16,1,3,0.333,0,0,,0,0,,0,2,2,1,0,0,0,1,2,1.2,1
25,137,59,18.0,2020-02-28,23,DEN,@,LAC,L (-29),0,5,2,4,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,4,2.7,-5
29,144,66,22.0,2020-08-01,23,DEN,,MIA,L (-20),0,16,3,11,0.273,0,4,0.0,0,0,,1,1,2,4,0,0,1,5,6,0.3,-10
30,145,67,23.0,2020-08-03,23,DEN,@,OKC,W (+8),0,18,1,4,0.25,0,0,,1,2,0.5,0,0,0,0,1,0,2,4,3,-2.4,-13
31,146,68,24.0,2020-08-05,23,DEN,@,SAS,W (+6),0,26,4,8,0.5,1,3,0.333,3,4,0.75,2,3,5,8,1,0,4,1,12,12.1,0
32,147,69,25.0,2020-08-06,23,DEN,,POR,L (-10),0,22,5,11,0.455,2,3,0.667,1,2,0.5,1,3,4,4,0,0,3,2,13,7.5,-5
33,148,70,26.0,2020-08-08,23,DEN,,UTA,W (+2),0,16,2,6,0.333,0,2,0.0,0,0,,0,2,2,3,2,0,2,2,4,2.5,-13
34,149,71,27.0,2020-08-10,23,DEN,@,LAL,L (-3),0,27,5,7,0.714,2,2,1.0,6,7,0.857,0,4,4,4,0,1,3,2,18,15.6,2
35,150,72,28.0,2020-08-12,23,DEN,,LAC,L (-13),0,22,3,10,0.3,0,1,0.0,0,0,,1,2,3,3,1,0,0,2,6,3.8,-12
36,151,73,29.0,2020-08-14,23,DEN,@,TOR,L (-8),0,31,6,9,0.667,5,6,0.833,3,3,1.0,0,5,5,8,2,0,1,0,20,24.2,-5
37,152,1,1.0,2020-08-17,23,DEN,,UTA,W (+10),0,20,1,3,0.333,1,2,0.5,0,0,,0,2,2,1,1,0,0,1,3,3.2,2
38,153,2,2.0,2020-08-19,23,DEN,,UTA,L (-19),0,19,1,3,0.333,0,0,,3,4,0.75,1,0,1,2,0,0,1,1,5,3.6,-9
39,154,3,3.0,2020-08-21,23,DEN,@,UTA,L (-37),0,21,2,9,0.222,0,4,0.0,3,3,1.0,0,6,6,2,0,0,3,5,7,-0.3,-25
40,156,5,4.0,2020-08-25,23,DEN,,UTA,W (+10),0,20,1,1,1.0,0,0,,1,2,0.5,0,4,4,3,0,1,0,2,3,5.5,21
41,159,8,5.0,2020-09-03,23,DEN,@,LAC,L (-23),0,10,3,6,0.5,0,1,0.0,0,0,,0,0,0,1,0,0,2,0,6,1.7,5
45,166,15,9.0,2020-09-18,23,DEN,@,LAL,L (-12),0,12,3,5,0.6,0,0,,0,0,,1,2,3,2,0,0,2,2,6,3.6,12
46,167,16,10.0,2020-09-20,23,DEN,@,LAL,L (-2),0,14,1,2,0.5,0,0,,1,5,0.2,0,1,1,1,1,1,0,1,3,2.7,1
48,170,19,12.0,2020-09-26,23,DEN,@,LAL,L (-10),0,7,2,3,0.667,1,1,1.0,0,0,,0,1,1,0,0,0,0,1,5,3.6,-4
49,171,1,1.0,2020-12-23,24,DEN,,SAC,L (-2),0,15,3,5,0.6,0,1,0.0,1,1,1.0,2,3,5,2,0,2,1,1,7,8.4,-6
50,172,2,2.0,2020-12-25,24,DEN,,LAC,L (-13),0,19,3,5,0.6,1,2,0.5,0,0,,1,1,2,0,0,0,1,2,7,3.9,1
51,173,3,3.0,2020-12-28,24,DEN,,HOU,W (+13),0,20,1,5,0.2,0,0,,1,2,0.5,2,3,5,1,1,1,1,1,3,2.8,24
52,174,4,4.0,2020-12-29,24,DEN,@,SAC,L (-10),0,17,3,4,0.75,2,2,1.0,0,0,,0,4,4,1,0,2,0,0,8,9.7,-12
53,175,5,5.0,2021-01-01,24,DEN,,PHO,L (-3),0,23,2,7,0.286,0,2,0.0,2,2,1.0,1,3,4,1,0,0,1,0,6,3.2,-15
54,176,6,6.0,2021-01-03,24,DEN,@,MIN,W (+15),0,20,3,8,0.375,1,3,0.333,0,0,,2,2,4,0,0,0,0,0,7,4.6,14
55,177,7,7.0,2021-01-05,24,DEN,,MIN,W (+7),0,16,1,3,0.333,0,1,0.0,1,2,0.5,0,5,5,1,0,1,2,3,3,0.6,-2
56,178,8,8.0,2021-01-07,24,DEN,,DAL,L (-7),0,26,3,8,0.375,1,4,0.25,2,2,1.0,0,3,3,1,1,0,1,4,9,4.6,-6
57,179,9,9.0,2021-01-09,24,DEN,@,PHI,W (+12),0,19,2,5,0.4,1,2,0.5,0,0,,3,5,8,1,0,1,1,3,5,5.1,1
58,180,10,10.0,2021-01-10,24,DEN,@,NYK,W (+25),0,17,4,6,0.667,3,4,0.75,1,2,0.5,0,5,5,2,1,1,1,3,12,11.4,17
