,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,4,5,2.0,2017-10-27,23,SAS,@,ORL,L (-27),0,12,0,2,0.0,0,0,,1,2,0.5,1,2,3,2,0,0,0,1,1,1.5,4
2,6,7,3.0,2017-10-30,23,SAS,@,BOS,L (-14),0,5,0,0,,0,0,,0,0,,1,1,2,0,1,1,0,0,0,2.7,3
4,8,23,5.0,2017-12-03,23,SAS,@,OKC,L (-3),0,17,1,3,0.333,0,0,,2,2,1.0,0,2,2,1,2,1,1,3,4,4.1,14
5,12,27,6.0,2017-12-09,23,SAS,@,PHO,W (+3),0,9,2,2,1.0,0,0,,0,0,,0,1,1,0,0,0,2,1,4,1.3,-1
7,16,39,8.0,2018-01-03,23,SAS,@,PHI,L (-6),0,8,1,2,0.5,0,1,0.0,2,2,1.0,2,0,2,1,0,0,0,0,4,5.1,6
9,19,42,10.0,2018-01-08,23,SAS,@,SAC,W (+7),0,6,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,0,0,1.0,-1
10,20,43,11.0,2018-01-11,23,SAS,@,LAL,L (-12),0,7,1,1,1.0,1,1,1.0,1,2,0.5,0,0,0,0,0,0,0,0,4,3.3,7
11,21,44,12.0,2018-01-13,23,SAS,,DEN,W (+32),0,6,0,1,0.0,0,1,0.0,0,0,,0,1,1,0,0,0,1,0,0,-1.4,5
13,26,56,14.0,2018-02-07,23,SAS,@,PHO,W (+48),0,12,3,5,0.6,3,3,1.0,1,2,0.5,0,0,0,1,0,0,1,0,10,7.0,1
14,27,57,15.0,2018-02-10,23,SAS,@,GSW,L (-17),0,28,3,8,0.375,0,2,0.0,5,6,0.833,1,6,7,2,1,0,0,1,11,10.7,-7
16,30,67,17.0,2018-03-12,23,SAS,@,HOU,L (-16),0,19,4,8,0.5,4,5,0.8,2,2,1.0,0,4,4,1,0,1,0,0,14,12.6,4
17,31,1,1.0,2018-04-14,23,SAS,@,GSW,L (-21),0,13,3,6,0.5,1,2,0.5,0,0,,0,0,0,1,1,1,0,0,7,6.4,-1
20,34,10,1.0,2018-11-07,24,SAS,@,MIA,L (-7),1,16,0,3,0.0,0,0,,0,0,,0,1,1,3,1,0,2,1,0,-1.1,-9
21,35,11,2.0,2018-11-10,24,SAS,,HOU,W (+7),1,30,4,9,0.444,1,2,0.5,5,6,0.833,0,4,4,8,2,0,2,2,14,14.9,20
22,36,12,3.0,2018-11-12,24,SAS,@,SAC,L (-5),1,26,4,10,0.4,1,3,0.333,2,2,1.0,0,0,0,5,1,0,1,0,11,9.1,-15
23,37,13,4.0,2018-11-14,24,SAS,@,PHO,L (-20),1,29,6,12,0.5,1,5,0.2,3,4,0.75,1,3,4,3,0,0,5,0,16,8.3,-20
24,38,14,5.0,2018-11-15,24,SAS,@,LAC,L (-5),1,17,0,5,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,1,2,0,-4.0,-28
25,39,15,6.0,2018-11-18,24,SAS,,GSW,W (+12),0,18,1,5,0.2,0,2,0.0,0,0,,0,1,1,1,1,0,0,2,2,0.1,-8
26,40,16,7.0,2018-11-19,24,SAS,@,NOP,L (-14),0,13,1,4,0.25,0,1,0.0,0,0,,0,2,2,3,0,0,1,1,2,0.9,7
27,41,17,8.0,2018-11-21,24,SAS,,MEM,L (-1),0,10,0,0,,0,0,,0,0,,0,2,2,2,1,0,0,2,0,2.2,5
28,42,18,9.0,2018-11-23,24,SAS,@,IND,W (+11),0,7,0,0,,0,0,,1,2,0.5,0,2,2,0,0,0,0,2,1,0.4,-5
29,43,19,10.0,2018-11-24,24,SAS,@,MIL,L (-6),0,5,1,3,0.333,0,0,,0,0,,0,1,1,2,0,0,0,1,2,1.6,14
30,44,20,11.0,2018-11-26,24,SAS,@,CHI,W (+1),0,24,3,8,0.375,2,4,0.5,0,0,,0,6,6,1,2,0,1,2,8,6.3,6
31,45,21,12.0,2018-11-28,24,SAS,@,MIN,L (-39),1,23,3,6,0.5,0,0,,0,0,,0,2,2,4,0,0,2,1,6,4.0,-22
32,46,22,13.0,2018-11-30,24,SAS,,HOU,L (-31),0,33,5,8,0.625,1,3,0.333,0,0,,1,4,5,9,0,0,2,1,11,13.2,-10
33,47,23,14.0,2018-12-02,24,SAS,,POR,W (+13),0,33,4,7,0.571,1,1,1.0,1,2,0.5,1,4,5,6,0,0,1,5,10,9.4,21
34,48,24,15.0,2018-12-04,24,SAS,@,UTA,L (-34),0,21,5,11,0.455,0,1,0.0,0,0,,2,3,5,2,1,0,3,3,10,4.8,-7
35,49,25,16.0,2018-12-05,24,SAS,@,LAL,L (-8),0,19,1,5,0.2,0,3,0.0,0,0,,0,4,4,5,0,0,1,2,2,1.8,4
36,50,26,17.0,2018-12-07,24,SAS,,LAL,W (+13),0,8,1,1,1.0,0,0,,0,0,,0,2,2,0,0,0,1,0,2,1.3,-9
37,51,27,18.0,2018-12-09,24,SAS,,UTA,W (+13),1,30,3,6,0.5,0,0,,0,0,,0,2,2,4,3,0,2,1,6,7.0,7
38,52,28,19.0,2018-12-11,24,SAS,,PHO,W (+25),1,27,1,8,0.125,0,3,0.0,2,2,1.0,0,3,3,7,3,0,1,1,4,6.2,12
39,53,29,20.0,2018-12-13,24,SAS,,LAC,W (+38),1,25,5,9,0.556,1,2,0.5,0,0,,0,4,4,2,1,0,2,0,11,8.3,20
40,54,30,21.0,2018-12-15,24,SAS,,CHI,L (-5),1,18,0,3,0.0,0,1,0.0,0,0,,0,0,0,1,1,0,1,1,0,-1.8,5
41,55,31,22.0,2018-12-17,24,SAS,,PHI,W (+27),0,17,4,9,0.444,0,1,0.0,0,0,,0,3,3,4,0,3,2,1,8,6.7,7
42,56,32,23.0,2018-12-19,24,SAS,@,ORL,W (+39),1,34,4,6,0.667,1,2,0.5,0,0,,0,1,1,6,0,1,3,1,9,8.2,29
43,57,33,24.0,2018-12-21,24,SAS,,MIN,W (+26),1,25,3,6,0.5,0,3,0.0,1,1,1.0,0,3,3,4,1,0,2,3,7,5.5,15
44,58,34,25.0,2018-12-22,24,SAS,@,HOU,L (-7),1,28,2,6,0.333,1,2,0.5,0,0,,1,4,5,5,1,3,3,3,5,5.9,3
45,59,35,26.0,2018-12-26,24,SAS,,DEN,W (+8),1,28,2,7,0.286,1,3,0.333,2,2,1.0,1,0,1,4,1,2,1,3,7,6.6,3
46,60,36,27.0,2018-12-28,24,SAS,@,DEN,L (-3),1,28,4,9,0.444,1,4,0.25,1,2,0.5,3,3,6,3,6,0,1,3,10,13.8,2
47,61,37,28.0,2018-12-29,24,SAS,@,LAC,W (+11),1,29,4,6,0.667,1,1,1.0,3,3,1.0,1,6,7,4,2,0,0,2,12,15.9,26
48,62,38,29.0,2018-12-31,24,SAS,,BOS,W (+9),1,29,8,9,0.889,2,2,1.0,4,5,0.8,0,3,3,3,1,2,1,2,22,22.1,8
49,63,39,30.0,2019-01-03,24,SAS,,TOR,W (+18),1,33,8,11,0.727,2,3,0.667,1,2,0.5,0,0,0,4,1,0,0,2,19,17.1,20
50,64,40,31.0,2019-01-05,24,SAS,,MEM,W (+20),1,27,8,9,0.889,1,1,1.0,2,2,1.0,1,3,4,0,1,1,2,3,19,16.0,-7
