,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,2,2.0,2010-10-29,20,LAC,@,GSW,L (-18),0,5,0,1,0.0,0,0,,1,2,0.5,0,0,0,1,0,0,0,0,1,0.6,2
2,2,3,3.0,2010-10-31,20,LAC,,DAL,L (-16),0,16,3,5,0.6,0,1,0.0,0,0,,2,1,3,2,1,0,4,3,6,2.6,5
3,3,4,4.0,2010-11-01,20,LAC,,SAS,L (-9),1,40,4,11,0.364,1,1,1.0,0,0,,1,4,5,3,4,2,3,5,9,7.3,-10
4,4,5,5.0,2010-11-03,20,LAC,,OKC,W (+15),1,38,7,10,0.7,2,3,0.667,1,2,0.5,0,4,4,8,0,2,3,3,17,16.4,22
5,5,6,6.0,2010-11-05,20,LAC,@,DEN,L (-7),1,38,6,9,0.667,0,0,,0,1,0.0,0,2,2,13,2,0,4,2,12,14.6,-8
6,6,7,7.0,2010-11-06,20,LAC,@,UTA,L (-2),1,45,5,10,0.5,1,1,1.0,3,4,0.75,1,4,5,5,1,1,4,5,14,9.7,-2
7,7,8,8.0,2010-11-09,20,LAC,@,NOH,L (-19),1,38,3,6,0.5,0,1,0.0,0,0,,1,5,6,8,0,0,5,1,6,5.4,-13
8,8,9,9.0,2010-11-10,20,LAC,@,SAS,L (-12),1,31,5,15,0.333,1,1,1.0,0,0,,1,1,2,7,1,1,3,2,11,6.3,-17
9,9,10,10.0,2010-11-12,20,LAC,,DET,L (-6),1,46,6,10,0.6,0,2,0.0,6,6,1.0,2,4,6,5,1,1,3,2,18,17.4,-10
10,10,11,11.0,2010-11-15,20,LAC,,NJN,L (-14),1,40,6,16,0.375,0,2,0.0,3,4,0.75,4,4,8,6,2,0,4,0,15,12.0,-20
11,11,12,12.0,2010-11-17,20,LAC,@,MIN,L (-2),1,35,2,7,0.286,0,2,0.0,6,6,1.0,1,2,3,4,2,0,4,3,10,6.8,-5
12,12,13,13.0,2010-11-18,20,LAC,@,IND,L (-27),1,32,3,5,0.6,0,0,,2,2,1.0,0,8,8,5,3,0,4,1,8,10.2,-18
13,13,14,14.0,2010-11-20,20,LAC,,NYK,L (-9),1,24,3,4,0.75,0,0,,0,0,,0,2,2,4,0,0,5,3,6,1.6,-12
14,14,15,15.0,2010-11-22,20,LAC,,NOH,W (+4),1,23,2,5,0.4,0,0,,0,0,,0,4,4,6,2,1,2,4,4,5.8,-4
15,15,16,16.0,2010-11-25,20,LAC,,SAC,W (+18),1,31,3,8,0.375,0,2,0.0,0,0,,1,2,3,5,1,0,2,2,6,4.6,18
16,16,17,17.0,2010-11-26,20,LAC,@,PHO,L (-8),1,11,1,1,1.0,0,0,,0,0,,0,0,0,1,0,1,1,2,2,1.3,-11
17,17,18,18.0,2010-11-28,20,LAC,,UTA,L (-12),1,34,5,7,0.714,0,0,,2,2,1.0,3,0,3,5,1,0,2,3,12,12.5,-12
18,18,19,19.0,2010-12-01,20,LAC,,SAS,W (+5),1,24,2,5,0.4,0,1,0.0,1,1,1.0,0,4,4,7,0,0,2,0,5,6.4,-2
19,19,20,20.0,2010-12-03,20,LAC,@,DEN,L (-5),1,33,3,8,0.375,0,1,0.0,3,4,0.75,2,1,3,8,1,0,4,4,9,6.9,-4
20,20,21,21.0,2010-12-05,20,LAC,@,POR,L (-9),1,23,0,3,0.0,0,2,0.0,0,0,,0,2,2,2,2,0,4,2,0,-2.9,-10
21,21,22,22.0,2010-12-06,20,LAC,,SAC,W (+7),1,28,4,12,0.333,2,5,0.4,5,6,0.833,0,3,3,3,1,0,0,2,15,11.0,19
22,22,23,23.0,2010-12-08,20,LAC,,LAL,L (-1),1,34,4,6,0.667,1,3,0.333,2,2,1.0,0,4,4,7,0,0,5,1,11,9.1,6
23,23,24,24.0,2010-12-11,21,LAC,,MEM,L (-1),1,23,0,5,0.0,0,1,0.0,0,0,,1,3,4,6,0,0,5,2,0,-3.5,-14
24,24,25,25.0,2010-12-12,21,LAC,,ORL,L (-9),0,15,1,3,0.333,0,1,0.0,0,0,,0,3,3,1,0,0,0,2,2,1.1,-7
25,25,26,26.0,2010-12-15,21,LAC,@,PHI,L (-14),0,16,2,9,0.222,0,2,0.0,2,2,1.0,1,2,3,1,1,0,1,2,6,1.7,-15
26,26,27,27.0,2010-12-17,21,LAC,@,DET,W (+21),1,29,5,7,0.714,2,3,0.667,0,0,,1,0,1,8,1,0,4,2,12,11.6,15
27,27,28,28.0,2010-12-18,21,LAC,@,CHI,W (+1),0,21,3,4,0.75,1,1,1.0,0,0,,0,1,1,0,0,1,1,1,7,5.0,1
28,28,29,29.0,2010-12-20,21,LAC,,MIN,W (+23),0,20,1,5,0.2,0,2,0.0,1,2,0.5,1,5,6,2,0,0,1,0,3,2.1,-4
29,29,30,30.0,2010-12-22,21,LAC,,HOU,L (-5),0,26,2,6,0.333,0,3,0.0,0,0,,0,1,1,4,2,1,1,2,4,4.6,2
30,30,31,31.0,2010-12-26,21,LAC,,PHO,W (+5),0,17,1,3,0.333,0,0,,0,0,,0,2,2,2,1,1,2,3,2,0.8,-1
31,31,32,32.0,2010-12-27,21,LAC,@,SAC,W (+1),0,18,1,7,0.143,1,4,0.25,2,2,1.0,2,0,2,3,2,1,3,0,5,3.7,8
32,32,33,33.0,2010-12-29,21,LAC,,UTA,L (-8),0,16,1,6,0.167,1,4,0.25,0,0,,1,0,1,2,0,0,3,2,3,-2.5,-9
33,33,34,34.0,2011-01-02,21,LAC,,ATL,L (-9),0,21,4,8,0.5,1,2,0.5,1,2,0.5,0,2,2,3,2,0,2,1,10,7.9,-2
34,34,35,35.0,2011-01-05,21,LAC,,DEN,W (+13),0,17,3,8,0.375,1,3,0.333,1,3,0.333,1,3,4,1,1,2,2,3,8,4.3,-8
35,35,36,36.0,2011-01-09,21,LAC,,GSW,W (+14),0,17,1,6,0.167,0,2,0.0,0,0,,1,0,1,2,2,0,0,1,2,1.9,6
36,36,37,37.0,2011-01-12,21,LAC,,MIA,W (+6),0,16,1,5,0.2,1,1,1.0,0,1,0.0,1,1,2,4,1,2,2,1,3,3.3,8
37,37,38,38.0,2011-01-14,21,LAC,@,GSW,L (-10),0,19,2,4,0.5,0,0,,2,2,1.0,1,0,1,5,1,0,0,1,6,8.8,4
38,38,39,39.0,2011-01-16,21,LAC,,LAL,W (+7),0,17,1,3,0.333,0,0,,0,0,,0,1,1,3,0,1,0,0,2,3.4,-5
39,39,40,40.0,2011-01-17,21,LAC,,IND,W (+7),0,16,1,1,1.0,0,0,,0,0,,0,3,3,2,0,1,2,0,2,2.7,-11
40,40,41,41.0,2011-01-19,21,LAC,,MIN,W (+15),0,21,3,6,0.5,2,2,1.0,2,2,1.0,1,4,5,4,1,0,5,1,10,7.3,-1
41,41,42,42.0,2011-01-20,21,LAC,@,POR,L (-15),0,8,0,3,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,1,2,0,-2.9,-7
42,42,43,43.0,2011-01-22,21,LAC,,GSW,W (+4),0,25,3,6,0.5,0,2,0.0,0,0,,2,2,4,5,1,1,0,2,6,9.4,12
43,43,44,44.0,2011-01-25,21,LAC,@,DAL,L (-7),0,16,1,2,0.5,0,0,,1,3,0.333,0,0,0,4,1,0,4,2,3,0.2,11
44,44,45,45.0,2011-01-26,21,LAC,@,HOU,L (-13),0,22,2,7,0.286,0,2,0.0,1,1,1.0,0,1,1,6,3,2,0,1,5,9.4,-4
45,45,46,46.0,2011-01-29,21,LAC,,CHA,W (+15),0,16,1,7,0.143,0,3,0.0,0,0,,1,1,2,3,0,0,0,0,2,0.6,-5
46,46,47,47.0,2011-01-31,21,LAC,,MIL,W (+7),0,16,0,2,0.0,0,0,,2,2,1.0,0,1,1,5,0,0,1,1,2,3.0,6
47,47,48,48.0,2011-02-02,21,LAC,,CHI,L (-18),0,20,1,4,0.25,0,1,0.0,0,0,,0,0,0,3,0,0,3,2,2,-2.1,-13
48,48,49,49.0,2011-02-04,21,LAC,@,ATL,L (-1),0,23,3,4,0.75,0,0,,2,4,0.5,1,1,2,2,1,0,1,1,8,7.6,7
49,49,50,50.0,2011-02-06,21,LAC,@,MIA,L (-18),0,14,0,5,0.0,0,1,0.0,4,4,1.0,1,3,4,0,1,0,2,0,4,1.1,-8
50,50,51,51.0,2011-02-08,21,LAC,@,ORL,L (-16),0,24,1,2,0.5,0,1,0.0,2,3,0.667,0,1,1,4,1,0,4,2,4,1.9,-17
51,51,52,52.0,2011-02-09,21,LAC,@,NYK,W (+8),0,29,6,13,0.462,2,4,0.5,2,2,1.0,4,4,8,3,0,0,1,1,16,14.0,1
52,52,53,53.0,2011-02-11,21,LAC,@,CLE,L (-7),0,35,5,12,0.417,0,4,0.0,3,3,1.0,3,3,6,4,2,0,0,5,13,12.4,-14
