,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
5,87,6,5.0,2018-10-27,22,IND,@,CLE,W (+12),0,5,0,1,0.0,0,0,,0,0,,1,0,1,0,1,0,0,2,0,0.2,-2
6,101,20,6.0,2018-11-26,22,IND,@,UTA,W (+33),0,5,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,1,3,1.3,4
10,130,49,10.0,2019-01-28,23,IND,,GSW,L (-32),1,28,1,10,0.1,0,3,0.0,0,0,,2,1,3,0,2,2,0,1,2,0.1,-15
11,131,50,11.0,2019-01-30,23,IND,@,WAS,L (-18),1,22,2,7,0.286,0,3,0.0,3,4,0.75,1,4,5,2,2,0,0,4,7,6.2,-9
12,132,51,12.0,2019-01-31,23,IND,@,ORL,L (-7),0,10,2,4,0.5,0,1,0.0,0,0,,0,3,3,2,0,1,1,3,4,2.8,-10
13,133,52,13.0,2019-02-02,23,IND,@,MIA,W (+7),0,10,1,3,0.333,0,2,0.0,0,1,0.0,0,2,2,0,1,0,1,3,2,-0.7,-15
14,134,53,14.0,2019-02-04,23,IND,@,NOP,W (+2),0,14,0,2,0.0,0,1,0.0,1,2,0.5,0,1,1,1,0,0,1,1,1,-1.2,-3
15,135,54,15.0,2019-02-05,23,IND,,LAL,W (+42),0,17,7,9,0.778,3,4,0.75,0,0,,2,0,2,0,2,1,0,2,17,16.8,25
16,136,55,16.0,2019-02-07,23,IND,,LAC,W (+24),0,16,1,5,0.2,0,2,0.0,0,1,0.0,0,0,0,0,0,1,0,2,2,-1.6,2
17,137,56,17.0,2019-02-09,23,IND,,CLE,W (+15),0,14,0,1,0.0,0,0,,1,2,0.5,0,0,0,1,1,0,1,0,1,0.6,3
23,163,82,23.0,2019-04-10,23,IND,@,ATL,W (+1),0,30,5,14,0.357,3,7,0.429,9,11,0.818,2,2,4,1,2,0,2,5,22,14.1,-4
25,165,1,1.0,2019-10-23,23,IND,,DET,L (-9),0,22,3,6,0.5,0,0,,0,0,,1,0,1,2,3,0,1,4,6,5.5,-23
26,166,2,2.0,2019-10-26,23,IND,@,CLE,L (-11),1,17,4,5,0.8,0,1,0.0,2,3,0.667,0,1,1,1,0,0,0,4,10,7.1,-13
27,167,3,3.0,2019-10-28,23,IND,@,DET,L (-2),1,28,2,7,0.286,0,2,0.0,1,2,0.5,0,1,1,3,2,1,0,1,5,5.2,3
28,188,24,4.0,2019-12-09,23,IND,,LAC,L (-11),0,6,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7,6
30,193,29,6.0,2019-12-20,23,IND,,SAC,W (+14),0,17,0,1,0.0,0,0,,0,0,,1,0,1,3,0,0,0,2,0,1.3,3
31,194,30,7.0,2019-12-22,23,IND,@,MIL,L (-28),0,19,1,7,0.143,1,5,0.2,0,0,,2,2,4,3,0,0,1,1,3,1.2,2
32,195,31,8.0,2019-12-23,23,IND,,TOR,W (+5),0,14,2,4,0.5,1,2,0.5,1,2,0.5,1,1,2,2,0,1,2,3,6,3.5,-10
