,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
3,4,27,4.0,2010-12-20,23,GSW,,HOU,L (-9),0,25,2,4,0.5,0,0,,1,2,0.5,4,3,7,4,0,3,2,4,5,7.6,9
4,5,28,5.0,2010-12-21,23,GSW,@,SAC,W (+8),0,23,0,0,,0,0,,0,0,,0,5,5,1,1,3,2,1,0,2.9,-9
5,6,29,6.0,2010-12-25,23,GSW,,POR,W (+7),0,16,2,3,0.667,0,0,,0,0,,0,1,1,1,1,3,1,2,4,5.0,-6
6,7,30,7.0,2010-12-27,23,GSW,,PHI,W (+15),0,14,1,3,0.333,0,0,,0,0,,1,0,1,1,0,1,1,1,2,1.0,3
7,8,31,8.0,2010-12-29,23,GSW,@,ATL,L (-10),0,6,0,2,0.0,0,0,,2,2,1.0,2,1,3,0,0,0,0,0,2,2.3,1
8,9,32,9.0,2010-12-31,23,GSW,@,CHA,W (+1),0,18,0,0,,0,0,,4,4,1.0,1,2,3,1,0,1,1,2,4,4.9,-8
9,10,33,10.0,2011-01-01,23,GSW,@,MIA,L (-7),0,17,1,2,0.5,0,0,,2,2,1.0,0,3,3,1,0,1,0,5,4,3.3,6
10,11,34,11.0,2011-01-03,23,GSW,@,ORL,L (-20),0,20,3,8,0.375,0,0,,0,0,,2,2,4,1,0,1,1,1,6,3.6,-6
11,12,35,12.0,2011-01-05,23,GSW,@,NOH,W (+7),0,18,3,3,1.0,0,0,,0,0,,0,2,2,1,0,1,0,2,6,6.3,17
12,13,36,13.0,2011-01-07,23,GSW,,CLE,W (+18),0,12,0,0,,0,0,,1,2,0.5,0,2,2,0,0,0,0,4,1,-0.4,-2
13,14,37,14.0,2011-01-09,23,GSW,@,LAC,L (-14),0,12,1,1,1.0,0,0,,0,0,,0,3,3,0,1,2,0,1,2,4.6,5
15,17,40,16.0,2011-01-17,23,GSW,,NJN,W (+9),0,5,1,2,0.5,0,0,,0,0,,0,0,0,1,0,1,0,1,2,2.0,3
16,18,41,17.0,2011-01-19,23,GSW,,IND,W (+2),0,6,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,2,0,-1.2,2
17,19,42,18.0,2011-01-21,23,GSW,,SAC,W (+7),0,10,2,3,0.667,0,0,,0,0,,1,0,1,1,0,0,0,0,4,4.1,3
18,20,43,19.0,2011-01-22,23,GSW,@,LAC,L (-4),0,6,0,0,,0,0,,0,2,0.0,0,2,2,0,0,0,0,1,0,-0.6,-6
19,21,44,20.0,2011-01-24,23,GSW,,SAS,L (-11),0,6,2,4,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,4,1.6,4
20,22,45,21.0,2011-01-26,23,GSW,,NOH,L (-9),0,12,1,3,0.333,0,0,,2,2,1.0,1,1,2,0,0,0,2,2,4,0.5,8
21,23,46,22.0,2011-01-28,23,GSW,,CHA,L (-8),0,20,3,7,0.429,0,0,,1,2,0.5,3,0,3,1,0,1,0,4,7,4.8,-4
22,24,47,23.0,2011-01-30,23,GSW,,UTA,W (+15),0,21,1,4,0.25,0,0,,2,2,1.0,1,4,5,2,0,1,2,5,4,1.6,13
