,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2018-10-17,31,MIL,@,CHO,W (+1),0,29,6,9,0.667,1,3,0.333,0,0,,1,8,9,2,0,0,0,6,13,11.2,-10
1,1,2,2.0,2018-10-19,31,MIL,,IND,W (+17),0,24,1,3,0.333,1,1,1.0,0,0,,0,3,3,0,1,1,1,3,3,1.7,13
2,2,3,3.0,2018-10-22,31,MIL,,NYK,W (+11),0,22,2,9,0.222,1,4,0.25,5,7,0.714,3,5,8,0,0,0,2,3,10,4.1,4
3,3,4,4.0,2018-10-24,31,MIL,,PHI,W (+15),0,16,1,2,0.5,0,1,0.0,1,2,0.5,1,4,5,0,1,1,1,5,3,2.2,2
4,4,5,5.0,2018-10-26,31,MIL,@,MIN,W (+30),0,20,6,10,0.6,2,5,0.4,2,2,1.0,2,1,3,1,2,1,0,1,16,16.1,13
5,5,6,6.0,2018-10-27,31,MIL,,ORL,W (+22),0,26,1,3,0.333,0,2,0.0,0,0,,2,8,10,6,1,0,1,2,2,7.5,21
6,6,7,7.0,2018-10-29,31,MIL,,TOR,W (+15),1,24,8,12,0.667,3,6,0.5,0,0,,2,8,10,2,0,0,1,1,19,17.6,9
7,7,8,8.0,2018-11-01,31,MIL,@,BOS,L (-4),0,26,3,6,0.5,0,1,0.0,2,2,1.0,2,3,5,0,1,0,0,3,8,7.1,-4
8,8,9,9.0,2018-11-04,31,MIL,,SAC,W (+35),0,21,4,7,0.571,3,5,0.6,4,4,1.0,0,4,4,2,1,0,0,3,15,14.1,10
9,9,10,10.0,2018-11-06,31,MIL,@,POR,L (-15),0,24,2,6,0.333,1,3,0.333,0,0,,2,7,9,0,1,0,1,3,5,3.9,5
10,10,11,11.0,2018-11-08,31,MIL,@,GSW,W (+23),0,23,1,1,1.0,1,1,1.0,2,2,1.0,0,8,8,3,1,0,1,2,5,8.4,28
