,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2011-12-26,25,HOU,@,ORL,L (-9),0,12,2,4,0.5,1,2,0.5,0,0,,1,2,3,4,0,0,0,0,5,7.1,-5
1,1,2,2.0,2011-12-29,25,HOU,,SAS,W (+20),0,21,3,10,0.3,0,3,0.0,0,0,,0,1,1,3,1,1,0,2,6,3.5,-6
2,2,3,3.0,2011-12-30,25,HOU,@,MEM,L (-20),0,12,2,5,0.4,1,2,0.5,0,0,,1,0,1,1,0,0,2,2,5,0.9,-15
3,3,4,4.0,2011-12-31,25,HOU,,ATL,W (+11),0,13,1,5,0.2,0,1,0.0,0,0,,0,0,0,0,0,0,1,1,2,-2.5,-7
4,4,5,5.0,2012-01-03,25,HOU,@,LAL,L (-9),0,11,4,5,0.8,1,2,0.5,0,0,,0,1,1,3,0,0,2,3,9,6.3,-2
5,5,6,6.0,2012-01-04,25,HOU,@,LAC,L (-28),0,14,4,5,0.8,1,1,1.0,0,0,,0,0,0,2,1,0,1,0,9,8.5,4
6,6,7,7.0,2012-01-06,25,HOU,@,OKC,L (-15),1,37,4,10,0.4,1,4,0.25,1,2,0.5,0,3,3,11,2,0,0,0,10,14.8,-6
7,7,8,8.0,2012-01-07,25,HOU,,OKC,L (-3),1,38,7,10,0.7,2,3,0.667,4,4,1.0,1,3,4,8,1,0,2,3,20,20.8,-1
8,8,9,9.0,2012-01-10,25,HOU,@,CHA,W (+12),0,12,2,4,0.5,1,2,0.5,0,0,,0,1,1,1,0,0,3,3,5,-0.2,-6
9,9,10,10.0,2012-01-11,25,HOU,@,SAS,L (-6),0,31,3,6,0.5,0,2,0.0,1,2,0.5,0,1,1,3,0,0,0,4,7,4.4,-4
10,10,11,11.0,2012-01-13,25,HOU,,SAC,W (+14),0,16,1,6,0.167,1,4,0.25,0,0,,0,1,1,1,0,0,3,2,3,-3.6,-9
11,11,12,12.0,2012-01-14,25,HOU,,POR,W (+2),0,8,0,2,0.0,0,0,,3,4,0.75,0,1,1,1,0,0,1,2,3,0.4,-6
12,12,13,13.0,2012-01-16,25,HOU,@,WAS,W (+8),0,22,2,5,0.4,1,2,0.5,4,4,1.0,0,1,1,3,0,0,0,4,9,7.1,-18
13,13,14,14.0,2012-01-17,25,HOU,,DET,W (+17),0,18,5,9,0.556,1,2,0.5,0,0,,0,0,0,5,1,0,3,4,11,6.6,6
14,14,15,15.0,2012-01-19,25,HOU,,NOH,W (+2),0,12,0,4,0.0,0,2,0.0,0,0,,0,1,1,1,1,0,1,0,0,-1.8,-2
