,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,2,3,1.0,2018-10-22,23,UTA,,MEM,L (-8),0,11,2,2,1.0,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,2,7,5.6,6
2,4,5,3.0,2018-10-27,23,UTA,@,NOP,W (+21),0,5,1,3,0.333,0,1,0.0,2,2,1.0,0,1,1,0,0,0,1,1,4,1.2,-5
3,5,6,4.0,2018-10-28,23,UTA,@,DAL,W (+9),0,13,3,3,1.0,1,1,1.0,4,4,1.0,0,1,1,0,0,0,1,0,11,9.4,17
4,6,7,5.0,2018-10-31,23,UTA,@,MIN,L (-3),0,8,0,1,0.0,0,0,,0,0,,0,0,0,2,0,0,0,0,0,0.7,0
5,7,8,6.0,2018-11-02,23,UTA,,MEM,L (-10),1,27,3,8,0.375,2,7,0.286,1,2,0.5,0,0,0,1,0,0,0,4,9,3.3,-18
6,8,9,7.0,2018-11-03,23,UTA,@,DEN,L (-15),0,5,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,1,0,-1.1,4
7,9,10,8.0,2018-11-05,23,UTA,,TOR,L (-13),0,16,3,8,0.375,2,6,0.333,1,3,0.333,0,0,0,0,0,0,0,0,9,3.8,13
8,13,14,9.0,2018-11-14,23,UTA,@,DAL,L (-50),0,21,2,9,0.222,1,5,0.2,0,0,,0,0,0,1,0,0,4,5,5,-5.8,-26
10,16,17,11.0,2018-11-19,23,UTA,@,IND,L (-27),0,5,2,5,0.4,1,3,0.333,0,0,,0,0,0,0,0,0,1,1,5,0.9,-3
12,19,20,13.0,2018-11-25,23,UTA,@,SAC,W (+21),0,13,2,5,0.4,2,5,0.4,3,6,0.5,1,0,1,1,0,0,1,1,9,5.1,14
13,20,21,14.0,2018-11-26,23,UTA,,IND,L (-33),0,13,1,4,0.25,0,1,0.0,3,4,0.75,0,0,0,1,0,0,1,0,5,1.9,-19
14,25,26,15.0,2018-12-06,23,UTA,,HOU,W (+27),0,8,0,2,0.0,0,2,0.0,2,2,1.0,0,2,2,0,0,0,0,1,2,0.8,-4
16,28,29,17.0,2018-12-12,23,UTA,,MIA,W (+27),0,9,1,5,0.2,1,4,0.25,0,0,,0,0,0,1,0,0,0,1,3,0.2,-13
17,43,44,18.0,2019-01-12,23,UTA,,CHI,W (+8),0,14,2,4,0.5,1,3,0.333,2,2,1.0,0,1,1,0,0,1,1,0,7,5.0,-10
18,44,45,19.0,2019-01-14,23,UTA,,DET,W (+6),0,20,3,8,0.375,2,5,0.4,0,0,,0,1,1,1,0,1,0,3,8,4.1,-3
19,45,46,20.0,2019-01-16,23,UTA,@,LAC,W (+20),0,15,2,7,0.286,1,2,0.5,1,1,1.0,0,0,0,4,1,0,2,1,6,3.3,-5
20,46,47,21.0,2019-01-18,23,UTA,,CLE,W (+16),0,24,2,9,0.222,1,6,0.167,2,2,1.0,0,0,0,3,0,0,1,5,7,0.6,-9
23,51,52,24.0,2019-01-30,23,UTA,@,POR,L (-27),0,17,4,11,0.364,2,5,0.4,0,0,,0,1,1,1,2,0,1,2,10,5.1,-9
24,52,53,25.0,2019-02-01,23,UTA,,ATL,W (+16),0,8,0,3,0.0,0,3,0.0,0,0,,0,0,0,0,0,1,0,1,0,-1.8,-8
28,60,61,29.0,2019-02-28,23,UTA,@,DEN,W (+7),0,10,0,2,0.0,0,1,0.0,0,2,0.0,0,0,0,1,0,0,0,2,0,-2.3,5
31,70,71,32.0,2019-03-20,23,UTA,@,NYK,W (+21),0,8,2,3,0.667,1,1,1.0,1,2,0.5,0,0,0,0,0,0,1,3,6,2.1,-9
33,77,78,34.0,2019-04-03,23,UTA,@,PHO,W (+21),0,19,6,9,0.667,2,5,0.4,0,0,,0,3,3,0,0,1,5,1,14,6.3,9
34,78,79,35.0,2019-04-05,23,UTA,,SAC,W (+21),0,26,10,14,0.714,3,4,0.75,0,0,,0,0,0,2,1,1,6,5,23,12.3,7
35,79,80,36.0,2019-04-07,23,UTA,@,LAL,L (-4),0,15,2,5,0.4,0,1,0.0,1,2,0.5,0,1,1,1,0,0,0,2,5,2.1,-7
36,80,81,37.0,2019-04-09,23,UTA,,DEN,W (+10),0,13,0,2,0.0,0,2,0.0,2,2,1.0,0,1,1,0,0,0,1,3,2,-1.3,-13
37,81,82,38.0,2019-04-10,23,UTA,@,LAC,L (-6),1,41,11,30,0.367,5,13,0.385,13,14,0.929,2,5,7,4,1,1,3,1,40,27.0,-3
38,82,1,1.0,2019-04-14,23,UTA,@,HOU,L (-32),0,5,0,2,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1.4,-12
39,83,2,2.0,2019-04-17,23,UTA,@,HOU,L (-20),0,10,2,5,0.4,0,3,0.0,5,7,0.714,0,1,1,0,0,0,0,0,9,5.8,2
40,84,1,1.0,2019-10-23,24,MEM,@,MIA,L (-19),0,21,2,6,0.333,1,5,0.2,0,0,,0,1,1,2,0,0,2,3,5,0.1,-17
41,85,2,2.0,2019-10-25,24,MEM,,CHI,L (-8),0,18,1,5,0.2,1,3,0.333,3,4,0.75,0,1,1,3,0,0,0,2,6,4.1,-3
42,86,3,3.0,2019-10-27,24,MEM,,BRK,W (+1),0,14,2,7,0.286,1,3,0.333,1,2,0.5,0,2,2,1,0,0,0,2,6,2.0,11
