,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
4,12,13,5.0,2016-11-18,19,DET,@,CLE,L (-23),0,6,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,0
6,28,29,7.0,2016-12-17,19,DET,,IND,L (-15),0,5,2,2,1.0,2,2,1.0,0,0,,0,0,0,0,0,0,0,0,6,5.4,2
7,29,30,8.0,2016-12-19,19,DET,@,CHI,L (-31),0,7,0,3,0.0,0,3,0.0,0,0,,0,2,2,0,0,0,0,0,0,-1.5,3
10,39,40,11.0,2017-01-10,19,DET,@,SAC,L (-6),0,7,1,3,0.333,0,2,0.0,0,0,,1,1,2,2,0,0,0,1,2,2.3,-2
11,40,41,12.0,2017-01-12,19,DET,@,GSW,L (-20),0,5,1,1,1.0,1,1,1.0,0,0,,0,2,2,0,0,0,1,0,3,2.3,-1
12,41,42,13.0,2017-01-13,20,DET,@,UTA,L (-33),0,5,1,4,0.25,0,2,0.0,1,1,1.0,0,0,0,0,0,0,1,1,3,-0.8,-5
15,78,79,16.0,2017-04-07,20,DET,@,HOU,W (+5),1,26,6,16,0.375,1,8,0.125,2,2,1.0,2,9,11,0,0,1,1,1,15,9.6,-5
16,79,80,17.0,2017-04-09,20,DET,@,MEM,W (+13),0,28,3,11,0.273,3,6,0.5,0,0,,2,7,9,2,0,0,3,1,9,4.0,12
17,80,81,18.0,2017-04-10,20,DET,,WAS,L (-4),1,17,1,4,0.25,1,3,0.333,0,0,,0,3,3,0,0,0,1,0,3,0.5,-3
18,81,82,19.0,2017-04-12,20,DET,@,ORL,L (-4),0,19,5,10,0.5,1,4,0.25,1,5,0.2,2,4,6,1,1,0,3,1,12,6.3,7
19,82,1,1.0,2017-10-18,20,DET,,CHO,W (+12),0,16,5,10,0.5,2,4,0.5,1,1,1.0,0,4,4,1,1,0,0,2,13,10.1,4
21,86,5,3.0,2017-10-25,20,DET,,MIN,W (+21),0,21,6,12,0.5,2,7,0.286,0,0,,0,5,5,1,0,0,1,0,14,9.2,24
22,87,6,4.0,2017-10-28,20,DET,@,LAC,W (+8),0,12,0,5,0.0,0,2,0.0,0,0,,1,4,5,0,1,0,2,3,0,-3.8,0
23,89,8,5.0,2017-10-31,20,DET,@,LAL,L (-20),0,9,1,4,0.25,1,2,0.5,0,0,,0,1,1,1,0,0,1,0,3,0.6,-5
24,98,17,6.0,2017-11-20,20,DET,,CLE,L (-28),0,12,2,5,0.4,2,3,0.667,0,0,,0,2,2,1,1,0,0,0,6,5.6,11
25,101,20,7.0,2017-11-29,20,DET,,PHO,W (+24),0,5,1,2,0.5,0,1,0.0,0,0,,0,4,4,1,0,0,1,0,2,1.9,-10
28,108,27,10.0,2017-12-12,20,DET,,DEN,L (-19),0,8,3,6,0.5,1,1,1.0,0,0,,1,1,2,1,0,0,2,1,7,3.3,2
34,118,37,16.0,2018-01-05,20,DET,@,PHI,L (-36),0,12,2,5,0.4,1,1,1.0,0,2,0.0,0,3,3,0,0,0,1,0,5,1.4,0
35,121,40,17.0,2018-01-10,20,DET,@,BRK,W (+34),0,5,0,1,0.0,0,1,0.0,0,0,,0,4,4,0,0,0,0,0,0,0.5,1
37,130,49,19.0,2018-01-30,21,DET,,CLE,W (+11),0,11,0,3,0.0,0,2,0.0,0,0,,0,1,1,2,0,0,0,0,0,-0.4,-5
38,132,51,20.0,2018-02-03,21,DET,,MIA,W (+4),0,8,0,3,0.0,0,1,0.0,0,0,,1,0,1,0,0,0,0,1,0,-1.8,-11
41,140,59,23.0,2018-02-25,21,DET,@,CHO,L (-16),0,7,3,5,0.6,0,1,0.0,1,1,1.0,0,2,2,0,0,0,0,0,7,5.3,13
42,141,60,24.0,2018-02-26,21,DET,@,TOR,L (-29),0,6,1,3,0.333,0,1,0.0,1,2,0.5,0,2,2,1,0,0,0,1,3,1.8,-3
44,145,64,26.0,2018-03-05,21,DET,@,CLE,L (-22),0,5,0,2,0.0,0,2,0.0,0,0,,1,1,2,2,0,0,1,0,0,0.0,-2
46,148,67,28.0,2018-03-13,21,DET,@,UTA,L (-31),0,6,0,5,0.0,0,2,0.0,4,4,1.0,0,1,1,0,0,0,2,0,4,-1.2,5
49,156,75,31.0,2018-03-29,21,DET,,WAS,W (+11),0,16,3,7,0.429,1,1,1.0,2,2,1.0,1,4,5,1,0,0,1,0,9,6.9,4
50,157,76,32.0,2018-03-31,21,DET,@,NYK,W (+6),0,17,3,4,0.75,1,2,0.5,2,2,1.0,1,3,4,3,0,0,0,1,9,10.7,9
51,158,77,33.0,2018-04-01,21,DET,@,BRK,W (+12),0,15,1,5,0.2,0,2,0.0,2,2,1.0,0,2,2,1,0,0,0,0,4,2.2,1
52,159,78,34.0,2018-04-04,21,DET,,PHI,L (-7),0,13,1,5,0.2,0,2,0.0,0,0,,0,2,2,0,0,0,1,1,2,-1.9,-6
53,160,79,35.0,2018-04-06,21,DET,,DAL,W (+7),0,18,4,10,0.4,1,5,0.2,2,2,1.0,0,5,5,0,0,0,2,1,11,4.7,2
54,161,80,36.0,2018-04-08,21,DET,@,MEM,L (-13),0,18,6,10,0.6,4,6,0.667,1,1,1.0,1,0,1,0,0,0,1,2,17,11.3,-18
55,162,81,37.0,2018-04-09,21,DET,,TOR,L (-10),0,22,2,8,0.25,1,4,0.25,7,8,0.875,0,4,4,1,1,0,0,2,12,8.9,-19
56,163,82,38.0,2018-04-11,21,DET,@,CHI,W (+32),0,28,5,10,0.5,2,3,0.667,2,2,1.0,0,10,10,2,1,0,1,3,14,12.2,24
57,168,5,1.0,2018-10-27,21,DET,,BOS,L (-20),0,8,2,5,0.4,1,2,0.5,2,2,1.0,0,3,3,0,0,0,0,1,7,4.8,3
58,188,25,2.0,2018-12-10,21,DET,@,PHI,L (-14),0,17,2,5,0.4,1,2,0.5,0,0,,0,6,6,1,0,0,0,1,5,4.4,-11
60,220,57,4.0,2019-02-26,22,NYK,,ORL,W (+5),0,36,5,11,0.455,3,6,0.5,0,0,,0,9,9,5,2,0,1,1,13,14.1,18
61,221,58,5.0,2019-02-28,22,NYK,,CLE,L (-7),0,27,4,10,0.4,3,5,0.6,2,2,1.0,0,5,5,0,1,0,0,5,13,8.1,-6
62,222,59,6.0,2019-03-03,22,NYK,@,LAC,L (-21),0,15,1,5,0.2,0,2,0.0,3,4,0.75,0,3,3,0,0,0,2,4,5,-1.2,-3
63,223,60,7.0,2019-03-04,22,NYK,@,SAC,L (-7),0,17,2,6,0.333,2,4,0.5,0,0,,1,4,5,1,1,0,1,1,6,4.8,-12
67,230,67,11.0,2019-03-18,22,NYK,@,TOR,L (-36),0,12,3,6,0.5,0,2,0.0,3,4,0.75,1,2,3,1,1,0,1,0,9,7.6,-4
68,231,68,12.0,2019-03-20,22,NYK,,UTA,L (-21),0,18,3,6,0.5,1,2,0.5,0,1,0.0,1,8,9,5,0,0,0,1,7,9.8,12
70,234,71,14.0,2019-03-28,22,NYK,,TOR,L (-25),0,9,1,4,0.25,0,1,0.0,1,1,1.0,0,0,0,1,1,0,0,0,3,2.3,4
71,237,74,15.0,2019-04-03,22,NYK,@,ORL,L (-14),0,6,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-3
72,238,75,16.0,2019-04-05,22,NYK,@,HOU,L (-24),0,23,6,8,0.75,1,1,1.0,3,4,0.75,0,7,7,0,0,0,2,3,16,11.3,-3
73,239,76,17.0,2019-04-07,22,NYK,,WAS,W (+3),0,18,3,4,0.75,2,2,1.0,2,2,1.0,1,2,3,2,0,0,0,3,10,9.9,4
74,240,77,18.0,2019-04-09,22,NYK,@,CHI,W (+10),0,14,2,7,0.286,1,3,0.333,0,1,0.0,0,5,5,0,0,0,0,1,5,1.6,-1
75,241,78,19.0,2019-04-10,22,NYK,,DET,L (-26),0,21,4,8,0.5,2,3,0.667,2,3,0.667,0,4,4,0,0,2,0,4,12,8.6,1
81,276,2,1.0,2021-03-13,24,TOR,@,CHO,L (-10),0,18,4,9,0.444,1,5,0.2,0,0,,3,6,9,3,0,0,0,3,9,9.1,17
82,277,3,2.0,2021-03-14,24,TOR,@,CHI,L (-23),0,20,1,5,0.2,1,4,0.25,3,4,0.75,0,3,3,2,0,0,0,4,6,3.2,-10
