,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1,2015/10/28,19,MIA,,CHO,W (+10),0,26,2,2,1,1,1,1,0,0,,0,7,7,2,0,0,2,4,5,4.3,26
1,1,2,2,2015/10/30,19,MIA,@,CLE,L (-10),0,19,1,4,0.25,0,2,0,0,0,,0,4,4,1,0,0,0,2,2,0.7,-16
2,2,3,3,2015/11/1,19,MIA,,HOU,W (+20),0,31,4,8,0.5,2,2,1,0,0,,2,1,3,2,2,0,1,2,10,9.3,24
3,3,4,4,2015/11/3,19,MIA,,ATL,L (-6),0,22,2,7,0.286,0,3,0,0,0,,1,3,4,0,0,0,3,2,4,-2.3,-5
4,4,5,5,2015/11/5,19,MIA,@,MIN,W (+12),0,36,3,7,0.429,0,2,0,1,1,1,1,2,3,2,1,1,1,1,7,6.3,12
5,5,6,6,2015/11/6,19,MIA,@,IND,L (-3),0,31,6,10,0.6,0,1,0,1,1,1,2,6,8,1,0,0,0,5,13,10.3,10
6,6,7,7,2015/11/8,19,MIA,,TOR,W (+20),0,32,3,8,0.375,0,1,0,3,4,0.75,1,4,5,1,1,0,2,2,9,5,20
7,7,8,8,2015/11/10,19,MIA,,LAL,W (+13),0,32,4,8,0.5,0,2,0,0,0,,2,1,3,3,1,1,1,0,8,8.5,0
8,8,9,9,2015/11/12,19,MIA,,UTA,W (+1),0,27,3,9,0.333,0,1,0,1,2,0.5,1,4,5,1,0,0,0,4,7,2.5,-5
9,9,10,10,2015/11/17,19,MIA,,MIN,L (-12),0,31,1,2,0.5,1,2,0.5,5,10,0.5,1,10,11,1,1,0,6,5,8,2.4,-6
10,10,11,11,2015/11/19,19,MIA,,SAC,W (+7),0,27,3,9,0.333,0,4,0,0,0,,1,0,1,1,2,0,3,2,6,0.5,11
11,11,12,12,2015/11/21,19,MIA,,PHI,W (+5),0,23,4,4,1,1,1,1,2,3,0.667,1,4,5,1,0,0,3,3,11,7.8,-1
12,12,13,13,2015/11/23,19,MIA,,NYK,W (+17),0,31,3,6,0.5,1,1,1,0,0,,0,6,6,3,0,1,0,5,7,6.6,28
13,13,14,14,2015/11/25,19,MIA,@,DET,L (-23),0,29,1,3,0.333,0,0,,1,2,0.5,1,7,8,1,0,0,1,2,3,2.6,-10
14,14,15,15,2015/11/27,19,MIA,@,NYK,W (+19),0,35,3,7,0.429,1,3,0.333,2,2,1,1,6,7,1,1,0,0,3,9,8.3,12
