,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2018-10-17,22,NYK,,ATL,W (+19),0,26,5,9,0.556,1,3,0.333,4,4,1.0,0,4,4,0,0,2,3,0,15,10.3,9
1,1,2,2.0,2018-10-19,22,NYK,@,BRK,L (-2),0,16,2,8,0.25,0,1,0.0,4,4,1.0,1,2,3,0,1,0,1,0,8,4.5,-1
2,2,3,3.0,2018-10-20,22,NYK,,BOS,L (-2),0,25,4,9,0.444,2,3,0.667,5,7,0.714,1,0,1,1,0,0,3,1,15,7.5,4
3,3,4,4.0,2018-10-22,22,NYK,@,MIL,L (-11),0,17,1,3,0.333,0,0,,2,2,1.0,0,1,1,4,1,0,0,1,4,6.0,9
4,4,5,5.0,2018-10-24,22,NYK,@,MIA,L (-23),0,21,2,8,0.25,0,1,0.0,0,0,,1,4,5,2,0,0,2,1,4,0.1,-9
5,5,6,6.0,2018-10-26,22,NYK,,GSW,L (-28),0,16,1,3,0.333,0,0,,0,0,,0,0,0,0,0,0,3,0,2,-2.7,-19
6,6,7,7.0,2018-10-29,22,NYK,,BRK,W (+19),0,25,5,7,0.714,0,1,0.0,2,2,1.0,1,4,5,2,0,0,0,1,12,12.0,2
7,7,8,8.0,2018-10-31,22,NYK,,IND,L (-6),0,23,6,7,0.857,2,2,1.0,0,0,,1,2,3,1,0,1,0,2,14,13.4,-2
8,8,9,9.0,2018-11-02,22,NYK,@,DAL,W (+12),0,24,8,10,0.8,1,3,0.333,6,7,0.857,1,1,2,1,0,0,3,2,23,16.7,1
9,9,10,10.0,2018-11-04,22,NYK,@,WAS,L (-13),0,22,4,8,0.5,0,0,,1,2,0.5,0,2,2,0,0,0,3,4,9,0.6,-4
10,10,11,11.0,2018-11-05,22,NYK,,CHI,L (-1),1,42,5,15,0.333,2,4,0.5,9,9,1.0,0,3,3,1,2,1,2,3,21,13.6,-1
