,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2,1.0,2018-10-22,23,LAL,,SAS,L (-1),0,14,4,5,0.8,0,0,,0,1,0.0,2,2,4,1,0,3,0,4,8,8.9,1
1,2,3,2.0,2018-10-24,23,LAL,@,PHO,W (+18),0,20,3,4,0.75,0,0,,1,2,0.5,3,2,5,1,0,0,0,5,7,6.4,1
2,3,4,3.0,2018-10-25,23,LAL,,DEN,W (+7),0,12,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,1,2,2,0.2,-4
3,4,5,4.0,2018-10-27,23,LAL,@,SAS,L (-4),0,17,2,5,0.4,0,0,,0,2,0.0,2,2,4,1,1,0,0,2,4,3.4,-6
4,5,6,5.0,2018-10-29,23,LAL,@,MIN,L (-4),0,14,1,3,0.333,0,0,,0,0,,3,1,4,1,0,0,0,3,2,2.2,0
5,6,7,6.0,2018-10-31,23,LAL,,DAL,W (+1),0,7,0,0,,0,0,,0,0,,0,2,2,0,0,0,1,3,0,-1.6,-2
7,8,64,8.0,2019-03-06,23,LAL,,DEN,L (-16),0,15,3,4,0.75,0,0,,2,4,0.5,1,1,2,0,0,0,0,4,8,5.0,2
8,9,65,9.0,2019-03-09,23,LAL,,BOS,L (-13),0,29,9,16,0.563,0,0,,0,0,,4,6,10,1,0,1,0,2,18,15.6,0
10,11,67,11.0,2019-03-14,23,LAL,@,TOR,L (-13),0,7,0,0,,0,0,,0,0,,0,3,3,0,0,0,2,0,0,-1.1,5
11,12,68,12.0,2019-03-15,23,LAL,@,DET,L (-14),0,15,2,4,0.5,0,0,,2,4,0.5,1,1,2,0,1,0,1,4,6,2.6,9
12,13,69,13.0,2019-03-17,23,LAL,@,NYK,L (-1),0,25,5,7,0.714,0,0,,2,3,0.667,5,2,7,1,0,0,2,5,12,9.5,5
13,14,70,14.0,2019-03-19,23,LAL,@,MIL,L (-14),0,6,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,2,2,0,-3.5,0
15,17,73,16.0,2019-03-26,23,LAL,,WAS,W (+18),0,16,1,2,0.5,0,0,,3,4,0.75,3,1,4,0,0,0,0,3,5,4.8,19
16,18,74,17.0,2019-03-27,23,LAL,@,UTA,L (-15),0,22,3,7,0.429,0,0,,2,6,0.333,2,4,6,1,2,0,0,4,8,6.4,0
17,19,75,18.0,2019-03-29,23,LAL,,CHO,W (+14),0,21,6,7,0.857,0,0,,1,2,0.5,2,2,4,0,0,0,1,2,13,10.3,0
18,20,76,19.0,2019-03-31,23,LAL,@,NOP,W (+28),0,15,1,2,0.5,0,0,,0,0,,1,1,2,0,0,0,0,3,2,0.8,10
19,21,77,20.0,2019-04-02,23,LAL,@,OKC,L (-16),0,8,3,4,0.75,0,0,,0,0,,1,1,2,0,0,0,0,1,6,5.0,7
20,22,78,21.0,2019-04-04,23,LAL,,GSW,L (-18),0,27,8,14,0.571,0,0,,1,3,0.333,6,7,13,1,1,1,2,3,17,15.1,14
21,23,79,22.0,2019-04-05,23,LAL,@,LAC,W (+5),0,22,4,6,0.667,0,1,0.0,4,4,1.0,2,3,5,2,1,1,0,3,12,13.6,0
22,24,80,23.0,2019-04-07,23,LAL,,UTA,W (+4),0,22,4,6,0.667,0,0,,6,9,0.667,4,4,8,0,0,0,1,2,14,12.4,8
23,25,81,24.0,2019-04-09,23,LAL,,POR,L (-3),0,29,5,9,0.556,0,0,,2,2,1.0,5,5,10,3,2,0,2,3,12,13.6,5
24,26,1,1.0,2019-12-26,24,WAS,@,DET,L (-30),0,33,4,6,0.667,0,0,,1,1,1.0,3,5,8,2,0,1,0,2,9,11.3,-16
25,27,2,2.0,2019-12-28,24,WAS,,NYK,L (-7),1,14,0,0,,0,0,,2,2,1.0,1,2,3,2,0,0,0,1,2,4.3,-6
26,28,3,3.0,2019-12-30,24,WAS,,MIA,W (+18),1,18,0,1,0.0,0,1,0.0,0,0,,3,2,5,0,0,0,2,1,0,-0.4,-6
27,29,4,4.0,2020-01-01,24,WAS,,ORL,L (-21),1,12,1,1,1.0,0,0,,0,0,,1,5,6,1,0,1,0,0,2,5.3,-16
28,30,5,5.0,2020-01-03,24,WAS,,POR,L (-19),1,16,4,6,0.667,0,0,,0,2,0.0,3,5,8,0,1,0,0,0,8,9.2,-11
29,31,6,6.0,2020-01-04,24,WAS,,DEN,W (+14),1,31,6,8,0.75,0,0,,0,0,,2,6,8,1,0,3,0,3,12,13.6,16
35,37,33,12.0,2020-07-31,25,WAS,,PHO,L (-13),0,13,0,0,,0,0,,1,2,0.5,1,1,2,0,0,1,0,2,1,1.5,5
38,40,40,15.0,2020-08-13,25,WAS,@,BOS,W (+6),1,25,2,7,0.286,0,0,,1,2,0.5,7,9,16,1,0,1,1,2,5,7.7,-2
