,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2017-10-18,20,ORL,,MIA,W (+7),0,17,2,3,0.667,0,1,0.0,0,0,,3,5,8,0,0,2,0,3,4,6.5,-1
1,1,2,2.0,2017-10-20,20,ORL,@,BRK,L (-5),1,23,4,5,0.8,1,1,1.0,0,0,,0,1,1,3,2,1,4,3,9,7.0,-3
2,2,3,3.0,2017-10-21,20,ORL,@,CLE,W (+21),1,21,2,6,0.333,1,3,0.333,0,0,,1,5,6,0,1,0,1,4,5,2.2,18
3,3,4,4.0,2017-10-24,20,ORL,,BRK,W (+4),0,14,1,3,0.333,0,0,,2,2,1.0,0,3,3,0,1,0,0,2,4,3.4,-12
4,4,5,5.0,2017-10-27,20,ORL,,SAS,W (+27),0,19,1,4,0.25,0,2,0.0,4,4,1.0,1,3,4,1,2,1,1,2,6,6.8,18
5,6,7,6.0,2017-10-30,20,ORL,@,NOP,W (+16),0,15,2,4,0.5,0,1,0.0,0,0,,2,5,7,1,0,1,0,4,4,4.7,8
6,7,8,7.0,2017-11-01,20,ORL,@,MEM,W (+2),0,19,2,3,0.667,1,1,1.0,2,2,1.0,1,3,4,1,0,3,1,2,7,8.3,-11
7,8,9,8.0,2017-11-03,20,ORL,,CHI,L (-22),0,21,4,10,0.4,0,2,0.0,0,0,,0,2,2,1,0,0,1,1,8,2.5,-7
8,9,10,9.0,2017-11-05,20,ORL,,BOS,L (-16),0,29,4,8,0.5,1,2,0.5,0,1,0.0,0,6,6,0,0,2,1,1,9,6.4,-19
9,10,11,10.0,2017-11-08,20,ORL,,NYK,W (+13),0,23,2,6,0.333,0,3,0.0,0,0,,1,1,2,2,0,0,2,0,4,1.0,2
10,11,12,11.0,2017-11-10,20,ORL,@,PHO,W (+16),0,21,3,8,0.375,1,1,1.0,4,5,0.8,2,4,6,1,1,2,0,2,11,11.1,2
11,12,13,12.0,2017-11-11,20,ORL,@,DEN,L (-18),0,16,1,1,1.0,0,0,,0,0,,0,4,4,0,1,3,1,1,2,4.6,-9
12,30,31,13.0,2017-12-17,20,ORL,@,DET,L (-4),0,17,0,4,0.0,0,0,,1,2,0.5,1,1,2,0,0,0,2,1,1,-3.6,-13
13,31,32,14.0,2017-12-20,20,ORL,@,CHI,L (-18),0,14,2,5,0.4,0,1,0.0,0,0,,0,0,0,1,0,0,0,0,4,2.0,-7
14,34,35,15.0,2017-12-26,20,ORL,@,MIA,L (-18),0,16,0,4,0.0,0,0,,1,2,0.5,0,1,1,0,2,0,1,0,1,-0.9,-7
15,61,62,16.0,2018-03-02,20,ORL,,DET,W (+9),0,15,1,2,0.5,1,1,1.0,0,0,,0,2,2,0,2,1,0,1,3,4.9,-1
16,62,63,17.0,2018-03-03,20,ORL,,MEM,W (+7),0,18,0,2,0.0,0,1,0.0,0,0,,0,5,5,0,0,3,0,3,0,1.0,-5
17,63,64,18.0,2018-03-05,20,ORL,@,UTA,L (-14),0,18,0,5,0.0,0,2,0.0,0,0,,1,2,3,1,2,2,0,0,0,1.9,0
18,64,65,19.0,2018-03-07,20,ORL,@,LAL,L (-1),0,14,1,2,0.5,0,0,,0,0,,0,2,2,1,2,0,1,5,2,1.3,-8
19,65,66,20.0,2018-03-09,20,ORL,@,SAC,L (-6),1,26,2,8,0.25,2,5,0.4,0,0,,0,2,2,0,2,1,1,0,6,3.5,-2
20,66,67,21.0,2018-03-10,20,ORL,@,LAC,L (-8),1,25,4,10,0.4,1,4,0.25,0,0,,1,4,5,1,4,1,0,2,9,10.1,3
21,67,68,22.0,2018-03-13,20,ORL,@,SAS,L (-36),1,24,3,5,0.6,1,2,0.5,0,0,,0,5,5,0,0,1,3,3,7,2.7,-28
22,68,69,23.0,2018-03-14,20,ORL,,MIL,W (+9),1,18,1,5,0.2,1,2,0.5,1,2,0.5,0,4,4,1,0,1,1,1,4,1.7,-5
23,69,70,24.0,2018-03-16,20,ORL,,BOS,L (-9),1,25,3,9,0.333,0,1,0.0,0,0,,0,2,2,0,2,2,1,1,6,3.5,-6
24,70,71,25.0,2018-03-20,20,ORL,,TOR,L (-7),1,28,4,7,0.571,2,2,1.0,0,1,0.0,1,4,5,0,5,2,3,4,10,10.0,-8
25,74,75,26.0,2018-03-30,20,ORL,,CHI,L (-8),1,21,1,5,0.2,0,2,0.0,2,2,1.0,1,3,4,2,3,1,1,2,4,5.8,-5
26,75,76,27.0,2018-04-01,20,ORL,@,ATL,L (-6),1,20,5,11,0.455,3,6,0.5,2,2,1.0,0,4,4,1,1,0,1,0,15,11.2,7
27,76,1,1.0,2018-10-17,21,ORL,,MIA,W (+3),1,18,2,4,0.5,1,1,1.0,1,2,0.5,2,4,6,1,0,0,1,4,6,4.3,-7
28,77,2,2.0,2018-10-19,21,ORL,,CHO,L (-32),1,14,1,3,0.333,0,1,0.0,0,0,,1,4,5,0,1,0,2,4,2,-0.4,-11
29,78,3,3.0,2018-10-20,21,ORL,@,PHI,L (-1),1,28,3,8,0.375,2,3,0.667,0,2,0.0,1,5,6,0,2,1,1,0,8,6.7,9
30,79,4,4.0,2018-10-22,21,ORL,@,BOS,W (+3),1,26,8,12,0.667,2,4,0.5,0,0,,4,8,12,0,1,0,0,1,18,18.6,7
31,80,5,5.0,2018-10-25,21,ORL,,POR,L (-14),1,30,4,8,0.5,0,2,0.0,2,2,1.0,2,5,7,1,0,4,1,3,10,10.2,-8
32,81,6,6.0,2018-10-27,21,ORL,@,MIL,L (-22),1,22,0,6,0.0,0,3,0.0,2,2,1.0,0,3,3,1,1,3,1,2,2,0.7,-18
33,82,7,7.0,2018-10-30,21,ORL,,SAC,L (-8),1,25,3,8,0.375,0,4,0.0,3,3,1.0,0,3,3,1,1,0,0,2,9,6.4,-6
34,83,8,8.0,2018-11-02,21,ORL,,LAC,L (-25),1,12,1,4,0.25,0,1,0.0,0,0,,1,0,1,0,0,0,0,1,2,-0.1,-2
35,90,15,9.0,2018-11-14,21,ORL,,PHI,W (+5),0,16,1,3,0.333,0,0,,2,2,1.0,2,5,7,0,0,2,0,0,4,6.6,5
36,91,16,10.0,2018-11-17,21,ORL,,LAL,W (+13),0,17,3,5,0.6,1,2,0.5,0,0,,1,4,5,1,0,5,2,1,7,8.4,4
