,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1,2014/10/29,24,MIA,,WAS,W (+12),0,15,2,4,0.5,0,2,0.0,1,1,1.0,0,2,2,0,0,0,0,1,5,3.2,7
1,1,2,2,2014/11/1,24,MIA,@,PHI,W (+18),0,8,2,3,0.667,1,1,1.0,0,0,,1,1,2,1,0,0,0,1,5,5.0,2
2,2,3,3,2014/11/2,24,MIA,,TOR,W (+5),0,8,1,1,1.0,1,1,1.0,0,0,,0,1,1,0,0,0,1,3,3,0.8,-4
3,3,4,4,2014/11/4,24,MIA,,HOU,L (-17),0,14,0,3,0.0,0,1,0.0,0,0,,0,2,2,0,0,0,0,1,0,-1.9,6
4,4,5,5,2014/11/5,24,MIA,@,CHO,L (-7),0,6,0,2,0.0,0,1,0.0,0,0,,0,2,2,1,0,0,0,1,0,-0.5,1
5,5,6,6,2014/11/8,24,MIA,,MIN,W (+10),0,16,2,3,0.667,0,0,,2,2,1.0,1,3,4,1,0,0,0,1,6,6.6,-1
7,7,8,8,2014/11/12,24,MIA,,IND,L (-6),0,7,1,1,1.0,1,1,1.0,0,0,,0,0,0,0,1,1,0,0,3,4.4,1
8,8,9,9,2014/11/14,24,MIA,@,ATL,L (-11),1,6,0,1,0.0,0,0,,1,2,0.5,1,0,1,0,1,0,0,1,1,1.2,-11
9,9,10,10,2014/11/16,24,MIA,,MIL,L (-7),0,24,4,6,0.667,1,2,0.5,0,0,,1,2,3,3,2,0,0,1,9,11.4,-2
10,10,11,11,2014/11/17,24,MIA,@,BRK,W (+12),0,36,4,7,0.571,0,2,0.0,2,2,1.0,1,7,8,2,1,0,0,3,10,10.7,13
11,11,12,12,2014/11/20,24,MIA,,LAC,L (-17),0,12,0,3,0.0,0,2,0.0,2,2,1.0,0,1,1,0,1,2,0,2,2,1.8,-6
12,12,13,13,2014/11/22,24,MIA,@,ORL,W (+7),0,13,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,2,0,-1.1,1
13,13,14,14,2014/11/23,24,MIA,,CHO,W (+1),0,18,0,0,,0,0,,2,2,1.0,1,1,2,0,0,0,1,2,2,1.2,0
