,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2009-10-28,24,PHO,@,LAC,W (+2),0,23,2,3,0.667,1,2,0.5,1,2,0.5,3,4,7,2,1,1,0,1,6,10.3,12.0
1,1,2,2.0,2009-10-30,24,PHO,,GSW,W (+22),0,22,2,6,0.333,0,3,0.0,2,5,0.4,3,2,5,0,1,0,1,5,6,2.1,3.0
2,2,3,3.0,2009-11-01,24,PHO,,MIN,W (+8),0,16,1,5,0.2,0,2,0.0,2,2,1.0,1,1,2,3,1,0,1,0,4,4.0,11.0
3,3,4,4.0,2009-11-03,24,PHO,@,MIA,W (+8),0,24,2,6,0.333,1,3,0.333,3,3,1.0,0,3,3,0,1,1,1,1,8,5.8,10.0
4,4,5,5.0,2009-11-04,24,PHO,@,ORL,L (-22),0,23,7,14,0.5,2,6,0.333,1,2,0.5,2,1,3,1,2,0,2,2,17,11.2,-10.0
5,5,6,6.0,2009-11-06,24,PHO,@,BOS,W (+7),0,31,3,6,0.5,2,5,0.4,2,2,1.0,1,1,2,3,2,0,0,1,10,11.7,14.0
6,6,7,7.0,2009-11-08,24,PHO,@,WAS,W (+12),0,20,1,4,0.25,1,3,0.333,0,0,,0,1,1,2,1,0,3,1,3,-0.1,-4.0
7,7,8,8.0,2009-11-09,24,PHO,@,PHI,W (+4),0,22,6,7,0.857,4,5,0.8,2,4,0.5,1,4,5,1,3,0,0,2,18,19.5,-3.0
8,8,9,9.0,2009-11-11,24,PHO,,NOH,W (+20),0,20,4,7,0.571,3,3,1.0,0,0,,2,2,4,1,0,0,0,1,11,10.0,10.0
9,9,10,10.0,2009-11-12,24,PHO,@,LAL,L (-19),0,24,5,11,0.455,3,4,0.75,1,3,0.333,4,2,6,0,1,0,1,5,14,8.9,-13.0
10,10,11,11.0,2009-11-15,24,PHO,,TOR,W (+1),0,25,1,4,0.25,0,2,0.0,2,2,1.0,3,2,5,2,0,2,2,2,4,4.3,1.0
11,11,12,12.0,2009-11-17,24,PHO,@,HOU,W (+6),0,18,2,5,0.4,1,2,0.5,3,4,0.75,2,4,6,1,1,0,1,0,8,8.2,0.0
12,12,13,13.0,2009-11-19,24,PHO,@,NOH,L (-7),0,28,5,7,0.714,5,6,0.833,2,2,1.0,1,4,5,3,2,0,1,4,17,17.5,-2.0
13,13,14,14.0,2009-11-22,24,PHO,,DET,W (+26),0,20,2,7,0.286,1,3,0.333,3,4,0.75,0,0,0,3,2,0,0,3,8,6.4,16.0
14,14,15,15.0,2009-11-25,24,PHO,,MEM,W (+15),0,26,3,6,0.5,1,3,0.333,0,0,,1,1,2,0,0,0,1,1,7,3.6,1.0
15,15,16,16.0,2009-11-27,24,PHO,@,MIN,W (+25),0,22,2,6,0.333,1,4,0.25,2,2,1.0,0,3,3,0,0,0,0,2,7,3.7,-8.0
16,16,17,17.0,2009-11-29,24,PHO,@,TOR,W (+19),0,18,1,4,0.25,1,3,0.333,0,0,,0,3,3,0,1,0,0,2,3,1.7,-1.0
17,17,18,18.0,2009-12-01,24,PHO,@,NYK,L (-27),0,18,2,5,0.4,1,2,0.5,2,2,1.0,3,4,7,0,0,0,1,2,7,5.8,-8.0
18,18,19,19.0,2009-12-02,24,PHO,@,CLE,L (-17),0,21,2,6,0.333,1,2,0.5,1,2,0.5,1,2,3,1,0,0,0,2,6,3.4,-9.0
19,19,20,20.0,2009-12-05,24,PHO,,SAC,W (+8),0,22,4,6,0.667,1,2,0.5,0,0,,1,0,1,1,0,0,1,3,9,5.6,2.0
20,20,21,21.0,2009-12-06,24,PHO,@,LAL,L (-20),0,24,3,7,0.429,2,3,0.667,1,2,0.5,3,2,5,1,1,0,1,1,9,7.9,-5.0
21,21,22,22.0,2009-12-08,24,PHO,@,DAL,L (-1),0,29,2,5,0.4,2,3,0.667,5,6,0.833,1,2,3,0,0,0,1,2,11,7.4,-4.0
22,22,23,23.0,2009-12-11,24,PHO,,ORL,W (+3),0,33,6,13,0.462,4,8,0.5,3,4,0.75,3,2,5,0,2,0,0,3,19,15.4,-3.0
23,23,24,24.0,2009-12-12,24,PHO,@,DEN,L (-6),0,25,3,7,0.429,2,3,0.667,2,2,1.0,0,2,2,1,1,0,3,5,10,3.6,5.0
24,24,25,25.0,2009-12-15,24,PHO,,SAS,W (+12),0,33,2,6,0.333,1,3,0.333,0,0,,2,3,5,2,1,0,2,0,5,4.3,5.0
25,25,26,26.0,2009-12-17,24,PHO,@,POR,L (-3),0,37,4,9,0.444,2,4,0.5,0,0,,1,5,6,3,1,0,2,6,10,6.2,-8.0
26,26,27,27.0,2009-12-19,24,PHO,,WAS,W (+26),0,20,2,5,0.4,2,3,0.667,0,0,,1,2,3,0,1,0,0,1,6,5.2,16.0
27,27,28,28.0,2009-12-21,24,PHO,,CLE,L (-18),0,26,5,8,0.625,1,2,0.5,0,0,,1,0,1,1,1,0,0,1,11,9.4,-17.0
28,28,29,29.0,2009-12-23,24,PHO,,OKC,L (-4),0,31,0,3,0.0,0,1,0.0,0,0,,1,4,5,0,0,0,0,3,0,-1.4,-1.0
29,29,30,30.0,2009-12-25,24,PHO,,LAC,W (+31),0,26,6,9,0.667,4,5,0.8,2,2,1.0,0,3,3,1,1,1,0,3,18,16.2,27.0
30,30,31,31.0,2009-12-26,24,PHO,@,GSW,L (-5),0,34,3,7,0.429,2,4,0.5,3,3,1.0,2,2,4,0,1,0,2,1,11,7.9,-6.0
