,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1.0,2012-10-30,20,BOS,@,MIA,L (-13),0,8,1,2,0.5,0,0,,0,0,,0,1,1,0,0,0,0,1,2,0.9,-3
1,1,2,2.0,2012-11-02,20,BOS,,MIL,L (-11),0,18,2,5,0.4,0,0,,2,2,1.0,3,4,7,0,1,1,0,4,6,6.7,-4
2,2,3,3.0,2012-11-03,20,BOS,@,WAS,W (+3),1,30,2,3,0.667,0,0,,0,0,,1,6,7,0,1,1,1,4,4,4.3,7
3,3,4,4.0,2012-11-07,20,BOS,,WAS,W (+6),1,24,2,5,0.4,0,0,,0,0,,1,3,4,1,0,1,2,0,4,2.3,-2
4,4,5,5.0,2012-11-09,20,BOS,,PHI,L (-6),1,19,2,4,0.5,0,0,,0,0,,2,2,4,1,0,1,0,3,4,4.2,-7
5,5,6,6.0,2012-11-10,20,BOS,@,MIL,W (+4),0,7,0,0,,0,0,,2,2,1.0,1,3,4,0,0,0,0,2,2,2.8,-1
6,6,7,7.0,2012-11-12,20,BOS,@,CHI,W (+6),0,13,1,2,0.5,1,1,1.0,0,0,,0,1,1,4,0,1,0,2,3,5.0,-10
7,7,8,8.0,2012-11-14,20,BOS,,UTA,W (+5),0,16,1,1,1.0,0,0,,0,0,,1,1,2,0,0,0,0,3,2,1.5,7
8,8,9,9.0,2012-11-15,20,BOS,@,BRK,L (-5),0,8,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,2,0,-1.5,0
9,9,10,10.0,2012-11-17,20,BOS,,TOR,W (+18),0,26,5,8,0.625,0,0,,2,2,1.0,4,7,11,0,1,0,0,3,12,13.1,9
10,10,11,11.0,2012-11-18,20,BOS,@,DET,L (-20),0,27,7,12,0.583,0,0,,2,2,1.0,2,3,5,0,0,0,2,3,16,9.5,-20
11,11,12,12.0,2012-11-21,20,BOS,,SAS,L (-12),0,20,1,3,0.333,0,0,,0,0,,0,7,7,0,0,1,0,2,2,2.3,-14
12,12,13,13.0,2012-11-23,20,BOS,,OKC,W (+8),0,14,4,6,0.667,0,0,,0,0,,2,1,3,1,1,0,1,4,8,6.2,15
13,13,14,14.0,2012-11-25,20,BOS,@,ORL,W (+6),0,19,5,12,0.417,0,0,,1,1,1.0,6,0,6,1,0,0,0,4,11,7.9,-6
14,14,15,15.0,2012-11-28,20,BOS,,BRK,L (-12),0,14,2,5,0.4,0,0,,2,2,1.0,2,1,3,0,1,0,0,3,6,4.8,-8
15,15,16,16.0,2012-11-30,20,BOS,,POR,W (+18),0,31,4,6,0.667,0,0,,1,2,0.5,2,6,8,2,2,0,3,4,9,8.0,11
16,16,17,17.0,2012-12-01,20,BOS,@,MIL,L (-3),0,14,1,4,0.25,0,0,,0,0,,1,4,5,0,0,3,1,3,2,1.4,-3
17,17,18,18.0,2012-12-05,20,BOS,,MIN,W (+10),0,18,1,3,0.333,0,1,0.0,5,6,0.833,1,6,7,1,0,2,0,5,7,7.5,6
18,18,19,19.0,2012-12-07,20,BOS,@,PHI,L (-1),0,14,0,0,,0,0,,0,0,,0,5,5,0,0,0,2,2,0,-1.3,5
19,19,20,20.0,2012-12-08,20,BOS,,PHI,W (+13),0,22,3,8,0.375,0,1,0.0,1,1,1.0,3,6,9,0,0,0,0,3,7,5.3,4
20,20,21,21.0,2012-12-12,20,BOS,,DAL,W (+2),0,11,0,3,0.0,0,0,,0,0,,1,2,3,1,1,0,1,1,0,-0.5,3
21,21,22,22.0,2012-12-14,20,BOS,@,HOU,L (-12),0,14,3,7,0.429,0,0,,1,2,0.5,4,2,6,1,0,1,0,1,7,7.3,4
22,22,23,23.0,2012-12-15,20,BOS,@,SAS,L (-15),0,11,1,2,0.5,0,0,,0,0,,4,3,7,0,1,0,0,1,2,5.3,1
23,23,24,24.0,2012-12-18,20,BOS,@,CHI,L (-11),0,16,0,6,0.0,0,0,,1,2,0.5,1,2,3,1,0,1,1,4,1,-3.5,-3
24,24,25,25.0,2012-12-19,20,BOS,,CLE,W (+12),0,15,1,2,0.5,0,0,,0,0,,2,3,5,1,1,0,1,4,2,2.4,-3
25,25,26,26.0,2012-12-21,20,BOS,,MIL,L (-5),0,14,2,2,1.0,0,0,,0,0,,2,5,7,2,0,0,1,6,4,4.3,-1
26,26,27,27.0,2012-12-25,20,BOS,@,BRK,W (+17),0,33,6,7,0.857,0,0,,4,6,0.667,0,7,7,2,1,1,1,5,16,14.9,21
27,27,28,28.0,2012-12-27,20,BOS,@,LAC,L (-29),0,18,1,2,0.5,0,0,,2,2,1.0,2,3,5,2,1,0,1,6,4,4.3,-5
28,28,29,29.0,2012-12-29,20,BOS,@,GSW,L (-18),0,25,6,8,0.75,0,0,,0,1,0.0,5,3,8,1,1,0,1,2,12,12.7,0
29,29,30,30.0,2012-12-30,20,BOS,@,SAC,L (-22),0,23,2,5,0.4,0,0,,6,6,1.0,2,4,6,1,1,0,0,3,10,10.4,-2
30,30,31,31.0,2013-01-02,20,BOS,,MEM,L (-10),0,19,1,6,0.167,0,0,,0,0,,1,4,5,0,0,0,0,6,2,-2.3,10
31,31,32,32.0,2013-01-04,20,BOS,,IND,W (+19),0,30,2,7,0.286,0,0,,3,6,0.5,4,6,10,1,0,1,2,6,7,3.3,17
32,32,33,33.0,2013-01-05,20,BOS,@,ATL,W (+8),0,24,4,8,0.5,0,0,,0,1,0.0,4,5,9,2,0,1,0,3,8,8.8,7
33,33,34,34.0,2013-01-07,20,BOS,@,NYK,W (+6),0,19,3,5,0.6,0,0,,4,4,1.0,2,3,5,0,0,1,1,2,10,8.9,9
34,34,35,35.0,2013-01-09,20,BOS,,PHO,W (+8),0,34,6,10,0.6,0,0,,0,0,,5,11,16,3,1,1,0,4,12,16.4,24
35,35,36,36.0,2013-01-11,20,BOS,,HOU,W (+12),0,27,7,8,0.875,0,0,,0,0,,5,6,11,1,0,0,1,6,14,13.8,7
36,36,37,37.0,2013-01-14,20,BOS,,CHA,W (+11),0,22,4,4,1.0,0,0,,0,2,0.0,1,4,5,0,0,1,1,5,8,5.6,4
37,37,38,38.0,2013-01-16,20,BOS,,NOH,L (-12),0,21,2,5,0.4,0,0,,0,0,,0,2,2,1,1,1,1,4,4,1.7,-2
38,38,39,39.0,2013-01-18,20,BOS,,CHI,L (-1),0,38,3,8,0.375,0,1,0.0,1,1,1.0,5,10,15,0,1,0,1,6,7,6.7,-1
39,39,40,40.0,2013-01-20,20,BOS,@,DET,L (-15),0,22,3,7,0.429,0,0,,1,2,0.5,4,3,7,0,0,0,0,5,7,4.6,-17
