,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2,1.0,2013-11-01,23,NOP,@,ORL,L (-20),0,5,0,0,,0,0,,2,2,1.0,0,0,0,0,0,0,1,0,2,1.0,1
3,7,8,4.0,2013-11-12,23,NOP,@,LAL,L (-21),0,18,2,2,1.0,0,0,,5,6,0.833,4,1,5,0,1,1,1,3,9,10.6,-2
4,8,9,5.0,2013-11-13,23,NOP,@,UTA,L (-6),0,9,1,2,0.5,0,0,,1,2,0.5,1,2,3,0,0,0,0,0,3,2.9,5
5,9,10,6.0,2013-11-16,23,NOP,,PHI,W (+37),0,6,0,0,,0,0,,0,0,,0,1,1,1,0,1,1,1,0,0.3,1
7,16,17,8.0,2013-12-02,23,NOP,@,CHI,W (+3),0,5,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,1,2,0.6,-2
8,18,19,9.0,2013-12-06,23,NOP,,OKC,L (-14),0,9,0,1,0.0,0,0,,2,2,1.0,3,0,3,1,0,0,0,2,2,3.3,-6
11,22,23,12.0,2013-12-17,23,NOP,@,GSW,L (-11),0,7,1,1,1.0,0,0,,0,0,,2,0,2,1,0,0,0,1,2,3.4,9
15,34,35,16.0,2014-01-10,23,NOP,,DAL,L (-17),0,9,1,2,0.5,0,0,,0,0,,0,3,3,0,0,1,0,1,2,2.2,-3
17,36,37,18.0,2014-01-13,23,NOP,,SAS,L (-6),0,5,1,1,1.0,0,0,,0,0,,0,1,1,0,0,0,0,2,2,1.2,5
19,38,39,20.0,2014-01-18,23,NOP,,GSW,L (-10),0,14,1,3,0.333,0,0,,1,2,0.5,1,1,2,0,0,1,0,1,3,2.2,-9
20,39,40,21.0,2014-01-20,23,NOP,@,MEM,W (+3),0,15,0,0,,0,0,,2,2,1.0,0,2,2,0,0,2,1,2,2,2.2,8
21,40,41,22.0,2014-01-21,23,NOP,,SAC,L (-17),0,27,5,6,0.833,0,0,,4,5,0.8,2,3,5,2,2,2,0,5,14,16.5,14
22,41,42,23.0,2014-01-24,23,NOP,@,DET,W (+2),0,19,1,3,0.333,0,0,,0,0,,1,4,5,0,1,0,1,0,2,2.2,9
23,42,43,24.0,2014-01-26,23,NOP,,ORL,W (+8),0,23,1,6,0.167,0,0,,0,0,,3,3,6,0,0,0,1,4,2,-1.4,-1
24,44,45,25.0,2014-01-29,23,NOP,@,MIN,L (-11),0,22,1,1,1.0,0,0,,1,2,0.5,0,2,2,1,0,3,1,2,3,3.9,-1
25,45,46,26.0,2014-02-01,23,NOP,,CHI,W (+9),0,12,2,3,0.667,0,0,,0,0,,1,3,4,0,0,1,1,2,4,3.2,6
26,47,48,27.0,2014-02-05,23,NOP,,ATL,W (+5),0,9,0,0,,0,0,,0,0,,0,3,3,1,0,1,0,0,0,2.3,2
27,49,50,28.0,2014-02-09,23,NOP,@,BRK,L (-12),0,8,1,4,0.25,0,0,,0,0,,3,3,6,0,1,0,0,0,2,3.6,-2
28,50,51,29.0,2014-02-10,23,NOP,@,TOR,L (-7),0,13,1,2,0.5,0,0,,1,1,1.0,1,1,2,0,0,0,0,1,3,2.6,-4
29,53,54,30.0,2014-02-21,23,NOP,@,CHA,L (-3),0,8,0,1,0.0,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.0,-7
30,54,55,31.0,2014-02-22,23,NOP,@,WAS,L (-1),0,13,1,2,0.5,0,0,,1,2,0.5,0,2,2,0,0,1,1,3,3,0.7,8
31,55,56,32.0,2014-02-24,23,NOP,,LAC,L (-13),0,7,1,3,0.333,0,0,,1,2,0.5,4,0,4,0,0,0,0,1,3,3.3,-4
32,56,57,33.0,2014-02-26,23,NOP,@,DAL,L (-19),0,7,0,0,,0,0,,0,0,,1,2,3,0,1,0,2,1,0,-0.1,-6
33,57,58,34.0,2014-02-28,23,NOP,@,PHO,L (-12),0,6,1,1,1.0,0,0,,0,0,,0,1,1,0,1,0,0,2,2,2.2,8
34,58,59,35.0,2014-03-01,23,NOP,@,LAC,L (-32),0,9,0,3,0.0,0,0,,0,0,,0,4,4,0,0,1,0,4,0,-1.8,-11
35,59,60,36.0,2014-03-03,23,NOP,@,SAC,L (-7),0,18,1,2,0.5,0,0,,0,0,,0,2,2,0,0,3,0,1,2,3.3,-5
36,60,61,37.0,2014-03-04,23,NOP,@,LAL,W (+7),0,13,2,2,1.0,0,0,,0,0,,0,1,1,1,0,0,0,3,4,3.2,2
37,61,62,38.0,2014-03-07,24,NOP,,MIL,W (+8),0,14,1,3,0.333,0,0,,0,0,,2,6,8,1,0,0,0,1,2,3.8,3
38,62,63,39.0,2014-03-09,24,NOP,,DEN,W (+4),0,15,1,4,0.25,0,0,,2,2,1.0,1,1,2,2,2,1,0,0,4,6.7,-1
39,63,64,40.0,2014-03-12,24,NOP,,MEM,L (-2),0,6,2,2,1.0,0,0,,0,0,,1,3,4,1,0,0,1,0,4,4.7,3
40,64,65,41.0,2014-03-14,24,NOP,,POR,L (-8),0,11,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,2,0,0.2,2
41,65,66,42.0,2014-03-16,24,NOP,,BOS,W (+1),0,29,1,2,0.5,0,0,,0,2,0.0,2,3,5,3,0,3,1,2,2,4.9,-5
42,66,67,43.0,2014-03-19,24,NOP,,TOR,L (-7),1,27,3,6,0.5,0,0,,3,6,0.5,1,3,4,1,1,2,0,4,9,7.9,-18
43,67,68,44.0,2014-03-21,24,NOP,@,ATL,W (+6),0,6,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,1,0,0.3,-2
46,70,71,47.0,2014-03-26,24,NOP,,LAC,W (+2),0,6,0,3,0.0,0,1,0.0,2,2,1.0,1,0,1,0,0,0,1,1,2,-0.8,5
47,71,72,48.0,2014-03-28,24,NOP,,UTA,W (+7),0,13,0,0,,0,0,,3,4,0.75,1,3,4,1,0,0,0,1,3,4.5,4
48,72,73,49.0,2014-03-29,24,NOP,@,SAS,L (-16),0,11,2,2,1.0,0,0,,3,4,0.75,1,2,3,0,0,0,1,0,7,6.3,-3
49,73,74,50.0,2014-03-31,24,NOP,,SAC,L (-5),0,28,4,4,1.0,0,0,,0,0,,0,7,7,1,1,5,2,3,8,10.9,18
50,74,75,51.0,2014-04-02,24,NOP,@,DEN,L (-30),0,30,4,5,0.8,0,0,,5,5,1.0,1,4,5,1,1,4,1,3,13,15.3,-13
51,75,76,52.0,2014-04-04,24,NOP,@,UTA,L (-4),0,18,3,3,1.0,0,0,,1,3,0.333,1,1,2,0,0,3,0,2,7,7.6,9
53,77,78,54.0,2014-04-09,24,NOP,,PHO,L (-6),0,24,7,10,0.7,0,0,,3,3,1.0,1,1,2,3,0,1,0,1,17,16.2,6
54,78,79,55.0,2014-04-11,24,NOP,@,OKC,L (-22),1,25,4,12,0.333,0,0,,0,2,0.0,4,1,5,1,0,0,0,2,8,3.4,-19
55,79,80,56.0,2014-04-12,24,NOP,@,HOU,L (-7),0,19,2,3,0.667,0,0,,2,2,1.0,1,2,3,0,0,1,0,1,6,6.3,0
56,80,81,57.0,2014-04-14,24,NOP,,OKC,W (+12),1,33,2,6,0.333,0,0,,4,6,0.667,1,5,6,0,0,4,1,2,8,7.0,13
57,81,82,58.0,2014-04-16,24,NOP,,HOU,W (+5),1,20,3,5,0.6,0,0,,0,0,,1,5,6,1,1,5,1,4,6,8.5,10
60,89,8,3.0,2014-11-14,24,NOP,,MIN,W (+48),0,5,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.7,-4
61,90,9,4.0,2014-11-17,24,NOP,@,POR,L (-9),0,6,1,1,1.0,0,0,,0,0,,0,1,1,1,0,0,1,3,2,0.5,-6
62,92,11,5.0,2014-11-21,24,NOP,@,DEN,L (-20),0,16,2,5,0.4,0,0,,5,6,0.833,2,4,6,1,0,0,1,1,9,7.8,-4
63,93,12,6.0,2014-11-22,24,NOP,@,UTA,W (+12),0,11,3,4,0.75,0,0,,2,2,1.0,1,0,1,0,1,2,0,3,8,8.3,15
64,94,13,7.0,2014-11-25,24,NOP,,SAC,L (-10),0,9,2,4,0.5,0,0,,2,5,0.4,2,2,4,0,0,3,0,0,6,6.9,5
69,103,22,12.0,2014-12-12,24,NOP,,CLE,W (+5),0,13,1,2,0.5,0,0,,0,1,0.0,0,4,4,0,0,1,0,1,2,2.1,4
70,104,23,13.0,2014-12-14,24,NOP,,GSW,L (-6),0,16,3,4,0.75,0,0,,4,4,1.0,1,3,4,1,0,1,0,2,10,10.6,6
71,105,24,14.0,2014-12-16,24,NOP,,UTA,W (+8),0,13,2,2,1.0,0,0,,0,0,,0,0,0,1,0,1,1,2,4,3.0,7
73,107,26,16.0,2014-12-20,24,NOP,,POR,L (-26),0,8,0,2,0.0,0,0,,2,2,1.0,1,0,1,0,0,0,0,0,2,1.3,-2
75,114,33,18.0,2015-01-02,24,NOP,,HOU,W (+28),0,6,0,1,0.0,0,0,,2,4,0.5,1,1,2,0,0,1,0,1,2,1.8,1
82,132,51,25.0,2015-02-07,24,NOP,,CHI,L (-35),0,14,2,3,0.667,0,0,,1,2,0.5,1,2,3,0,0,1,1,1,5,3.9,-9
83,133,52,26.0,2015-02-09,24,NOP,,UTA,L (-4),0,14,1,4,0.25,0,0,,3,4,0.75,2,1,3,0,0,0,0,1,5,3.5,-12
84,134,53,27.0,2015-02-11,24,NOP,,IND,L (-13),0,18,5,7,0.714,0,0,,1,2,0.5,0,4,4,0,0,0,1,1,11,7.5,1
86,136,55,29.0,2015-02-21,24,NOP,@,MIA,W (+14),0,6,0,1,0.0,0,0,,2,2,1.0,0,0,0,0,1,0,1,3,2,0.1,-5
87,137,56,30.0,2015-02-23,24,NOP,,TOR,W (+3),0,5,2,3,0.667,0,0,,0,0,,1,0,1,0,0,0,0,0,4,3.4,-3
89,147,66,32.0,2015-03-15,25,NOP,,DEN,L (-7),0,8,1,1,1.0,0,0,,0,0,,1,2,3,1,0,0,0,1,2,3.3,-4
91,150,69,34.0,2015-03-20,25,NOP,@,GSW,L (-16),0,29,5,9,0.556,0,0,,4,6,0.667,5,3,8,3,1,1,2,1,14,14.7,-14
92,151,70,35.0,2015-03-22,25,NOP,@,LAC,L (-7),0,14,0,0,,0,0,,1,2,0.5,0,5,5,2,0,1,1,1,1,2.8,-4
94,159,78,37.0,2015-04-08,25,NOP,@,MEM,L (-36),0,7,0,0,,0,0,,0,0,,1,1,2,0,1,1,1,0,0,1.7,-1
96,168,9,2.0,2015-11-13,25,UTA,@,ORL,L (-9),0,24,4,7,0.571,0,0,,0,0,,4,3,7,0,1,2,0,2,8,10.0,11
97,169,10,3.0,2015-11-15,25,UTA,@,ATL,W (+1),0,6,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0.7,0
98,170,11,4.0,2015-11-18,25,UTA,,TOR,W (+4),0,8,1,1,1.0,0,0,,0,0,,0,1,1,0,0,1,1,1,2,1.3,-4
100,172,13,6.0,2015-11-23,25,UTA,,OKC,L (-22),0,14,1,2,0.5,0,0,,2,4,0.5,2,3,5,0,1,1,1,1,4,4.8,1
102,174,15,8.0,2015-11-28,25,UTA,,NOP,W (+14),0,7,0,2,0.0,0,0,,0,2,0.0,2,1,3,1,2,1,1,3,0,0.7,6
103,176,17,9.0,2015-12-03,25,UTA,,ORL,L (-9),0,10,2,3,0.667,0,0,,0,0,,1,2,3,0,0,3,0,1,4,5.7,3
104,177,18,10.0,2015-12-05,25,UTA,,IND,W (+3),0,9,1,2,0.5,0,0,,0,0,,0,2,2,0,0,1,2,1,2,-0.1,0
105,178,19,11.0,2015-12-08,25,UTA,@,SAC,L (-8),0,13,0,3,0.0,0,0,,0,0,,3,2,5,0,0,0,0,1,0,0.2,8
106,179,20,12.0,2015-12-09,25,UTA,,NYK,W (+21),0,20,4,5,0.8,0,0,,0,0,,3,6,9,2,0,1,3,1,8,8.7,10
107,180,21,13.0,2015-12-11,25,UTA,,OKC,L (-4),0,11,3,3,1.0,0,0,,0,0,,0,1,1,0,0,0,1,0,6,4.4,7
108,181,22,14.0,2015-12-13,25,UTA,@,OKC,L (-6),0,10,1,1,1.0,0,0,,0,0,,1,3,4,0,0,0,0,3,2,2.1,12
109,182,23,15.0,2015-12-14,25,UTA,@,SAS,L (-37),0,20,3,5,0.6,0,0,,3,4,0.75,1,4,5,0,1,2,2,3,9,7.4,2
110,183,24,16.0,2015-12-16,25,UTA,,NOP,L (-10),1,17,1,3,0.333,0,0,,2,2,1.0,0,3,3,0,1,1,0,3,4,3.7,4
111,184,25,17.0,2015-12-18,25,UTA,,DEN,W (+9),0,9,0,0,,0,0,,0,0,,0,1,1,0,0,1,2,3,0,-2.2,7
112,185,26,18.0,2015-12-21,25,UTA,,PHO,W (+21),0,11,0,2,0.0,0,0,,0,0,,0,4,4,0,0,2,0,1,0,0.8,-4
113,186,27,19.0,2015-12-23,25,UTA,@,GSW,L (-18),0,13,3,3,1.0,0,0,,3,4,0.75,1,3,4,2,1,0,0,1,9,11.3,3
114,187,28,20.0,2015-12-26,25,UTA,,LAC,L (-5),1,19,2,5,0.4,0,0,,2,2,1.0,0,7,7,0,1,2,0,1,6,7.4,-1
115,188,29,21.0,2015-12-28,25,UTA,,PHI,W (+4),1,24,4,7,0.571,0,0,,3,4,0.75,5,7,12,1,2,2,3,2,11,13.2,3
116,189,30,22.0,2015-12-30,25,UTA,@,MIN,L (-14),1,29,5,10,0.5,0,0,,3,5,0.6,3,6,9,1,1,2,1,5,13,11.2,-11
117,190,31,23.0,2015-12-31,25,UTA,,POR,W (+13),1,35,4,7,0.571,0,0,,2,3,0.667,2,1,3,1,1,4,1,3,10,10.3,19
118,191,32,24.0,2016-01-02,25,UTA,,MEM,W (+5),1,32,5,9,0.556,0,0,,2,4,0.5,3,7,10,2,1,4,3,6,12,10.9,-4
119,192,33,25.0,2016-01-04,25,UTA,,HOU,L (-2),1,35,2,8,0.25,0,0,,4,6,0.667,5,6,11,0,3,3,1,2,8,11.0,1
120,193,34,26.0,2016-01-06,25,UTA,@,SAS,L (-25),1,24,4,6,0.667,0,0,,2,3,0.667,4,3,7,2,1,1,0,0,10,13.8,-21
