,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
3,40,41,4.0,2020-01-13,22,DET,,NOP,L (-7),0,8,0,2,0.0,0,1,0.0,0,0,,0,0,0,3,0,0,0,0,0,0.7,1
6,52,53,7.0,2020-02-05,22,DET,,PHO,W (+8),0,7,0,3,0.0,0,1,0.0,0,0,,0,1,1,1,0,0,0,1,0,-1.5,6
7,53,54,8.0,2020-02-07,22,DET,@,OKC,L (-7),0,10,0,2,0.0,0,2,0.0,0,0,,0,0,0,1,1,0,0,3,0,-0.9,-6
8,54,55,9.0,2020-02-08,22,DET,,NYK,L (-3),0,12,1,3,0.333,0,2,0.0,0,0,,0,0,0,3,0,0,0,0,2,2.4,-7
9,57,58,10.0,2020-02-20,22,DET,,MIL,L (-20),0,5,2,3,0.667,2,2,1.0,0,0,,0,3,3,0,0,0,0,0,6,5.6,9
10,62,5,1.0,2020-12-31,23,ORL,,PHI,L (-24),0,9,2,4,0.5,0,1,0.0,0,0,,1,1,2,1,0,0,0,0,4,3.7,5
12,65,8,3.0,2021-01-06,23,ORL,,CLE,W (+11),0,12,3,4,0.75,1,2,0.5,0,0,,1,2,3,1,0,0,0,2,7,6.6,8
13,66,9,4.0,2021-01-08,23,ORL,@,HOU,L (-42),0,28,3,8,0.375,1,5,0.2,0,0,,0,2,2,4,0,0,0,0,7,6.0,-24
14,67,10,5.0,2021-01-09,23,ORL,@,DAL,L (-14),0,13,1,2,0.5,0,1,0.0,0,0,,0,1,1,2,0,0,0,0,2,2.7,-6
15,68,11,6.0,2021-01-11,23,ORL,,MIL,L (-22),0,29,3,6,0.5,2,4,0.5,0,0,,1,3,4,2,0,0,1,0,8,7.0,-27
16,69,12,7.0,2021-01-15,23,ORL,@,BOS,L (-27),0,27,4,8,0.5,1,3,0.333,0,0,,0,3,3,0,1,0,0,2,9,6.1,-13
17,70,13,8.0,2021-01-16,23,ORL,@,BRK,L (-7),0,21,0,3,0.0,0,3,0.0,0,0,,0,4,4,1,1,0,1,1,0,-0.6,-8
18,71,14,9.0,2021-01-18,23,ORL,@,NYK,L (-7),0,12,2,2,1.0,1,1,1.0,0,0,,0,0,0,0,0,0,1,1,5,3.0,-1
19,74,17,10.0,2021-01-24,23,ORL,,CHO,L (-3),0,15,3,5,0.6,2,4,0.5,0,0,,0,1,1,1,0,0,0,3,8,5.5,-3
21,77,20,12.0,2021-01-29,23,ORL,,LAC,L (-26),0,6,0,2,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-1.4,1
23,79,22,14.0,2021-02-02,23,ORL,,TOR,L (-15),0,17,1,6,0.167,1,4,0.25,0,0,,1,1,2,4,0,0,0,1,3,2.6,4
