,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,19,20,1.0,2017-11-29,20,MEM,@,SAS,L (-9),0,5,1,1,1.0,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.3,3
1,29,30,2.0,2017-12-16,20,MEM,,BOS,L (-9),0,15,0,3,0.0,0,1,0.0,0,0,,0,2,2,0,0,1,0,2,0,-1.6,4
3,31,32,4.0,2017-12-21,20,MEM,@,PHO,L (-2),0,9,1,3,0.333,0,0,,0,0,,0,2,2,1,2,0,1,1,2,2.2,7
4,32,33,5.0,2017-12-23,20,MEM,,LAC,W (+3),0,25,3,9,0.333,0,2,0.0,0,0,,1,3,4,3,0,1,1,2,6,3.5,4
5,33,34,6.0,2017-12-26,20,MEM,@,PHO,L (-2),0,26,2,5,0.4,0,2,0.0,2,2,1.0,1,4,5,2,2,1,1,3,6,7.1,-2
6,34,35,7.0,2017-12-27,20,MEM,@,LAL,W (+10),0,17,0,1,0.0,0,0,,0,0,,1,2,3,1,0,0,0,3,0,0.1,-10
7,35,36,8.0,2017-12-30,20,MEM,@,GSW,L (-13),0,31,7,10,0.7,3,4,0.75,0,0,,0,1,1,3,2,0,0,2,17,16.4,3
8,36,37,9.0,2017-12-31,20,MEM,@,SAC,W (+18),0,21,1,4,0.25,0,1,0.0,3,3,1.0,0,1,1,1,0,0,3,1,5,0.2,-6
10,38,39,11.0,2018-01-05,20,MEM,,WAS,L (-2),0,8,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,2,1,2,-1.4,-11
11,46,47,12.0,2018-01-24,20,MEM,,SAS,L (-23),0,14,3,6,0.5,0,2,0.0,0,0,,0,1,1,1,2,0,1,1,6,4.6,2
12,57,58,13.0,2018-02-24,20,MEM,@,MIA,L (-26),0,23,2,8,0.25,0,0,,2,2,1.0,0,0,0,3,0,0,2,1,6,0.9,-15
13,60,61,14.0,2018-03-02,20,MEM,,DEN,L (-6),0,14,2,6,0.333,0,0,,0,0,,1,0,1,2,0,0,2,2,4,-0.1,-17
14,61,62,15.0,2018-03-03,20,MEM,@,ORL,L (-7),0,20,6,9,0.667,0,1,0.0,2,2,1.0,0,1,1,2,1,0,2,4,14,9.2,-8
15,62,63,16.0,2018-03-05,20,MEM,@,SAS,L (-2),1,26,6,10,0.6,1,2,0.5,0,0,,2,2,4,3,1,1,1,2,13,12.4,3
16,63,64,17.0,2018-03-07,20,MEM,@,CHI,L (-9),1,28,5,10,0.5,0,1,0.0,1,1,1.0,1,2,3,1,3,1,3,6,11,6.3,1
17,64,65,18.0,2018-03-09,20,MEM,,UTA,L (-17),1,26,3,7,0.429,0,0,,0,0,,0,3,3,3,0,0,2,4,6,1.7,-16
18,65,66,19.0,2018-03-10,20,MEM,@,DAL,L (-34),1,36,2,12,0.167,0,1,0.0,0,0,,3,2,5,4,1,0,2,3,4,-0.3,-41
19,66,67,20.0,2018-03-12,20,MEM,,MIL,L (-18),1,27,4,8,0.5,1,1,1.0,0,0,,0,0,0,5,0,0,1,3,9,6.3,-2
20,67,68,21.0,2018-03-15,20,MEM,,CHI,L (-1),0,7,0,1,0.0,0,0,,2,2,1.0,0,1,1,0,0,0,0,0,2,1.6,-7
21,71,72,22.0,2018-03-22,20,MEM,@,CHO,L (-61),0,26,1,5,0.2,0,2,0.0,4,4,1.0,0,1,1,4,0,0,1,0,6,5.0,-32
22,72,73,23.0,2018-03-24,20,MEM,,LAL,L (-7),0,10,1,2,0.5,0,0,,0,0,,0,0,0,0,0,0,0,0,2,1.0,-5
24,74,75,25.0,2018-03-28,20,MEM,,POR,W (+5),0,28,4,7,0.571,0,1,0.0,0,0,,0,0,0,3,0,0,4,1,8,2.4,-9
25,75,76,26.0,2018-03-30,20,MEM,@,UTA,L (-10),1,25,3,7,0.429,0,2,0.0,0,0,,1,2,3,5,3,0,0,5,6,8.1,6
26,76,77,27.0,2018-04-01,20,MEM,@,POR,L (-15),1,21,2,5,0.4,0,0,,0,0,,2,0,2,4,1,0,3,1,4,3.1,-9
27,77,78,28.0,2018-04-04,20,MEM,@,NOP,L (-28),1,28,2,9,0.222,0,2,0.0,0,0,,0,2,2,1,0,0,3,1,4,-3.6,-30
28,78,79,29.0,2018-04-06,20,MEM,,SAC,L (-1),1,27,5,9,0.556,0,0,,1,1,1.0,0,1,1,3,0,0,3,2,11,5.3,-5
29,79,80,30.0,2018-04-08,20,MEM,,DET,W (+13),1,32,7,10,0.7,4,7,0.571,2,2,1.0,0,2,2,7,0,0,1,2,20,19.5,20
30,80,81,31.0,2018-04-09,20,MEM,@,MIN,L (-19),1,28,2,7,0.286,1,2,0.5,0,0,,1,0,1,1,0,0,3,4,5,-2.3,-24
31,81,82,32.0,2018-04-11,20,MEM,@,OKC,L (-14),1,33,4,12,0.333,1,4,0.25,6,6,1.0,0,1,1,5,0,0,2,3,15,8.8,-9
