,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,6,7,2.0,2012-01-04,21,NJN,@,BOS,L (-19),0,7,2,3,0.667,0,0,,0,0,,2,3,5,0,0,0,0,1,4,4.6,3
2,7,8,3.0,2012-01-06,21,NJN,@,TOR,W (+12),0,10,1,2,0.5,0,0,,0,0,,2,0,2,1,0,0,0,2,2,2.3,3
3,8,9,4.0,2012-01-07,21,NJN,,MIA,L (-11),0,8,0,2,0.0,0,0,,0,2,0.0,2,0,2,0,0,0,0,1,0,-1.2,0
5,12,13,6.0,2012-01-14,21,NJN,@,UTA,L (-13),0,8,0,2,0.0,0,0,,0,0,,0,0,0,1,0,1,0,0,0,0.0,8
7,21,22,8.0,2012-01-31,21,NJN,@,IND,L (-7),0,9,0,1,0.0,0,0,,0,0,,3,1,4,1,0,0,0,3,0,1.2,-6
8,22,23,9.0,2012-02-01,21,NJN,,DET,W (+3),0,21,3,3,1.0,0,0,,3,6,0.5,5,3,8,0,0,0,1,1,9,9.9,1
9,23,24,10.0,2012-02-03,21,NJN,,MIN,L (-3),0,16,4,6,0.667,0,0,,0,0,,3,2,5,1,1,0,0,3,8,8.6,-6
10,24,25,11.0,2012-02-04,21,NJN,@,NYK,L (-7),0,26,3,7,0.429,0,0,,4,6,0.667,0,4,4,0,0,0,2,5,10,2.7,-3
11,25,26,12.0,2012-02-06,21,NJN,,CHI,L (-21),0,19,2,5,0.4,0,0,,4,6,0.667,1,4,5,0,1,0,1,2,8,5.6,8
12,26,27,13.0,2012-02-08,21,NJN,,DET,L (-7),0,11,0,2,0.0,0,0,,0,0,,1,3,4,1,0,0,1,0,0,-0.1,13
13,27,28,14.0,2012-02-10,21,NJN,@,DET,L (-17),0,25,4,8,0.5,0,0,,3,4,0.75,3,2,5,0,2,1,0,2,11,11.2,0
14,28,29,15.0,2012-02-11,21,NJN,,SAS,L (-14),0,6,0,2,0.0,0,0,,2,2,1.0,1,0,1,0,1,1,0,0,2,3.0,1
15,30,31,16.0,2012-02-16,21,NJN,@,IND,L (-5),0,7,0,0,,0,0,,0,0,,0,2,2,0,0,1,0,0,0,1.3,0
18,34,35,19.0,2012-02-22,21,NJN,,ORL,L (-17),0,7,0,2,0.0,0,0,,0,0,,1,1,2,1,0,0,1,0,0,-0.7,-2
20,38,39,21.0,2012-03-06,21,NJN,@,MIA,L (-30),0,21,2,5,0.4,0,0,,0,0,,1,1,2,0,2,0,1,0,4,3.3,-4
22,43,44,23.0,2012-03-14,21,NJN,,TOR,W (+14),0,12,1,2,0.5,0,0,,0,0,,1,4,5,0,0,0,1,0,2,1.9,4
23,44,45,24.0,2012-03-16,21,NJN,@,ORL,L (-16),0,21,4,8,0.5,0,0,,2,2,1.0,3,3,6,0,2,0,0,2,10,10.2,2
24,45,46,25.0,2012-03-17,21,NJN,,NOH,L (-8),0,6,0,1,0.0,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-1.1,4
25,47,48,26.0,2012-03-21,21,NJN,,WAS,L (-19),0,7,1,4,0.25,0,0,,0,0,,4,1,5,1,0,0,0,2,2,2.6,-13
26,48,49,27.0,2012-03-23,21,NJN,@,ATL,L (-9),0,15,3,4,0.75,0,0,,2,4,0.5,2,1,3,0,0,1,1,4,8,5.4,11
27,49,50,28.0,2012-03-24,21,NJN,,CHA,W (+13),0,20,4,7,0.571,0,0,,0,0,,2,2,4,0,1,0,1,2,8,5.9,6
28,50,51,29.0,2012-03-26,21,NJN,,UTA,L (-21),0,20,5,6,0.833,0,0,,3,8,0.375,2,4,6,0,2,0,0,3,13,12.2,-8
29,51,52,30.0,2012-03-28,21,NJN,,IND,W (+16),0,18,3,4,0.75,0,0,,0,0,,1,3,4,1,0,0,2,2,6,3.9,-6
30,53,54,31.0,2012-03-31,21,NJN,@,SAC,W (+12),0,19,2,2,1.0,0,0,,3,3,1.0,0,1,1,0,0,1,2,4,7,3.8,3
31,54,55,32.0,2012-04-03,21,NJN,@,LAL,L (-4),0,15,1,2,0.5,0,0,,0,0,,0,3,3,0,0,2,0,0,2,3.3,-6
32,55,56,33.0,2012-04-04,21,NJN,@,POR,L (-13),0,23,1,2,0.5,0,0,,5,6,0.833,3,5,8,0,0,1,2,1,7,7.5,16
33,56,57,34.0,2012-04-06,21,NJN,,WAS,W (+12),0,24,7,7,1.0,0,0,,0,0,,2,2,4,0,0,1,0,2,14,13.8,19
34,57,58,35.0,2012-04-08,21,NJN,,CLE,W (+5),0,12,0,1,0.0,0,0,,0,2,0.0,2,2,4,0,1,0,0,2,0,0.7,6
35,58,59,36.0,2012-04-10,21,NJN,,PHI,L (-19),0,21,3,6,0.5,0,0,,0,0,,2,4,6,1,0,1,0,2,6,6.2,-18
36,59,60,37.0,2012-04-13,21,NJN,@,PHI,W (+6),0,26,3,6,0.5,0,0,,7,9,0.778,0,5,5,2,1,1,0,2,13,13.0,8
37,60,61,38.0,2012-04-14,21,NJN,,BOS,L (-12),0,29,6,11,0.545,0,0,,0,0,,6,8,14,0,3,1,1,3,12,14.8,-5
38,61,62,39.0,2012-04-16,21,NJN,,MIA,L (-3),1,32,1,5,0.2,0,0,,0,0,,3,1,4,0,1,0,2,3,2,-0.9,2
39,62,63,40.0,2012-04-18,21,NJN,,NYK,L (-9),1,12,2,2,1.0,0,0,,0,0,,0,2,2,0,0,1,1,1,4,3.3,0
40,63,64,41.0,2012-04-21,21,NJN,@,MIL,L (-11),1,21,2,4,0.5,0,0,,0,0,,2,4,6,0,2,0,0,0,4,6.6,-6
41,64,65,42.0,2012-04-23,21,NJN,,PHI,L (-18),1,24,2,4,0.5,0,0,,4,4,1.0,1,3,4,0,0,0,1,1,8,6.2,-10
42,65,66,43.0,2012-04-26,21,NJN,@,TOR,L (-31),1,39,5,13,0.385,0,0,,0,0,,5,5,10,0,0,1,2,4,10,5.0,-12
