,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,5,6,1.0,2018-10-26,22,MIN,,MIL,L (-30),0,6,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-0.4,-2
1,9,10,2.0,2018-11-04,22,MIN,@,POR,L (-30),0,12,2,7,0.286,0,4,0.0,0,0,,0,2,2,0,0,1,0,1,4,0.8,-2
2,43,44,3.0,2019-01-15,22,MIN,@,PHI,L (-42),0,7,0,1,0.0,0,0,,0,0,,0,1,1,0,0,0,1,1,0,-1.8,-2
3,46,47,4.0,2019-01-22,22,MIN,@,PHO,W (+27),0,6,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,0,0,0,0,2,1.6,4
6,57,58,7.0,2019-02-22,23,MIN,@,NYK,W (+11),0,13,1,3,0.333,1,3,0.333,0,0,,0,2,2,1,1,1,0,0,3,4.3,16
7,58,59,8.0,2019-02-23,23,MIN,@,MIL,L (-12),0,15,3,3,1.0,0,0,,2,3,0.667,2,4,6,1,0,1,0,1,8,10.3,0
9,61,62,10.0,2019-02-28,23,MIN,@,IND,L (-7),0,10,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,1,0,0,0,2,2.6,0
10,62,63,11.0,2019-03-03,23,MIN,@,WAS,L (-14),0,26,4,7,0.571,0,2,0.0,0,1,0.0,0,5,5,0,0,1,0,4,8,4.9,-10
11,63,64,12.0,2019-03-05,23,MIN,,OKC,W (+11),0,12,2,4,0.5,0,1,0.0,1,2,0.5,0,1,1,0,0,0,0,0,5,2.9,7
12,64,65,13.0,2019-03-06,23,MIN,@,DET,L (-17),0,16,0,1,0.0,0,1,0.0,3,4,0.75,1,0,1,0,0,1,0,1,3,2.9,-9
13,65,66,14.0,2019-03-09,23,MIN,,WAS,W (+5),1,36,5,12,0.417,1,4,0.25,1,2,0.5,2,3,5,2,1,0,1,1,12,8.5,2
14,66,67,15.0,2019-03-10,23,MIN,,NYK,W (+11),1,35,7,12,0.583,2,3,0.667,2,2,1.0,1,5,6,1,2,2,1,1,18,17.3,7
15,67,68,16.0,2019-03-12,23,MIN,@,DEN,L (-26),1,33,3,11,0.273,1,3,0.333,2,2,1.0,4,1,5,4,0,1,2,1,9,6.7,-17
16,68,69,17.0,2019-03-14,23,MIN,@,UTA,L (-20),0,26,2,7,0.286,0,3,0.0,2,2,1.0,0,4,4,1,0,0,1,0,6,2.8,-21
17,69,70,18.0,2019-03-17,23,MIN,@,HOU,L (-15),0,17,3,5,0.6,1,3,0.333,0,0,,0,2,2,1,1,0,1,1,7,5.6,11
18,70,71,19.0,2019-03-19,23,MIN,,GSW,L (-10),0,14,0,5,0.0,0,4,0.0,0,0,,0,4,4,0,1,0,0,0,0,-1.3,-16
19,71,72,20.0,2019-03-21,23,MIN,@,CHO,L (-7),0,15,1,2,0.5,0,1,0.0,0,0,,0,2,2,0,0,1,0,2,2,1.5,-6
20,72,73,21.0,2019-03-23,23,MIN,@,MEM,W (+13),0,22,4,6,0.667,0,0,,0,0,,0,2,2,0,2,1,1,2,8,6.9,0
21,73,74,22.0,2019-03-26,23,MIN,,LAC,L (-11),0,18,3,7,0.429,0,2,0.0,1,2,0.5,1,1,2,0,2,0,0,3,7,4.7,-1
22,74,75,23.0,2019-03-29,23,MIN,,GSW,W (+1),0,16,0,4,0.0,0,0,,0,0,,1,4,5,0,0,0,0,1,0,-1.3,0
23,75,76,24.0,2019-03-30,23,MIN,,PHI,L (-9),0,20,3,4,0.75,2,2,1.0,0,0,,0,1,1,1,1,1,0,3,8,7.9,3
24,76,77,25.0,2019-04-01,23,MIN,,POR,L (-10),0,13,2,4,0.5,2,3,0.667,1,2,0.5,0,1,1,0,0,0,0,1,7,4.5,-6
25,77,78,26.0,2019-04-03,23,MIN,@,DAL,W (+2),0,20,2,6,0.333,1,2,0.5,0,0,,0,2,2,1,2,0,1,1,5,3.5,5
26,78,79,27.0,2019-04-05,23,MIN,,MIA,W (+2),0,25,4,9,0.444,0,2,0.0,1,2,0.5,3,2,5,1,0,0,1,2,9,5.5,-6
27,79,80,28.0,2019-04-07,23,MIN,,OKC,L (-6),0,19,3,6,0.5,1,2,0.5,0,0,,0,3,3,1,2,0,0,0,7,7.6,3
28,80,81,29.0,2019-04-09,23,MIN,,TOR,L (-20),0,24,2,7,0.286,1,5,0.2,2,2,1.0,0,4,4,1,1,2,3,2,7,3.4,-11
29,81,82,30.0,2019-04-10,23,MIN,@,DEN,L (-4),0,19,2,4,0.5,0,0,,0,0,,1,6,7,1,1,0,1,0,4,5.2,6
30,93,12,1.0,2019-11-15,23,MIN,,WAS,L (-21),0,5,0,0,,0,0,,0,0,,1,0,1,0,0,1,0,1,0,1.0,-6
31,94,13,2.0,2019-11-16,23,MIN,,HOU,L (-20),0,16,1,3,0.333,1,3,0.333,2,2,1.0,0,2,2,0,1,1,1,2,5,3.8,-10
32,95,14,3.0,2019-11-18,23,MIN,@,UTA,W (+10),0,13,1,2,0.5,0,0,,1,1,1.0,0,3,3,0,0,0,0,0,3,2.9,2
34,97,16,5.0,2019-11-23,23,MIN,,PHO,L (-2),0,37,9,18,0.5,3,10,0.3,1,2,0.5,0,4,4,2,0,0,1,4,22,12.6,3
35,98,17,6.0,2019-11-25,23,MIN,@,ATL,W (+12),0,24,5,8,0.625,2,4,0.5,1,3,0.333,2,3,5,0,1,2,0,0,13,13.3,10
36,99,18,7.0,2019-11-27,23,MIN,@,SAS,W (+12),0,26,6,9,0.667,4,6,0.667,0,0,,2,2,4,0,1,0,0,1,16,14.7,8
37,100,19,8.0,2019-12-01,23,MIN,,MEM,L (-8),0,25,4,7,0.571,2,2,1.0,0,0,,0,5,5,1,1,0,2,2,10,7.1,2
38,101,20,9.0,2019-12-04,23,MIN,@,DAL,L (-7),0,21,3,3,1.0,2,2,1.0,0,0,,0,2,2,0,0,0,0,0,8,7.7,-23
39,102,21,10.0,2019-12-06,23,MIN,@,OKC,L (-12),0,19,0,7,0.0,0,4,0.0,0,0,,0,1,1,1,0,0,0,1,0,-4.3,-16
40,103,22,11.0,2019-12-08,23,MIN,@,LAL,L (-17),0,17,4,5,0.8,2,3,0.667,1,2,0.5,0,2,2,3,0,2,0,0,11,12.8,9
41,104,23,12.0,2019-12-09,23,MIN,@,PHO,L (-16),0,23,1,4,0.25,0,0,,0,0,,1,4,5,1,0,0,0,2,2,1.4,-1
42,106,25,13.0,2019-12-13,23,MIN,,LAC,L (-7),0,11,0,1,0.0,0,1,0.0,0,0,,0,0,0,0,0,0,0,0,0,-0.7,-10
43,107,26,14.0,2019-12-18,23,MIN,,NOP,L (-8),0,19,1,6,0.167,0,2,0.0,1,2,0.5,0,4,4,0,1,0,0,0,3,1.0,-15
44,108,27,15.0,2019-12-20,23,MIN,@,DEN,L (-9),0,19,4,8,0.5,1,4,0.25,0,1,0.0,1,1,2,0,0,0,0,0,9,5.6,-14
45,109,28,16.0,2019-12-21,23,MIN,@,POR,L (-7),0,18,1,4,0.25,1,2,0.5,2,2,1.0,0,1,1,0,1,1,0,2,5,3.8,-8
