,Unnamed: 0,Rk,G,Date,Age,Tm,Unnamed: 5,Opp,Unnamed: 7,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,0,1,1,2015/10/28,19,MIN,@,LAL,W (+1),1,32,6,10,0.6,0,1,0,2,2,1,2,10,12,1,0,0,3,4,14,9.9,6
1,1,2,2,2015/10/30,19,MIN,@,DEN,W (+17),1,33,11,19,0.579,0,0,,6,7,0.857,3,11,14,2,0,4,1,3,28,26.1,15
2,2,3,3,2015/11/2,19,MIN,,POR,L (-5),1,27,5,9,0.556,1,1,1,0,0,,1,4,5,0,0,4,4,5,11,5.4,-5
3,3,4,4,2015/11/5,19,MIN,,MIA,L (-12),1,22,3,13,0.231,0,0,,0,0,,0,4,4,1,0,3,0,3,6,0.9,-21
4,4,5,5,2015/11/7,19,MIN,@,CHI,W (+9),1,27,8,18,0.444,0,0,,1,1,1,6,7,13,2,1,4,0,4,17,17.5,15
5,5,6,6,2015/11/9,19,MIN,@,ATL,W (+10),1,32,5,7,0.714,0,1,0,7,8,0.875,3,9,12,1,0,3,2,3,17,18.1,11
6,6,7,7,2015/11/10,19,MIN,,CHO,L (-9),1,30,7,16,0.438,0,1,0,5,5,1,2,11,13,2,1,3,2,3,19,16.6,10
7,7,8,8,2015/11/12,19,MIN,,GSW,L (-13),1,30,7,15,0.467,0,0,,3,4,0.75,3,8,11,0,1,0,5,2,17,8.6,-24
8,8,9,9,2015/11/13,19,MIN,@,IND,L (-4),1,27,5,9,0.556,0,0,,2,2,1,2,7,9,1,1,0,0,0,12,12.9,-7
9,9,10,10,2015/11/15,20,MIN,,MEM,L (-8),1,32,5,11,0.455,0,1,0,4,4,1,3,6,9,1,0,1,3,4,14,9,1
10,10,11,11,2015/11/17,20,MIN,@,MIA,W (+12),1,26,6,12,0.5,0,0,,2,2,1,5,9,14,0,2,1,4,4,14,11.3,14
11,11,12,12,2015/11/18,20,MIN,@,ORL,L (-3),1,37,8,12,0.667,0,1,0,5,6,0.833,3,9,12,0,0,6,4,2,21,19.6,-7
12,12,13,13,2015/11/20,20,MIN,,DET,L (-10),1,28,8,10,0.8,0,0,,2,2,1,0,7,7,3,3,2,2,4,18,19.2,-14
13,13,14,14,2015/11/23,20,MIN,,PHI,W (+5),1,19,3,7,0.429,0,0,,0,0,,2,1,3,0,1,2,0,4,6,4.8,8
14,14,15,15,2015/11/25,20,MIN,,ATL,W (+4),1,22,3,6,0.5,0,0,,0,0,,1,5,6,1,0,1,3,0,6,3.6,-2
15,15,16,16,2015/11/27,20,MIN,@,SAC,W (+10),1,21,3,5,0.6,1,1,1,0,0,,0,8,8,0,0,2,2,0,7,6.5,-4
16,16,17,17,2015/11/29,20,MIN,@,LAC,L (-8),1,26,8,13,0.615,1,2,0.5,0,2,0,1,7,8,0,3,1,1,3,17,14.6,0
17,17,18,18,2015/12/1,20,MIN,,ORL,L (-3),1,22,2,11,0.182,0,1,0,2,4,0.5,2,4,6,0,1,2,1,3,6,1.1,-9
18,18,19,19,2015/12/5,20,MIN,,POR,L (-6),1,32,13,21,0.619,1,2,0.5,0,0,,5,7,12,2,0,2,3,4,27,21.3,-6
19,19,20,20,2015/12/7,20,MIN,,LAC,L (-4),1,29,7,9,0.778,3,3,1,1,2,0.5,0,5,5,2,0,2,2,6,18,14,-4
20,20,21,21,2015/12/9,20,MIN,,LAL,W (+1),1,35,11,19,0.579,0,1,0,4,6,0.667,5,9,14,1,0,3,2,5,26,21.3,18
21,21,22,22,2015/12/11,20,MIN,@,DEN,L (-3),1,31,6,11,0.545,0,1,0,2,2,1,3,6,9,1,2,3,2,4,14,13.8,-2
22,22,23,23,2015/12/13,20,MIN,@,PHO,L (-7),1,18,4,8,0.5,0,0,,0,0,,2,4,6,2,0,1,1,3,8,6.5,-6
23,23,24,24,2015/12/15,20,MIN,,DEN,L (-12),1,28,5,7,0.714,0,0,,8,8,1,4,2,6,1,1,2,0,4,18,20,-12
24,24,25,25,2015/12/16,20,MIN,@,NYK,L (-5),1,32,11,22,0.5,2,4,0.5,1,1,1,5,6,11,0,0,0,2,4,25,15.7,-5
25,25,26,26,2015/12/18,20,MIN,,SAC,W (+4),1,24,6,11,0.545,1,1,1,2,2,1,2,6,8,0,0,1,4,5,15,7.6,12
26,26,27,27,2015/12/20,20,MIN,@,BRK,W (+15),1,28,10,19,0.526,0,0,,4,4,1,3,7,10,1,1,2,2,3,24,18.8,9
27,27,28,28,2015/12/21,20,MIN,@,BOS,L (-14),1,35,8,14,0.571,0,1,0,9,9,1,3,13,16,2,1,3,2,4,25,25.3,-8
28,28,29,29,2015/12/23,20,MIN,,SAS,L (-25),1,34,4,12,0.333,0,2,0,2,2,1,2,9,11,1,0,0,2,3,10,4.8,-13
29,29,30,30,2015/12/26,20,MIN,,IND,L (-14),1,40,10,16,0.625,0,2,0,4,5,0.8,3,5,8,3,1,1,5,4,24,17.2,-7
30,30,31,31,2015/12/28,20,MIN,@,SAS,L (-6),1,31,4,7,0.571,0,0,,2,3,0.667,1,11,12,1,1,0,1,5,10,9,8
31,31,32,32,2015/12/30,20,MIN,,UTA,W (+14),1,32,10,16,0.625,0,0,,5,8,0.625,4,6,10,1,1,2,3,2,25,20.5,9
32,32,33,33,2015/12/31,20,MIN,@,DET,L (-25),1,35,10,17,0.588,0,1,0,2,2,1,2,7,9,3,0,1,2,2,22,17.6,-29
33,33,34,34,2016/1/2,20,MIN,,MIL,L (-10),1,26,4,17,0.235,0,0,,0,0,,3,7,10,2,1,3,0,1,8,6,-4
34,34,35,35,2016/1/4,20,MIN,@,PHI,L (-10),1,25,4,8,0.5,0,0,,0,0,,0,6,6,1,0,0,0,4,8,4.9,-7
35,35,36,36,2016/1/6,20,MIN,,DEN,L (-4),1,32,6,14,0.429,0,1,0,2,2,1,4,10,14,2,0,2,0,2,14,14.4,1
36,36,37,37,2016/1/8,20,MIN,,CLE,L (-26),1,35,11,14,0.786,0,0,,0,0,,2,4,6,3,0,0,2,3,22,18.1,-22
37,37,38,38,2016/1/10,20,MIN,,DAL,L (-6),1,25,5,9,0.556,0,0,,0,0,,1,3,4,1,1,2,2,3,10,7.2,7
38,38,39,39,2016/1/12,20,MIN,,OKC,L (-5),1,28,6,14,0.429,0,1,0,2,2,1,5,5,10,1,0,0,3,1,14,8.9,-20
39,39,40,40,2016/1/13,20,MIN,@,HOU,L (-3),1,33,4,10,0.4,1,1,1,3,4,0.75,6,10,16,3,2,0,3,2,12,13.7,13
40,40,41,41,2016/1/15,20,MIN,@,OKC,L (-20),1,30,4,13,0.308,0,2,0,1,1,1,8,4,12,1,0,0,2,5,9,5,-22
41,41,42,42,2016/1/17,20,MIN,,PHO,W (+30),1,26,5,8,0.625,1,1,1,3,3,1,1,7,8,1,1,3,2,2,14,14.2,11
42,42,43,43,2016/1/19,20,MIN,@,NOP,L (-15),1,32,7,17,0.412,1,1,1,5,5,1,2,11,13,2,1,1,5,2,20,12.9,5
43,43,44,44,2016/1/20,20,MIN,@,DAL,L (-12),1,37,12,19,0.632,1,1,1,2,3,0.667,3,14,17,3,1,6,3,3,27,27.5,-15
44,44,45,45,2016/1/23,20,MIN,,MEM,W (+5),1,31,6,6,1,0,0,,2,2,1,1,8,9,3,1,1,2,3,14,15.9,14
45,45,46,46,2016/1/25,20,MIN,@,CLE,L (-7),1,30,11,16,0.688,0,1,0,4,5,0.8,4,7,11,4,1,1,2,3,26,25,4
46,46,47,47,2016/1/27,20,MIN,,OKC,L (-3),1,34,8,15,0.533,0,0,,3,3,1,2,11,13,5,0,3,2,1,19,19.6,-9
47,47,48,48,2016/1/29,20,MIN,@,UTA,L (-13),1,36,13,17,0.765,1,2,0.5,5,5,1,5,7,12,1,1,1,5,1,32,27.9,0
48,48,49,49,2016/1/31,20,MIN,@,POR,L (-3),1,39,9,18,0.5,1,2,0.5,2,4,0.5,6,7,13,2,2,3,3,0,21,20,5
49,49,50,50,2016/2/2,20,MIN,@,LAL,L (-4),1,32,6,9,0.667,1,2,0.5,1,2,0.5,2,8,10,2,0,2,1,3,14,14.1,-2
50,50,51,51,2016/2/3,20,MIN,@,LAC,W (+6),1,31,7,16,0.438,1,3,0.333,2,2,1,3,9,12,2,0,1,1,4,17,12.9,1
51,51,52,52,2016/2/6,20,MIN,,CHI,W (+7),1,41,12,19,0.632,0,2,0,2,2,1,6,11,17,1,0,3,2,3,26,24.6,5
52,52,53,53,2016/2/8,20,MIN,,NOP,L (-14),1,29,6,10,0.6,0,0,,7,8,0.875,1,11,12,1,0,1,3,3,19,15.2,-14
53,53,54,54,2016/2/10,20,MIN,,TOR,W (+5),1,35,12,19,0.632,0,0,,11,13,0.846,4,7,11,1,0,3,0,4,35,31.8,11
54,54,55,55,2016/2/19,20,MIN,@,MEM,L (-5),1,36,4,15,0.267,1,4,0.25,2,2,1,5,10,15,3,1,2,3,4,11,8.5,0
55,55,56,56,2016/2/20,20,MIN,,NYK,L (-8),1,41,10,23,0.435,0,1,0,4,5,0.8,3,5,8,4,1,3,0,2,24,20.2,3
56,56,57,57,2016/2/22,20,MIN,,BOS,W (+2),1,36,13,22,0.591,1,2,0.5,1,2,0.5,5,8,13,4,0,2,3,2,28,23.7,1
57,57,58,58,2016/2/24,20,MIN,@,TOR,L (-9),1,37,5,13,0.385,0,1,0,6,8,0.75,0,6,6,0,1,0,1,5,16,7.9,-12
58,58,59,59,2016/2/27,20,MIN,@,NOP,W (+2),1,35,13,20,0.65,0,1,0,4,8,0.5,3,12,15,4,2,1,1,3,30,28.6,5
59,59,60,60,2016/2/28,20,MIN,@,DAL,L (-27),1,26,6,9,0.667,0,0,,0,2,0,4,7,11,3,0,0,4,3,12,9.1,-25
60,60,61,61,2016/3/2,20,MIN,,WAS,L (-6),1,40,5,12,0.417,0,1,0,4,4,1,4,11,15,5,1,2,4,4,14,14,4
